6965-T,東証1部,ホトニクス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,4925,4930,4815,4845,271300,1318682000
2014-06-26,4955,4970,4880,4900,209100,1027540000
2014-06-25,4945,4980,4920,4935,216400,1069893000
2014-06-24,4990,4995,4940,4980,174600,868333500
2014-06-23,5000,5000,4945,4985,177200,881363500
2014-06-20,4980,5010,4940,5010,351400,1752112000
2014-06-19,4980,5020,4965,4990,230700,1151752000
2014-06-18,4970,5000,4965,4980,146900,732051500
2014-06-17,4930,4995,4930,4935,217500,1078270500
2014-06-16,4915,4920,4870,4890,137400,671767500
2014-06-13,4800,4920,4795,4905,286600,1389078500
2014-06-12,4845,4870,4810,4835,404600,1958054500
2014-06-11,4950,4970,4925,4950,162300,803017000
2014-06-10,4975,4985,4940,4955,166900,828013500
2014-06-09,5060,5080,4980,4990,156400,783882000
2014-06-06,5100,5100,5020,5030,182800,923401000
2014-06-05,5100,5120,5050,5060,166300,844662000
2014-06-04,5000,5070,5000,5070,158400,798034000
2014-06-03,5000,5020,4965,5000,250200,1249837500
2014-06-02,4965,5000,4950,4995,164100,816931000
2014-05-30,4910,4955,4900,4910,268000,1320291500
2014-05-29,4850,4915,4815,4905,192300,939031500
2014-05-28,4880,4885,4840,4845,175500,853714500
2014-05-27,4860,4900,4855,4875,160700,783716500
2014-05-26,4790,4880,4785,4875,208200,1005890500
2014-05-23,4725,4760,4710,4740,223900,1061458500
2014-05-22,4675,4725,4650,4715,171100,803695500
2014-05-21,4655,4665,4615,4650,180500,837555000
2014-05-20,4690,4730,4685,4695,197200,927522500
2014-05-19,4635,4665,4615,4640,198700,921223000
2014-05-16,4590,4640,4570,4630,221800,1021413500
2014-05-15,4590,4645,4555,4640,204500,942938500
2014-05-14,4565,4620,4505,4620,249900,1144297500
2014-05-13,4610,4620,4555,4590,227800,1045288000
2014-05-12,4500,4530,4455,4455,200600,899076500
2014-05-09,4435,4520,4420,4515,176200,791631500
2014-05-08,4505,4525,4460,4470,167600,752001000
2014-05-07,4550,4550,4480,4495,315900,1422261000
2014-05-02,4615,4625,4565,4590,170500,781877000
2014-05-01,4625,4640,4575,4640,287900,1327155500
2014-04-30,4610,4640,4565,4600,374900,1723859000
2014-04-28,4565,4575,4515,4575,452300,2060523500
2014-04-25,4595,4625,4570,4605,330400,1519087000
2014-04-24,4535,4595,4535,4565,204300,933035500
2014-04-23,4575,4590,4510,4525,333800,1515041000
2014-04-22,4585,4595,4520,4525,181600,825752000
2014-04-21,4580,4600,4565,4580,117800,539956000
2014-04-18,4640,4640,4530,4585,190300,869630000
2014-04-17,4600,4635,4555,4575,250900,1151497000
2014-04-16,4530,4570,4495,4570,251200,1138429500
2014-04-15,4550,4550,4495,4500,174300,788232000
2014-04-14,4520,4580,4515,4535,289300,1317477500
2014-04-11,4460,4545,4455,4515,233800,1055321500
2014-04-10,4620,4620,4530,4545,265900,1213883000
2014-04-09,4600,4615,4525,4550,461000,2103079000
2014-04-08,4735,4735,4655,4675,318500,1490860000
2014-04-07,4720,4750,4675,4730,293700,1385065000
2014-04-04,4755,4800,4730,4745,298800,1420731500
2014-04-03,4675,4785,4675,4750,472300,2244141000
2014-04-02,4800,4850,4700,4710,586700,2791300000
2014-04-01,4650,4765,4635,4750,611200,2880720500
2014-03-31,4635,4665,4580,4650,534900,2476421000
2014-03-28,4585,4640,4550,4605,526300,2423942000
2014-03-27,4480,4605,4460,4595,602900,2740905500
2014-03-26,4425,4510,4425,4510,653200,2921322000
2014-03-25,4290,4420,4265,4375,721100,3152571500
2014-03-24,4095,4215,4080,4190,555700,2314485500
2014-03-20,4070,4110,4050,4090,220800,901885500
2014-03-19,4120,4150,4075,4090,154600,635551500
2014-03-18,4150,4170,4105,4120,190000,785389000
2014-03-17,4075,4095,4050,4065,129400,526386000
2014-03-14,4170,4180,4075,4075,358500,1480879000
2014-03-13,4255,4300,4215,4230,118600,504948000
2014-03-12,4200,4265,4190,4245,227100,961431500
2014-03-11,4265,4295,4245,4275,111600,476329000
2014-03-10,4260,4275,4240,4265,122000,519637000
2014-03-07,4285,4285,4230,4275,201100,856906000
2014-03-06,4235,4280,4200,4265,158200,672940500
2014-03-05,4270,4285,4215,4230,138200,585670000
2014-03-04,4075,4225,4075,4205,195900,819790000
2014-03-03,4125,4145,4040,4125,304100,1245355000
2014-02-28,4220,4235,4095,4130,471700,1953442000
2014-02-27,4190,4290,4190,4220,211700,896629000
2014-02-26,4280,4295,4205,4210,283000,1200916000
2014-02-25,4330,4340,4275,4325,154700,666627500
2014-02-24,4350,4390,4245,4295,287000,1237390500
2014-02-21,4255,4300,4245,4300,179300,767945500
2014-02-20,4230,4255,4155,4165,164500,689770000
2014-02-19,4290,4300,4230,4275,161800,691130000
2014-02-18,4180,4285,4165,4275,396400,1680627500
2014-02-17,4055,4190,4050,4190,340400,1411767000
2014-02-14,4140,4175,4015,4050,473700,1928425500
2014-02-13,4100,4135,4050,4125,359900,1480851500
2014-02-12,4000,4125,3860,4115,943400,3814675500
2014-02-10,4305,4305,4180,4240,168600,713292500
2014-02-07,4195,4230,4155,4195,223400,937208000
2014-02-06,4135,4155,4100,4105,133200,549467500
2014-02-05,4100,4185,4085,4135,258600,1066535500
2014-02-04,4150,4160,4040,4040,293900,1202026500
2014-02-03,4295,4350,4270,4270,222000,955442500
2014-01-31,4385,4395,4285,4325,267200,1157143500
2014-01-30,4355,4390,4340,4380,338000,1474994000
2014-01-29,4440,4490,4435,4465,274000,1222289000
