6988-T,東証1部,日東電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,4750,4767,4699,4727,1622700,7676303600
2014-06-26,4671,4764,4671,4739,1892900,8950178600
2014-06-25,4625,4697,4610,4678,2631200,12281531700
2014-06-24,4515,4582,4490,4575,1306300,5946842700
2014-06-23,4533,4542,4505,4516,907400,4104127200
2014-06-20,4600,4607,4494,4494,2518400,11416467600
2014-06-19,4591,4658,4590,4620,1780500,8225597000
2014-06-18,4559,4597,4541,4587,1352700,6185793100
2014-06-17,4497,4561,4475,4545,1442700,6533874600
2014-06-16,4514,4516,4445,4479,1325000,5924761500
2014-06-13,4425,4494,4395,4492,4124800,18316252800
2014-06-12,4580,4587,4511,4543,2836600,12885551700
2014-06-11,4715,4729,4664,4690,1352500,6343791900
2014-06-10,4809,4819,4711,4718,1407500,6682049500
2014-06-09,4848,4855,4798,4834,1067200,5158192000
2014-06-06,4854,4858,4805,4833,690500,3336102700
2014-06-05,4858,4877,4821,4838,1083200,5243570600
2014-06-04,4791,4838,4784,4826,1012000,4875530100
2014-06-03,4846,4848,4753,4760,973400,4663824400
2014-06-02,4723,4827,4700,4811,1199100,5755112500
2014-05-30,4714,4748,4685,4694,1286400,6051855200
2014-05-29,4700,4756,4668,4727,945800,4460515900
2014-05-28,4750,4773,4709,4732,1084600,5145409700
2014-05-27,4784,4797,4758,4758,1098700,5246097800
2014-05-26,4788,4791,4752,4790,537200,2567100600
2014-05-23,4745,4792,4728,4749,642300,3060529000
2014-05-22,4710,4758,4682,4730,1013700,4793586400
2014-05-21,4628,4692,4604,4673,998200,4642888700
2014-05-20,4678,4705,4602,4648,666200,3105164300
2014-05-19,4730,4730,4644,4665,862100,4026414000
2014-05-16,4702,4735,4684,4725,844600,3984575200
2014-05-15,4732,4783,4693,4769,855900,4063613600
2014-05-14,4745,4789,4733,4768,819000,3904828700
2014-05-13,4747,4784,4685,4727,1129500,5342995500
2014-05-12,4649,4720,4649,4677,1165300,5458290800
2014-05-09,4590,4648,4580,4611,1685300,7770998800
2014-05-08,4500,4587,4500,4574,1124400,5127086300
2014-05-07,4606,4633,4498,4510,1288100,5849369800
2014-05-02,4724,4740,4619,4664,1440800,6713714100
2014-05-01,4580,4744,4572,4712,2320100,10901247000
2014-04-30,4535,4570,4387,4410,1993700,8851020500
2014-04-28,4572,4603,4502,4530,1521300,6906072500
2014-04-25,4625,4713,4596,4622,1276800,5922611100
2014-04-24,4781,4789,4633,4654,1401600,6548377600
2014-04-23,4735,4779,4693,4772,1088200,5175424600
2014-04-22,4850,4856,4729,4729,1271500,6076975800
2014-04-21,4747,4867,4735,4829,1097700,5304245400
2014-04-18,4763,4765,4709,4747,669900,3174232500
2014-04-17,4682,4743,4638,4729,1181700,5551396800
2014-04-16,4671,4748,4614,4736,1237500,5799976400
2014-04-15,4623,4669,4593,4654,976200,4527022700
2014-04-14,4608,4683,4595,4596,1511100,6991348300
2014-04-11,4563,4663,4561,4625,2436600,11193449200
2014-04-10,4834,4859,4755,4773,937400,4496276500
2014-04-09,4875,4897,4777,4777,1772600,8531214800
2014-04-08,4940,4996,4914,4955,1098300,5445334800
2014-04-07,5001,5023,4921,4950,1044100,5172362700
2014-04-04,5020,5100,5015,5048,1276500,6473674200
2014-04-03,4980,5077,4960,5037,1252600,6302868400
2014-04-02,4937,4987,4881,4951,1217100,6019134000
2014-04-01,4911,4938,4868,4916,1051600,5158128300
2014-03-31,4940,4974,4906,4942,1073900,5305045500
2014-03-28,4811,4913,4803,4902,1378200,6737191800
2014-03-27,4615,4840,4590,4813,1993600,9445337200
2014-03-26,4825,4849,4725,4737,1727100,8235869100
2014-03-25,4735,4847,4681,4811,1026300,4909191200
2014-03-24,4791,4869,4769,4785,1423300,6851212500
2014-03-20,4869,4875,4705,4738,1239600,5904821900
2014-03-19,4901,4975,4807,4864,1589900,7784978700
2014-03-18,4871,4937,4859,4901,1339900,6578383800
2014-03-17,4710,4866,4697,4825,1512500,7271186100
2014-03-14,4700,4828,4692,4736,3195500,15114149400
2014-03-13,4741,4911,4721,4840,2241000,10853564500
2014-03-12,4789,4794,4684,4741,1847100,8747690300
2014-03-11,4874,4912,4832,4881,1256200,6123159200
2014-03-10,4894,4949,4820,4852,1883100,9187994800
2014-03-07,4890,4903,4817,4875,2398400,11687688100
2014-03-06,4772,4933,4763,4925,2079500,10149416100
2014-03-05,4770,4787,4724,4745,1393700,6632184800
2014-03-04,4700,4726,4622,4687,1757200,8223556200
2014-03-03,4712,4815,4663,4786,1549800,7363595000
2014-02-28,4689,4794,4683,4755,2035300,9672530900
2014-02-27,4610,4695,4562,4632,1887000,8767831000
2014-02-26,4610,4673,4568,4607,1329200,6141723800
2014-02-25,4685,4699,4620,4638,1925600,8950923000
2014-02-24,4639,4688,4576,4647,1507400,6994946600
2014-02-21,4560,4643,4550,4629,1789800,8250821600
2014-02-20,4552,4600,4435,4460,2007300,9051635200
2014-02-19,4457,4600,4455,4568,1556400,7112864000
2014-02-18,4392,4518,4387,4497,1627000,7264800600
2014-02-17,4373,4429,4311,4384,1115400,4865719100
2014-02-14,4329,4466,4320,4372,2283400,10017274000
2014-02-13,4438,4453,4331,4351,1101600,4831751800
2014-02-12,4420,4420,4339,4384,1242100,5432667300
2014-02-10,4471,4476,4390,4420,1134900,5020461400
2014-02-07,4349,4460,4328,4401,1664300,7342305600
2014-02-06,4241,4301,4213,4225,1171900,4983889200
2014-02-05,4227,4284,4182,4210,2015300,8517742100
2014-02-04,4241,4291,4174,4175,2462200,10364160900
2014-02-03,4499,4500,4346,4360,2950300,12972330000
2014-01-31,4530,4689,4510,4602,3171900,14608581300
2014-01-30,4350,4459,4320,4430,1833400,8048268900
2014-01-29,4366,4497,4355,4497,1495200,6649887200
2014-01-28,4400,4435,4300,4312,1952500,8459228600
2014-01-27,4400,4491,4378,4439,2353700,10464575600
2014-01-24,4675,4680,4521,4557,7268600,33386049500
2014-01-23,4315,4320,4246,4255,1465000,6255140200
2014-01-22,4280,4304,4231,4297,1841700,7864441500
2014-01-21,4314,4322,4276,4296,1059300,4553046300
2014-01-20,4318,4321,4260,4267,1205100,5155737500
2014-01-17,4347,4352,4291,4314,1426700,6148726900
2014-01-16,4373,4424,4346,4361,1336500,5856090300
2014-01-15,4328,4434,4310,4418,2079000,9125699200
2014-01-14,4300,4328,4236,4244,2177200,9315564600
2014-01-10,4330,4420,4315,4355,2401000,10448484500
2014-01-09,4450,4495,4360,4380,2496300,10984460500
2014-01-08,4405,4520,4405,4520,1770000,7917148500
2014-01-07,4370,4430,4360,4390,1424600,6258572000
2014-01-06,4400,4425,4320,4385,2004900,8790738500
2013-12-30,4435,4440,4375,4435,1890600,8336168000
2013-12-27,4450,4460,4395,4435,1373900,6068711500
2013-12-26,4435,4445,4405,4445,1824500,8085740500
2013-12-25,4380,4440,4360,4385,1799800,7901184500
2013-12-24,4360,4415,4350,4400,2965400,13007815000
2013-12-20,4275,4365,4275,4360,2507500,10846414000
2013-12-19,4270,4320,4240,4305,3302500,14132488000
2013-12-18,4170,4220,4165,4220,2669400,11210908500
2013-12-17,4150,4215,4140,4200,2284300,9536331500
2013-12-16,4260,4270,4140,4150,3089500,12956012500
2013-12-13,4120,4260,4040,4215,9814500,40993374500
2013-12-12,4340,4400,4170,4180,13206300,56253613500
2013-12-11,5170,5190,5120,5170,947800,4886685000
2013-12-10,5230,5270,5200,5250,1109700,5817656000
2013-12-09,5250,5250,5190,5220,1044100,5446283000
2013-12-06,5010,5170,5000,5130,1449200,7374432000
2013-12-05,5140,5160,5040,5050,1388700,7074288000
2013-12-04,5220,5250,5120,5160,1696300,8788130000
2013-12-03,5360,5370,5290,5330,1105600,5894616000
2013-12-02,5270,5340,5260,5320,1093800,5798972000
2013-11-29,5270,5290,5180,5210,1510500,7889882000
2013-11-28,5340,5340,5220,5280,1688800,8906676000
2013-11-27,5320,5340,5280,5310,1033900,5483582000
2013-11-26,5300,5370,5290,5340,981200,5229691000
2013-11-25,5440,5440,5370,5400,1158800,6259880000
2013-11-22,5460,5460,5390,5410,1545700,8384262000
2013-11-21,5380,5440,5350,5420,1257500,6794910000
2013-11-20,5360,5390,5310,5320,893300,4772687000
2013-11-19,5310,5340,5270,5310,817100,4335647000
2013-11-18,5400,5410,5320,5340,1244600,6662621000
2013-11-15,5360,5400,5330,5370,1803400,9688055000
2013-11-14,5280,5380,5260,5340,1859200,9916594000
2013-11-13,5300,5340,5200,5230,1612800,8486486000
2013-11-12,5220,5350,5200,5350,1802000,9548262000
2013-11-11,5220,5220,5150,5170,928900,4813597000
2013-11-08,5070,5180,5050,5140,1517500,7778236000
2013-11-07,5240,5250,5070,5110,1470600,7545862000
2013-11-06,5020,5280,5010,5230,2140800,11139770000
2013-11-05,5030,5110,4975,5030,1835600,9217545500
2013-11-01,5090,5110,4930,5020,3093700,15476830500
2013-10-31,5180,5240,5120,5130,1402900,7272186000
2013-10-30,5160,5210,5140,5180,1560300,8072173000
2013-10-29,5160,5190,5100,5110,2078100,10684246000
2013-10-28,5190,5240,5140,5180,1639000,8493854000
2013-10-25,5240,5250,5140,5140,2361700,12261590000
2013-10-24,5290,5340,5160,5230,3686400,19288788000
2013-10-23,5500,5510,5300,5300,5529200,29815939000
2013-10-22,5790,5790,5720,5730,1032100,5939454000
2013-10-21,5700,5740,5670,5720,929600,5302451000
2013-10-18,5720,5720,5610,5640,1089900,6156910000
2013-10-17,5750,5790,5650,5700,1768500,10109212000
2013-10-16,5620,5690,5610,5660,1382900,7818390000
2013-10-15,5630,5660,5560,5610,1637000,9166434000
2013-10-11,5530,5640,5500,5530,3826600,21265213000
2013-10-10,5700,5710,5470,5500,3845000,21233165000
2013-10-09,5670,5720,5580,5670,2326700,13170324000
2013-10-08,5680,5820,5670,5690,2423400,13843323000
2013-10-07,5890,5900,5680,5740,3468000,19939504000
2013-10-04,6010,6010,5910,5920,2800400,16676275000
2013-10-03,6090,6170,6000,6130,2640300,16112143000
2013-10-02,6270,6370,6060,6080,2966100,18286317000
2013-10-01,6350,6440,6260,6300,2857200,18120651000
2013-09-30,6500,6520,6390,6390,3669000,23677009000
2013-09-27,6570,6640,6490,6600,3483000,22827639000
2013-09-26,6790,6810,6550,6710,11378700,76004174000
2013-09-25,6580,7540,6440,7540,22962600,158066651000
2013-09-24,6410,6580,6410,6540,5422500,35350165000
2013-09-20,6370,6430,6320,6400,2478200,15826894000
2013-09-19,6250,6370,6230,6370,2788800,17588838000
2013-09-18,6080,6230,6010,6180,2657200,16333243000
2013-09-17,5960,6060,5850,6010,2546900,15113063000
2013-09-13,5980,6020,5840,5940,5011100,29649632000
2013-09-12,6150,6180,6010,6080,3569900,21773016000
2013-09-11,6330,6350,6240,6250,2286700,14354844000
2013-09-10,6210,6410,6210,6320,3298800,20836724000
2013-09-09,6320,6430,6190,6240,5289400,33225693000
2013-09-06,5740,5770,5660,5690,1038400,5939327000
2013-09-05,5710,5740,5630,5690,1043600,5934637000
2013-09-04,5460,5700,5450,5700,1922500,10771976000
2013-09-03,5380,5480,5370,5460,970000,5271113000
2013-09-02,5250,5340,5240,5290,673600,3561485000
2013-08-30,5350,5380,5200,5240,1119200,5892419000
2013-08-29,5420,5530,5290,5340,1206700,6487710000
2013-08-28,5330,5450,5300,5420,821400,4426250000
2013-08-27,5450,5650,5440,5490,1521100,8444454000
2013-08-26,5400,5450,5350,5440,874300,4723208000
2013-08-23,5410,5440,5350,5400,1429500,7716548000
2013-08-22,5190,5260,5150,5160,1275400,6631644000
2013-08-21,5220,5260,5140,5180,1217800,6339876000
2013-08-20,5400,5410,5190,5190,1698700,8927077000
2013-08-19,5420,5490,5370,5480,755300,4101962000
2013-08-16,5420,5470,5340,5420,1456000,7883326000
2013-08-15,5540,5640,5480,5510,1180200,6532532000
2013-08-14,5680,5690,5540,5600,807300,4514074000
2013-08-13,5550,5660,5480,5610,1180100,6574342000
2013-08-12,5450,5530,5430,5480,560500,3071115000
2013-08-09,5600,5620,5470,5520,998900,5526068000
2013-08-08,5620,5650,5510,5520,1066600,5961853000
2013-08-07,5710,5750,5620,5630,845300,4805195000
2013-08-06,5830,5860,5750,5860,673000,3913617000
2013-08-05,5880,5950,5830,5880,1113600,6553884000
2013-08-02,5910,5990,5860,5990,1174000,6965136000
2013-08-01,5630,5880,5540,5810,1702300,9807249000
2013-07-31,5600,5610,5520,5530,1039900,5770147000
2013-07-30,5570,5650,5460,5590,1449000,8058224000
2013-07-29,5630,5670,5550,5550,1282700,7182097000
2013-07-26,5780,5830,5660,5690,1667900,9561557000
2013-07-25,5900,6010,5880,5950,1023100,6086692000
2013-07-24,5800,5900,5800,5870,1139800,6667673000
2013-07-23,5870,5880,5800,5850,1108500,6477426000
2013-07-22,6030,6050,5880,5890,1272900,7551676000
2013-07-19,6060,6080,5870,5960,2137700,12741878000
2013-07-18,6000,6070,5980,6020,1239200,7457425000
2013-07-17,5910,5990,5890,5960,1322000,7853735000
2013-07-16,6100,6130,5960,5990,1364200,8222878000
2013-07-12,6160,6180,6100,6130,1214200,7451474000
2013-07-11,6180,6300,6140,6200,1764200,10937720000
2013-07-10,6190,6300,6190,6250,993800,6206389000
2013-07-09,6310,6320,6100,6280,1930600,12045133000
2013-07-08,6590,6590,6440,6440,840700,5474384000
2013-07-05,6540,6590,6530,6590,833700,5474183000
2013-07-04,6460,6520,6400,6500,921800,5981140000
2013-07-03,6470,6500,6400,6450,1081000,6970071000
2013-07-02,6420,6420,6300,6380,1338700,8505696000
2013-07-01,6460,6460,6280,6420,902300,5745711000
2013-06-28,6460,6470,6260,6380,1490200,9478025000
2013-06-27,6050,6410,6000,6410,3132200,19560519000
2013-06-26,6070,6090,5870,5950,841400,5006534000
2013-06-25,6120,6120,5890,5990,1511600,9062173000
2013-06-24,6160,6200,6040,6090,646500,3941687000
2013-06-21,5800,6100,5790,6100,1849700,11081467000
