7014-T,東証1部,名村造,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,929,965,924,962,1042900,991004900
2014-06-26,921,929,909,924,341900,314149800
2014-06-25,907,932,906,921,622600,573721100
2014-06-24,892,906,884,905,423600,380337800
2014-06-23,876,893,874,891,409200,362249800
2014-06-20,884,884,866,874,248700,217793200
2014-06-19,882,884,872,879,244600,214809400
2014-06-18,876,888,870,881,148100,129768000
2014-06-17,881,883,868,874,266500,233123900
2014-06-16,884,890,877,880,335700,296715900
2014-06-13,853,883,851,880,360600,313796100
2014-06-12,873,873,857,861,319900,275754300
2014-06-11,891,891,856,874,397600,345450800
2014-06-10,903,910,880,883,447800,399345600
2014-06-09,884,903,877,897,505700,450552000
2014-06-06,861,874,850,869,346600,299626300
2014-06-05,874,874,842,851,426800,365894200
2014-06-04,862,878,860,871,697900,605330400
2014-06-03,851,872,846,861,555400,478171600
2014-06-02,835,848,823,846,527300,441390600
2014-05-30,831,838,812,825,703200,578704100
2014-05-29,847,850,828,835,598300,500050800
2014-05-28,854,863,840,854,629800,538410200
2014-05-27,900,901,849,855,1072700,929747000
2014-05-26,911,924,890,898,1326800,1199689100
2014-05-23,879,894,876,881,246500,218315100
2014-05-22,839,877,839,867,357300,306517700
2014-05-21,841,846,812,825,454700,375878200
2014-05-20,861,868,853,863,233400,201075500
2014-05-19,875,880,851,855,276500,239101300
2014-05-16,897,913,862,881,445000,393476700
2014-05-15,880,934,871,929,824100,753514400
2014-05-14,901,907,876,882,319300,284156200
2014-05-13,868,903,861,892,554700,490754200
2014-05-12,812,895,810,868,1616100,1389175000
2014-05-09,875,904,874,902,786000,702491700
2014-05-08,909,915,874,893,1092600,977068400
2014-05-07,938,948,883,922,2902300,2652733100
2014-05-02,833,850,823,848,489800,411678600
2014-05-01,780,831,775,829,595100,482336700
2014-04-30,800,810,763,768,687600,535245500
2014-04-28,815,820,795,803,736700,591569100
2014-04-25,804,846,801,823,523600,432796400
2014-04-24,814,822,799,804,223800,181070900
2014-04-23,800,824,798,815,285300,231826100
2014-04-22,814,820,790,791,294600,236482500
2014-04-21,834,838,810,814,222800,183263100
2014-04-18,831,838,823,834,198400,164826300
2014-04-17,848,850,812,823,366500,303688300
2014-04-16,798,834,794,833,435300,357950100
2014-04-15,818,828,783,787,483400,386551400
2014-04-14,816,834,804,804,330500,270112400
2014-04-11,778,824,757,819,663400,531387000
2014-04-10,828,864,803,810,469800,389230700
2014-04-09,800,823,798,803,916300,739196900
2014-04-08,834,846,818,820,554300,459909800
2014-04-07,850,856,831,843,685100,577582600
2014-04-04,910,914,871,879,681100,602366400
2014-04-03,925,937,914,915,449100,414588700
2014-04-02,905,931,905,917,511500,472482400
2014-04-01,964,968,893,901,992100,913758300
2014-03-31,939,965,928,964,786400,745642100
2014-03-28,865,909,865,909,566700,506475100
2014-03-27,836,865,831,863,393500,333993200
2014-03-26,834,860,815,853,603100,508010500
2014-03-25,821,866,806,833,697500,582112600
2014-03-24,777,845,776,830,1183600,966735800
2014-03-20,846,849,775,775,1001400,801013500
2014-03-19,840,875,820,856,794900,671556900
2014-03-18,872,891,842,846,964200,827703600
2014-03-17,890,892,841,847,850900,729408100
2014-03-14,920,930,895,899,783800,711752100
2014-03-13,977,993,962,963,240600,233663600
2014-03-12,997,1004,982,984,294900,292255200
2014-03-11,1018,1027,1001,1008,264500,267866800
2014-03-10,1035,1043,1010,1011,284200,290485100
2014-03-07,1025,1040,1015,1035,296000,305076400
2014-03-06,994,1017,993,1012,476900,480212900
2014-03-05,1028,1047,990,993,476400,485055600
