7247-T,東証2部,ミクニ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,412,412,406,407,11000,4487000
2014-06-26,411,413,407,413,17000,6986000
2014-06-25,409,412,405,412,23000,9396000
2014-06-24,405,413,405,409,27000,11066000
2014-06-23,406,410,404,405,37000,15107000
2014-06-20,408,408,405,405,6000,2445000
2014-06-19,409,410,403,408,31000,12599000
2014-06-18,392,410,392,409,56000,22543000
2014-06-17,392,392,389,392,9000,3520000
2014-06-16,392,395,392,392,33000,12948000
2014-06-13,384,391,384,391,14000,5425000
2014-06-12,397,397,383,390,28000,10818000
2014-06-11,385,397,384,397,29000,11339000
2014-06-10,387,388,385,385,26000,10040000
2014-06-09,385,387,383,384,18000,6928000
2014-06-06,380,381,377,380,13000,4927000
2014-06-05,381,384,379,384,14000,5350000
2014-06-04,378,385,376,384,33000,12613000
2014-06-03,379,382,379,381,14000,5318000
2014-06-02,376,385,376,378,22000,8395000
2014-05-30,377,377,376,376,9000,3389000
2014-05-29,382,382,378,378,5000,1899000
2014-05-28,384,388,380,382,7000,2681000
2014-05-27,388,389,384,388,24000,9295000
2014-05-26,381,386,378,386,25000,9606000
2014-05-23,379,385,376,382,62000,23669000
2014-05-22,359,382,356,380,88000,33009000
2014-05-21,360,360,348,360,70000,24858000
2014-05-20,367,367,363,366,18000,6598000
2014-05-19,373,373,363,369,22000,8094000
2014-05-16,366,377,364,373,35000,12925000
2014-05-15,363,369,356,369,71000,25879000
2014-05-14,372,380,371,378,32000,11999000
2014-05-13,372,379,370,370,41000,15297000
2014-05-12,383,383,365,371,35000,13052000
2014-05-09,376,380,375,380,15000,5662000
2014-05-08,381,384,374,375,19000,7198000
2014-05-07,382,382,380,380,9000,3426000
2014-05-02,385,385,382,382,21000,8026000
2014-05-01,382,385,382,385,19000,7288000
2014-04-30,385,386,382,382,26000,9996000
2014-04-28,384,385,381,385,20000,7676000
2014-04-25,386,387,383,384,24000,9244000
2014-04-24,386,386,384,386,13000,5007000
2014-04-23,386,387,383,386,11000,4235000
2014-04-22,388,388,385,386,11000,4253000
2014-04-21,387,390,387,388,14000,5428000
2014-04-18,386,387,384,387,12000,4628000
2014-04-17,394,394,380,386,39000,15080000
2014-04-16,381,387,380,386,60000,22988000
2014-04-15,382,388,380,380,32000,12271000
2014-04-14,378,383,378,381,19000,7205000
2014-04-11,385,385,377,380,59000,22460000
2014-04-10,397,401,390,391,20000,7903000
2014-04-09,402,402,390,390,80000,31505000
2014-04-08,408,408,404,404,31000,12580000
2014-04-07,411,414,408,413,17000,7008000
2014-04-04,413,416,410,415,33000,13668000
2014-04-03,418,418,412,413,26000,10786000
2014-04-02,411,417,408,414,96000,39641000
2014-04-01,410,410,408,410,16000,6546000
2014-03-31,409,410,404,408,26000,10616000
2014-03-28,401,409,401,407,18000,7271000
2014-03-27,410,410,398,408,36000,14537000
2014-03-26,412,415,406,413,35000,14422000
2014-03-25,412,413,408,413,44000,18064000
2014-03-24,400,413,400,410,74000,30184000
2014-03-20,410,411,395,397,93000,37608000
2014-03-19,410,410,396,407,75000,30289000
2014-03-18,409,412,405,410,36000,14713000
2014-03-17,407,412,403,403,63000,25610000
2014-03-14,396,407,396,404,110000,44145000
2014-03-13,410,413,405,412,42000,17144000
2014-03-12,414,414,400,407,83000,33592000
2014-03-11,419,420,412,413,27000,11227000
2014-03-10,420,422,416,419,35000,14663000
2014-03-07,416,422,416,421,46000,19286000
2014-03-06,415,416,412,413,22000,9117000
2014-03-05,410,415,409,415,42000,17322000
2014-03-04,395,404,386,403,103000,40941000
2014-03-03,402,402,385,396,146000,57075000
2014-02-28,413,415,406,408,76000,31135000
2014-02-27,417,417,411,414,30000,12423000
2014-02-26,419,419,415,417,25000,10421000
2014-02-25,415,423,411,417,81000,33807000
2014-02-24,410,413,405,409,26000,10639000
2014-02-21,407,412,400,408,87000,35338000
2014-02-20,417,419,401,407,69000,28314000
2014-02-19,419,420,415,419,53000,22127000
2014-02-18,428,435,407,418,214000,89111000
2014-02-17,429,429,416,426,169000,71625000
2014-02-14,427,438,417,421,234000,99567000
2014-02-13,428,428,420,427,128000,54327000
2014-02-12,413,428,412,428,246000,103724000
2014-02-10,401,406,394,406,65000,26153000
2014-02-07,390,397,387,394,27000,10576000
2014-02-06,375,380,373,374,23000,8674000
2014-02-05,375,376,366,370,33000,12252000
2014-02-04,366,376,364,367,112000,41359000
2014-02-03,392,392,383,390,64000,24836000
2014-01-31,404,406,392,400,109000,43484000
2014-01-30,419,419,400,401,99000,39910000
2014-01-29,419,425,419,422,39000,16447000
2014-01-28,401,418,398,417,74000,30007000
2014-01-27,402,402,397,401,84000,33630000
2014-01-24,411,413,410,413,34000,14006000
2014-01-23,429,429,412,417,113000,47355000
2014-01-22,429,430,423,425,52000,22208000
2014-01-21,429,434,428,429,101000,43503000
2014-01-20,428,430,424,427,56000,23903000
2014-01-17,422,428,420,428,66000,28078000
2014-01-16,425,427,422,426,73000,30963000
2014-01-15,418,423,414,422,98000,40945000
2014-01-14,412,416,398,414,120000,48810000
2014-01-10,428,429,421,422,44000,18673000
2014-01-09,421,430,420,426,125000,52867000
2014-01-08,414,422,413,422,77000,32119000
2014-01-07,413,415,410,414,50000,20637000
2014-01-06,401,418,400,417,231000,94553000
2013-12-30,393,401,389,400,222000,87846000
2013-12-27,380,387,378,386,106000,40622000
2013-12-26,363,384,362,384,126000,47105000
2013-12-25,352,360,351,359,157000,55736000
2013-12-24,359,359,351,352,119000,42442000
2013-12-20,361,361,355,358,61000,21861000
2013-12-19,365,366,359,361,175000,63558000
2013-12-18,360,363,355,362,220000,79019000
2013-12-17,366,367,359,360,182000,66341000
2013-12-16,371,371,366,369,69000,25502000
2013-12-13,367,370,362,370,43000,15743000
2013-12-12,368,373,366,368,38000,14030000
2013-12-11,369,372,367,372,52000,19165000
2013-12-10,369,372,365,372,105000,38770000
2013-12-09,370,373,370,373,90000,33354000
2013-12-06,363,368,361,365,40000,14561000
2013-12-05,369,372,365,365,109000,40089000
2013-12-04,375,376,369,369,144000,53738000
2013-12-03,392,393,383,383,73000,28286000
2013-12-02,385,393,384,389,149000,57834000
2013-11-29,377,388,375,385,120000,45758000
2013-11-28,373,376,372,375,79000,29559000
2013-11-27,373,373,370,370,74000,27531000
2013-11-26,372,373,366,369,49000,18062000
2013-11-25,371,373,367,372,58000,21504000
2013-11-22,367,371,365,367,93000,34297000
2013-11-21,361,367,361,363,90000,32579000
2013-11-20,364,364,360,361,40000,14468000
2013-11-19,363,367,358,361,86000,31125000
2013-11-18,374,375,364,366,107000,39535000
2013-11-15,375,377,364,365,323000,119800000
2013-11-14,363,372,359,370,184000,67572000
2013-11-13,360,361,350,359,93000,33065000
2013-11-12,366,366,356,360,99000,35714000
2013-11-11,339,369,339,366,267000,95007000
2013-11-08,331,338,331,336,58000,19435000
2013-11-07,334,337,332,333,67000,22412000
2013-11-06,339,340,330,334,132000,44387000
2013-11-05,310,358,309,341,264000,87939000
2013-11-01,313,313,308,308,26000,8086000
2013-10-31,314,314,311,311,20000,6234000
2013-10-30,314,321,314,315,51000,16157000
2013-10-29,312,313,311,313,12000,3743000
2013-10-28,315,315,308,311,51000,15808000
2013-10-25,316,317,313,313,59000,18591000
2013-10-24,320,320,315,319,17000,5384000
2013-10-23,322,322,316,318,69000,21959000
2013-10-22,323,323,320,320,27000,8697000
2013-10-21,318,319,317,318,19000,6041000
2013-10-18,318,320,318,318,18000,5736000
2013-10-17,322,324,316,320,34000,10915000
2013-10-16,320,320,319,320,26000,8307000
2013-10-15,321,322,318,322,18000,5755000
2013-10-11,320,320,318,320,20000,6385000
2013-10-10,315,315,315,315,11000,3465000
2013-10-09,309,315,308,315,28000,8722000
2013-10-08,310,313,310,312,17000,5300000
2013-10-07,318,318,310,318,14000,4391000
2013-10-04,311,319,311,318,45000,14265000
2013-10-03,315,319,315,319,4000,1264000
2013-10-02,318,319,313,315,28000,8834000
2013-10-01,314,326,314,320,72000,23057000
2013-09-30,321,321,313,320,56000,17778000
2013-09-27,317,327,317,327,45000,14552000
2013-09-26,312,322,312,316,31000,9743000
2013-09-25,321,322,316,316,59000,18822000
2013-09-24,318,324,316,324,32000,10211000
2013-09-20,324,324,317,318,34000,10895000
2013-09-19,308,329,308,323,127000,40342000
2013-09-18,309,310,305,306,70000,21554000
2013-09-17,309,310,305,308,55000,16950000
