7272-T,東証1部,ヤマハ発,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1720,1722,1686,1696,1616100,2750970500
2014-06-26,1713,1718,1696,1698,927000,1579188300
2014-06-25,1717,1730,1709,1714,894000,1536007700
2014-06-24,1725,1730,1691,1720,1664200,2845204000
2014-06-23,1766,1766,1732,1734,1185100,2063803100
2014-06-20,1779,1783,1743,1748,1528300,2683317500
2014-06-19,1736,1770,1732,1765,1976900,3478003100
2014-06-18,1695,1721,1690,1719,1596800,2727910300
2014-06-17,1694,1699,1675,1684,1515400,2549447300
2014-06-16,1705,1707,1683,1694,944800,1600511000
2014-06-13,1707,1713,1680,1707,2108200,3587685700
2014-06-12,1712,1719,1693,1706,1224500,2086790800
2014-06-11,1718,1735,1714,1721,1925200,3314121500
2014-06-10,1720,1725,1694,1710,2362100,4039178600
2014-06-09,1721,1735,1697,1700,1859700,3176287100
2014-06-06,1684,1704,1675,1683,1908700,3223815300
2014-06-05,1678,1682,1656,1665,1343500,2242824100
2014-06-04,1650,1678,1648,1659,1948200,3234964800
2014-06-03,1634,1647,1622,1639,1390900,2282119600
2014-06-02,1612,1631,1610,1612,1526300,2471062000
2014-05-30,1625,1628,1597,1600,2310400,3710237800
2014-05-29,1625,1650,1625,1636,1353000,2219087200
2014-05-28,1598,1630,1592,1623,1779000,2879601600
2014-05-27,1590,1614,1587,1591,1464200,2346820300
2014-05-26,1580,1585,1569,1585,1546300,2439876600
2014-05-23,1547,1573,1541,1555,2229200,3467009300
2014-05-22,1536,1565,1532,1548,1905900,2954258500
2014-05-21,1518,1536,1506,1522,2184000,3312111700
2014-05-20,1562,1565,1532,1533,2569500,3966883300
2014-05-19,1604,1609,1561,1567,1224500,1930742500
2014-05-16,1640,1640,1592,1610,1836800,2959351900
2014-05-15,1635,1659,1631,1655,2505800,4132303800
2014-05-14,1620,1664,1617,1664,2017200,3319424100
2014-05-13,1608,1629,1582,1595,1683100,2694814300
2014-05-12,1587,1598,1552,1558,1628600,2547848400
2014-05-09,1580,1617,1572,1598,1089600,1744643100
2014-05-08,1590,1605,1585,1590,1130600,1801265300
2014-05-07,1637,1637,1576,1589,2354600,3752864900
2014-05-02,1592,1645,1592,1642,1476100,2399139700
2014-05-01,1569,1602,1567,1602,1638100,2604652700
2014-04-30,1631,1633,1573,1577,2052900,3262756700
2014-04-28,1619,1629,1604,1625,1065700,1724458900
2014-04-25,1629,1652,1617,1643,1236500,2027357900
2014-04-24,1632,1641,1615,1625,918500,1493672600
2014-04-23,1629,1655,1628,1634,1146400,1876749000
2014-04-22,1649,1650,1623,1624,1418000,2317706000
2014-04-21,1672,1692,1645,1651,1313600,2186801700
2014-04-18,1659,1680,1651,1672,1358900,2269014200
2014-04-17,1660,1685,1643,1645,1728400,2867749800
2014-04-16,1635,1648,1621,1647,2807100,4600171700
2014-04-15,1617,1626,1603,1608,1493400,2408354000
2014-04-14,1605,1638,1595,1597,1594600,2572587000
2014-04-11,1580,1611,1572,1605,2569300,4102339900
2014-04-10,1620,1677,1596,1606,3522600,5749632700
2014-04-09,1578,1582,1563,1572,2059600,3240955500
2014-04-08,1634,1637,1592,1602,2326600,3746005700
2014-04-07,1635,1651,1621,1634,1322200,2164412500
2014-04-04,1650,1657,1638,1650,2055400,3389265500
2014-04-03,1630,1665,1612,1651,2868600,4715823300
2014-04-02,1632,1644,1610,1610,2124000,3450539500
2014-04-01,1630,1632,1593,1614,2638800,4247279300
2014-03-31,1616,1655,1615,1645,2338400,3839430400
2014-03-28,1590,1594,1557,1594,1943300,3068561400
2014-03-27,1609,1610,1559,1588,3279800,5179202800
2014-03-26,1582,1610,1575,1599,3230400,5157964700
2014-03-25,1562,1580,1546,1554,3289400,5153644700
2014-03-24,1532,1576,1522,1554,4664700,7249357900
2014-03-20,1525,1553,1520,1521,3838300,5885938500
2014-03-19,1516,1537,1508,1514,2674600,4073811700
2014-03-18,1488,1513,1476,1501,2617600,3917060900
2014-03-17,1463,1479,1445,1455,1756800,2566417800
2014-03-14,1501,1507,1475,1480,1885700,2814540300
2014-03-13,1543,1558,1536,1549,2105300,3258162900
2014-03-12,1548,1559,1536,1550,2072500,3215859600
2014-03-11,1550,1558,1537,1554,1610100,2497375200
2014-03-10,1567,1580,1550,1554,2559500,4004078500
2014-03-07,1549,1572,1540,1567,4030200,6285782200
2014-03-06,1520,1535,1515,1530,3327100,5085123200
2014-03-05,1526,1538,1505,1509,3084900,4686454300
2014-03-04,1455,1483,1447,1477,1382000,2036599200
2014-03-03,1460,1478,1442,1476,1745400,2553996000
2014-02-28,1493,1495,1459,1472,1671400,2459085700
2014-02-27,1505,1506,1466,1482,2559100,3798471600
2014-02-26,1489,1519,1482,1506,1723200,2587808600
2014-02-25,1540,1545,1517,1534,1473500,2255551900
2014-02-24,1550,1550,1494,1524,3022600,4609175900
2014-02-21,1500,1531,1486,1526,2925300,4431082800
2014-02-20,1518,1524,1475,1482,3588200,5381901200
2014-02-19,1472,1503,1454,1500,3299400,4891787400
2014-02-18,1420,1491,1420,1483,4409700,6444642100
2014-02-17,1385,1399,1359,1389,1213600,1678050200
2014-02-14,1407,1414,1351,1377,2803200,3875600200
2014-02-13,1437,1461,1397,1403,3928800,5605171500
2014-02-12,1370,1442,1349,1409,4173100,5826032400
2014-02-10,1340,1343,1316,1334,1585500,2109385500
2014-02-07,1318,1338,1307,1319,1607700,2117923300
2014-02-06,1300,1306,1278,1288,1843900,2382140700
2014-02-05,1307,1314,1267,1281,2471200,3184774900
2014-02-04,1287,1300,1265,1280,3153600,4046687100
2014-02-03,1350,1374,1330,1335,2322000,3125286300
2014-01-31,1403,1418,1362,1375,2142600,2954641600
2014-01-30,1375,1385,1368,1377,1818900,2499370100
2014-01-29,1401,1416,1386,1413,2684100,3754908000
2014-01-28,1393,1408,1383,1383,2629200,3660095200
2014-01-27,1415,1425,1396,1398,3303400,4649659200
2014-01-24,1450,1487,1450,1459,2379500,3484009700
2014-01-23,1510,1516,1484,1487,2451000,3663838600
2014-01-22,1525,1535,1513,1529,1222700,1865571500
2014-01-21,1530,1552,1525,1536,1782300,2743814200
2014-01-20,1520,1525,1514,1524,1054300,1603935500
2014-01-17,1515,1520,1497,1503,2439200,3671514400
2014-01-16,1550,1559,1533,1537,958000,1481070300
2014-01-15,1525,1539,1512,1532,1256100,1917867900
2014-01-14,1518,1519,1499,1510,2229000,3362596700
2014-01-10,1555,1560,1535,1558,1068900,1655590500
2014-01-09,1548,1570,1543,1553,1180500,1834741500
2014-01-08,1546,1549,1523,1547,1248400,1919760000
2014-01-07,1548,1571,1537,1539,1541200,2388443800
2014-01-06,1564,1583,1544,1551,1553800,2421524500
2013-12-30,1585,1587,1573,1577,1130800,1782930600
2013-12-27,1582,1587,1557,1572,990000,1552522000
2013-12-26,1560,1588,1555,1578,736200,1161447400
2013-12-25,1557,1560,1544,1556,644300,999552100
2013-12-24,1560,1575,1550,1556,1136000,1773283000
2013-12-20,1560,1566,1546,1557,1550500,2410729700
2013-12-19,1560,1583,1553,1558,1576200,2463836800
2013-12-18,1538,1541,1526,1536,2015300,3093163600
2013-12-17,1549,1550,1525,1541,1593700,2449521600
2013-12-16,1550,1552,1518,1527,1573500,2406880700
2013-12-13,1579,1587,1562,1566,2064500,3252845600
2013-12-12,1566,1573,1552,1560,1327800,2072594100
2013-12-11,1580,1592,1570,1588,1129600,1787822700
2013-12-10,1606,1616,1592,1593,946400,1514561100
2013-12-09,1615,1620,1598,1604,1324700,2131528000
2013-12-06,1561,1582,1558,1580,1377600,2167975600
2013-12-05,1564,1580,1550,1557,1458600,2278096500
2013-12-04,1583,1589,1569,1573,1220700,1924941700
2013-12-03,1627,1628,1606,1610,1190400,1921872100
2013-12-02,1638,1659,1612,1623,1573500,2573876300
2013-11-29,1620,1638,1597,1634,2352200,3807586100
2013-11-28,1585,1609,1584,1607,1520100,2428002200
2013-11-27,1575,1595,1571,1578,765100,1210534400
2013-11-26,1582,1600,1574,1590,1395600,2216913700
2013-11-25,1559,1600,1554,1598,1524100,2413289200
2013-11-22,1565,1580,1545,1551,1706800,2661557000
2013-11-21,1545,1569,1536,1546,1671300,2589314100
2013-11-20,1539,1553,1529,1534,1085300,1667828000
2013-11-19,1581,1588,1538,1550,2216600,3450795200
2013-11-18,1581,1597,1569,1586,2472900,3923346500
2013-11-15,1536,1572,1530,1562,1985200,3091188400
2013-11-14,1495,1523,1483,1517,1723900,2606430100
2013-11-13,1490,1500,1471,1478,1334600,1977846600
2013-11-12,1471,1499,1465,1496,1195300,1779595800
2013-11-11,1465,1482,1459,1462,1068800,1570071000
2013-11-08,1398,1475,1397,1453,2402500,3488033200
