7287-T,東証2部,日精機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1921,1954,1919,1927,56000,108420000
2014-06-26,1929,1938,1920,1921,30000,57866000
2014-06-25,1912,1939,1912,1932,45000,86739000
2014-06-24,1925,1959,1923,1940,36000,69719000
2014-06-23,1926,1978,1926,1942,51000,99647000
2014-06-20,1965,1966,1921,1931,165000,320706000
2014-06-19,1920,1968,1920,1960,81000,158411000
2014-06-18,1907,1959,1897,1935,39000,75120000
2014-06-17,1862,1885,1860,1878,24000,44816000
2014-06-16,1900,1972,1851,1862,92000,176667000
2014-06-13,1885,1900,1858,1900,134000,252497000
2014-06-12,1837,1858,1801,1858,132000,243042000
2014-06-11,1838,1845,1820,1837,41000,75237000
2014-06-10,1765,1827,1765,1824,77000,138770000
2014-06-09,1771,1777,1730,1737,82000,143217000
2014-06-06,1789,1795,1763,1771,41000,73028000
2014-06-05,1800,1857,1799,1800,94000,171837000
2014-06-04,1776,1835,1776,1813,51000,92297000
2014-06-03,1791,1814,1761,1763,66000,117846000
2014-06-02,1766,1820,1766,1801,76000,136909000
2014-05-30,1756,1777,1732,1766,71000,124986000
2014-05-29,1735,1760,1735,1756,35000,61185000
2014-05-28,1729,1786,1704,1735,110000,193396000
2014-05-27,1719,1719,1695,1717,42000,71900000
2014-05-26,1677,1723,1677,1720,67000,114438000
2014-05-23,1670,1720,1666,1677,116000,196119000
2014-05-22,1611,1694,1611,1670,185000,308599000
2014-05-21,1596,1604,1585,1601,72000,114862000
2014-05-20,1527,1570,1519,1568,74000,114101000
2014-05-19,1556,1556,1466,1497,158000,238832000
2014-05-16,1550,1582,1531,1575,29000,44935000
2014-05-15,1608,1623,1420,1548,220000,339386000
2014-05-14,1635,1636,1602,1607,45000,73063000
2014-05-13,1650,1680,1583,1656,218000,356005000
2014-05-12,1680,1680,1654,1667,34000,56744000
2014-05-09,1668,1699,1663,1691,45000,75837000
2014-05-08,1761,1800,1701,1702,74000,128794000
2014-05-07,1787,1787,1760,1767,31000,54888000
2014-05-02,1788,1790,1779,1790,36000,64379000
2014-05-01,1785,1790,1772,1787,34000,60756000
2014-04-30,1791,1809,1777,1785,65000,116251000
2014-04-28,1787,1787,1755,1780,34000,60309000
2014-04-25,1788,1796,1776,1787,68000,121627000
2014-04-24,1806,1825,1773,1790,108000,193808000
2014-04-23,1858,1860,1839,1860,130000,240426000
2014-04-22,1850,1883,1771,1822,104000,191706000
2014-04-21,1820,1866,1820,1855,67000,123953000
2014-04-18,1790,1815,1780,1815,46000,82931000
2014-04-17,1730,1799,1730,1798,73000,130106000
2014-04-16,1677,1739,1677,1730,36000,61863000
2014-04-15,1665,1689,1665,1677,56000,93746000
2014-04-14,1675,1675,1637,1649,83000,137498000
2014-04-11,1705,1705,1651,1653,75000,125378000
2014-04-10,1712,1744,1689,1713,43000,73482000
2014-04-09,1724,1724,1699,1705,107000,182976000
2014-04-08,1726,1758,1726,1749,20000,34939000
2014-04-07,1795,1795,1762,1766,27000,48231000
2014-04-04,1806,1806,1783,1795,41000,73442000
2014-04-03,1800,1836,1800,1806,45000,81701000
2014-04-02,1791,1810,1736,1793,76000,135965000
2014-04-01,1797,1802,1739,1776,107000,189727000
2014-03-31,1745,1763,1719,1762,85000,148002000
2014-03-28,1680,1718,1650,1718,162000,271422000
2014-03-27,1690,1698,1645,1697,107000,179825000
2014-03-26,1632,1679,1632,1677,55000,91059000
2014-03-25,1660,1673,1632,1651,116000,191395000
2014-03-24,1729,1731,1660,1660,134000,226569000
2014-03-20,1754,1754,1670,1708,318000,542818000
2014-03-19,1763,1798,1735,1754,145000,256058000
2014-03-18,1790,1793,1752,1776,116000,205890000
2014-03-17,1866,1874,1790,1794,115000,210532000
2014-03-14,1925,1925,1862,1867,187000,352012000
2014-03-13,1881,1935,1880,1925,124000,237679000
2014-03-12,1800,1894,1800,1888,148000,275205000
2014-03-11,1800,1848,1786,1848,61000,110456000
2014-03-10,1783,1800,1780,1800,43000,76928000
2014-03-07,1802,1810,1780,1799,92000,165446000
2014-03-06,1780,1809,1780,1803,52000,93595000
2014-03-05,1782,1800,1781,1794,43000,76920000
2014-03-04,1781,1790,1755,1781,38000,67457000
2014-03-03,1798,1798,1765,1782,141000,250773000
2014-02-28,1754,1820,1754,1814,118000,212170000
2014-02-27,1800,1800,1741,1741,136000,239664000
2014-02-26,1806,1813,1778,1813,53000,95521000
2014-02-25,1809,1810,1792,1809,52000,93619000
2014-02-24,1767,1815,1767,1810,98000,176905000
2014-02-21,1756,1804,1756,1800,82000,146313000
