7413-T,JQスタンダード,創健社,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,147,147,140,143,14000,1983000
2014-06-26,150,154,139,149,34000,5038000
2014-06-25,131,170,131,149,291000,45733000
2014-06-24,124,126,124,126,5000,625000
2014-06-23,123,123,123,123,1000,123000
2014-06-20,122,123,122,123,6000,734000
2014-06-19,124,124,121,122,14000,1716000
2014-06-18,120,120,120,120,2000,240000
2014-06-17,124,124,124,124,2000,248000
2014-06-16,123,125,120,125,3000,368000
2014-06-13,-,-,-,-,0,0
2014-06-12,124,124,123,123,2000,247000
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,125,125,124,124,2000,249000
2014-06-06,128,128,128,128,2000,256000
2014-06-05,-,-,-,-,0,0
2014-06-04,120,128,120,128,15000,1820000
2014-06-03,123,123,123,123,1000,123000
2014-06-02,125,126,125,126,3000,377000
2014-05-30,127,129,127,128,5000,638000
2014-05-29,125,125,125,125,1000,125000
2014-05-28,129,129,128,128,2000,257000
2014-05-27,123,128,123,126,5000,623000
2014-05-26,126,126,118,118,7000,853000
2014-05-23,120,126,120,126,3000,369000
2014-05-22,117,117,117,117,2000,234000
2014-05-21,122,122,113,114,10000,1165000
2014-05-20,124,124,124,124,1000,124000
2014-05-19,122,122,119,119,5000,601000
2014-05-16,121,126,121,126,2000,247000
2014-05-15,122,122,122,122,2000,244000
2014-05-14,126,126,126,126,2000,252000
2014-05-13,-,-,-,-,0,0
2014-05-12,121,121,121,121,2000,242000
2014-05-09,121,121,121,121,1000,121000
2014-05-08,122,122,122,122,1000,122000
2014-05-07,126,126,126,126,1000,126000
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,130,130,130,130,1000,130000
2014-04-28,130,130,130,130,1000,130000
2014-04-25,125,125,125,125,3000,375000
2014-04-24,129,129,125,125,2000,254000
2014-04-23,127,127,124,124,2000,251000
2014-04-22,-,-,-,-,0,0
2014-04-21,125,129,125,129,3000,379000
2014-04-18,122,127,122,127,2000,249000
2014-04-17,122,122,122,122,1000,122000
2014-04-16,-,-,-,-,0,0
2014-04-15,-,-,-,-,0,0
2014-04-14,-,-,-,-,0,0
2014-04-11,127,127,126,126,2000,253000
2014-04-10,122,127,122,122,3000,371000
2014-04-09,121,121,121,121,1000,121000
2014-04-08,133,133,129,129,3000,392000
2014-04-07,-,-,-,-,0,0
2014-04-04,132,132,132,132,3000,396000
2014-04-03,-,-,-,-,0,0
2014-04-02,124,137,124,137,6000,775000
2014-04-01,129,129,129,129,1000,129000
2014-03-31,133,133,132,132,2000,265000
2014-03-28,133,133,133,133,1000,133000
2014-03-27,128,134,128,134,7000,923000
2014-03-26,140,146,135,143,7000,991000
2014-03-25,143,143,140,140,7000,994000
2014-03-24,139,139,139,139,2000,278000
2014-03-20,137,138,137,138,2000,275000
2014-03-19,135,135,135,135,4000,540000
2014-03-18,135,135,135,135,1000,135000
2014-03-17,135,135,135,135,2000,270000
2014-03-14,138,138,135,135,7000,956000
2014-03-13,138,138,138,138,1000,138000
2014-03-12,138,138,138,138,1000,138000
2014-03-11,140,140,140,140,2000,280000
2014-03-10,-,-,-,-,0,0
2014-03-07,142,142,135,136,7000,968000
2014-03-06,136,136,136,136,1000,136000
2014-03-05,142,142,139,139,4000,565000
2014-03-04,132,132,132,132,1000,132000
2014-03-03,132,132,132,132,1000,132000
2014-02-28,136,136,132,132,8000,1066000
2014-02-27,135,135,134,134,7000,939000
2014-02-26,133,133,133,133,1000,133000
2014-02-25,140,154,131,134,56000,7770000
2014-02-24,139,139,136,136,3000,411000
2014-02-21,136,136,136,136,1000,136000
2014-02-20,137,137,135,135,2000,272000
2014-02-19,-,-,-,-,0,0
2014-02-18,137,137,137,137,1000,137000
2014-02-17,-,-,-,-,0,0
2014-02-14,132,132,132,132,1000,132000
2014-02-13,134,134,134,134,1000,134000
2014-02-12,142,143,137,139,4000,561000
2014-02-10,135,135,135,135,1000,135000
2014-02-07,132,135,132,135,8000,1063000
2014-02-06,135,136,135,136,4000,543000
2014-02-05,126,137,126,136,8000,1057000
2014-02-04,135,135,114,126,21000,2690000
