7420-T,東証1部,佐鳥電機,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,689,693,674,685,42200,28983500
2014-06-26,694,699,685,689,24700,17061900
2014-06-25,700,703,694,694,26700,18627100
2014-06-24,698,702,691,700,46000,32112200
2014-06-23,701,704,696,701,20200,14166800
2014-06-20,698,700,691,698,36800,25647000
2014-06-19,697,702,687,701,76100,53111400
2014-06-18,681,696,681,695,71700,49589400
2014-06-17,679,689,675,683,41100,28064800
2014-06-16,680,680,667,673,49300,33132900
2014-06-13,652,676,650,674,122500,81232600
2014-06-12,649,650,645,649,17100,11076300
2014-06-11,652,653,646,650,23000,14961000
2014-06-10,649,652,643,649,32400,20954600
2014-06-09,644,652,644,649,37900,24555500
2014-06-06,640,645,640,643,22500,14462000
2014-06-05,642,643,638,640,19600,12560900
2014-06-04,645,645,639,642,24100,15462700
2014-06-03,648,648,642,644,23200,14965100
2014-06-02,637,642,637,642,22900,14645900
2014-05-30,636,645,633,637,38800,24743400
2014-05-29,634,638,634,636,114200,72431100
2014-05-28,638,639,633,635,63700,40571000
2014-05-27,645,651,638,638,158200,102015300
2014-05-26,640,650,640,650,50300,32460400
2014-05-23,639,642,638,640,23300,14913300
2014-05-22,632,642,632,639,21700,13799900
2014-05-21,638,638,629,631,48800,30960400
2014-05-20,641,644,639,639,22800,14611400
2014-05-19,644,644,640,640,23500,15089400
2014-05-16,643,645,641,642,34500,22154400
2014-05-15,643,649,642,647,22500,14523200
2014-05-14,645,647,642,647,18000,11603500
2014-05-13,645,650,645,649,19200,12428500
2014-05-12,648,651,640,644,30700,19805800
2014-05-09,645,649,643,644,19600,12654900
2014-05-08,649,650,644,646,15200,9841000
2014-05-07,652,652,641,642,37300,24105500
2014-05-02,655,655,651,654,13200,8615400
2014-05-01,645,656,645,656,31200,20270600
2014-04-30,649,652,645,646,26400,17121800
2014-04-28,648,650,645,649,16900,10949800
2014-04-25,653,656,647,651,27100,17654200
2014-04-24,653,653,647,652,19100,12432400
2014-04-23,648,654,636,648,33500,21714900
2014-04-22,655,655,644,645,19200,12467600
2014-04-21,656,658,644,649,22900,14899700
2014-04-18,660,660,648,654,24100,15768400
2014-04-17,663,666,649,657,45600,30004000
2014-04-16,648,659,636,659,51800,33580100
2014-04-15,656,663,633,636,74700,48369800
2014-04-14,629,664,629,646,122500,79456200
2014-04-11,634,634,626,629,45100,28455600
2014-04-10,653,655,643,644,23500,15274900
2014-04-09,653,653,642,643,35000,22609900
2014-04-08,674,674,637,657,59900,39423800
2014-04-07,669,680,665,674,29400,19824500
2014-04-04,680,682,672,679,70800,48053100
2014-04-03,671,681,665,675,44800,30184900
2014-04-02,679,680,670,673,60500,40946400
