7421-T,東証1部,カッパクリHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1039,1048,1038,1046,101300,105778100
2014-06-26,1029,1038,1029,1034,88900,91846200
2014-06-25,1020,1028,1020,1025,82900,84908400
2014-06-24,1011,1020,1011,1020,77700,78967800
2014-06-23,1008,1010,1006,1008,55400,55890500
2014-06-20,1000,1005,999,1005,61000,61108400
2014-06-19,1000,1000,999,1000,51100,51085300
2014-06-18,999,1000,998,1000,43100,43052700
2014-06-17,996,998,994,998,39700,39573400
2014-06-16,995,997,993,994,26800,26668300
2014-06-13,995,996,993,994,74500,74134700
2014-06-12,990,993,990,993,17700,17546200
2014-06-11,990,993,990,993,29500,29256500
2014-06-10,993,994,988,990,31000,30731000
2014-06-09,995,996,991,992,25200,25044600
2014-06-06,991,995,989,995,52700,52335300
2014-06-05,990,991,985,991,26500,26197900
2014-06-04,989,991,986,989,37000,36597400
2014-06-03,991,991,988,989,35900,35528100
2014-06-02,992,992,988,991,44200,43789700
2014-05-30,990,993,989,990,55000,54506800
2014-05-29,990,990,986,987,40400,39936800
2014-05-28,988,990,984,990,45800,45253700
2014-05-27,986,988,980,983,22400,22030200
2014-05-26,978,986,975,986,44100,43249700
2014-05-23,965,974,965,974,23800,23106900
2014-05-22,954,965,954,964,30400,29171700
2014-05-21,953,954,951,953,32000,30474600
2014-05-20,960,962,956,956,31200,29892700
2014-05-19,963,965,959,961,30200,29053200
2014-05-16,970,971,961,963,46300,44694100
2014-05-15,973,973,970,972,29300,28472700
2014-05-14,976,976,972,974,17500,17044700
2014-05-13,976,980,971,976,26500,25835400
2014-05-12,981,981,975,975,25900,25306700
2014-05-09,980,983,976,981,27200,26643500
2014-05-08,977,982,977,979,32100,31430900
2014-05-07,986,986,976,976,50300,49295300
2014-05-02,987,988,984,988,19900,19623600
2014-05-01,982,990,982,990,33000,32562100
2014-04-30,987,988,984,986,26900,26518300
2014-04-28,988,988,982,986,26800,26392600
2014-04-25,990,990,987,988,47600,47075900
2014-04-24,985,990,985,989,29600,29241400
2014-04-23,988,991,986,986,41900,41439600
2014-04-22,989,989,981,983,26600,26227900
2014-04-21,988,991,984,986,25700,25383900
2014-04-18,981,990,978,990,55000,54207400
2014-04-17,986,989,982,982,33900,33417500
2014-04-16,984,988,982,988,45700,45012500
2014-04-15,983,988,983,984,34200,33679900
2014-04-14,988,992,982,983,38500,38050000
2014-04-11,984,995,980,988,120100,118921500
2014-04-10,984,990,984,989,56400,55678100
2014-04-09,970,992,967,984,128700,126626500
2014-04-08,982,984,973,974,42800,41825300
2014-04-07,981,988,981,982,33200,32686300
2014-04-04,974,988,972,986,63200,62188700
2014-04-03,981,983,973,974,73800,72101600
2014-04-02,990,991,980,980,68700,67764300
2014-04-01,985,991,984,990,62500,61767100
2014-03-31,985,988,979,985,62600,61612800
2014-03-28,981,986,977,986,84600,83128000
2014-03-27,976,984,972,981,85700,83951000
2014-03-26,977,981,973,977,108500,106091900
2014-03-25,968,985,967,972,129700,126757800
2014-03-24,937,972,937,967,163800,157956900
2014-03-20,941,950,935,935,75100,70764400
2014-03-19,941,957,940,941,54500,51606200
2014-03-18,933,958,928,952,123100,116755400
2014-03-17,929,933,923,928,81200,75307600
2014-03-14,927,936,920,928,133900,124252400
2014-03-13,935,935,930,931,44000,40996400
2014-03-12,940,940,930,930,46000,42923000
2014-03-11,944,949,939,940,97400,92012800
2014-03-10,935,943,929,938,78600,73512600
2014-03-07,938,938,930,934,46700,43592900
2014-03-06,932,940,930,937,53200,49780000
2014-03-05,943,945,930,932,85500,80095500
2014-03-04,914,944,912,939,108300,100750500
2014-03-03,926,927,905,916,100100,91680300
2014-02-28,940,943,926,938,127100,118664600
2014-02-27,944,945,938,939,102200,96122800
2014-02-26,950,954,931,944,271100,255689300
2014-02-25,1977,1977,1951,1957,145400,284836700
2014-02-24,1978,1983,1971,1977,100450,198607650
2014-02-21,1979,1983,1970,1977,56200,111048750
2014-02-20,1980,1985,1967,1976,40200,79444900
2014-02-19,1975,1988,1965,1981,35600,70533100
2014-02-18,1971,1982,1963,1980,62450,123328250
2014-02-17,1965,1980,1963,1973,38600,76150450
2014-02-14,1960,1975,1952,1968,69250,135895050
2014-02-13,1970,1978,1950,1956,57200,112158450
2014-02-12,1980,1994,1966,1970,68350,135213400
2014-02-10,1951,1979,1950,1973,69750,137107300
2014-02-07,1936,1939,1916,1931,80350,154709750
2014-02-06,1951,1979,1926,1927,81050,157468350
2014-02-05,1938,1964,1927,1952,61650,119978500
2014-02-04,1950,1956,1905,1915,102150,196970650
2014-02-03,1989,1990,1974,1975,49250,97634250
2014-01-31,1995,2005,1973,1990,63350,126131650
2014-01-30,1991,1995,1978,1992,68700,136537900
2014-01-29,1976,1996,1976,1996,42500,84497600
2014-01-28,1993,1995,1971,1971,49550,98139400
2014-01-27,1982,1999,1966,1979,70550,139920000
2014-01-24,1998,1998,1981,1989,81000,161016050
2014-01-23,2020,2020,2000,2000,43100,86499200
2014-01-22,2027,2031,1998,2021,67350,135669550
2014-01-21,2037,2039,2026,2029,41200,83690600
2014-01-20,2026,2035,2026,2033,35250,71618700
2014-01-17,2011,2028,2005,2024,44300,89487000
2014-01-16,2010,2035,2010,2013,69050,139389850
2014-01-15,1980,2010,1974,2010,76150,152359150
2014-01-14,1980,1980,1961,1964,84450,166433900
2014-01-10,2030,2031,1958,1991,164100,325894800
2014-01-09,2050,2050,2031,2039,53600,109417250
2014-01-08,2023,2050,2019,2050,73250,148966650
2014-01-07,2008,2020,2002,2018,64950,130877800
2014-01-06,1996,2010,1995,2006,92550,185412850
2013-12-30,1980,1994,1979,1992,61050,121361550
2013-12-27,1960,1980,1960,1980,60900,120194950
2013-12-26,1927,1959,1921,1958,80950,157383750
2013-12-25,1917,1926,1916,1920,53650,102995700
2013-12-24,1925,1927,1912,1918,55050,105680950
2013-12-20,1906,1927,1906,1927,48550,93178300
2013-12-19,1940,1940,1910,1915,78100,150382950
2013-12-18,1919,1940,1917,1940,78400,151581950
2013-12-17,1895,1918,1895,1917,75450,143912250
2013-12-16,1893,1900,1893,1900,66550,126312600
2013-12-13,1895,1900,1889,1893,86100,163122300
