7426-T,JQスタンダード,山大,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,379,379,377,377,2000,756000
2014-06-26,375,375,372,373,5000,1867000
2014-06-25,382,382,378,378,2000,760000
2014-06-24,383,383,383,383,1000,383000
2014-06-23,377,377,372,376,7000,2625000
2014-06-20,382,382,370,370,12000,4473000
2014-06-19,382,382,376,376,2000,758000
2014-06-18,372,388,372,382,7000,2670000
2014-06-17,366,368,366,368,2000,734000
2014-06-16,363,365,363,364,6000,2186000
2014-06-13,354,364,352,360,12000,4308000
2014-06-12,360,362,360,362,4000,1444000
2014-06-11,-,-,-,-,0,0
2014-06-10,355,360,355,360,6000,2145000
2014-06-09,-,-,-,-,0,0
2014-06-06,345,345,345,345,2000,690000
2014-06-05,350,350,343,343,6000,2087000
2014-06-04,350,350,350,350,1000,350000
2014-06-03,356,356,356,356,1000,356000
2014-06-02,339,349,339,349,3000,1029000
2014-05-30,343,343,336,338,3000,1017000
2014-05-29,332,340,332,339,6000,2025000
2014-05-28,335,335,330,330,7000,2328000
2014-05-27,-,-,-,-,0,0
2014-05-26,345,345,332,335,9000,3034000
2014-05-23,348,348,341,343,4000,1373000
2014-05-22,350,350,325,340,44000,14784000
2014-05-21,350,350,350,350,1000,350000
2014-05-20,356,356,351,351,2000,707000
2014-05-19,361,361,354,354,4000,1436000
2014-05-16,361,361,361,361,1000,361000
2014-05-15,360,360,360,360,1000,360000
2014-05-14,360,360,360,360,3000,1080000
2014-05-13,360,360,360,360,1000,360000
2014-05-12,358,362,355,355,5000,1798000
2014-05-09,348,350,348,350,4000,1394000
2014-05-08,355,355,352,352,5000,1772000
2014-05-07,361,363,361,363,6000,2173000
2014-05-02,361,361,360,360,3000,1082000
2014-05-01,359,364,356,356,4000,1438000
2014-04-30,359,359,357,358,3000,1074000
2014-04-28,364,364,364,364,2000,728000
2014-04-25,369,369,363,363,6000,2197000
2014-04-24,370,370,370,370,1000,370000
2014-04-23,-,-,-,-,0,0
2014-04-22,369,377,369,377,5000,1856000
2014-04-21,372,372,369,369,2000,741000
2014-04-18,369,369,365,365,15000,5523000
