7444-T,東証2部,ハリマ共和,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1045,1045,1032,1032,1100,1146400
2014-06-26,1045,1045,1032,1040,600,622600
2014-06-25,1050,1050,1040,1040,2200,2293400
2014-06-24,1053,1053,1051,1051,600,631200
2014-06-23,1064,1064,1034,1053,700,736400
2014-06-20,1051,1051,1048,1048,1100,1153300
2014-06-19,1051,1051,1048,1048,3500,3674200
2014-06-18,1040,1048,1040,1048,11100,11546700
2014-06-17,1040,1040,1040,1040,500,520000
2014-06-16,1046,1046,1040,1040,2200,2292900
2014-06-13,1036,1043,1036,1043,1500,1555400
2014-06-12,1030,1036,1030,1036,12200,12575100
2014-06-11,1035,1040,1020,1024,2500,2578400
2014-06-10,1034,1035,1034,1035,600,620600
2014-06-09,-,-,-,-,0,0
2014-06-06,1026,1034,1026,1034,900,928200
2014-06-05,1038,1038,1038,1038,1700,1764600
2014-06-04,1038,1038,1038,1038,500,519000
2014-06-03,1025,1040,1025,1038,1000,1034400
2014-06-02,1020,1025,1020,1025,900,918500
2014-05-30,-,-,-,-,0,0
2014-05-29,1025,1030,1025,1030,700,719000
2014-05-28,1021,1030,1014,1030,2700,2753200
2014-05-27,1017,1029,1017,1029,4600,4696000
2014-05-26,1015,1019,1015,1019,800,814600
2014-05-23,1004,1018,1004,1018,1300,1306600
2014-05-22,1003,1006,1003,1006,1000,1005700
2014-05-21,1005,1005,1005,1005,100,100500
2014-05-20,1003,1005,1003,1005,1100,1104900
2014-05-19,1015,1015,1006,1006,1500,1514300
2014-05-16,1015,1016,1014,1014,1700,1726200
2014-05-15,1023,1023,1023,1023,1500,1534500
2014-05-14,1024,1024,1020,1024,500,510800
2014-05-13,1031,1031,1013,1013,2900,2949200
2014-05-12,1015,1025,1010,1016,2000,2040800
2014-05-09,1003,1015,1003,1015,900,908100
2014-05-08,1018,1018,1002,1002,800,806600
2014-05-07,-,-,-,-,0,0
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,1014,1014,1014,1014,500,507000
2014-04-28,-,-,-,-,0,0
2014-04-25,1016,1016,1014,1014,1100,1115600
2014-04-24,1016,1016,1016,1016,400,406400
