7458-T,JQスタンダード,第一興商,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2870,2875,2857,2863,59800,171237400
2014-06-26,2865,2884,2861,2866,63600,182426700
2014-06-25,2864,2871,2858,2870,71700,205451400
2014-06-24,2872,2901,2850,2857,115800,331238400
2014-06-23,2880,2885,2861,2872,56700,162830400
2014-06-20,2905,2911,2874,2879,110500,318757300
2014-06-19,2872,2938,2871,2935,97000,281796800
2014-06-18,2896,2897,2871,2872,84800,244325100
2014-06-17,2906,2921,2890,2891,71100,206161400
2014-06-16,2940,2944,2922,2931,32700,95834900
2014-06-13,2912,2945,2900,2941,80800,235776500
2014-06-12,2900,2918,2886,2899,107600,311919500
2014-06-11,2897,2923,2888,2920,93000,270137300
2014-06-10,2905,2939,2905,2921,99400,290465800
2014-06-09,2940,2962,2910,2925,130300,382311800
2014-06-06,3010,3015,2929,2956,123700,368159300
2014-06-05,3050,3065,3010,3020,86900,264465500
2014-06-04,3045,3050,3010,3035,94200,285645500
2014-06-03,3030,3055,3025,3045,111600,339638000
2014-06-02,3000,3040,2995,3035,85800,258191300
2014-05-30,3000,3020,3000,3000,96700,290684500
2014-05-29,2978,3040,2978,3015,105100,315854400
2014-05-28,2955,2999,2940,2980,105100,312261000
2014-05-27,2931,2966,2931,2945,73400,216156900
2014-05-26,2906,2953,2891,2950,51900,151871200
2014-05-23,2850,2910,2850,2909,119600,345399800
2014-05-22,2879,2880,2800,2818,160800,455457900
2014-05-21,2800,2806,2763,2769,131600,365878600
2014-05-20,2828,2830,2807,2819,120200,338736000
2014-05-19,2867,2882,2826,2830,45000,128549600
2014-05-16,2874,2897,2873,2891,25600,74005800
2014-05-15,2874,2904,2866,2902,26800,77476900
2014-05-14,2878,2925,2878,2895,36100,104865200
2014-05-13,2888,2908,2855,2885,42800,123365600
2014-05-12,2887,2910,2887,2888,28700,83148200
2014-05-09,2898,2909,2883,2883,19700,57051600
2014-05-08,2931,2944,2881,2896,45900,133303000
2014-05-07,2962,2979,2921,2931,44800,132101300
2014-05-02,2962,2968,2951,2962,12900,38160400
2014-05-01,2950,2989,2928,2988,46200,137005000
2014-04-30,2891,2961,2885,2948,71800,210118600
2014-04-28,2915,2915,2890,2893,26500,76842100
2014-04-25,2909,2915,2895,2906,33700,97976200
2014-04-24,2894,2915,2882,2886,51000,147697900
2014-04-23,2912,2912,2875,2886,72600,209940800
2014-04-22,2870,2918,2864,2882,83400,241011700
2014-04-21,2895,2900,2871,2882,50200,144982600
2014-04-18,2941,2941,2893,2909,33800,98325300
2014-04-17,2890,2930,2870,2924,62600,181877300
2014-04-16,2899,2931,2897,2897,102000,296811900
2014-04-15,2941,2950,2895,2906,73400,213940700
2014-04-14,2949,2973,2936,2963,34700,102505600
2014-04-11,2953,2958,2921,2925,50500,148448100
2014-04-10,3000,3025,2970,2979,56200,168318200
2014-04-09,2988,3050,2956,3025,98300,296657700
2014-04-08,3050,3065,3000,3050,103000,312307500
2014-04-07,3150,3215,3080,3095,204700,645542500
2014-04-04,3105,3105,3060,3080,26800,82516500
2014-04-03,3075,3110,3065,3105,34900,108001500
2014-04-02,3120,3130,3060,3065,86400,266672500
2014-04-01,3165,3165,3105,3130,77600,242857000
2014-03-31,3090,3145,3070,3125,88800,277068000
2014-03-28,3125,3215,3105,3105,216000,679066000
2014-03-27,3015,3075,2987,3035,165000,500275700
2014-03-26,3115,3130,2977,2996,267000,818578500
2014-03-25,3060,3060,2968,2969,92600,279957900
2014-03-24,2965,2984,2950,2974,89900,266462500
2014-03-20,2978,2984,2949,2955,69000,204965100
2014-03-19,2950,2975,2924,2948,59300,174666400
2014-03-18,2927,2929,2877,2920,75200,218752900
2014-03-17,2902,2935,2870,2887,52900,153175100
2014-03-14,2922,2938,2896,2902,52900,154245900
2014-03-13,2960,2979,2942,2948,29900,88390400
2014-03-12,2976,2980,2961,2967,31300,92972500
2014-03-11,2996,3005,2986,2997,37500,112266700
2014-03-10,3035,3035,2996,3005,54800,164964800
2014-03-07,3020,3070,3020,3055,68900,210684000
2014-03-06,3005,3030,2999,3010,53400,160796800
2014-03-05,2971,3030,2971,3010,106300,319291400
2014-03-04,2924,2955,2917,2949,149100,437787700
2014-03-03,3050,3050,2991,2992,92700,279002900
2014-02-28,3085,3100,3020,3060,87200,266765500
2014-02-27,3090,3140,3090,3115,93800,291875500
2014-02-26,3110,3140,3090,3090,88300,274518500
