7463-T,東証1部,アドヴァン,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1123,1132,1106,1126,5100,5710600
2014-06-26,1126,1136,1114,1116,9500,10693100
2014-06-25,1126,1126,1109,1114,7900,8841400
2014-06-24,1127,1127,1112,1118,3400,3815000
2014-06-23,1110,1124,1109,1109,6100,6784800
2014-06-20,1109,1135,1097,1117,14300,15938200
2014-06-19,1115,1134,1099,1099,15600,17301800
2014-06-18,1100,1106,1086,1104,5400,5945400
2014-06-17,1091,1114,1091,1096,4700,5180800
2014-06-16,1101,1118,1091,1093,8200,9003900
2014-06-13,1100,1120,1072,1092,21300,23423000
2014-06-12,1073,1114,1073,1097,5800,6349900
2014-06-11,1085,1113,1073,1092,8400,9251100
2014-06-10,1085,1095,1078,1085,9300,10085400
2014-06-09,1071,1083,1070,1082,5800,6255500
2014-06-06,1080,1080,1076,1078,5900,6363100
2014-06-05,1068,1080,1068,1076,3100,3335500
2014-06-04,1070,1080,1061,1078,4000,4291600
2014-06-03,1073,1082,1073,1075,5000,5382000
2014-06-02,1072,1080,1062,1070,4400,4706400
2014-05-30,1065,1075,1060,1075,12100,12916800
2014-05-29,1077,1085,1065,1084,6100,6596000
2014-05-28,1087,1087,1061,1071,12100,13027900
2014-05-27,1065,1082,1065,1067,4000,4282800
2014-05-26,1043,1087,1043,1060,10000,10557800
2014-05-23,1049,1049,1021,1041,7100,7411900
2014-05-22,1004,1055,1004,1049,13600,14044100
2014-05-21,1015,1015,1000,1004,7100,7130900
2014-05-20,1020,1031,1019,1023,6600,6748200
2014-05-19,1043,1054,1005,1011,9700,9964800
2014-05-16,1069,1069,1036,1042,12500,13077500
2014-05-15,1085,1088,1065,1082,6900,7458700
2014-05-14,1067,1082,1067,1081,4400,4738000
2014-05-13,1094,1094,1062,1081,3900,4215100
2014-05-12,1081,1081,1059,1064,5100,5459100
2014-05-09,1059,1076,1054,1065,5500,5849100
2014-05-08,1055,1085,1053,1060,6600,6984000
2014-05-07,1069,1097,1051,1054,9500,10164500
2014-05-02,1073,1095,1073,1094,3900,4248300
2014-05-01,1062,1098,1062,1085,8700,9418100
2014-04-30,1110,1110,1080,1083,7800,8577500
2014-04-28,1077,1085,1069,1080,9900,10675700
2014-04-25,1073,1087,1064,1077,6400,6882200
2014-04-24,1083,1083,1059,1062,6900,7363600
2014-04-23,1083,1083,1065,1073,9500,10193300
2014-04-22,1081,1115,1080,1086,14600,16009500
2014-04-21,1061,1093,1054,1071,5500,5913300
2014-04-18,1069,1077,1060,1069,5100,5442300
2014-04-17,1081,1115,1074,1076,9500,10341500
2014-04-16,1045,1080,1035,1065,6600,6959200
2014-04-15,1036,1050,1032,1032,7000,7284000
2014-04-14,1047,1047,1032,1034,4900,5093500
2014-04-11,1041,1054,1032,1036,9400,9759600
2014-04-10,1082,1082,1046,1051,11200,11884300
2014-04-09,1070,1070,1055,1056,15200,16097300
2014-04-08,1099,1111,1071,1071,15300,16574700
2014-04-07,1120,1122,1098,1099,16400,18156200
2014-04-04,1130,1139,1122,1125,13200,14873400
2014-04-03,1158,1163,1117,1130,36700,41720500
2014-04-02,1212,1212,1180,1182,25400,30302000
