7487-T,東証2部,小津産業,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1393,1393,1387,1391,4400,6118800
2014-06-26,1419,1424,1386,1397,26500,37303600
2014-06-25,1362,1365,1360,1361,4400,5991800
2014-06-24,1361,1362,1360,1362,2900,3946600
2014-06-23,1362,1369,1361,1361,3000,4093800
2014-06-20,1363,1365,1361,1362,2600,3543000
2014-06-19,1368,1368,1363,1365,2700,3687600
2014-06-18,1372,1374,1366,1368,4600,6303500
2014-06-17,1362,1368,1361,1368,4800,6548500
2014-06-16,1365,1368,1360,1368,5100,6958300
2014-06-13,1365,1365,1359,1363,3800,5175500
2014-06-12,1364,1364,1361,1364,1800,2453100
2014-06-11,1363,1368,1361,1365,3900,5320900
2014-06-10,1361,1363,1360,1362,9500,12927500
2014-06-09,1350,1357,1350,1355,3900,5278000
2014-06-06,1350,1350,1348,1348,2300,3103700
2014-06-05,1349,1354,1349,1350,3600,4862200
2014-06-04,1350,1354,1348,1349,5600,7565300
2014-06-03,1352,1355,1349,1349,5600,7571700
2014-06-02,1354,1362,1351,1352,11600,15730400
2014-05-30,1347,1347,1342,1343,6600,8873100
2014-05-29,1340,1349,1338,1346,14200,19075700
2014-05-28,1350,1350,1330,1337,77300,103990000
2014-05-27,1422,1430,1420,1422,93700,133249700
2014-05-26,1423,1423,1420,1423,30800,43786500
2014-05-23,1417,1423,1416,1423,12500,17728900
2014-05-22,1421,1422,1417,1417,10200,14481800
2014-05-21,1424,1426,1420,1420,10300,14647600
2014-05-20,1428,1431,1427,1428,7600,10858300
2014-05-19,1431,1433,1430,1432,8200,11737400
2014-05-16,1430,1438,1428,1432,4300,6152400
2014-05-15,1432,1436,1415,1435,8400,12019300
2014-05-14,1430,1433,1414,1433,11200,15958500
2014-05-13,1435,1441,1430,1441,19400,27862700
2014-05-12,1453,1453,1446,1446,11600,16827900
2014-05-09,1470,1470,1459,1460,10700,15656100
2014-05-08,1477,1478,1470,1470,7600,11200500
2014-05-07,1480,1480,1473,1476,8300,12268400
2014-05-02,1470,1482,1470,1482,6200,9154300
2014-05-01,1481,1481,1457,1468,15400,22600300
2014-04-30,1504,1507,1488,1490,15100,22599300
2014-04-28,1520,1520,1500,1510,7700,11631800
2014-04-25,1510,1522,1505,1522,7600,11504600
2014-04-24,1510,1510,1503,1508,3400,5124000
2014-04-23,1503,1510,1503,1510,3200,4822900
2014-04-22,1502,1507,1501,1502,4700,7066700
2014-04-21,1499,1504,1499,1504,4200,6306300
2014-04-18,1498,1500,1495,1498,4300,6441600
2014-04-17,1496,1499,1490,1498,5000,7476100
2014-04-16,1496,1503,1460,1493,10700,15939100
2014-04-15,1500,1500,1488,1489,7700,11521000
2014-04-14,1485,1500,1485,1500,5400,8059400
2014-04-11,1460,1479,1455,1479,9200,13484100
2014-04-10,1520,1525,1485,1498,12400,18647500
2014-04-09,1540,1540,1460,1493,21600,32315600
2014-04-08,1550,1557,1534,1555,10600,16404600
2014-04-07,1530,1560,1530,1560,10700,16514900
2014-04-04,1505,1530,1505,1529,9100,13848000
2014-04-03,1493,1508,1485,1500,14200,21276400
2014-04-02,1450,1486,1450,1477,11100,16309300
2014-04-01,1441,1453,1440,1446,8600,12415500
2014-03-31,1451,1460,1434,1436,9500,13770000
2014-03-28,1410,1440,1410,1430,11500,16409000
2014-03-27,1395,1419,1390,1419,15700,21990100
2014-03-26,1391,1392,1380,1384,7700,10681400
2014-03-25,1373,1375,1368,1371,2800,3843300
2014-03-24,1371,1372,1363,1365,3500,4786100
2014-03-20,1365,1370,1362,1363,5300,7237900
2014-03-19,1364,1370,1361,1369,2100,2870300
2014-03-18,1366,1366,1357,1364,2100,2858000
2014-03-17,1364,1364,1356,1356,4100,5579200
2014-03-14,1353,1362,1352,1359,4700,6365000
2014-03-13,1358,1362,1358,1359,2200,2992000
2014-03-12,1363,1365,1358,1361,8000,10890500
2014-03-11,1363,1364,1360,1362,3900,5312600
2014-03-10,1365,1365,1360,1363,5000,6805500
2014-03-07,1359,1359,1353,1357,3800,5148800
2014-03-06,1356,1358,1354,1356,1900,2576200
2014-03-05,1368,1368,1353,1353,3000,4092400
2014-03-04,1356,1365,1342,1348,7000,9459800
2014-03-03,1357,1357,1349,1355,4500,6090100
2014-02-28,1356,1356,1352,1356,3400,4604200
2014-02-27,1356,1359,1355,1355,4200,5697700
2014-02-26,1356,1360,1355,1358,3200,4340200
2014-02-25,1359,1359,1355,1355,4700,6377700
2014-02-24,1357,1360,1353,1353,5800,7869700
2014-02-21,1353,1355,1350,1353,1800,2435000
2014-02-20,1361,1362,1350,1350,2400,3252300
2014-02-19,1356,1368,1356,1365,1500,2040200
2014-02-18,1360,1360,1342,1360,1400,1890900
2014-02-17,1366,1366,1350,1359,3100,4221600
2014-02-14,1363,1363,1345,1347,3800,5144800
2014-02-13,1371,1371,1361,1363,1700,2323100
2014-02-12,1375,1375,1367,1371,2600,3566200
2014-02-10,1359,1360,1351,1360,2100,2847900
2014-02-07,1358,1358,1338,1347,2800,3783900
2014-02-06,1332,1350,1323,1347,3800,5086900
2014-02-05,1330,1342,1325,1334,3200,4262000
2014-02-04,1307,1317,1302,1316,9700,12691100
2014-02-03,1333,1335,1319,1323,10200,13522200
2014-01-31,1346,1352,1336,1336,5200,6995500
2014-01-30,1349,1352,1338,1343,7000,9424200
2014-01-29,1329,1356,1329,1352,16500,22149900
2014-01-28,1329,1334,1312,1321,71400,94692900
2014-01-27,1333,1346,1331,1333,12000,16026600
2014-01-24,1334,1367,1333,1333,25100,33699400
2014-01-23,1358,1360,1347,1347,12400,16802800
2014-01-22,1350,1365,1350,1358,21900,29646100
2014-01-21,1399,1403,1395,1399,5300,7418000
2014-01-20,1395,1398,1394,1397,4400,6140700
2014-01-17,1379,1386,1379,1386,3300,4557900
2014-01-16,1382,1388,1379,1379,6400,8857700
2014-01-15,1388,1388,1365,1375,9600,13268300
2014-01-14,1359,1363,1355,1358,5300,7201700
2014-01-10,1356,1360,1353,1359,3900,5291800
2014-01-09,1350,1358,1350,1358,6500,8789700
2014-01-08,1350,1350,1348,1349,5500,7422400
2014-01-07,1350,1350,1343,1350,2500,3372700
2014-01-06,1366,1366,1342,1350,7300,9885400
2013-12-30,1320,1343,1320,1340,7100,9453400
2013-12-27,1308,1316,1308,1316,2500,3278500
2013-12-26,1300,1308,1300,1305,2400,3127800
2013-12-25,1297,1299,1295,1298,5100,6613600
2013-12-24,1300,1302,1297,1298,4900,6365400
2013-12-20,1299,1306,1298,1299,3300,4290100
2013-12-19,1300,1313,1299,1299,7700,10028800
2013-12-18,1305,1307,1301,1307,1100,1435000
2013-12-17,1300,1305,1300,1305,2800,3644900
2013-12-16,1305,1310,1300,1306,8300,10829700
2013-12-13,1307,1310,1303,1308,3200,4181100
2013-12-12,1308,1308,1303,1304,1400,1826700
2013-12-11,1301,1310,1300,1310,3900,5084900
2013-12-10,1301,1305,1300,1305,3000,3904800
2013-12-09,1301,1306,1301,1303,2200,2866400
