7490-T,東証2部,日新商事,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,868,868,855,855,2400,2068000
2014-06-26,860,869,860,869,2100,1811300
2014-06-25,864,864,860,860,2200,1899600
2014-06-24,858,858,857,857,900,771900
2014-06-23,851,858,851,858,1300,1108700
2014-06-20,850,852,850,850,5000,4251200
2014-06-19,851,854,850,851,3000,2557000
2014-06-18,853,853,850,850,1800,1534600
2014-06-17,848,853,846,853,1600,1360000
2014-06-16,849,850,845,845,1600,1356600
2014-06-13,843,846,843,846,1000,843800
2014-06-12,844,844,843,843,800,674900
2014-06-11,844,844,843,844,700,590500
2014-06-10,844,844,843,844,1100,928300
2014-06-09,845,846,844,844,1700,1435300
2014-06-06,843,845,843,845,1200,1011800
2014-06-05,843,843,841,843,1100,925900
2014-06-04,842,842,841,841,800,673500
2014-06-03,843,844,842,842,1800,1517100
2014-06-02,842,844,841,844,1100,926500
2014-05-30,843,843,842,842,500,421200
2014-05-29,844,844,840,840,600,505600
2014-05-28,844,844,844,844,100,84400
2014-05-27,840,842,840,841,1200,1009000
2014-05-26,841,841,840,840,800,672600
2014-05-23,843,843,839,843,1800,1516000
2014-05-22,839,840,837,840,900,755300
2014-05-21,835,847,835,839,800,673800
2014-05-20,834,834,834,834,700,583800
2014-05-19,836,836,835,836,1800,1503700
2014-05-16,837,838,836,836,500,418600
2014-05-15,837,838,837,838,800,669900
2014-05-14,837,837,837,837,100,83700
2014-05-13,838,839,838,838,3100,2598100
2014-05-12,842,842,838,838,1500,1259000
2014-05-09,846,846,840,844,700,589400
2014-05-08,847,847,839,839,1800,1514600
2014-05-07,845,845,841,845,800,674500
2014-05-02,847,847,847,847,200,169400
2014-05-01,840,842,840,840,1700,1429100
2014-04-30,847,847,843,843,700,591200
2014-04-28,845,849,844,849,1300,1101600
2014-04-25,848,848,840,840,1900,1606000
2014-04-24,-,-,-,-,0,0
2014-04-23,846,848,841,841,1700,1436400
2014-04-22,842,845,842,845,900,759800
2014-04-21,839,839,839,839,400,335600
2014-04-18,842,845,838,838,1700,1429800
2014-04-17,841,848,841,842,500,421300
2014-04-16,840,849,840,849,300,253800
2014-04-15,838,849,838,849,1800,1511200
2014-04-14,840,850,837,849,2000,1684600
2014-04-11,841,842,838,841,1900,1595600
2014-04-10,840,849,840,843,1100,928200
2014-04-09,851,858,835,839,4800,4046200
2014-04-08,858,859,848,848,4400,3748200
2014-04-07,850,859,850,859,1400,1195400
2014-04-04,848,857,848,856,2300,1959400
2014-04-03,851,858,849,850,2800,2382800
2014-04-02,858,858,854,855,1500,1284600
2014-04-01,852,853,852,852,1500,1278300
2014-03-31,851,857,851,851,2200,1873000
2014-03-28,855,857,852,852,3000,2564800
2014-03-27,846,858,846,853,10400,8846300
2014-03-26,900,904,900,900,8400,7574400
2014-03-25,905,910,904,904,6400,5799500
2014-03-24,902,907,898,904,5300,4782400
2014-03-20,908,909,900,900,4200,3797000
2014-03-19,906,910,904,904,3800,3450300
2014-03-18,906,909,904,905,2400,2176100
2014-03-17,905,907,902,905,3800,3434500
2014-03-14,908,912,901,901,4400,3982700
2014-03-13,913,913,909,909,1900,1729200
2014-03-12,907,913,907,913,2200,2001800
