7516-T,東証1部,コーナン商事,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1022,1025,1018,1025,114500,116915500
2014-06-26,1027,1027,1020,1021,115000,117555400
2014-06-25,1022,1029,1020,1026,140500,144077800
2014-06-24,1024,1026,1020,1021,155600,159020600
2014-06-23,1024,1028,1023,1025,95000,97445900
2014-06-20,1020,1029,1018,1019,239300,244699800
2014-06-19,1018,1022,1016,1019,151000,153941800
2014-06-18,1019,1022,1017,1018,128800,131219100
2014-06-17,1020,1022,1018,1018,101700,103650600
2014-06-16,1025,1025,1018,1020,92700,94639500
2014-06-13,1021,1026,1021,1025,140700,143868000
2014-06-12,1023,1028,1018,1024,136900,140139000
2014-06-11,1017,1022,1015,1022,83500,85008700
2014-06-10,1020,1021,1016,1018,78600,80075300
2014-06-09,1017,1020,1016,1018,97500,99247500
2014-06-06,1019,1019,1015,1017,125400,127461100
2014-06-05,1020,1021,1015,1015,77700,78998300
2014-06-04,1018,1019,1014,1019,153000,155497200
2014-06-03,1019,1020,1015,1016,113500,115445100
2014-06-02,1016,1017,1011,1016,149000,151080900
2014-05-30,1015,1020,1011,1012,150100,152247800
2014-05-29,1016,1019,1011,1016,158200,160369000
2014-05-28,1016,1019,1015,1015,123900,125996800
2014-05-27,1021,1027,1016,1018,134200,136759000
2014-05-26,1036,1036,1018,1024,137000,140204200
2014-05-23,1028,1035,1028,1034,112000,115547200
2014-05-22,1020,1034,1020,1029,147000,151187800
2014-05-21,1019,1025,1013,1023,127300,129918700
2014-05-20,1003,1029,1003,1026,241300,245238900
2014-05-19,1018,1023,1012,1013,106300,108138800
2014-05-16,1023,1034,1015,1019,105700,107741300
2014-05-15,1029,1036,1025,1035,70000,72129800
2014-05-14,1025,1036,1024,1033,61000,62998300
2014-05-13,1036,1038,1028,1030,81100,83710000
2014-05-12,1032,1039,1027,1036,143600,148754700
2014-05-09,1021,1034,1019,1027,136000,139832700
2014-05-08,1010,1024,1007,1022,159000,162008100
2014-05-07,1011,1013,1001,1005,329100,331621900
2014-05-02,1018,1027,1009,1019,400600,407842600
2014-05-01,1038,1048,1036,1046,105400,110080300
2014-04-30,1026,1039,1026,1036,202100,209089500
2014-04-28,1026,1030,1023,1027,181400,186247200
2014-04-25,1021,1029,1019,1025,96200,98547100
2014-04-24,1021,1027,1020,1021,143600,146950400
2014-04-23,1022,1024,1018,1022,187600,191513000
2014-04-22,1020,1022,1017,1019,75400,76841000
2014-04-21,1020,1025,1016,1019,162100,165225000
2014-04-18,1018,1023,1014,1020,278100,283103900
2014-04-17,1021,1027,1016,1021,354800,362137000
2014-04-16,1028,1032,1025,1030,180800,185937800
2014-04-15,1038,1038,1025,1028,112900,116360400
2014-04-14,1032,1042,1023,1034,129800,134484600
2014-04-11,1020,1037,1019,1032,111300,114534100
2014-04-10,1036,1045,1034,1038,132400,137699800
2014-04-09,1026,1040,1026,1029,109400,112665700
2014-04-08,1042,1050,1038,1040,113200,117824100
