7533-F,福証,グリーンクロス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,913,922,909,912,8700,7945400
2014-06-26,920,927,915,927,7600,6977600
2014-06-25,928,930,923,927,5800,5383900
2014-06-24,910,920,910,920,8600,7849300
2014-06-23,911,912,910,910,4500,4099000
2014-06-20,915,920,908,912,6300,5755300
2014-06-19,912,917,908,915,6600,6023800
2014-06-18,899,909,892,908,6800,6110300
2014-06-17,908,920,880,895,32100,28651300
2014-06-16,935,940,908,925,14300,13120500
2014-06-13,921,937,915,927,20600,18985100
2014-06-12,941,966,940,966,6000,5694100
2014-06-11,946,946,910,945,11800,11021800
2014-06-10,945,978,945,969,10100,9744000
2014-06-09,936,949,935,940,4700,4425400
2014-06-06,931,940,928,940,4800,4467900
2014-06-05,947,949,930,935,3400,3181900
2014-06-04,940,947,940,944,4100,3868800
2014-06-03,949,949,917,935,2400,2238100
2014-06-02,935,950,935,937,4700,4431300
2014-05-30,907,930,907,929,11900,10877400
2014-05-29,894,905,894,905,2000,1801600
2014-05-28,880,893,878,893,1000,885900
2014-05-27,880,880,872,876,8000,7035200
2014-05-26,879,890,867,880,9900,8712300
2014-05-23,855,864,855,864,1100,944400
2014-05-22,867,867,850,851,14800,12655500
2014-05-21,856,880,851,852,7900,6767000
2014-05-20,857,880,852,865,4800,4127300
2014-05-19,882,882,858,860,20500,17865200
2014-05-16,874,894,874,882,2100,1855800
2014-05-15,877,877,876,877,700,613600
2014-05-14,877,881,876,877,8900,7798700
2014-05-13,883,883,880,883,2700,2379700
2014-05-12,878,891,875,881,1100,968600
2014-05-09,897,897,892,892,300,268100
2014-05-08,870,905,863,884,17500,15510100
2014-05-07,870,875,863,866,6300,5469900
2014-05-02,893,893,863,872,7200,6324200
2014-05-01,884,900,883,889,20900,18764300
2014-04-30,895,900,874,884,5800,5121900
2014-04-28,908,908,902,902,1600,1450200
2014-04-25,905,910,899,908,17900,16226500
2014-04-24,936,936,928,931,6600,6160500
2014-04-23,938,938,930,930,5300,4935700
2014-04-22,930,940,925,940,7600,7106100
2014-04-21,922,940,922,930,3700,3438500
2014-04-18,924,946,918,935,6400,5909200
