7545-T,東証1部,西松屋チェ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,882,894,878,889,205600,182358500
2014-06-26,886,886,871,882,254800,223908100
2014-06-25,868,892,863,886,475700,420004900
2014-06-24,861,870,855,868,346600,299081000
2014-06-23,846,860,840,860,509200,433209500
2014-06-20,817,820,812,818,146500,119707500
2014-06-19,816,818,811,812,88200,71727600
2014-06-18,820,820,814,818,74800,61098400
2014-06-17,810,820,810,820,66600,54430200
2014-06-16,815,815,804,809,53500,43327400
2014-06-13,799,815,799,813,105000,84393700
2014-06-12,808,809,802,808,34700,27961800
2014-06-11,800,811,797,811,68500,55252900
2014-06-10,809,814,802,803,54800,44179100
2014-06-09,812,816,810,815,54800,44552200
2014-06-06,813,819,810,813,87600,71203800
2014-06-05,822,823,810,814,74200,60470400
2014-06-04,817,820,810,820,65900,53649800
2014-06-03,823,825,814,817,141400,115997300
2014-06-02,813,830,807,811,176300,143597300
2014-05-30,784,809,784,807,164300,131082100
2014-05-29,781,787,781,784,38400,30104000
2014-05-28,779,794,778,783,133900,105280400
2014-05-27,779,780,774,775,54300,42132600
2014-05-26,780,780,774,778,52800,40986600
2014-05-23,777,780,773,773,58600,45492100
2014-05-22,770,776,761,775,82400,63475000
2014-05-21,770,770,761,766,55400,42411300
2014-05-20,766,781,766,775,138000,107031000
2014-05-19,770,772,765,768,52600,40412100
2014-05-16,770,775,767,770,140400,108207300
2014-05-15,774,778,767,775,67500,52173500
2014-05-14,775,785,770,774,74200,57676900
2014-05-13,770,775,766,774,128200,98780300
2014-05-12,763,772,763,764,89100,68347600
2014-05-09,762,782,755,760,201400,154665700
2014-05-08,742,764,742,761,91800,69585900
2014-05-07,751,751,738,740,119600,88919100
2014-05-02,749,753,746,753,49600,37226500
2014-05-01,735,750,732,749,100300,74386500
2014-04-30,750,750,732,733,85600,63319100
2014-04-28,753,755,744,749,52300,39165800
2014-04-25,756,763,750,756,61600,46552000
2014-04-24,755,768,751,757,121300,91925400
2014-04-23,739,760,737,751,136600,102565800
2014-04-22,732,742,732,733,83000,61011100
2014-04-21,740,749,731,734,78200,57675800
2014-04-18,742,742,731,741,80300,59184000
2014-04-17,727,742,727,737,101800,74870900
2014-04-16,721,728,721,726,94500,68417700
2014-04-15,729,732,718,720,99600,71993300
2014-04-14,726,738,726,729,53000,38850600
2014-04-11,720,729,717,727,90200,65304300
2014-04-10,737,750,725,728,141400,103821400
2014-04-09,750,771,730,732,166200,123148200
2014-04-08,773,776,756,758,96500,73610000
2014-04-07,783,783,767,772,131300,101673000
2014-04-04,753,789,749,783,573400,447162900
2014-04-03,730,750,718,747,385400,284467700
2014-04-02,767,783,733,739,437900,336157400
2014-04-01,750,756,741,756,182200,136285300
2014-03-31,767,767,740,749,175300,131266000
2014-03-28,758,770,750,764,309900,235979900
2014-03-27,725,759,724,757,340900,254012600
2014-03-26,725,743,722,727,272600,198706000
2014-03-25,720,724,707,724,348600,250118000
2014-03-24,730,746,726,726,248200,181819400
2014-03-20,748,750,733,734,251900,185745000
2014-03-19,750,758,746,747,100500,75576000
2014-03-18,736,750,736,743,94400,70153200
2014-03-17,735,741,727,730,113000,83004400
2014-03-14,739,748,731,735,245500,181651200
