7577-T,JQスタンダード,パスポート,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,318,319,317,318,4900,1559300
2014-06-26,315,318,315,317,4600,1456400
2014-06-25,314,315,314,314,1600,503200
2014-06-24,315,315,313,313,1900,596500
2014-06-23,313,315,313,315,5900,1849600
2014-06-20,313,314,312,313,4300,1346000
2014-06-19,310,311,310,311,3300,1023300
2014-06-18,307,309,307,309,1200,369500
2014-06-17,309,310,307,307,2300,708800
2014-06-16,309,310,308,309,1600,494300
2014-06-13,307,308,304,308,3800,1160400
2014-06-12,306,307,304,307,2500,762200
2014-06-11,307,310,305,306,1800,552100
2014-06-10,306,311,306,307,3200,984800
2014-06-09,306,307,305,305,3000,917100
2014-06-06,308,310,304,304,11900,3632300
2014-06-05,306,308,306,307,2400,736600
2014-06-04,310,310,305,308,2500,769400
2014-06-03,308,310,307,309,3100,955900
2014-06-02,306,308,305,307,5500,1688400
2014-05-30,304,307,304,306,1300,396700
2014-05-29,304,306,304,306,1300,396700
2014-05-28,303,305,301,304,5700,1719500
2014-05-27,304,305,304,304,2200,669500
2014-05-26,304,305,303,304,2100,638400
2014-05-23,303,305,303,304,1600,485300
2014-05-22,305,307,303,303,2900,884100
2014-05-21,307,308,300,305,11600,3508700
2014-05-20,307,308,305,307,2500,766000
2014-05-19,308,309,307,309,700,215500
2014-05-16,308,308,307,308,1700,522500
2014-05-15,310,311,308,308,1300,402300
2014-05-14,309,309,308,309,600,185200
2014-05-13,311,311,306,308,7000,2160400
2014-05-12,313,314,312,312,1600,501000
2014-05-09,313,314,312,314,1200,376000
2014-05-08,313,314,313,313,1000,313200
2014-05-07,311,313,311,313,900,280400
2014-05-02,312,312,310,312,1700,528800
2014-05-01,312,313,310,311,2800,870600
2014-04-30,314,315,313,313,1300,408100
2014-04-28,312,314,312,313,1000,313200
2014-04-25,313,313,311,313,1000,312700
2014-04-24,312,313,310,313,1100,342600
2014-04-23,314,314,311,312,1700,532700
2014-04-22,312,314,310,310,3600,1120000
2014-04-21,311,313,310,313,1500,467300
2014-04-18,309,310,309,310,500,154800
2014-04-17,308,309,308,309,500,154200
2014-04-16,308,310,306,310,1100,339300
2014-04-15,309,310,305,306,4300,1320500
2014-04-14,308,308,305,306,3100,952200
2014-04-11,305,307,304,304,1800,549500
2014-04-10,309,309,304,304,2900,887800
2014-04-09,310,310,303,306,12000,3704300
2014-04-08,314,315,314,314,1800,565600
2014-04-07,317,317,315,315,2700,852900
2014-04-04,318,318,317,317,2400,763000
2014-04-03,315,317,314,317,600,189500
2014-04-02,316,317,312,315,2400,756100
2014-04-01,315,316,315,316,1100,346900
2014-03-31,315,315,313,315,800,251600
2014-03-28,313,314,311,314,1300,406700
2014-03-27,310,312,310,312,2000,621500
2014-03-26,311,313,310,312,4500,1401400
2014-03-25,311,314,311,311,1200,374000
2014-03-24,311,313,311,311,3700,1153400
2014-03-20,312,312,311,311,600,187100
2014-03-19,313,315,312,313,2000,626800
2014-03-18,315,315,313,313,700,220100
2014-03-17,313,314,312,312,4200,1313100
2014-03-14,317,317,314,314,2500,788100
2014-03-13,319,319,313,317,6800,2145400
2014-03-12,318,319,316,317,1500,475700
2014-03-11,321,321,317,318,2700,862600
2014-03-10,318,321,316,321,2600,828700
2014-03-07,317,318,316,318,3200,1015700
2014-03-06,318,318,312,318,5700,1794700
2014-03-05,319,319,315,315,5600,1771200
2014-03-04,316,318,315,318,4100,1296200
2014-03-03,317,319,314,317,9200,2911500
2014-02-28,323,324,318,321,8900,2860000
2014-02-27,326,326,322,322,9700,3141300
2014-02-26,327,330,324,325,59200,19363400
2014-02-25,354,358,352,358,31300,11146800
2014-02-24,350,355,349,354,18800,6612500
2014-02-21,348,352,348,351,5300,1854800
2014-02-20,350,350,348,348,4900,1709700
2014-02-19,349,350,347,350,7800,2722700
2014-02-18,346,349,346,349,3900,1354300
2014-02-17,345,347,343,346,3800,1311800
2014-02-14,340,341,340,340,3500,1191600
2014-02-13,349,350,331,340,33200,11278300
2014-02-12,351,353,345,349,8800,3078200
2014-02-10,356,358,344,350,26900,9438800
2014-02-07,355,356,354,356,6000,2131600
2014-02-06,350,353,345,353,4700,1646700
2014-02-05,347,350,346,347,7000,2432400
2014-02-04,346,349,344,346,11300,3906300
2014-02-03,351,353,347,347,10500,3673600
2014-01-31,355,357,351,351,7100,2516500
2014-01-30,354,355,352,355,6100,2157500
2014-01-29,354,358,354,355,8200,2918200
2014-01-28,356,356,349,355,6100,2154800
2014-01-27,355,359,348,348,28300,9980800
2014-01-24,361,362,358,360,12200,4386600
2014-01-23,361,362,360,362,3800,1373100
2014-01-22,362,363,355,360,14500,5223400
2014-01-21,364,364,360,360,25300,9169600
2014-01-20,366,369,366,369,6000,2207700
2014-01-17,365,368,360,366,11000,4003800
2014-01-16,363,364,362,364,6100,2214100
2014-01-15,364,364,360,363,4100,1486800
2014-01-14,362,364,360,363,8600,3114100
2014-01-10,359,362,358,362,4600,1653600
2014-01-09,360,363,355,360,9700,3479600
2014-01-08,362,363,360,362,8300,2997400
2014-01-07,360,364,355,362,9600,3458000
2014-01-06,350,355,349,355,13500,4735800
2013-12-30,346,349,341,348,9700,3363200
2013-12-27,340,345,339,339,8600,2927500
2013-12-26,334,338,334,338,8600,2897500
2013-12-25,334,334,331,334,8400,2792500
2013-12-24,334,337,329,334,16200,5388700
2013-12-20,336,337,333,333,6800,2281300
2013-12-19,336,338,336,337,3400,1147600
2013-12-18,337,337,335,335,3400,1143500
2013-12-17,336,337,336,337,1100,370500
2013-12-16,336,338,336,337,3800,1277800
2013-12-13,339,340,335,339,7600,2561400
2013-12-12,340,342,340,340,4300,1465600
2013-12-11,340,341,339,340,3400,1157300
2013-12-10,339,340,339,340,9400,3194400
2013-12-09,336,340,336,340,3800,1282600
2013-12-06,339,339,335,336,9500,3191000
2013-12-05,340,342,338,338,3800,1290700
2013-12-04,341,342,339,340,5600,1906300
2013-12-03,344,345,342,342,3500,1202700
2013-12-02,345,345,344,345,9800,3380000
2013-11-29,340,346,338,346,12400,4236900
2013-11-28,339,339,338,339,6400,2168800
2013-11-27,336,338,335,336,5200,1748400
2013-11-26,337,337,333,335,6400,2145800
2013-11-25,333,335,333,333,8600,2870100
2013-11-22,333,333,329,332,6400,2119500
2013-11-21,329,332,327,332,8700,2861200
2013-11-20,326,330,326,328,4100,1342900
2013-11-19,325,327,325,327,6600,2150100
2013-11-18,323,325,323,325,2300,746400
2013-11-15,323,324,320,322,3300,1064100
2013-11-14,321,322,319,321,5700,1827900
2013-11-13,319,320,319,320,2100,671200
2013-11-12,320,320,319,319,2300,734900
2013-11-11,320,320,319,320,4300,1374600
2013-11-08,318,319,318,319,1100,350400
2013-11-07,319,319,317,319,1900,605600
2013-11-06,318,319,317,319,4300,1365400
2013-11-05,319,319,317,319,5500,1752100
2013-11-01,317,318,317,317,3900,1236900
2013-10-31,317,319,316,317,4100,1301200
2013-10-30,318,319,316,316,5500,1745700
2013-10-29,318,318,315,318,6200,1960300
2013-10-28,318,318,317,317,2900,921000
2013-10-25,317,318,316,318,3700,1174700
2013-10-24,317,319,315,317,7200,2275900
2013-10-23,318,318,316,317,2100,665500
2013-10-22,317,318,315,317,2000,634200
2013-10-21,315,317,314,317,1200,378600
2013-10-18,316,317,312,312,10200,3195500
2013-10-17,316,317,312,313,8600,2696700
2013-10-16,313,317,313,317,3100,972300
2013-10-15,318,319,311,313,14100,4430500
2013-10-11,318,319,313,316,6500,2052800
2013-10-10,319,319,315,319,3500,1111200
2013-10-09,319,319,316,318,1800,572800
2013-10-08,318,318,313,314,5000,1574300
2013-10-07,320,320,317,317,700,223300
2013-10-04,319,320,314,318,13900,4385200
2013-10-03,320,320,317,319,1400,446500
2013-10-02,320,322,316,320,3200,1017900
2013-10-01,322,322,318,320,3400,1086400
2013-09-30,321,322,321,322,1600,514000
2013-09-27,321,321,319,321,3800,1216500
2013-09-26,319,322,319,320,6400,2052000
2013-09-25,319,320,319,319,1000,319400
2013-09-24,317,319,317,319,2000,636100
2013-09-20,317,318,314,317,7800,2462900
2013-09-19,321,321,315,316,11100,3506700
2013-09-18,320,321,317,317,5800,1856400
2013-09-17,320,322,320,322,2800,897700
2013-09-13,320,320,317,320,4600,1464600
2013-09-12,318,320,318,320,800,255200
2013-09-11,315,318,315,317,10300,3247700
2013-09-10,321,321,320,320,3000,962400
2013-09-09,324,324,319,321,2500,802100
2013-09-06,323,324,320,320,900,290100
2013-09-05,321,323,320,323,2400,771800
2013-09-04,320,321,319,321,1800,576800
2013-09-03,321,321,317,320,900,286400
2013-09-02,317,321,316,321,1700,540200
2013-08-30,317,317,316,317,700,221700
2013-08-29,318,318,317,317,700,222300
2013-08-28,316,316,315,316,3900,1231400
2013-08-27,320,320,317,317,1900,604600
2013-08-26,321,321,320,320,1100,352200
2013-08-23,321,321,320,321,1900,608900
2013-08-22,320,320,318,320,5000,1594000
2013-08-21,324,325,319,320,2600,833500
2013-08-20,322,324,322,322,500,161300
2013-08-19,322,324,322,322,900,290700
2013-08-16,326,327,319,322,2700,866900
2013-08-15,324,325,322,325,1600,519300
2013-08-14,324,324,315,322,11100,3545100
2013-08-13,323,327,323,327,1200,389300
2013-08-12,324,324,320,323,1700,546100
2013-08-09,322,324,320,320,2300,739300
2013-08-08,325,326,322,322,600,194500
2013-08-07,323,325,322,322,2900,937400
2013-08-06,324,325,321,325,1500,485300
2013-08-05,322,325,322,324,1200,387500
2013-08-02,322,323,322,322,1700,548600
2013-08-01,324,324,321,321,1800,581200
2013-07-31,327,327,324,324,600,195900
2013-07-30,325,325,325,325,300,97500
2013-07-29,328,328,320,322,5900,1913500
2013-07-26,328,328,327,327,1200,393500
2013-07-25,328,328,328,328,1500,492000
2013-07-24,323,328,323,328,3500,1132700
2013-07-23,330,330,325,329,3500,1149600
2013-07-22,328,330,326,330,2900,953200
2013-07-19,327,327,326,327,800,261500
2013-07-18,327,327,325,325,1800,585900
2013-07-17,327,327,325,327,1100,359200
2013-07-16,325,327,323,327,2500,813200
