7594-T,東証1部,マルカキカイ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1370,1370,1358,1366,12500,17057300
2014-06-26,1370,1375,1367,1370,4300,5895800
2014-06-25,1381,1385,1369,1370,12000,16497600
2014-06-24,1375,1381,1374,1381,4400,6058800
2014-06-23,1370,1382,1370,1374,9200,12644000
2014-06-20,1384,1385,1365,1376,10400,14325400
2014-06-19,1382,1390,1362,1384,10400,14365300
2014-06-18,1375,1384,1375,1382,3600,4961900
2014-06-17,1392,1392,1381,1388,6800,9439300
2014-06-16,1377,1391,1376,1376,7500,10358300
2014-06-13,1375,1378,1374,1376,20100,27638500
2014-06-12,1378,1381,1376,1378,5500,7582300
2014-06-11,1375,1382,1374,1379,12500,17219300
2014-06-10,1381,1381,1374,1374,7800,10738000
2014-06-09,1375,1378,1366,1372,10200,13990900
2014-06-06,1378,1379,1371,1375,5700,7836900
2014-06-05,1378,1378,1375,1377,1800,2477700
2014-06-04,1375,1377,1373,1377,7700,10588100
2014-06-03,1380,1380,1375,1376,8800,12122500
2014-06-02,1374,1377,1368,1374,12800,17592400
2014-05-30,1370,1370,1350,1363,17200,23412400
2014-05-29,1372,1372,1361,1366,8200,11206800
2014-05-28,1367,1376,1365,1365,9700,13266600
2014-05-27,1375,1378,1370,1372,13600,18679700
2014-05-26,1367,1372,1365,1372,15100,20669200
2014-05-23,1361,1362,1357,1360,13100,17821200
2014-05-22,1341,1362,1341,1357,16700,22620200
2014-05-21,1340,1349,1336,1341,19000,25445600
2014-05-20,1355,1360,1349,1349,17200,23277500
2014-05-19,1355,1355,1348,1350,11700,15804100
2014-05-16,1356,1356,1346,1350,18900,25532300
2014-05-15,1368,1368,1354,1356,12400,16841500
2014-05-14,1354,1362,1353,1361,15300,20786100
2014-05-13,1343,1353,1343,1353,12300,16581000
2014-05-12,1345,1350,1341,1343,17700,23805300
2014-05-09,1335,1345,1335,1341,13400,17940300
2014-05-08,1330,1338,1330,1335,10500,14012600
2014-05-07,1345,1345,1330,1332,18400,24593900
2014-05-02,1343,1348,1340,1347,12300,16526600
2014-05-01,1320,1338,1315,1337,16500,21902900
2014-04-30,1331,1333,1325,1330,20500,27257500
2014-04-28,1319,1331,1319,1330,22500,29873600
2014-04-25,1325,1327,1321,1324,16900,22383900
2014-04-24,1315,1326,1315,1321,14200,18756900
2014-04-23,1325,1334,1313,1319,20400,26990300
2014-04-22,1330,1339,1324,1325,12700,16870500
2014-04-21,1324,1340,1320,1325,14300,19016000
2014-04-18,1300,1321,1299,1318,30300,39782900
2014-04-17,1275,1289,1268,1286,26100,33400200
2014-04-16,1258,1277,1258,1277,14000,17797500
2014-04-15,1267,1273,1260,1270,21400,27114400
2014-04-14,1260,1265,1255,1262,10200,12875500
2014-04-11,1256,1268,1240,1262,21400,26876400
2014-04-10,1270,1277,1262,1269,34100,43316200
2014-04-09,1273,1280,1265,1270,22100,28111500
2014-04-08,1285,1287,1277,1283,22800,29233900
2014-04-07,1295,1295,1285,1290,18400,23747100
2014-04-04,1270,1304,1270,1299,44000,56659000
2014-04-03,1320,1329,1313,1329,18800,24880200
2014-04-02,1309,1320,1306,1315,26500,34837500
2014-04-01,1286,1308,1283,1307,21800,28321100
2014-03-31,1270,1282,1264,1282,18200,23154000
2014-03-28,1231,1277,1231,1274,19800,24924400
2014-03-27,1225,1243,1225,1233,13600,16743000
2014-03-26,1225,1249,1225,1238,17600,21714600
2014-03-25,1230,1239,1222,1233,5400,6652400
2014-03-24,1218,1235,1218,1227,6600,8113100
2014-03-20,1229,1240,1229,1230,10300,12724400
2014-03-19,1213,1237,1213,1228,5400,6619500
