7595-T,東証1部,アルゴグラフ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1723,1750,1723,1745,19900,34573600
2014-06-26,1730,1744,1719,1736,11800,20425800
2014-06-25,1717,1730,1707,1715,9300,16009400
2014-06-24,1708,1717,1692,1717,8000,13686200
2014-06-23,1720,1725,1696,1708,10100,17277500
2014-06-20,1723,1724,1697,1718,3900,6692300
2014-06-19,1700,1717,1693,1708,14000,23886400
2014-06-18,1695,1696,1656,1691,22500,37684800
2014-06-17,1680,1695,1675,1689,7800,13151700
2014-06-16,1670,1698,1670,1687,13700,23113200
2014-06-13,1650,1670,1636,1662,39800,65771400
2014-06-12,1626,1645,1625,1633,3000,4902400
2014-06-11,1629,1646,1629,1635,6800,11129500
2014-06-10,1646,1646,1628,1628,6200,10124500
2014-06-09,1653,1653,1630,1630,7900,12921500
2014-06-06,1631,1639,1625,1636,5100,8327300
2014-06-05,1627,1635,1622,1631,6900,11238000
2014-06-04,1622,1633,1620,1627,3000,4882800
2014-06-03,1618,1633,1618,1624,8800,14310900
2014-06-02,1605,1625,1605,1614,8200,13231600
2014-05-30,1619,1642,1605,1621,5100,8264100
2014-05-29,1624,1635,1606,1619,5200,8418400
2014-05-28,1643,1643,1611,1624,5100,8296500
2014-05-27,1649,1649,1630,1641,3500,5745600
2014-05-26,1617,1640,1615,1640,3100,5070300
2014-05-23,1636,1636,1615,1617,4500,7308900
2014-05-22,1601,1615,1590,1611,7400,11893000
2014-05-21,1583,1598,1583,1596,10000,15918800
2014-05-20,1582,1597,1580,1589,4100,6510800
2014-05-19,1572,1594,1572,1583,6400,10123500
2014-05-16,1605,1608,1582,1589,10200,16250600
2014-05-15,1635,1635,1595,1625,9300,15108400
2014-05-14,1631,1639,1627,1627,2300,3754300
2014-05-13,1649,1649,1621,1628,6100,9989100
2014-05-12,1665,1665,1606,1606,10000,16421900
2014-05-09,1634,1634,1610,1616,2300,3740100
2014-05-08,1629,1629,1592,1600,8900,14274300
2014-05-07,1643,1657,1589,1589,13000,20873900
2014-05-02,1659,1659,1632,1643,5900,9706700
2014-05-01,1650,1653,1610,1639,5900,9698000
2014-04-30,1652,1652,1610,1614,6800,11054500
2014-04-28,1628,1650,1612,1633,5400,8792300
2014-04-25,1644,1645,1621,1628,5200,8500200
2014-04-24,1609,1624,1608,1612,5100,8236400
2014-04-23,1608,1629,1608,1624,6200,10065300
2014-04-22,1623,1634,1601,1608,3400,5511100
2014-04-21,1602,1663,1602,1629,4300,7030100
2014-04-18,1626,1652,1626,1642,6300,10300600
2014-04-17,1631,1635,1610,1621,6200,10043200
2014-04-16,1594,1607,1580,1607,6200,9920000
2014-04-15,1586,1597,1570,1570,12200,19318800
2014-04-14,1570,1597,1570,1584,7300,11562900
2014-04-11,1583,1600,1562,1588,10000,15839000
2014-04-10,1625,1625,1601,1604,12700,20502300
2014-04-09,1620,1637,1610,1610,9100,14709700
2014-04-08,1678,1689,1627,1632,8900,14629300
2014-04-07,1695,1698,1676,1678,4600,7746400
2014-04-04,1715,1720,1702,1713,10200,17471300
2014-04-03,1710,1712,1695,1703,10200,17372800
2014-04-02,1709,1721,1690,1706,16900,28881400
2014-04-01,1702,1705,1678,1695,12300,20869600
2014-03-31,1698,1702,1659,1690,18200,30604000
2014-03-28,1672,1676,1657,1674,18300,30559800
2014-03-27,1693,1693,1648,1672,17400,29059400
2014-03-26,1693,1696,1674,1683,29300,49384500
2014-03-25,1678,1696,1638,1658,24900,41796700
2014-03-24,1607,1662,1607,1641,23600,38740900
2014-03-20,1630,1632,1600,1600,13700,22110200
2014-03-19,1637,1648,1630,1630,6900,11287300
2014-03-18,1653,1666,1625,1637,8700,14332200
2014-03-17,1653,1655,1620,1620,22300,36484700
2014-03-14,1719,1719,1670,1670,21500,36594400
2014-03-13,1730,1730,1710,1719,4200,7234100
2014-03-12,1730,1730,1715,1716,6700,11518600
2014-03-11,1716,1730,1716,1729,14700,25394200
2014-03-10,1726,1735,1716,1727,10300,17792900
2014-03-07,1720,1728,1706,1726,21700,37360200
2014-03-06,1700,1715,1700,1713,18300,31273500
2014-03-05,1713,1718,1695,1700,17100,29148200
2014-03-04,1665,1710,1660,1695,25400,42918600
2014-03-03,1671,1686,1655,1674,15500,25865100
2014-02-28,1701,1701,1673,1683,7300,12277700
2014-02-27,1705,1707,1680,1683,9300,15787100
2014-02-26,1725,1725,1702,1709,4400,7512500
2014-02-25,1743,1743,1689,1725,8400,14438200
2014-02-24,1713,1718,1681,1706,10700,18224000
2014-02-21,1665,1718,1665,1713,9400,15959700
2014-02-20,1687,1693,1661,1662,10400,17412400
2014-02-19,1703,1710,1701,1701,7000,11935400
2014-02-18,1698,1726,1691,1723,11700,19981200
2014-02-17,1700,1700,1678,1682,10900,18361800
2014-02-14,1689,1689,1644,1673,18300,30480000
2014-02-13,1711,1727,1682,1693,19000,32225000
2014-02-12,1731,1745,1709,1728,10100,17453200
2014-02-10,1730,1742,1703,1728,12800,22022500
2014-02-07,1750,1750,1713,1736,10200,17609500
2014-02-06,1696,1730,1682,1729,26900,45979500
2014-02-05,1670,1721,1638,1666,23000,38478100
2014-02-04,1680,1715,1652,1667,51100,85951400
2014-02-03,1750,1779,1723,1753,31600,55238800
2014-01-31,1744,1783,1729,1757,16000,28038700
2014-01-30,1775,1789,1734,1737,21900,38339700
2014-01-29,1800,1841,1753,1772,37700,67558200
2014-01-28,1719,1765,1717,1731,35600,61906500
2014-01-27,1679,1751,1673,1715,40200,69004800
2014-01-24,1818,1818,1790,1799,40000,71961300
2014-01-23,1888,1889,1844,1846,22300,41539700
2014-01-22,1898,1898,1866,1895,19700,37163400
2014-01-21,1893,1895,1868,1870,13400,25238700
2014-01-20,1874,1894,1870,1891,17500,32964900
2014-01-17,1819,1868,1810,1862,41600,76755500
