7606-T,東証1部,Uアローズ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,4120,4160,4090,4120,216500,892562500
2014-06-26,4120,4145,4100,4120,202100,833716000
2014-06-25,4040,4110,4040,4090,125800,514414500
2014-06-24,4020,4100,4020,4070,249900,1018679500
2014-06-23,4005,4015,3980,4000,139600,557807500
2014-06-20,4085,4115,4015,4025,200500,812160500
2014-06-19,4090,4115,4060,4110,228800,936601000
2014-06-18,4030,4095,3990,4080,292500,1186435000
2014-06-17,4055,4085,4035,4060,172800,701342000
2014-06-16,4115,4125,4060,4080,103900,423737500
2014-06-13,4085,4125,4040,4125,202000,826632500
2014-06-12,4015,4080,3970,4070,309900,1246960500
2014-06-11,4070,4150,4060,4080,269900,1102370000
2014-06-10,4135,4165,4050,4070,242900,991276500
2014-06-09,4200,4215,4150,4155,103400,431242000
2014-06-06,4170,4195,4155,4185,168400,703757000
2014-06-05,4180,4190,4100,4140,329700,1361711500
2014-06-04,4235,4240,4190,4200,195100,822600000
2014-06-03,4265,4265,4165,4175,246000,1031871000
2014-06-02,4200,4280,4195,4255,255000,1084219500
2014-05-30,4165,4225,4165,4220,240800,1012832000
2014-05-29,4190,4200,4150,4185,173100,723022000
2014-05-28,4240,4260,4215,4240,210000,889833000
2014-05-27,4235,4275,4210,4230,245600,1038853000
2014-05-26,4260,4280,4220,4275,197000,836645000
2014-05-23,4230,4260,4175,4220,215200,908160000
2014-05-22,4160,4210,4095,4205,201400,840693000
2014-05-21,4030,4150,4015,4135,286900,1172372500
2014-05-20,4015,4110,4015,4095,194700,793914000
2014-05-19,4005,4070,3965,3970,109700,439050000
2014-05-16,3970,4005,3970,4005,131300,523764500
2014-05-15,4000,4040,3960,4005,179600,718829500
2014-05-14,3985,4095,3980,4080,266200,1079670500
2014-05-13,4070,4075,3965,3985,235300,938848500
2014-05-12,3965,4085,3940,4040,390900,1570184000
2014-05-09,4050,4200,4040,4105,524100,2168008500
2014-05-08,3985,4025,3945,4005,203300,812945000
2014-05-07,3980,4035,3965,4005,354800,1423951500
2014-05-02,3965,4045,3960,4010,293100,1178461500
2014-05-01,3885,3970,3855,3965,198400,782754000
2014-04-30,3880,3975,3840,3950,229900,901496000
2014-04-28,3890,3895,3840,3880,124700,483327500
2014-04-25,3885,3940,3860,3915,218000,853394500
2014-04-24,3850,3970,3850,3900,291100,1140174500
2014-04-23,3760,3870,3735,3855,287800,1102774000
2014-04-22,3805,3840,3735,3750,332300,1249950000
2014-04-21,3840,3885,3800,3805,237800,913336500
2014-04-18,3875,3875,3805,3835,222200,851755500
2014-04-17,3800,3910,3715,3815,552300,2097517500
2014-04-16,3640,3720,3640,3705,318600,1176517000
2014-04-15,3735,3760,3650,3670,405700,1489829500
2014-04-14,3735,3805,3730,3740,214800,808149500
2014-04-11,3650,3770,3605,3765,259300,966662000
2014-04-10,3770,3830,3710,3740,217600,816321500
2014-04-09,3735,3775,3670,3755,384000,1429738000
2014-04-08,3810,3845,3765,3805,196300,746663000
2014-04-07,3820,3870,3815,3825,196000,752015000
2014-04-04,3835,3890,3790,3875,237400,911668000
2014-04-03,3825,3885,3810,3850,337800,1297827500
2014-04-02,3785,3795,3725,3770,250200,941438000
2014-04-01,3820,3840,3760,3785,245400,928093500
2014-03-31,3890,3910,3775,3820,400100,1528498000
2014-03-28,3775,3860,3725,3840,352500,1335699500
2014-03-27,3635,3785,3625,3770,524000,1943088500
2014-03-26,3650,3785,3640,3745,658700,2452036500
2014-03-25,3745,3775,3610,3615,653800,2395945500
2014-03-24,3675,3835,3675,3780,844500,3191913000
2014-03-20,3730,3760,3650,3675,305800,1127566500
2014-03-19,3605,3725,3600,3690,411100,1506959000
2014-03-18,3510,3660,3435,3605,496400,1784341000
2014-03-17,3695,3695,3545,3580,986800,3566040000
2014-03-14,3725,3825,3685,3790,1060900,4015162000
2014-03-13,3690,3785,3690,3770,462900,1732721500
2014-03-12,3750,3750,3655,3695,763000,2821519000
2014-03-11,3650,3770,3650,3755,720300,2691187500
2014-03-10,3555,3595,3535,3580,385300,1374732500
2014-03-07,3465,3555,3455,3550,418400,1472074000
2014-03-06,3400,3445,3360,3405,372200,1267289500
2014-03-05,3405,3430,3300,3345,267400,895825000
2014-03-04,3275,3380,3270,3320,149200,494878500
2014-03-03,3340,3375,3280,3325,341300,1133300000
2014-02-28,3350,3415,3335,3365,333400,1124056500
2014-02-27,3410,3575,3310,3345,878800,3018479000
2014-02-26,3465,3490,3385,3390,526800,1803094000
2014-02-25,3535,3540,3500,3520,154700,543842500
2014-02-24,3500,3530,3455,3515,174100,609347500
2014-02-21,3415,3505,3405,3495,287900,998803500
2014-02-20,3445,3495,3405,3430,377700,1305418500
2014-02-19,3405,3435,3365,3430,308800,1050549000
2014-02-18,3300,3445,3250,3420,703000,2386535500
2014-02-17,3260,3280,3150,3240,451200,1452657500
2014-02-14,3335,3350,3185,3260,627100,2046978000
2014-02-13,3395,3465,3375,3405,295900,1013356500
2014-02-12,3390,3475,3350,3395,701900,2386187500
2014-02-10,3080,3365,3080,3325,714100,2323323000
2014-02-07,3140,3210,2982,3035,1021300,3119314900
2014-02-06,3155,3225,3115,3180,407500,1290672000
2014-02-05,3210,3275,3160,3225,346500,1117237000
2014-02-04,3175,3235,3035,3115,437800,1378476000
2014-02-03,3320,3340,3260,3275,259900,855007500
2014-01-31,3370,3450,3265,3320,585000,1955601000
2014-01-30,3335,3380,3275,3355,498700,1663327000
2014-01-29,3205,3395,3200,3390,563800,1886513500
2014-01-28,3250,3300,3165,3165,465100,1497813000
2014-01-27,3300,3340,3270,3290,351400,1160799000
2014-01-24,3330,3390,3320,3380,413700,1389852000
2014-01-23,3495,3495,3320,3335,741300,2513457000
2014-01-22,3530,3530,3415,3450,681700,2360051500
2014-01-21,3640,3650,3550,3560,445400,1596682500
2014-01-20,3730,3745,3640,3645,260100,954868500
2014-01-17,3775,3780,3705,3710,339400,1265440500
2014-01-16,3860,3875,3795,3795,202900,774321000
2014-01-15,3845,3885,3815,3860,171800,661009000
2014-01-14,3905,3960,3850,3860,207500,808364000
2014-01-10,3930,3965,3875,3965,169300,665643000
2014-01-09,3980,4000,3910,3950,377600,1495098500
2014-01-08,3965,3985,3840,3985,295400,1170302500
2014-01-07,3900,3900,3820,3845,169300,651664500
2014-01-06,3965,3980,3900,3915,271100,1065832500
2013-12-30,3940,3975,3900,3940,255700,1007138500
2013-12-27,3855,3900,3825,3885,202300,781339000
2013-12-26,3750,3815,3730,3805,192500,727568500
