7716-T,JQスタンダード,ナカニシ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,4030,4075,3990,4020,67900,273760500
2014-06-26,4065,4100,4020,4030,58400,236328500
2014-06-25,4000,4185,4000,4040,58100,234657500
2014-06-24,4070,4070,4000,4050,47000,189912000
2014-06-23,4020,4060,3970,4000,58200,232829000
2014-06-20,4195,4195,4000,4000,85000,347182500
2014-06-19,4085,4195,4050,4195,60800,252448000
2014-06-18,3980,4175,3980,4155,59000,240535500
2014-06-17,3960,3990,3935,3970,23700,93922500
2014-06-16,4005,4010,3930,3960,32400,128231500
2014-06-13,3885,3995,3870,3995,58000,228797000
2014-06-12,3905,3965,3870,3905,94300,368548500
2014-06-11,3900,3945,3870,3945,25200,98477000
2014-06-10,3935,3940,3880,3895,25200,98556000
2014-06-09,3920,3975,3910,3960,52100,205465500
2014-06-06,3845,3895,3840,3890,32500,125639000
2014-06-05,3880,3915,3800,3825,62500,240447000
2014-06-04,3910,3920,3885,3920,32700,127808000
2014-06-03,3900,3915,3865,3900,115200,449100500
2014-06-02,3900,3925,3790,3835,179700,694669500
2014-05-30,3900,3940,3735,3940,188400,726043000
2014-05-29,3895,3930,3825,3900,50100,194325500
2014-05-28,3850,3945,3820,3875,132400,513461000
2014-05-27,3810,3820,3795,3810,56900,216894000
2014-05-26,3780,3850,3780,3810,39700,151462500
2014-05-23,3785,3800,3725,3750,41200,154937000
2014-05-22,3700,3745,3665,3715,67200,249418000
2014-05-21,3700,3740,3620,3695,59500,219873500
2014-05-20,3720,3770,3695,3700,25100,93206500
2014-05-19,3835,3835,3665,3690,38700,143973000
2014-05-16,3850,3850,3665,3695,62000,231180000
2014-05-15,3850,3905,3795,3865,139100,536619500
2014-05-14,3720,3805,3705,3780,39600,148721000
2014-05-13,3675,3860,3675,3785,73600,278203500
2014-05-12,3575,3575,3505,3550,20800,73751000
2014-05-09,3495,3530,3480,3515,14100,49305500
2014-05-08,3470,3505,3470,3500,19800,69348000
2014-05-07,3535,3555,3460,3465,27500,96315500
2014-05-02,3510,3600,3510,3535,38800,137723500
2014-05-01,3490,3540,3415,3505,33100,115487000
2014-04-30,3405,3500,3405,3490,32100,111569500
