7723-T,東証1部,愛時計,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,299,299,299,299,12000,3588000
2014-06-26,300,301,298,298,28000,8377000
2014-06-25,299,301,299,301,42000,12598000
2014-06-24,300,303,297,302,87000,26150000
2014-06-23,298,300,297,300,30000,8964000
2014-06-20,299,300,295,298,47000,14012000
2014-06-19,298,300,298,299,42000,12562000
2014-06-18,297,298,297,298,34000,10107000
2014-06-17,294,296,294,296,25000,7367000
2014-06-16,294,294,292,292,30000,8793000
2014-06-13,292,293,290,293,64000,18691000
2014-06-12,291,293,290,292,31000,9057000
2014-06-11,291,292,291,291,19000,5536000
2014-06-10,291,292,290,291,22000,6403000
2014-06-09,289,293,289,289,46000,13387000
2014-06-06,287,290,287,289,36000,10402000
2014-06-05,288,289,286,287,22000,6316000
2014-06-04,286,287,286,287,15000,4293000
2014-06-03,287,290,286,287,35000,10048000
2014-06-02,287,290,287,288,50000,14402000
2014-05-30,285,286,285,285,19000,5419000
2014-05-29,286,286,284,285,27000,7689000
2014-05-28,285,285,284,285,15000,4263000
2014-05-27,285,286,283,286,42000,11970000
2014-05-26,284,285,282,284,45000,12759000
2014-05-23,283,284,282,284,19000,5376000
2014-05-22,282,283,282,283,28000,7908000
2014-05-21,282,283,281,281,24000,6755000
2014-05-20,282,285,282,282,37000,10475000
2014-05-19,282,283,281,283,32000,9018000
2014-05-16,285,285,283,283,37000,10490000
2014-05-15,287,287,285,285,19000,5430000
2014-05-14,288,289,286,287,12000,3453000
2014-05-13,287,287,286,286,7000,2007000
2014-05-12,287,290,287,287,20000,5765000
2014-05-09,287,288,287,287,13000,3739000
2014-05-08,285,289,284,287,24000,6884000
2014-05-07,286,286,283,284,32000,9114000
2014-05-02,284,286,284,286,17000,4845000
2014-05-01,283,288,282,286,43000,12255000
2014-04-30,285,286,285,286,20000,5702000
2014-04-28,285,285,283,284,20000,5691000
2014-04-25,285,288,285,287,6000,1721000
2014-04-24,288,288,285,285,7000,1999000
2014-04-23,286,287,285,286,7000,2002000
2014-04-22,286,288,285,286,27000,7725000
2014-04-21,288,289,285,285,29000,8337000
2014-04-18,287,288,287,288,12000,3447000
2014-04-17,287,287,286,286,23000,6585000
2014-04-16,287,288,285,288,26000,7440000
2014-04-15,290,290,285,286,86000,24878000
2014-04-14,282,285,281,283,26000,7373000
2014-04-11,282,283,280,282,48000,13518000
2014-04-10,286,286,284,284,30000,8561000
2014-04-09,284,284,282,282,32000,9045000
2014-04-08,287,288,285,285,62000,17755000
2014-04-07,291,292,290,290,32000,9293000
2014-04-04,294,294,292,292,27000,7895000
2014-04-03,296,297,294,295,41000,12104000
2014-04-02,297,297,295,296,31000,9172000
2014-04-01,296,296,295,296,16000,4733000
2014-03-31,294,297,293,295,24000,7080000
2014-03-28,293,297,292,297,27000,7960000
2014-03-27,292,293,290,292,47000,13718000
2014-03-26,299,299,295,296,73000,21635000
2014-03-25,300,300,294,298,65000,19356000
2014-03-24,294,300,294,299,60000,17890000
2014-03-20,298,298,293,294,50000,14781000
2014-03-19,293,299,293,298,94000,27924000
2014-03-18,293,293,293,293,10000,2930000
2014-03-17,292,293,287,289,74000,21475000
2014-03-14,294,299,292,292,149000,43806000
2014-03-13,298,299,297,298,54000,16093000
2014-03-12,300,301,299,299,58000,17395000
2014-03-11,305,306,301,303,166000,50560000
2014-03-10,297,303,297,302,178000,53479000
2014-03-07,294,295,294,294,7000,2059000
2014-03-06,292,294,292,293,10000,2931000
2014-03-05,294,294,291,292,13000,3806000
2014-03-04,290,292,287,291,38000,11037000
2014-03-03,289,294,289,290,30000,8708000
2014-02-28,297,297,289,289,105000,30914000
2014-02-27,296,296,293,293,15000,4420000
2014-02-26,296,296,295,295,18000,5318000
2014-02-25,297,297,293,295,21000,6209000
2014-02-24,295,296,290,293,39000,11439000
2014-02-21,291,294,290,293,27000,7877000
2014-02-20,292,292,289,290,41000,11938000
2014-02-19,296,296,291,294,9000,2642000
2014-02-18,295,297,288,295,39000,11403000
2014-02-17,290,294,287,294,39000,11370000
2014-02-14,292,294,287,287,31000,9031000
2014-02-13,294,297,291,292,28000,8210000
2014-02-12,293,297,293,293,31000,9146000
2014-02-10,291,294,287,290,46000,13337000
2014-02-07,287,290,287,289,24000,6944000
2014-02-06,284,288,284,286,32000,9141000
2014-02-05,284,287,282,284,55000,15629000
2014-02-04,290,290,280,282,175000,49685000
2014-02-03,295,297,293,293,45000,13262000
2014-01-31,295,300,295,297,68000,20212000
2014-01-30,299,299,294,294,119000,35210000
2014-01-29,301,302,299,302,49000,14718000
2014-01-28,303,303,297,298,76000,22697000
2014-01-27,300,303,298,298,125000,37488000
2014-01-24,302,304,299,300,113000,34076000
2014-01-23,310,311,307,307,40000,12361000
2014-01-22,310,313,309,310,69000,21475000
2014-01-21,311,311,309,309,94000,29127000
2014-01-20,309,311,309,310,67000,20759000
2014-01-17,306,309,305,308,81000,24890000
2014-01-16,304,306,303,304,47000,14310000
2014-01-15,305,307,301,304,131000,39903000
2014-01-14,300,303,297,302,87000,26077000
2014-01-10,298,302,298,300,75000,22485000
2014-01-09,300,301,299,301,33000,9905000
2014-01-08,298,301,298,300,53000,15869000
2014-01-07,300,300,298,298,32000,9578000
2014-01-06,299,299,295,298,49000,14570000
2013-12-30,293,300,293,299,99000,29418000
2013-12-27,289,294,288,293,83000,24121000
2013-12-26,290,293,286,290,86000,24932000
2013-12-25,289,290,285,289,101000,29006000
2013-12-24,290,290,287,288,44000,12698000
2013-12-20,288,290,288,289,167000,48157000
2013-12-19,295,295,286,288,133000,38609000
2013-12-18,290,293,289,290,88000,25617000
2013-12-17,289,292,288,290,54000,15672000
2013-12-16,293,293,287,288,99000,28670000
2013-12-13,286,288,285,287,104000,29784000
2013-12-12,286,287,286,287,18000,5156000
2013-12-11,288,288,285,286,48000,13763000
2013-12-10,287,288,286,288,25000,7186000
2013-12-09,287,288,286,288,67000,19273000
2013-12-06,285,287,285,286,64000,18278000
2013-12-05,285,288,285,285,52000,14852000
2013-12-04,287,287,286,287,30000,8604000
2013-12-03,288,288,286,287,58000,16653000
2013-12-02,288,288,286,286,20000,5733000
2013-11-29,288,288,287,287,29000,8341000
2013-11-28,287,288,285,288,57000,16344000
2013-11-27,287,288,286,287,26000,7458000
2013-11-26,285,286,284,286,35000,9985000
2013-11-25,288,288,286,287,30000,8604000
2013-11-22,288,288,285,286,61000,17519000
2013-11-21,286,287,285,287,65000,18571000
2013-11-20,287,287,285,286,78000,22298000
2013-11-19,288,288,284,287,44000,12597000
2013-11-18,287,289,286,287,79000,22693000
2013-11-15,289,290,288,289,35000,10107000
2013-11-14,289,289,285,287,35000,10045000
2013-11-13,285,289,284,289,142000,40620000
2013-11-12,284,284,283,284,25000,7094000
2013-11-11,286,287,283,283,27000,7685000
2013-11-08,283,284,282,282,35000,9887000
2013-11-07,286,286,284,285,18000,5131000
2013-11-06,283,286,283,286,33000,9381000
2013-11-05,293,293,284,285,58000,16703000
2013-11-01,289,289,279,287,96000,27236000
2013-10-31,285,288,284,287,40000,11431000
2013-10-30,288,305,283,286,289000,84086000
2013-10-29,287,288,285,287,50000,14326000
2013-10-28,287,288,284,286,19000,5433000
2013-10-25,289,289,282,285,89000,25385000
2013-10-24,286,286,285,286,19000,5431000
2013-10-23,287,289,285,286,53000,15194000
2013-10-22,286,289,285,285,27000,7736000
2013-10-21,284,289,284,286,51000,14543000
2013-10-18,283,284,281,284,22000,6223000
2013-10-17,285,286,282,284,40000,11365000
2013-10-16,284,284,281,283,19000,5373000
2013-10-15,285,287,283,284,48000,13676000
2013-10-11,283,285,281,284,55000,15578000
2013-10-10,281,282,277,282,27000,7540000
2013-10-09,275,279,275,279,25000,6931000
2013-10-08,278,279,273,278,53000,14621000
2013-10-07,284,284,276,277,83000,23085000
2013-10-04,283,285,279,284,45000,12700000
