7726-T,東証2部,黒田精,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,190,194,190,191,7000,1345000
2014-06-26,190,190,190,190,1000,190000
2014-06-25,190,191,190,191,3000,571000
2014-06-24,188,192,188,192,7000,1335000
2014-06-23,188,191,188,191,2000,379000
2014-06-20,187,187,187,187,4000,748000
2014-06-19,186,187,185,186,11000,2045000
2014-06-18,187,188,185,185,19000,3537000
2014-06-17,185,186,184,186,7000,1295000
2014-06-16,185,185,185,185,12000,2220000
2014-06-13,183,185,183,185,4000,736000
2014-06-12,182,182,182,182,5000,910000
2014-06-11,-,-,-,-,0,0
2014-06-10,184,184,182,182,8000,1464000
2014-06-09,183,184,183,183,7000,1283000
2014-06-06,183,183,180,181,22000,3992000
2014-06-05,184,184,180,182,13000,2365000
2014-06-04,185,185,183,184,3000,552000
2014-06-03,182,184,182,184,4000,730000
2014-06-02,180,184,180,183,12000,2190000
2014-05-30,178,178,178,178,2000,356000
2014-05-29,179,179,179,179,1000,179000
2014-05-28,179,180,179,179,6000,1075000
2014-05-27,182,182,179,179,12000,2164000
2014-05-26,182,182,182,182,2000,364000
2014-05-23,179,182,179,180,7000,1265000
2014-05-22,179,179,179,179,2000,358000
2014-05-21,174,175,174,175,5000,873000
2014-05-20,182,187,178,178,13000,2330000
2014-05-19,184,184,184,184,1000,184000
2014-05-16,180,185,179,185,18000,3263000
2014-05-15,187,187,181,181,39000,7105000
2014-05-14,183,187,182,187,14000,2569000
2014-05-13,188,189,183,183,18000,3358000
2014-05-12,187,189,183,183,24000,4459000
2014-05-09,185,195,185,187,19000,3624000
2014-05-08,189,190,187,187,22000,4145000
2014-05-07,192,194,192,194,6000,1157000
2014-05-02,191,195,190,195,6000,1148000
2014-05-01,-,-,-,-,0,0
2014-04-30,190,191,187,191,93000,17631000
2014-04-28,-,-,-,-,0,0
2014-04-25,193,195,192,193,7000,1352000
2014-04-24,198,198,193,193,8000,1579000
2014-04-23,-,-,-,-,0,0
2014-04-22,197,197,197,197,1000,197000
2014-04-21,202,202,194,198,19000,3747000
2014-04-18,202,202,201,201,2000,403000
2014-04-17,199,201,198,201,10000,1991000
2014-04-16,197,200,197,200,11000,2178000
2014-04-15,193,197,193,197,7000,1355000
2014-04-14,193,193,187,193,6000,1137000
2014-04-11,192,196,188,196,45000,8740000
2014-04-10,197,201,194,197,119000,23440000
2014-04-09,204,204,186,193,47000,9098000
2014-04-08,204,206,203,205,19000,3877000
2014-04-07,202,206,201,204,17000,3462000
2014-04-04,205,206,200,206,46000,9406000
2014-04-03,196,208,196,207,216000,43313000
2014-04-02,190,197,190,196,35000,6829000
2014-04-01,188,191,188,191,19000,3609000
2014-03-31,185,189,185,188,10000,1866000
2014-03-28,184,184,182,184,3000,550000
2014-03-27,178,180,178,180,7000,1250000
2014-03-26,180,190,180,186,17000,3128000
2014-03-25,179,183,178,180,74000,13264000
2014-03-24,180,181,180,181,10000,1807000
2014-03-20,186,186,180,180,37000,6779000
2014-03-19,187,187,185,186,5000,930000
2014-03-18,190,191,185,191,8000,1508000
2014-03-17,190,191,182,185,41000,7743000
2014-03-14,183,189,183,189,34000,6281000
2014-03-13,183,187,183,183,12000,2214000
2014-03-12,180,185,180,183,8000,1455000
2014-03-11,184,184,182,182,4000,731000
2014-03-10,185,186,183,183,7000,1296000
2014-03-07,180,185,180,182,15000,2747000
2014-03-06,176,182,176,180,29000,5146000
2014-03-05,180,180,173,176,12000,2113000
2014-03-04,175,178,175,176,21000,3682000
2014-03-03,178,218,175,176,294000,56026000
2014-02-28,179,179,179,179,5000,895000
2014-02-27,178,179,178,178,9000,1603000
2014-02-26,183,184,183,183,9000,1650000
2014-02-25,183,183,182,182,6000,1096000
2014-02-24,179,183,179,183,5000,902000
2014-02-21,178,179,177,179,4000,712000
2014-02-20,177,178,176,178,16000,2822000
2014-02-19,178,181,171,181,24000,4234000
2014-02-18,178,187,175,183,20000,3640000
2014-02-17,180,180,180,180,13000,2340000
2014-02-14,184,184,178,180,14000,2520000
2014-02-13,185,186,182,185,6000,1105000
2014-02-12,187,187,185,185,11000,2045000
2014-02-10,186,186,183,185,7000,1291000
2014-02-07,179,179,177,177,9000,1608000
2014-02-06,174,180,174,175,12000,2112000
2014-02-05,179,180,172,175,19000,3347000
2014-02-04,164,179,162,172,82000,13780000
2014-02-03,192,194,188,194,17000,3237000
2014-01-31,198,198,194,194,18000,3539000
2014-01-30,196,199,196,197,24000,4724000
2014-01-29,199,208,199,207,12000,2465000
2014-01-28,195,200,195,196,21000,4142000
2014-01-27,197,203,196,198,25000,4932000
2014-01-24,212,212,206,208,19000,3974000
2014-01-23,213,214,212,212,17000,3620000
2014-01-22,212,213,210,213,18000,3795000
2014-01-21,214,218,210,214,27000,5722000
2014-01-20,206,218,204,214,54000,11475000
2014-01-17,205,205,203,205,11000,2247000
2014-01-16,199,205,199,205,49000,9917000
2014-01-15,198,203,197,197,73000,14574000
2014-01-14,200,201,196,198,20000,3989000
2014-01-10,203,203,200,203,19000,3815000
2014-01-09,200,204,200,203,26000,5253000
2014-01-08,197,200,196,200,30000,5928000
2014-01-07,196,199,196,197,25000,4933000
2014-01-06,197,198,195,196,22000,4326000
2013-12-30,194,195,193,195,19000,3693000
2013-12-27,189,190,187,190,21000,3954000
2013-12-26,180,185,180,184,15000,2739000
2013-12-25,176,178,174,177,49000,8600000
2013-12-24,184,184,175,177,74000,13311000
2013-12-20,185,190,184,184,35000,6502000
2013-12-19,190,190,186,186,15000,2811000
2013-12-18,193,193,186,186,34000,6439000
2013-12-17,198,198,189,193,42000,8120000
2013-12-16,199,203,197,200,25000,5015000
2013-12-13,199,199,195,199,25000,4932000
2013-12-12,203,203,199,202,9000,1816000
2013-12-11,208,211,192,206,42000,8568000
2013-12-10,212,212,208,208,25000,5220000
2013-12-09,213,214,207,209,23000,4817000
2013-12-06,212,213,210,213,28000,5916000
2013-12-05,212,212,211,212,16000,3388000
2013-12-04,216,216,212,214,12000,2564000
2013-12-03,215,217,215,217,8000,1725000
2013-12-02,216,220,214,214,35000,7544000
2013-11-29,219,219,216,216,10000,2183000
2013-11-28,213,227,213,219,136000,30096000
2013-11-27,212,215,212,212,6000,1279000
2013-11-26,216,217,211,214,12000,2566000
2013-11-25,212,218,212,218,58000,12398000
2013-11-22,214,214,209,209,29000,6136000
2013-11-21,212,219,212,214,41000,8746000
2013-11-20,215,215,214,214,14000,3002000
2013-11-19,218,218,215,218,15000,3249000
2013-11-18,218,219,218,218,9000,1963000
2013-11-15,218,220,215,220,39000,8518000
2013-11-14,224,224,216,219,30000,6637000
2013-11-13,220,224,219,224,14000,3090000
2013-11-12,224,224,220,224,10000,2225000
2013-11-11,230,230,216,220,55000,12261000
2013-11-08,215,240,215,232,182000,41927000
2013-11-07,212,217,212,217,11000,2370000
2013-11-06,214,215,212,212,22000,4699000
2013-11-05,217,219,213,213,43000,9307000
2013-11-01,214,215,212,212,19000,4071000
2013-10-31,213,213,211,213,12000,2544000
2013-10-30,213,216,213,213,8000,1713000
2013-10-29,214,216,212,216,13000,2786000
2013-10-28,217,217,210,215,22000,4712000
2013-10-25,209,212,208,212,13000,2712000
2013-10-24,213,213,210,210,15000,3159000
2013-10-23,215,217,213,214,18000,3876000
2013-10-22,208,215,208,215,20000,4214000
2013-10-21,210,210,203,208,28000,5741000
2013-10-18,206,208,205,206,24000,4960000
2013-10-17,205,210,205,207,40000,8270000
2013-10-16,208,208,206,206,7000,1447000
2013-10-15,212,214,209,209,41000,8686000
2013-10-11,211,211,209,211,24000,5053000
2013-10-10,217,217,206,208,21000,4408000
2013-10-09,203,209,203,209,37000,7584000
2013-10-08,204,215,202,210,47000,9696000
2013-10-07,208,210,199,203,27000,5539000
2013-10-04,219,219,213,213,22000,4733000
2013-10-03,221,221,217,219,16000,3509000
2013-10-02,219,220,216,218,22000,4801000
2013-10-01,216,221,216,219,50000,10890000
2013-09-30,214,225,213,220,141000,30760000
2013-09-27,235,244,233,240,81000,19267000
2013-09-26,234,245,226,238,172000,40426000
2013-09-25,222,273,219,248,630000,153029000
