7739-T,東証1部,キヤノン電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1882,1886,1861,1874,71900,134640800
2014-06-26,1889,1893,1881,1889,106800,201725800
2014-06-25,1918,1925,1909,1916,130900,251185700
2014-06-24,1895,1924,1893,1916,104000,198883300
2014-06-23,1900,1918,1888,1895,177100,336376800
2014-06-20,1932,1939,1880,1880,443700,841728900
2014-06-19,1918,1938,1915,1930,138300,266991500
2014-06-18,1900,1915,1898,1912,129400,246948900
2014-06-17,1892,1915,1892,1906,106200,202424100
2014-06-16,1893,1899,1876,1892,112100,211484200
2014-06-13,1876,1902,1876,1893,174500,329744700
2014-06-12,1877,1899,1873,1893,164400,310424900
2014-06-11,1851,1870,1851,1860,126100,234488800
2014-06-10,1850,1870,1849,1865,164200,305449700
2014-06-09,1840,1848,1835,1847,89300,164674100
2014-06-06,1827,1841,1826,1830,67000,122743200
2014-06-05,1826,1839,1823,1827,121300,222015200
2014-06-04,1805,1819,1803,1819,122700,222200100
2014-06-03,1796,1814,1796,1808,110800,199941900
2014-06-02,1784,1805,1784,1795,98500,176777900
2014-05-30,1781,1793,1781,1784,116300,207855200
2014-05-29,1775,1787,1774,1781,72200,128671100
2014-05-28,1771,1789,1771,1782,97900,174564800
2014-05-27,1777,1782,1761,1761,91100,161550800
2014-05-26,1750,1773,1747,1773,174500,307176000
2014-05-23,1752,1755,1736,1739,190500,332111000
2014-05-22,1755,1769,1745,1757,148000,260301400
2014-05-21,1766,1771,1743,1762,127900,224779000
2014-05-20,1789,1795,1775,1778,276200,492140600
2014-05-19,1707,1742,1707,1728,92700,160175400
2014-05-16,1708,1709,1700,1706,111400,189791100
2014-05-15,1712,1715,1706,1713,64500,110399100
2014-05-14,1712,1720,1711,1716,73200,125537200
2014-05-13,1721,1732,1713,1716,86400,148695800
2014-05-12,1711,1734,1709,1716,131300,226256000
2014-05-09,1712,1722,1710,1711,113200,194107100
2014-05-08,1712,1732,1712,1721,138300,238016400
2014-05-07,1725,1730,1709,1710,133300,229037000
2014-05-02,1725,1745,1725,1742,100700,174869000
2014-05-01,1720,1747,1720,1734,116300,201803000
2014-04-30,1725,1741,1722,1728,102500,177059000
2014-04-28,1745,1745,1725,1736,85100,147454700
2014-04-25,1761,1761,1733,1753,110600,193124400
2014-04-24,1766,1794,1732,1746,218600,383686200
2014-04-23,1790,1809,1783,1806,72300,129838700
2014-04-22,1793,1799,1780,1780,60400,108050600
2014-04-21,1784,1801,1780,1794,61600,110441600
2014-04-18,1775,1785,1775,1785,25300,45066500
2014-04-17,1781,1802,1769,1770,72600,129318800
2014-04-16,1769,1790,1766,1788,52600,93503200
2014-04-15,1777,1784,1763,1766,63600,112586100
2014-04-14,1765,1789,1765,1777,37200,66313400
2014-04-11,1760,1785,1751,1771,49400,87366300
2014-04-10,1787,1802,1776,1776,46800,83606700
2014-04-09,1791,1796,1772,1772,80600,143626400
2014-04-08,1800,1804,1793,1796,51200,92042700
2014-04-07,1793,1808,1793,1802,57200,102875600
2014-04-04,1806,1819,1796,1804,50000,90091200
2014-04-03,1818,1820,1805,1806,36900,66779600
2014-04-02,1802,1821,1794,1806,79400,143535600
2014-04-01,1815,1815,1794,1802,38900,70089500
2014-03-31,1810,1817,1778,1800,74700,133905000
2014-03-28,1800,1809,1788,1805,55000,99013800
2014-03-27,1788,1795,1771,1792,61100,109074700
2014-03-26,1762,1786,1762,1769,55900,99069700
2014-03-25,1775,1784,1757,1761,50300,89191500
2014-03-24,1719,1774,1717,1754,102900,180757600
2014-03-20,1762,1762,1706,1706,99000,170710800
2014-03-19,1739,1758,1730,1741,67300,117276800
2014-03-18,1750,1756,1735,1739,49500,86340700
2014-03-17,1749,1749,1720,1725,70200,121446100
2014-03-14,1751,1767,1749,1749,114600,201098600
2014-03-13,1787,1800,1782,1788,50600,90729500
2014-03-12,1810,1815,1796,1796,68100,122833800
2014-03-11,1830,1831,1817,1827,38600,70398300
2014-03-10,1824,1826,1814,1820,31000,56431300
2014-03-07,1832,1833,1820,1824,46700,85270000
2014-03-06,1820,1829,1814,1822,38800,70680500
2014-03-05,1845,1856,1815,1816,54400,99563200
2014-03-04,1813,1834,1806,1827,70600,128534400
2014-03-03,1815,1829,1809,1813,61900,112411400
2014-02-28,1843,1843,1815,1828,61400,112083800
2014-02-27,1843,1857,1830,1833,79000,145403100
2014-02-26,1850,1857,1836,1843,91500,168738100
2014-02-25,1899,1899,1860,1875,66100,123875100
2014-02-24,1890,1897,1865,1881,55300,103799700
2014-02-21,1860,1895,1860,1891,59700,112282500
2014-02-20,1871,1887,1844,1849,57400,106404000
2014-02-19,1856,1894,1856,1890,46600,87690000
2014-02-18,1848,1899,1848,1891,64300,120798500
2014-02-17,1834,1872,1829,1867,41800,77353800
2014-02-14,1863,1887,1835,1845,75100,138966000
2014-02-13,1889,1889,1859,1869,96100,179942300
2014-02-12,1866,1900,1866,1881,63600,119708200
2014-02-10,1869,1882,1860,1864,37400,69769800
2014-02-07,1853,1867,1838,1859,60400,112085000
2014-02-06,1858,1864,1835,1851,48500,89739900
2014-02-05,1854,1870,1830,1858,90600,167645200
2014-02-04,1900,1919,1833,1836,116000,216251900
2014-02-03,1961,1989,1937,1940,84500,165435000
2014-01-31,1966,1989,1936,1961,89000,174421600
2014-01-30,1953,1992,1953,1964,124800,245585900
2014-01-29,1980,2070,1968,2053,216900,441776500
2014-01-28,1947,1972,1937,1961,92300,180853800
2014-01-27,1955,1955,1932,1933,74100,143948000
2014-01-24,1994,2007,1982,1987,84900,169099700
2014-01-23,2030,2040,2013,2016,70900,143491100
2014-01-22,2032,2033,2007,2026,86100,174261800
2014-01-21,2015,2030,2012,2018,63200,127782900
2014-01-20,2003,2013,1999,2008,97400,195586900
2014-01-17,1995,1998,1975,1996,72300,143856500
2014-01-16,1997,2002,1971,1977,117500,233876500
2014-01-15,1975,2000,1969,1983,154600,306671800
2014-01-14,1953,1961,1927,1951,90400,176223800
2014-01-10,1955,1966,1942,1965,90100,176203100
2014-01-09,1960,1961,1946,1961,65900,128787400
2014-01-08,1953,1959,1946,1959,64600,126211200
2014-01-07,1951,1951,1935,1935,54200,105179700
2014-01-06,1947,1960,1936,1959,112900,219977100
2013-12-30,1930,1938,1922,1938,70100,135428500
2013-12-27,1904,1929,1899,1929,108600,207814200
2013-12-26,1887,1906,1877,1894,182600,345154800
2013-12-25,1944,1954,1940,1943,131300,255467000
2013-12-24,1953,1968,1941,1945,141200,275953900
2013-12-20,1951,1957,1950,1957,66300,129508500
2013-12-19,1960,1969,1949,1959,107000,209501400
2013-12-18,1945,1959,1945,1958,69100,134975200
2013-12-17,1938,1957,1938,1956,81100,158013200
2013-12-16,1958,1960,1944,1945,75300,147073000
2013-12-13,1946,1960,1940,1953,128400,250285500
2013-12-12,1954,1954,1941,1946,56400,109868000
2013-12-11,1955,1967,1909,1956,99300,194203200
2013-12-10,1949,1962,1938,1956,91000,177613900
2013-12-09,1917,1946,1915,1946,105500,204024100
2013-12-06,1906,1913,1900,1912,75700,144252400
2013-12-05,1913,1918,1906,1909,63800,122001600
2013-12-04,1902,1917,1899,1904,70800,134987200
2013-12-03,1920,1923,1910,1914,55600,106597400
2013-12-02,1901,1921,1901,1912,67700,129626000
2013-11-29,1893,1910,1890,1903,70100,133410400
2013-11-28,1898,1909,1892,1896,60400,114759900
2013-11-27,1895,1906,1885,1889,83200,157912800
2013-11-26,1899,1902,1881,1884,81300,153504800
2013-11-25,1900,1910,1885,1896,71300,135210300
2013-11-22,1877,1909,1875,1892,157300,297232900
2013-11-21,1851,1875,1851,1875,60800,113669800
2013-11-20,1853,1872,1853,1862,42300,78805200
2013-11-19,1858,1860,1852,1854,28000,51971300
2013-11-18,1872,1874,1853,1858,43100,80254300
2013-11-15,1869,1873,1857,1863,55100,102819900
2013-11-14,1842,1864,1839,1856,54600,101178700
2013-11-13,1840,1854,1838,1845,27600,50926700
2013-11-12,1825,1846,1825,1845,30800,56648300
2013-11-11,1848,1850,1828,1833,31900,58641900
2013-11-08,1821,1845,1819,1823,32400,59070600
2013-11-07,1820,1854,1820,1848,82100,151492000
2013-11-06,1800,1830,1798,1809,38800,70294700
2013-11-05,1817,1834,1795,1799,58900,106372100
2013-11-01,1836,1836,1812,1821,35000,63745900
2013-10-31,1835,1852,1830,1835,34400,63281700
2013-10-30,1834,1847,1834,1840,34800,64077900
2013-10-29,1837,1848,1832,1832,35700,65587900
2013-10-28,1845,1857,1834,1854,57200,105759700
2013-10-25,1858,1863,1840,1840,54200,100159900
2013-10-24,1865,1870,1842,1850,54500,100844600
2013-10-23,1864,1875,1838,1844,65700,121807200
2013-10-22,1863,1865,1848,1864,37100,69081000
2013-10-21,1863,1865,1856,1862,31400,58450900
2013-10-18,1861,1865,1852,1862,48000,89310200
2013-10-17,1853,1870,1850,1864,45800,85254700
2013-10-16,1838,1860,1837,1853,53000,98151100
2013-10-15,1840,1853,1835,1839,58800,108517600
2013-10-11,1841,1847,1826,1838,85400,156974000
2013-10-10,1792,1834,1791,1832,70800,128866700
2013-10-09,1776,1792,1763,1792,55800,99056200
2013-10-08,1776,1783,1769,1776,50600,89757900
2013-10-07,1797,1805,1779,1779,47800,85376900
2013-10-04,1791,1811,1786,1798,51700,92865900
2013-10-03,1798,1816,1795,1795,37400,67234800
2013-10-02,1816,1833,1801,1806,66200,119901400
2013-10-01,1810,1840,1810,1822,44200,80684700
2013-09-30,1828,1828,1805,1810,50300,91231300
2013-09-27,1850,1850,1831,1842,44100,81126300
2013-09-26,1823,1854,1801,1854,93100,170560000
2013-09-25,1818,1850,1791,1822,136100,246276900
2013-09-24,1823,1827,1795,1802,88000,159060800
2013-09-20,1804,1824,1802,1822,119400,216596900
2013-09-19,1794,1797,1785,1797,52700,94408300
2013-09-18,1790,1792,1775,1782,51500,91854200
2013-09-17,1782,1794,1779,1779,58900,105245200
2013-09-13,1762,1777,1757,1777,90600,160121300
2013-09-12,1765,1776,1752,1756,56400,99369000
2013-09-11,1771,1775,1751,1757,67800,119382400
2013-09-10,1752,1763,1751,1759,84900,149115200
2013-09-09,1777,1780,1743,1754,75200,131947300
2013-09-06,1770,1777,1732,1741,118100,205950700
2013-09-05,1777,1780,1763,1770,45500,80625800
2013-09-04,1783,1784,1761,1771,66000,116848600
2013-09-03,1722,1794,1722,1782,143000,252798000
2013-09-02,1714,1730,1712,1717,36900,63464600
2013-08-30,1745,1758,1727,1727,71900,124879900
2013-08-29,1750,1757,1740,1744,79700,139040000
2013-08-28,1737,1764,1733,1757,98300,171902500
2013-08-27,1750,1764,1746,1746,58600,102746200
2013-08-26,1766,1767,1752,1762,104100,183045400
2013-08-23,1775,1775,1750,1756,112000,196737300
2013-08-22,1752,1776,1751,1763,66400,116798600
2013-08-21,1776,1776,1755,1761,86800,153079800
2013-08-20,1790,1794,1770,1770,97300,173143800
2013-08-19,1805,1811,1788,1797,126400,227323900
2013-08-16,1811,1818,1805,1805,49600,89821500
2013-08-15,1840,1840,1810,1810,136400,247693300
2013-08-14,1850,1861,1831,1851,72000,133055200
2013-08-13,1828,1844,1824,1840,78200,143354500
2013-08-12,1815,1830,1800,1820,85500,155400700
2013-08-09,1865,1871,1817,1818,100300,184059300
2013-08-08,1878,1921,1864,1866,100400,190278700
2013-08-07,1891,1912,1880,1897,67100,127330000
2013-08-06,1899,1922,1885,1922,52700,100538000
2013-08-05,1900,1917,1874,1898,75700,143726200
2013-08-02,1898,1920,1892,1902,118000,224884700
2013-08-01,1843,1892,1836,1892,64200,119874100
2013-07-31,1890,1897,1845,1849,139500,261847900
2013-07-30,1882,1918,1882,1908,106300,202407600
2013-07-29,1865,1899,1845,1874,133100,250352800
2013-07-26,1890,1917,1872,1896,122300,232361500
2013-07-25,1864,1918,1850,1892,117200,220565300
2013-07-24,1900,1934,1876,1883,139800,266465900
2013-07-23,1865,1873,1842,1865,93000,172855100
2013-07-22,1861,1884,1841,1884,116700,217720400
2013-07-19,1876,1876,1835,1841,100300,185490600
2013-07-18,1858,1876,1783,1876,144300,268456100
2013-07-17,1842,1857,1840,1852,103800,191903800
2013-07-16,1830,1842,1823,1840,78800,144639100
2013-07-12,1838,1838,1823,1828,65100,119079700
2013-07-11,1846,1851,1828,1837,30800,56613700
2013-07-10,1857,1857,1842,1849,53700,99143500
2013-07-09,1846,1859,1839,1857,42800,79192300
2013-07-08,1869,1870,1840,1840,45500,84344700
2013-07-05,1848,1860,1842,1860,33600,62193700
2013-07-04,1866,1866,1842,1848,27000,49951700
2013-07-03,1867,1870,1850,1867,60100,112080900
2013-07-02,1855,1870,1835,1866,73500,136313300
2013-07-01,1828,1857,1817,1857,80900,149116100
2013-06-28,1800,1820,1788,1814,104100,188042900
2013-06-27,1797,1809,1762,1796,101700,180981500
2013-06-26,1830,1830,1794,1796,59400,107497200
2013-06-25,1860,1879,1840,1862,142100,264436500
2013-06-24,1875,1875,1839,1861,99500,185050900
2013-06-21,1817,1866,1808,1866,102800,189733800
