7743-T,東証2部,シード,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1411,1450,1400,1450,3500,4995200
2014-06-26,1380,1455,1380,1441,2600,3690300
2014-06-25,1469,1469,1403,1403,5900,8461500
2014-06-24,1438,1478,1435,1444,3200,4671500
2014-06-23,1490,1490,1428,1430,13600,19711900
2014-06-20,1480,1498,1477,1497,6000,8909000
2014-06-19,1500,1500,1476,1500,5000,7459100
2014-06-18,1500,1520,1464,1500,6700,9986100
2014-06-17,1500,1517,1499,1508,19100,28757300
2014-06-16,1480,1508,1480,1500,15100,22596200
2014-06-13,1398,1477,1397,1476,26700,38532100
2014-06-12,1376,1396,1373,1374,3200,4441800
2014-06-11,1381,1396,1373,1375,5100,7034900
2014-06-10,1400,1415,1370,1382,20500,28654400
2014-06-09,1335,1400,1330,1383,17100,23474300
2014-06-06,1344,1344,1285,1315,2700,3543900
2014-06-05,1287,1298,1250,1284,2800,3581700
2014-06-04,1358,1358,1300,1300,4500,6008400
2014-06-03,1301,1329,1300,1301,5400,7070700
2014-06-02,1327,1329,1320,1320,3800,5031600
2014-05-30,1304,1310,1255,1290,7100,9205600
2014-05-29,1299,1305,1285,1285,3100,4010700
2014-05-28,1242,1309,1242,1280,6100,7837400
2014-05-27,1234,1256,1230,1242,6400,7961900
2014-05-26,1230,1239,1224,1233,6600,8120200
2014-05-23,1230,1230,1195,1224,7500,9161100
2014-05-22,1170,1219,1110,1210,16900,19975200
2014-05-21,1150,1150,1118,1145,3700,4225700
2014-05-20,1084,1176,1073,1176,7100,7946900
2014-05-19,1090,1090,1080,1084,6800,7391100
2014-05-16,1045,1100,1028,1090,13100,13978300
2014-05-15,1028,1059,1028,1042,6500,6761700
2014-05-14,1035,1052,1030,1052,14100,14722000
2014-05-13,1039,1039,1015,1035,21700,22281100
2014-05-12,1115,1116,1028,1047,14700,15806500
2014-05-09,1150,1169,1100,1107,14600,16386600
2014-05-08,1210,1210,1130,1172,20300,23748300
2014-05-07,1200,1203,1189,1200,3700,4436000
2014-05-02,1217,1217,1186,1200,5200,6250300
2014-05-01,1122,1230,1122,1224,13300,15345700
2014-04-30,1185,1193,1140,1148,21800,25192300
2014-04-28,1230,1230,1185,1199,6200,7486600
2014-04-25,1250,1250,1200,1225,16600,20185100
2014-04-24,1278,1278,1210,1238,9100,11367100
2014-04-23,1299,1305,1280,1287,8000,10338000
2014-04-22,1354,1354,1300,1313,3700,4861800
2014-04-21,1360,1360,1300,1354,3900,5254700
2014-04-18,1360,1360,1313,1355,3700,4971600
2014-04-17,1285,1360,1284,1335,5100,6743900
2014-04-16,1293,1303,1280,1281,5700,7338300
2014-04-15,1299,1299,1276,1293,3900,5011700
2014-04-14,1334,1334,1267,1300,8200,10656700
2014-04-11,1370,1370,1331,1331,7700,10381900
2014-04-10,1432,1434,1405,1408,2900,4117200
2014-04-09,1450,1450,1389,1409,4800,6764000
2014-04-08,1500,1500,1453,1475,2400,3537300
2014-04-07,1509,1512,1480,1480,1400,2105700
2014-04-04,1498,1509,1477,1509,4200,6301800
2014-04-03,1499,1500,1457,1483,6600,9789400
2014-04-02,1425,1499,1425,1499,12600,18436600
2014-04-01,1380,1395,1345,1395,9200,12654300
2014-03-31,1355,1389,1300,1380,10200,13774800
2014-03-28,1363,1378,1324,1377,12300,16616400
2014-03-27,1402,1425,1379,1388,12800,17884900
2014-03-26,1558,1558,1440,1452,18000,26526600
2014-03-25,1560,1560,1523,1547,3000,4637600
2014-03-24,1545,1545,1490,1545,8700,13172400
2014-03-20,1529,1550,1501,1548,6800,10387700
2014-03-19,1523,1543,1500,1543,7300,11097100
2014-03-18,1540,1582,1513,1523,3500,5360700
2014-03-17,1496,1507,1490,1490,9000,13476600
2014-03-14,1530,1539,1496,1496,38200,57837800
2014-03-13,1545,1556,1520,1530,9300,14338700
2014-03-12,1516,1589,1490,1540,30600,46819500
2014-03-11,1602,1625,1594,1595,11500,18456100
2014-03-10,1673,1673,1600,1600,22800,36998200
2014-03-07,1705,1706,1666,1678,12200,20555300
2014-03-06,1711,1725,1703,1725,3500,5996000
2014-03-05,1726,1751,1711,1711,4300,7387100
2014-03-04,1727,1750,1711,1720,3000,5177700
2014-03-03,1800,1800,1745,1746,6200,10907400
2014-02-28,1735,1835,1734,1819,14500,26106800
2014-02-27,1720,1738,1710,1720,11200,19309100
2014-02-26,1753,1753,1728,1730,1200,2086100
2014-02-25,1775,1775,1727,1753,3000,5262600
2014-02-24,1724,1744,1720,1723,1900,3282700
2014-02-21,1722,1744,1721,1744,1700,2939400
2014-02-20,1780,1780,1745,1745,2500,4395500
2014-02-19,1800,1809,1800,1800,1400,2523100
2014-02-18,1800,1840,1760,1800,7700,13840500
2014-02-17,1813,1813,1731,1755,2600,4582300
2014-02-14,1815,1829,1750,1813,5200,9249900
2014-02-13,1759,1830,1748,1829,6500,11689500
2014-02-12,1850,1865,1800,1839,4900,8956500
2014-02-10,1900,1900,1840,1853,2200,4099200
2014-02-07,1822,1890,1822,1880,3500,6564400
2014-02-06,1895,1895,1811,1821,5000,9229300
2014-02-05,1804,1855,1804,1855,3000,5461600
2014-02-04,1770,1863,1702,1802,13300,23754700
2014-02-03,1998,1998,1936,1965,3500,6906900
2014-01-31,2002,2002,1927,1958,3000,5880600
2014-01-30,1995,1995,1920,1962,6100,11939000
2014-01-29,1905,2020,1905,1999,14200,28036600
2014-01-28,2011,2074,1941,1941,26200,52356700
2014-01-27,2014,2245,2011,2030,89500,184896200
2014-01-24,2011,2011,1972,1974,3600,7159400
2014-01-23,2033,2034,1991,2008,9500,19072800
2014-01-22,2005,2039,1995,2030,9800,19772900
2014-01-21,1954,2020,1951,2002,28100,56025100
2014-01-20,1905,1964,1895,1931,13800,26586000
2014-01-17,1935,1940,1891,1891,12400,23767500
2014-01-16,1835,1855,1835,1838,1600,2956900
2014-01-15,1832,1890,1811,1834,6800,12601500
2014-01-14,1831,1860,1830,1852,3900,7162600
2014-01-10,1810,1875,1810,1867,10000,18525100
2014-01-09,1790,1830,1790,1798,4900,8840200
2014-01-08,1790,1810,1790,1790,4600,8261000
2014-01-07,1789,1797,1789,1793,4400,7891400
2014-01-06,1815,1842,1815,1815,7500,13650200
2013-12-30,1879,1879,1803,1860,10600,19646300
2013-12-27,1880,1880,1840,1850,3500,6520900
2013-12-26,1859,1878,1792,1874,5300,9799700
2013-12-25,1879,1879,1799,1805,12400,22733000
2013-12-24,1810,1897,1810,1888,19500,36355900
2013-12-20,1778,1847,1746,1786,9100,16471700
2013-12-19,1772,1840,1700,1818,15000,26951300
2013-12-18,1847,1882,1732,1732,18200,32686100
2013-12-17,1876,1895,1847,1870,17500,32799100
2013-12-16,1790,1899,1788,1895,16100,29566200
2013-12-13,1818,1939,1818,1830,18100,34002800
2013-12-12,1753,1820,1633,1790,28600,49972300
2013-12-11,1730,1768,1696,1713,20900,36252400
2013-12-10,1609,1730,1609,1730,36200,60976500
2013-12-09,1602,1660,1560,1621,16300,26544800
2013-12-06,1634,1634,1600,1627,3400,5522800
2013-12-05,1525,1634,1525,1634,20900,33257400
2013-12-04,1550,1566,1515,1530,9400,14471800
2013-12-03,1569,1690,1569,1612,35200,57339500
2013-12-02,1558,1560,1526,1560,15100,23515000
2013-11-29,1522,1550,1489,1518,20400,31122700
2013-11-28,1525,1525,1488,1504,3000,4492600
2013-11-27,1510,1525,1497,1500,6600,9959600
2013-11-26,1525,1550,1524,1544,11100,17131600
2013-11-25,1540,1540,1500,1520,5400,8198600
2013-11-22,1520,1540,1500,1500,6300,9505700
2013-11-21,1493,1518,1463,1518,19000,28525200
2013-11-20,1428,1489,1405,1463,11700,16958500
2013-11-19,1460,1473,1415,1425,8600,12356900
2013-11-18,1520,1520,1450,1460,4000,5906600
2013-11-15,1497,1499,1450,1480,7000,10372300
2013-11-14,1580,1580,1500,1504,7900,12003400
2013-11-13,1480,1593,1473,1570,6800,10396000
2013-11-12,1412,1600,1380,1516,10500,15618900
2013-11-11,1525,1525,1448,1448,3600,5298200
2013-11-08,1555,1555,1525,1525,1100,1688100
2013-11-07,1580,1595,1547,1585,5700,8999500
2013-11-06,1600,1610,1550,1580,6000,9516500
2013-11-05,1533,1598,1527,1598,6400,10030600
2013-11-01,1477,1548,1461,1548,8200,12278500
2013-10-31,1451,1485,1451,1468,4100,5983100
2013-10-30,1490,1500,1453,1468,12000,17757600
2013-10-29,1523,1523,1464,1490,16300,24236600
2013-10-28,1523,1598,1523,1542,5800,9019800
2013-10-25,1628,1630,1540,1569,7300,11530200
2013-10-24,1671,1690,1541,1625,26300,42804100
2013-10-23,1500,1694,1500,1690,58200,95173900
2013-10-22,1510,1540,1463,1500,18300,27573400
2013-10-21,1420,1579,1420,1516,38500,57752900
2013-10-18,1345,1615,1332,1402,90300,132609700
2013-10-17,1300,1334,1295,1315,26100,34072800
2013-10-16,1299,1299,1265,1299,6800,8789000
2013-10-15,1280,1300,1271,1299,15500,20035300
2013-10-11,1299,1299,1270,1296,8000,10342100
2013-10-10,1286,1297,1261,1288,4600,5925600
2013-10-09,1250,1300,1240,1286,37500,47634900
2013-10-08,1173,1250,1172,1246,19400,23917800
2013-10-07,1247,1250,1225,1249,17900,22287900
2013-10-04,1222,1240,1182,1240,23600,28876800
2013-10-03,1190,1225,1171,1223,31600,38262200
2013-10-02,1199,1199,1155,1194,6300,7502000
2013-10-01,1190,1199,1188,1198,11800,14091900
2013-09-30,1123,1195,1123,1190,6800,7833200
2013-09-27,1164,1164,1122,1150,4500,5149100
2013-09-26,1180,1180,1173,1173,400,470200
2013-09-25,1150,1197,1100,1150,17000,19544100
2013-09-24,1194,1225,1167,1167,9700,11653700
2013-09-20,1180,1203,1166,1203,16100,19152600
2013-09-19,1175,1200,1165,1165,5500,6505800
2013-09-18,1189,1219,1152,1184,11500,13660500
2013-09-17,1220,1225,1171,1219,13300,16102400
2013-09-13,1205,1226,1199,1213,25800,31299000
2013-09-12,1201,1230,1151,1201,28900,34740200
2013-09-11,1212,1224,1192,1202,65100,78712900
2013-09-10,1100,1124,1040,1124,19300,21270100
2013-09-09,1060,1100,1059,1093,26400,28381500
2013-09-06,1039,1069,1030,1068,27000,28490400
2013-09-05,1022,1050,1020,1040,19800,20622700
2013-09-04,1023,1039,1022,1038,25000,25785100
2013-09-03,1019,1023,1000,1023,9700,9885400
2013-09-02,1019,1020,1000,1019,11100,11287600
2013-08-30,1009,1021,1002,1013,11200,11361900
2013-08-29,1000,1018,970,1008,5400,5418800
2013-08-28,1000,1019,999,1001,14100,14214300
2013-08-27,1019,1019,992,1013,9100,9156200
2013-08-26,1009,1014,1000,1010,7800,7860700
2013-08-23,1000,1000,984,997,6700,6663400
2013-08-22,960,970,953,968,2000,1929800
2013-08-21,955,973,950,960,3900,3732500
2013-08-20,998,998,961,961,600,584700
2013-08-19,1003,1009,968,970,7700,7559300
2013-08-16,980,990,967,973,9000,8775000
2013-08-15,1000,1020,979,980,8700,8713500
2013-08-14,1005,1020,1000,1020,6300,6359100
2013-08-13,990,1020,970,1015,18900,18893200
2013-08-12,984,984,960,965,1500,1459700
2013-08-09,980,986,971,984,8000,7866300
2013-08-08,970,985,970,982,5300,5184800
2013-08-07,966,972,959,972,3400,3289300
2013-08-06,952,970,952,966,2300,2219300
2013-08-05,999,999,960,974,4000,3903300
2013-08-02,980,1000,942,984,15600,15246500
2013-08-01,990,998,980,988,6100,6032300
2013-07-31,960,1025,960,994,15300,15135200
2013-07-30,905,960,905,960,8100,7644800
2013-07-29,960,960,916,920,11600,10854400
2013-07-26,1030,1030,923,985,17100,16832800
2013-07-25,1050,1060,990,1011,26800,27932800
2013-07-24,999,1039,999,1026,43300,44072000
2013-07-23,937,988,936,988,39800,38175900
2013-07-22,900,937,900,937,20000,18361400
2013-07-19,880,894,872,888,25800,22725200
2013-07-18,881,881,860,866,5500,4805300
2013-07-17,850,854,846,851,2600,2211600
2013-07-16,851,859,845,845,8500,7216700
