7747-T,東証2部,アサヒインテック,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,4090,4125,4040,4125,58900,241075500
2014-06-26,4080,4120,4060,4085,54500,223064000
2014-06-25,4105,4120,4065,4105,45100,185020000
2014-06-24,4140,4145,4050,4095,58400,239317000
2014-06-23,4050,4135,4030,4100,87300,357404500
2014-06-20,4060,4090,3980,3980,74300,299072000
2014-06-19,4170,4180,4085,4130,53400,220298000
2014-06-18,4070,4170,4055,4170,73600,303417500
2014-06-17,3910,4040,3885,4020,54700,217992500
2014-06-16,3900,3965,3850,3930,49000,191666000
2014-06-13,3900,3900,3840,3880,53900,208167000
2014-06-12,3870,3925,3850,3880,60400,234434000
2014-06-11,3940,3990,3900,3910,46100,180719500
2014-06-10,3995,4010,3905,3940,52400,206810500
2014-06-09,4105,4110,3970,4035,57200,230568000
2014-06-06,4175,4180,4070,4095,50700,209000000
2014-06-05,4210,4210,4060,4125,45200,186228000
2014-06-04,4210,4220,4100,4150,79400,331041000
2014-06-03,4200,4240,4170,4205,65600,275718000
2014-06-02,4100,4185,4020,4185,104900,428607500
2014-05-30,3970,4050,3905,4050,122400,486933500
2014-05-29,3955,3955,3905,3920,30600,120153500
2014-05-28,3905,3985,3905,3955,53600,212113500
2014-05-27,3830,3970,3830,3905,78700,308682000
2014-05-26,3920,3975,3845,3885,93100,364375500
2014-05-23,3870,3925,3805,3880,66100,256031500
2014-05-22,3765,3835,3750,3835,64600,244876000
2014-05-21,3765,3800,3700,3730,58700,220797500
2014-05-20,3735,3765,3615,3700,41500,152657000
2014-05-19,3875,3875,3710,3735,75500,286169500
2014-05-16,3930,3935,3790,3830,144400,555050000
2014-05-15,3690,3790,3685,3720,82000,307310000
2014-05-14,3600,3710,3580,3680,66200,242488500
2014-05-13,3595,3705,3535,3600,157400,565231000
2014-05-12,3835,3835,3595,3665,65900,243835000
2014-05-09,3800,3860,3800,3830,38000,145505000
2014-05-08,3815,3890,3795,3820,31700,121172000
2014-05-07,3800,3830,3755,3830,61500,234054500
2014-05-02,3915,3925,3865,3875,56200,219050500
2014-05-01,3790,4000,3760,3985,88500,347018500
2014-04-30,3780,3780,3655,3740,81200,299876500
2014-04-28,3740,3800,3655,3715,59100,219407000
2014-04-25,3725,3855,3725,3810,94000,357031000
2014-04-24,3730,3785,3585,3720,136100,503031500
2014-04-23,3795,3795,3745,3760,65500,246539000
2014-04-22,3780,3790,3735,3755,33800,127008000
2014-04-21,3795,3795,3720,3775,53500,200450000
2014-04-18,3845,3865,3770,3775,53900,204544000
2014-04-17,3900,3960,3835,3870,128000,498549500
2014-04-16,3860,3925,3805,3895,82200,318838500
2014-04-15,3810,3880,3810,3855,45900,176465000
2014-04-14,3755,3760,3735,3740,35400,132696000
2014-04-11,3765,3830,3760,3765,51900,196363500
2014-04-10,3900,3930,3805,3860,33900,130823500
2014-04-09,3885,3915,3825,3830,43500,167999500
2014-04-08,3930,3985,3910,3925,38000,149626500
2014-04-07,3955,4015,3930,3940,67700,267982000
2014-04-04,4100,4130,4060,4070,33900,138860500
2014-04-03,4175,4250,4145,4145,59400,248717500
2014-04-02,4185,4245,4135,4185,52000,217395500
2014-04-01,4125,4315,4120,4190,57000,239269000
2014-03-31,4195,4320,4150,4150,93300,392745000
2014-03-28,3950,4130,3950,4110,67300,272956500
2014-03-27,3930,4050,3920,4040,65100,259655000
2014-03-26,4125,4130,3955,3965,88500,352551500
2014-03-25,4125,4125,4070,4080,70800,290017500
2014-03-24,3875,4095,3835,4065,100500,402621000
2014-03-20,3895,3900,3755,3820,94400,360483000
2014-03-19,3895,3980,3850,3875,105500,409440000
2014-03-18,4055,4055,3945,3945,73100,291893500
2014-03-17,4065,4065,3925,4005,78300,314148500
2014-03-14,4210,4225,4100,4100,58300,242457000
2014-03-13,4140,4220,4125,4170,81900,340854000
2014-03-12,4260,4260,4120,4185,85400,356998500
2014-03-11,4290,4320,4235,4295,70400,301244500
2014-03-10,4295,4350,4280,4330,55300,238623500
2014-03-07,4300,4350,4275,4295,39800,171054500
2014-03-06,4285,4340,4285,4300,46900,202158500
2014-03-05,4405,4405,4325,4340,46600,203122000
2014-03-04,4285,4375,4275,4340,61400,266656000
2014-03-03,4310,4355,4290,4350,81400,353016500
2014-02-28,4485,4485,4255,4365,116300,507512500
2014-02-27,4405,4470,4210,4445,66900,296173000
2014-02-26,4510,4510,4470,4475,43200,194146000
2014-02-25,4455,4545,4425,4515,66400,298723000
2014-02-24,4400,4540,4400,4525,89300,401398500
2014-02-21,4310,4425,4310,4425,112500,493308000
2014-02-20,4265,4350,4245,4280,116400,499606500
2014-02-19,4195,4265,4160,4235,86400,364136500
2014-02-18,4050,4100,4040,4095,31700,129095500
2014-02-17,4020,4055,3955,4010,79000,316435500
2014-02-14,3900,3920,3850,3900,78800,305208000
2014-02-13,3960,3965,3830,3930,21800,85618000
2014-02-12,3940,4000,3930,3985,63800,252433000
2014-02-10,3955,3990,3900,3930,32400,127775500
2014-02-07,3855,3915,3805,3915,38000,145961000
2014-02-06,3860,3890,3820,3845,52000,199877500
2014-02-05,4000,4000,3800,3835,53200,205262500
2014-02-04,3870,3970,3820,3830,124100,482686500
2014-02-03,4095,4095,3960,4010,51000,204668500
2014-01-31,4175,4270,4075,4165,76400,320421500
2014-01-30,4140,4175,4075,4155,36600,151754000
2014-01-29,4145,4205,4145,4200,43100,180260000
2014-01-28,3945,4150,3945,4080,76900,314294000
2014-01-27,4000,4040,3920,3965,60000,238638000
2014-01-24,4100,4130,4030,4040,62600,255373000
2014-01-23,4245,4245,4095,4120,100100,413735500
2014-01-22,4250,4310,4175,4215,86000,363122500
2014-01-21,4360,4400,4280,4300,108300,468621500
2014-01-20,4355,4475,4235,4380,117200,511695500
2014-01-17,4310,4390,4270,4370,71300,309005000
2014-01-16,4240,4420,4230,4355,119000,517257500
2014-01-15,4160,4250,4100,4220,120400,502658000
2014-01-14,4075,4320,4075,4300,103300,434793000
2014-01-10,4080,4200,4040,4195,82400,340816500
2014-01-09,3980,4045,3970,4040,30900,123718000
2014-01-08,3950,3990,3945,3970,86200,341675000
2014-01-07,4050,4055,3965,3970,132300,528708500
2014-01-06,4040,4070,4010,4030,83400,337066000
2013-12-30,3900,3975,3890,3925,59500,234066500
2013-12-27,3790,3880,3720,3860,74700,283988000
2013-12-26,3710,3845,3615,3790,70100,264563500
2013-12-25,7070,7140,7050,7140,35000,248327000
2013-12-24,7050,7090,6920,7060,53900,379314000
2013-12-20,7180,7180,7040,7050,59000,420369000
2013-12-19,7000,7100,6980,7100,41300,291906000
2013-12-18,6910,6950,6820,6920,33200,229161000
2013-12-17,6860,6920,6860,6910,19800,136388000
2013-12-16,6990,7000,6840,6870,30600,211905000
2013-12-13,7100,7110,7000,7000,27500,193414000
2013-12-12,7160,7160,6980,7070,34800,244712000
2013-12-11,7210,7260,7140,7180,38400,276188000
2013-12-10,7140,7220,7110,7210,49600,355885000
2013-12-09,7110,7130,7070,7130,34200,243027000
2013-12-06,6960,7110,6950,7110,44700,314988000
2013-12-05,7050,7090,7000,7000,47400,333967000
2013-12-04,6950,7070,6950,7070,33000,231863000
2013-12-03,7000,7050,6950,6960,58300,407326000
2013-12-02,7020,7140,7000,7070,24800,175650000
2013-11-29,7070,7090,7040,7040,30700,216898000
2013-11-28,7030,7120,7030,7090,33400,236569000
2013-11-27,6960,7080,6960,7080,47100,330907000
2013-11-26,7010,7070,6980,6980,40600,285127000
2013-11-25,7040,7060,6960,7020,33700,236292000
2013-11-22,7150,7150,7040,7060,22800,161600000
2013-11-21,7010,7150,6960,7150,66100,468081000
2013-11-20,7090,7090,6830,6910,60700,419585000
2013-11-19,7060,7130,7020,7050,28200,199672000
2013-11-18,7030,7150,7000,7030,56600,400761000
