7820-T,東証2部,ニホンフラッシュ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1841,1841,1791,1826,28800,52266800
2014-06-26,1820,1877,1808,1853,11000,20114800
2014-06-25,1825,1840,1807,1820,23200,42403400
2014-06-24,1812,1837,1802,1832,21900,39817800
2014-06-23,1866,1869,1812,1812,52200,95205500
2014-06-20,1835,1840,1806,1832,17500,31988200
2014-06-19,1777,1858,1760,1830,43100,78002900
2014-06-18,1840,1843,1764,1780,30700,55239000
2014-06-17,1802,1870,1802,1822,43100,78797600
2014-06-16,1744,1830,1744,1800,73100,130281700
2014-06-13,1660,1709,1636,1704,69100,115710900
2014-06-12,1593,1632,1565,1620,21300,33862600
2014-06-11,1610,1611,1585,1595,32400,51723500
2014-06-10,1640,1641,1602,1622,26600,43096500
2014-06-09,1640,1670,1610,1629,53900,87846100
2014-06-06,1613,1621,1592,1610,16900,27118700
2014-06-05,1639,1639,1583,1605,31600,50703300
2014-06-04,1673,1680,1618,1639,34400,56496700
2014-06-03,1600,1660,1570,1660,49000,79032400
2014-06-02,1600,1600,1550,1587,34500,54304300
2014-05-30,1654,1689,1551,1584,37400,60398800
2014-05-29,1530,1628,1529,1622,40600,64676700
2014-05-28,1515,1530,1505,1517,29100,44061600
2014-05-27,1533,1550,1515,1515,21800,33334300
2014-05-26,1569,1578,1515,1533,32000,49365200
2014-05-23,1532,1540,1505,1529,31900,48428500
2014-05-22,1517,1531,1501,1515,38800,58672100
2014-05-21,1531,1531,1500,1516,12400,18763600
2014-05-20,1599,1599,1525,1540,38300,58882600
2014-05-19,1660,1663,1555,1556,29600,47379100
2014-05-16,1690,1690,1658,1673,24100,40207600
2014-05-15,1725,1732,1682,1688,22800,38925100
2014-05-14,1784,1784,1725,1725,13500,23643200
2014-05-13,1765,1770,1725,1745,9300,16259400
2014-05-12,1810,1848,1755,1767,10800,19376300
2014-05-09,1820,1839,1780,1809,11900,21524600
2014-05-08,1852,1853,1830,1830,16900,31110400
2014-05-07,1860,1869,1820,1852,15000,27744800
