7841-T,JQスタンダード,遠藤製作,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,306,307,302,303,22600,6883500
2014-06-26,307,308,306,306,10600,3253700
2014-06-25,308,309,307,308,16200,4985700
2014-06-24,308,310,307,310,32600,10032000
2014-06-23,309,310,306,308,18000,5545500
2014-06-20,311,312,308,309,26400,8164800
2014-06-19,317,317,311,311,22800,7176200
2014-06-18,311,313,310,311,19200,5971500
2014-06-17,314,314,313,313,2600,815300
2014-06-16,315,316,314,314,20300,6387300
2014-06-13,313,315,313,315,4500,1414600
2014-06-12,307,310,307,309,13900,4275300
2014-06-11,310,315,310,313,16500,5170700
2014-06-10,312,315,306,311,17200,5359000
2014-06-09,313,313,310,310,6500,2033400
2014-06-06,298,303,298,303,11700,3514700
2014-06-05,309,309,294,298,55100,16564000
2014-06-04,304,308,304,308,2600,796800
2014-06-03,307,308,304,308,5800,1776300
2014-06-02,305,308,305,307,4800,1473200
2014-05-30,299,303,299,303,14000,4208000
2014-05-29,300,300,298,299,9800,2932800
2014-05-28,302,302,295,302,20100,6035800
2014-05-27,302,305,302,302,3900,1183700
2014-05-26,303,304,301,301,5200,1573900
2014-05-23,298,301,293,299,14900,4434400
2014-05-22,294,295,291,293,2000,586200
2014-05-21,293,294,287,291,15400,4449700
2014-05-20,289,296,289,293,3800,1111000
2014-05-19,295,299,284,288,83600,24439600
2014-05-16,324,324,294,300,164200,49858500
2014-05-15,349,354,349,354,5300,1864200
2014-05-14,348,354,348,354,2500,875400
2014-05-13,353,353,349,349,1600,559400
2014-05-12,351,351,350,350,1900,665400
2014-05-09,351,352,349,349,3400,1195200
2014-05-08,350,355,349,349,7500,2648100
2014-05-07,350,350,350,350,1600,560000
2014-05-02,359,360,350,350,22000,7774800
2014-05-01,352,358,352,358,8200,2912800
2014-04-30,355,356,353,355,2600,921500
2014-04-28,355,358,353,357,1300,462500
2014-04-25,356,357,353,357,800,285100
2014-04-24,352,360,352,356,17600,6308200
2014-04-23,352,359,350,352,8200,2890200
2014-04-22,354,360,352,352,13800,4947700
2014-04-21,351,356,351,356,5600,1987300
2014-04-18,355,358,352,354,11500,4077500
2014-04-17,360,360,352,352,1800,642000
2014-04-16,352,357,352,355,2400,848100
2014-04-15,351,360,347,352,21600,7726400
2014-04-14,353,353,350,351,12800,4482200
2014-04-11,352,358,350,353,8400,2954300
2014-04-10,360,370,350,360,46900,16871800
2014-04-09,351,361,349,360,30900,10920300
2014-04-08,362,362,353,356,14000,4977500
2014-04-07,367,370,362,362,17500,6460300
2014-04-04,360,365,360,365,3100,1127300
2014-04-03,359,362,356,362,24400,8771400
2014-04-02,358,366,355,359,24000,8660800
2014-04-01,354,354,349,351,30200,10641400
2014-03-31,359,363,345,354,111600,39368500
2014-03-28,357,363,357,359,8000,2875100
2014-03-27,355,362,355,362,7000,2503500
2014-03-26,363,369,362,363,87700,31841800
2014-03-25,360,365,357,363,23200,8372800
2014-03-24,370,370,355,360,151300,54327100
2014-03-20,373,373,368,369,32400,12004800
2014-03-19,379,379,373,373,6700,2516700
2014-03-18,377,379,374,376,7400,2787500
2014-03-17,376,384,375,380,7000,2647600
2014-03-14,380,380,375,379,13200,4986800
2014-03-13,387,388,381,381,38200,14637200
2014-03-12,387,394,387,393,3700,1436900
2014-03-11,388,398,388,392,7800,3069300
2014-03-10,383,393,383,390,5800,2248300
2014-03-07,385,395,383,383,7800,3015800
2014-03-06,384,387,383,385,4100,1576600
2014-03-05,382,389,382,385,3200,1229400
2014-03-04,380,394,380,384,7500,2871600
2014-03-03,385,386,379,385,3900,1492900
2014-02-28,385,386,383,383,10400,3995100
2014-02-27,387,395,385,386,6000,2326300
2014-02-26,387,388,386,386,2500,967400
2014-02-25,388,390,386,387,3000,1163400
2014-02-24,390,392,388,389,8600,3364000
2014-02-21,388,392,388,392,2800,1090200
2014-02-20,399,399,388,388,2800,1099800
2014-02-19,389,393,388,391,5900,2301600
2014-02-18,389,396,389,395,10900,4293300
2014-02-17,391,392,388,391,1900,742300
2014-02-14,402,402,390,390,2700,1076800
2014-02-13,396,399,392,393,5600,2202100
2014-02-12,400,401,396,401,4400,1753200
2014-02-10,400,402,397,402,7500,2992500
2014-02-07,400,400,395,400,1200,477500
2014-02-06,385,399,385,394,2100,826000
2014-02-05,388,393,388,392,4200,1635300
2014-02-04,390,390,378,388,10000,3861600
2014-02-03,401,404,396,398,4300,1713300
2014-01-31,404,404,400,400,5700,2289700
2014-01-30,405,405,402,402,14100,5671600
2014-01-29,-,-,-,-,0,0
2014-01-28,404,408,404,408,2300,932300
2014-01-27,405,408,401,404,900,364200
2014-01-24,414,415,408,413,6700,2763900
2014-01-23,422,424,414,414,2300,965100
2014-01-22,413,420,413,414,9400,3911300
2014-01-21,420,421,415,420,17500,7328800
2014-01-20,414,424,414,420,20700,8672500
2014-01-17,409,418,409,418,8200,3382700
2014-01-16,414,414,409,412,7500,3088600
2014-01-15,406,421,406,414,25600,10608800
2014-01-14,405,412,402,406,11900,4843300
2014-01-10,400,408,398,408,12500,5045200
2014-01-09,401,401,396,401,4800,1920100
2014-01-08,395,400,395,400,13500,5391200
2014-01-07,395,397,390,397,13000,5093600
2014-01-06,393,402,390,395,35400,13907000
2013-12-30,387,404,386,393,36900,14629600
2013-12-27,384,390,381,389,6000,2309300
2013-12-26,374,389,374,380,16800,6337600
2013-12-25,374,380,372,375,16400,6156100
2013-12-24,372,379,370,372,33300,12409100
2013-12-20,377,380,370,373,28900,10844800
2013-12-19,386,386,377,378,12100,4594200
2013-12-18,379,384,375,378,21700,8226300
2013-12-17,383,385,379,382,13100,5003900
2013-12-16,391,392,385,385,20100,7784300
2013-12-13,390,394,388,392,7400,2892500
2013-12-12,391,394,390,391,6400,2503300
2013-12-11,398,398,392,392,10700,4222600
2013-12-10,394,397,392,394,7000,2756800
2013-12-09,394,397,391,394,8900,3505400
2013-12-06,393,396,386,386,24400,9554800
2013-12-05,405,410,390,390,50300,20098000
2013-12-04,405,408,405,407,3400,1379100
2013-12-03,410,413,408,411,12900,5296300
2013-12-02,411,411,408,410,2200,902500
2013-11-29,409,410,406,407,3300,1348400
2013-11-28,410,412,407,412,1300,531900
2013-11-27,410,415,406,410,2400,985200
2013-11-26,414,418,410,411,4700,1939000
2013-11-25,409,415,405,415,3900,1594300
2013-11-22,410,412,408,409,2500,1025700
2013-11-21,412,412,408,410,5400,2213400
2013-11-20,419,419,415,415,3700,1537600
2013-11-19,-,-,-,-,0,0
