7867-T,東証1部,タカラトミー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,639,642,593,600,1438200,879917400
2014-06-26,615,646,613,639,1074400,676991400
2014-06-25,612,616,607,612,458300,280455000
2014-06-24,595,615,591,615,687900,416146200
2014-06-23,593,607,591,595,655000,391045200
2014-06-20,575,592,570,592,858600,503190800
2014-06-19,577,580,569,574,410500,235399300
2014-06-18,555,584,555,578,698600,400778100
2014-06-17,548,559,544,558,418800,232189800
2014-06-16,552,552,542,549,248000,136062500
2014-06-13,550,554,545,553,405100,222956000
2014-06-12,542,550,539,549,352700,192626700
2014-06-11,534,542,534,542,318800,171648800
2014-06-10,528,537,527,535,240300,128233700
2014-06-09,532,539,526,532,395900,210889000
2014-06-06,529,536,529,532,283300,150863400
2014-06-05,539,544,525,530,937700,498913600
2014-06-04,531,545,531,542,799900,431696000
2014-06-03,522,530,521,529,661100,347176200
2014-06-02,515,522,513,519,523400,271362700
2014-05-30,514,517,512,513,497800,256018200
2014-05-29,514,516,512,514,290400,149421500
2014-05-28,513,518,511,514,381500,196552400
2014-05-27,505,515,503,513,689300,351363300
2014-05-26,506,506,493,506,720700,360577400
2014-05-23,488,507,487,506,1162000,578221600
2014-05-22,485,488,480,487,431500,208861900
2014-05-21,474,483,474,483,313000,150075700
2014-05-20,468,477,468,474,387700,183447100
2014-05-19,464,472,461,470,424900,198909800
2014-05-16,462,464,458,462,519900,239411600
2014-05-15,466,470,457,464,826400,382160000
2014-05-14,469,473,464,466,577400,269401600
2014-05-13,482,487,482,485,206800,100218800
2014-05-12,482,487,482,482,218300,105781000
2014-05-09,481,486,481,485,222600,107707100
2014-05-08,479,484,478,482,112300,54111400
2014-05-07,479,479,473,477,176600,84109200
2014-05-02,485,487,477,479,114400,55116300
2014-05-01,484,488,482,487,198100,96308900
2014-04-30,484,487,482,485,199100,96531600
2014-04-28,484,484,479,482,205800,99103600
2014-04-25,481,487,479,487,423900,204946300
2014-04-24,474,483,474,483,516000,247688300
2014-04-23,476,478,475,477,125900,60010600
2014-04-22,476,478,474,477,279300,132947300
2014-04-21,472,475,470,475,174500,82649300
2014-04-18,473,473,465,470,95900,44920500
2014-04-17,470,476,469,473,232100,109587200
2014-04-16,461,470,460,470,204500,95340900
2014-04-15,455,463,454,461,290400,133274600
2014-04-14,461,461,455,455,176100,80468200
2014-04-11,458,465,457,461,180000,83083300
2014-04-10,454,465,452,463,363100,167356600
2014-04-09,458,458,453,453,203300,92668800
2014-04-08,465,465,460,462,257500,119162500
2014-04-07,465,469,464,465,162000,75584500
2014-04-04,472,474,466,467,205600,96597900
2014-04-03,473,477,471,476,197200,93701700
2014-04-02,475,477,474,474,253500,120458900
2014-04-01,477,477,470,475,196000,92778700
2014-03-31,478,479,474,478,313900,149693800
2014-03-28,471,478,466,478,388500,184411100
2014-03-27,462,474,460,473,625300,291749300
2014-03-26,477,478,475,475,697000,332317400
2014-03-25,477,480,476,478,606600,290087200
2014-03-24,472,479,471,474,663200,315323700
2014-03-20,474,475,466,468,408500,192225500
2014-03-19,475,476,472,472,318100,150732600
2014-03-18,469,475,468,473,342600,161360300
2014-03-17,466,469,465,466,450500,210206100
2014-03-14,464,468,462,466,647000,301287900
2014-03-13,463,468,463,467,269400,125646000
2014-03-12,464,464,460,463,229600,106240300
2014-03-11,459,466,455,466,468300,216467800
2014-03-10,458,460,454,456,224900,102656400
2014-03-07,460,462,455,457,403600,184554300
2014-03-06,457,459,456,459,514100,235537300
2014-03-05,456,457,452,454,301600,137100700
2014-03-04,447,454,447,452,309400,139766500
2014-03-03,447,450,443,449,251200,112142600
2014-02-28,449,451,445,447,402400,179906800
2014-02-27,457,458,449,449,484000,218804700
2014-02-26,456,460,453,457,245100,112092700
2014-02-25,458,458,453,458,231900,105760400
2014-02-24,453,458,451,455,324600,147530000
2014-02-21,449,454,448,452,393700,177662100
2014-02-20,446,447,442,446,309200,137431300
2014-02-19,450,450,445,446,224400,100290100
2014-02-18,444,451,444,451,340600,152698400
2014-02-17,443,445,437,445,297100,131213200
2014-02-14,448,449,440,442,561900,248492400
2014-02-13,451,454,443,445,889700,397336100
2014-02-12,461,462,455,461,396300,181590200
2014-02-10,461,465,455,456,253500,116083800
2014-02-07,451,458,451,455,334600,151937000
2014-02-06,445,450,443,446,242800,108379400
2014-02-05,449,451,440,442,427300,189716100
2014-02-04,455,456,440,440,886700,396477000
2014-02-03,464,466,459,460,428500,197756400
2014-01-31,469,471,461,464,348100,161801100
2014-01-30,469,471,464,468,319800,149571300
2014-01-29,462,489,461,475,1186500,563286900
2014-01-28,467,468,461,461,311000,144506900
2014-01-27,470,470,465,465,362300,169205500
2014-01-24,475,478,473,474,337600,160428900
2014-01-23,484,484,477,477,374500,180043600
2014-01-22,484,484,478,482,294200,141497800
2014-01-21,482,483,480,481,224700,108115300
2014-01-20,478,482,477,479,229100,109824200
2014-01-17,478,479,476,478,214500,102404900
2014-01-16,477,480,476,476,372900,178021900
2014-01-15,476,477,471,476,312700,148262300
2014-01-14,476,477,470,473,417900,197934800
2014-01-10,480,481,477,481,367900,176129900
2014-01-09,484,484,479,482,307200,147804300
2014-01-08,485,487,481,483,813500,393700200
2014-01-07,472,482,469,480,961200,458023200
2014-01-06,470,475,465,471,619500,290760600
2013-12-30,458,469,457,469,855700,397259600
2013-12-27,460,463,454,455,1036400,472902800
2013-12-26,455,459,453,458,618400,282937100
2013-12-25,451,454,450,453,691700,312226800
2013-12-24,462,464,448,451,1477200,672423500
2013-12-20,467,468,465,467,264400,123187300
2013-12-19,469,470,465,466,266400,124514700
2013-12-18,463,469,462,466,214000,99775300
2013-12-17,464,465,461,462,195200,90340800
2013-12-16,465,467,462,462,168400,78199300
2013-12-13,464,469,464,465,390100,181437100
2013-12-12,468,468,465,466,217100,101310000
2013-12-11,467,468,464,466,288200,134236600
2013-12-10,466,468,465,468,357200,166451500
2013-12-09,472,472,466,469,357100,167295500
2013-12-06,471,472,467,469,348200,163324200
2013-12-05,475,476,471,471,276600,130766200
2013-12-04,476,478,474,474,373100,177437000
2013-12-03,477,479,476,476,315600,150691000
2013-12-02,476,479,476,477,271100,129334400
2013-11-29,476,479,475,476,211900,101027500
2013-11-28,477,479,472,474,303100,143931300
2013-11-27,475,479,475,476,301800,143873000
2013-11-26,478,480,476,476,199000,94961200
2013-11-25,484,484,475,478,470500,225088800
2013-11-22,482,483,477,481,483600,231878600
2013-11-21,483,484,479,481,465100,223669800
2013-11-20,484,484,481,483,336300,162190100
2013-11-19,488,489,482,485,356700,173148800
2013-11-18,492,495,487,489,315300,154355500
2013-11-15,483,491,481,490,377000,183448000
2013-11-14,479,481,478,479,457500,219304100
2013-11-13,493,493,477,478,859100,413492900
