7873-T,東証1部,アーク,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,176,180,173,175,7013700,1231376500
2014-06-26,177,181,172,178,12112000,2137328500
2014-06-25,187,194,169,180,50587300,9213593300
2014-06-24,245,245,205,205,40155900,8713829900
2014-06-23,285,285,276,285,29212500,8269404100
2014-06-20,210,220,202,205,7171400,1516351400
2014-06-19,197,202,196,199,2479200,493248300
2014-06-18,197,206,195,205,2378800,482051700
2014-06-17,205,205,196,197,4171400,835367600
2014-06-16,185,220,185,207,18122500,3771135000
2014-06-13,175,183,173,179,1001300,178565900
2014-06-12,174,177,174,174,250500,43798600
2014-06-11,171,176,170,175,372200,64708500
2014-06-10,178,180,172,173,910400,159426400
2014-06-09,179,181,178,179,431500,77335300
2014-06-06,179,181,178,178,329600,59038700
2014-06-05,178,181,178,180,352600,63219900
2014-06-04,179,181,177,181,479800,85867800
2014-06-03,181,182,177,180,726400,130624900
2014-06-02,179,184,178,180,934800,168824200
2014-05-30,175,183,173,181,1604300,285704100
2014-05-29,178,178,173,174,479500,84047000
2014-05-28,171,178,171,176,781100,136722200
2014-05-27,177,180,173,173,715300,126326700
2014-05-26,175,178,174,176,846500,148835500
2014-05-23,169,178,168,173,1206200,208155800
2014-05-22,164,173,164,168,1168900,196574600
2014-05-21,162,164,160,163,805700,130782600
2014-05-20,159,168,159,165,1115100,182031500
2014-05-19,160,162,154,156,1390600,219208300
2014-05-16,160,165,160,160,1679400,272611800
2014-05-15,155,170,151,166,3653100,590105700
2014-05-14,175,177,150,154,5554500,895683700
2014-05-13,190,195,180,183,1353400,250608300
2014-05-12,222,224,151,189,5203400,946412000
2014-05-09,229,231,219,230,784800,175840200
2014-05-08,238,239,226,229,702900,162952600
2014-05-07,241,245,233,236,1138300,269994700
2014-05-02,243,248,242,245,304400,74600500
2014-05-01,240,245,237,243,898300,217367000
2014-04-30,241,247,236,236,477100,113967500
2014-04-28,243,244,238,239,262000,63098300
2014-04-25,247,250,245,247,189800,46962400
2014-04-24,247,251,246,248,319900,79618200
2014-04-23,245,251,244,248,590300,146624200
2014-04-22,250,250,240,241,429700,104696600
2014-04-21,249,252,249,249,223800,56148200
2014-04-18,254,254,246,249,355000,88471100
2014-04-17,253,258,248,250,446400,113009000
2014-04-16,248,258,245,252,826300,209430600
2014-04-15,250,251,243,244,274400,67823200
2014-04-14,245,249,244,245,341900,84205600
2014-04-11,249,249,241,245,291100,71524200
2014-04-10,255,262,247,250,896100,230086800
