7877-T,JQスタンダード,永大化工,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,247,247,247,247,2000,494000
2014-06-26,246,246,246,246,1000,246000
2014-06-25,246,246,246,246,1000,246000
2014-06-24,-,-,-,-,0,0
2014-06-23,245,246,244,246,4000,980000
2014-06-20,245,245,244,244,6000,1467000
2014-06-19,246,246,245,246,3000,737000
2014-06-18,247,247,247,247,3000,741000
2014-06-17,246,246,246,246,2000,492000
2014-06-16,245,246,245,246,2000,491000
2014-06-13,242,242,242,242,1000,242000
2014-06-12,243,243,243,243,1000,243000
2014-06-11,242,242,242,242,3000,726000
2014-06-10,245,245,245,245,2000,490000
2014-06-09,245,245,245,245,2000,490000
2014-06-06,240,240,240,240,1000,240000
2014-06-05,-,-,-,-,0,0
2014-06-04,-,-,-,-,0,0
2014-06-03,-,-,-,-,0,0
2014-06-02,-,-,-,-,0,0
2014-05-30,237,239,237,237,4000,950000
2014-05-29,-,-,-,-,0,0
2014-05-28,-,-,-,-,0,0
2014-05-27,-,-,-,-,0,0
2014-05-26,232,232,232,232,2000,464000
2014-05-23,231,231,231,231,1000,231000
2014-05-22,-,-,-,-,0,0
2014-05-21,234,234,227,227,3000,688000
2014-05-20,242,242,242,242,1000,242000
2014-05-19,244,244,244,244,1000,244000
2014-05-16,-,-,-,-,0,0
2014-05-15,244,244,244,244,3000,732000
2014-05-14,244,244,244,244,1000,244000
2014-05-13,236,236,236,236,1000,236000
2014-05-12,-,-,-,-,0,0
2014-05-09,227,232,227,232,21000,4840000
2014-05-08,225,225,225,225,1000,225000
2014-05-07,-,-,-,-,0,0
2014-05-02,226,226,225,225,4000,903000
2014-05-01,-,-,-,-,0,0
2014-04-30,227,227,225,225,8000,1806000
2014-04-28,-,-,-,-,0,0
2014-04-25,-,-,-,-,0,0
2014-04-24,226,226,226,226,1000,226000
2014-04-23,-,-,-,-,0,0
2014-04-22,-,-,-,-,0,0
2014-04-21,226,226,226,226,1000,226000
2014-04-18,228,228,228,228,1000,228000
2014-04-17,-,-,-,-,0,0
2014-04-16,221,221,221,221,10000,2210000
2014-04-15,227,227,221,221,74000,16482000
2014-04-14,-,-,-,-,0,0
2014-04-11,227,227,226,226,19000,4305000
2014-04-10,-,-,-,-,0,0
2014-04-09,232,232,228,228,23000,5274000
2014-04-08,-,-,-,-,0,0
2014-04-07,-,-,-,-,0,0
2014-04-04,232,232,232,232,1000,232000
2014-04-03,234,234,232,232,2000,466000
2014-04-02,235,235,235,235,4000,940000
2014-04-01,235,235,234,234,3000,704000
2014-03-31,235,235,235,235,3000,705000
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,237,237,236,236,4000,945000
2014-03-25,235,235,234,234,32000,7519000
2014-03-24,233,238,233,235,37000,8752000
2014-03-20,235,237,233,233,6000,1407000
2014-03-19,237,237,237,237,2000,474000
2014-03-18,242,242,239,239,13000,3121000
2014-03-17,237,237,237,237,1000,237000
2014-03-14,235,245,235,237,21000,5064000
2014-03-13,236,237,236,237,19000,4502000
2014-03-12,236,236,235,236,36000,8495000
2014-03-11,238,238,238,238,2000,476000
2014-03-10,242,242,235,235,21000,5020000
2014-03-07,238,238,237,237,3000,713000
