7913-T,東証1部,図書印,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,492,493,472,482,579000,277665000
2014-06-26,503,506,482,489,731000,358527000
2014-06-25,505,513,495,498,681000,342922000
2014-06-24,509,516,503,513,357000,182141000
2014-06-23,515,522,507,511,766000,392933000
2014-06-20,499,512,492,512,929000,469087000
2014-06-19,495,500,488,499,455000,225308000
2014-06-18,480,497,480,495,569000,279527000
2014-06-17,482,484,479,481,226000,108744000
2014-06-16,496,496,477,485,574000,280409000
2014-06-13,467,492,467,490,791000,381563000
2014-06-12,462,475,462,473,603000,283939000
2014-06-11,459,468,458,466,272000,126263000
2014-06-10,473,473,460,462,389000,181235000
2014-06-09,460,475,460,470,446000,208477000
2014-06-06,460,462,455,460,341000,156026000
2014-06-05,463,468,452,460,579000,266631000
2014-06-04,444,459,441,457,602000,272002000
2014-06-03,434,445,432,439,401000,175428000
2014-06-02,423,434,423,432,183000,78733000
2014-05-30,428,428,424,427,161000,68708000
2014-05-29,433,434,426,427,284000,121726000
2014-05-28,434,439,430,431,169000,73425000
2014-05-27,438,442,426,432,364000,157649000
2014-05-26,429,435,426,434,182000,78295000
2014-05-23,423,428,420,426,129000,54709000
2014-05-22,429,429,419,424,176000,74777000
2014-05-21,407,425,402,424,315000,130894000
2014-05-20,409,413,406,410,152000,62377000
2014-05-19,436,439,406,409,519000,215734000
2014-05-16,435,443,426,432,671000,291174000
2014-05-15,424,449,417,445,1081000,470365000
2014-05-14,466,466,415,432,2780000,1226399000
2014-05-13,403,403,398,402,108000,43327000
2014-05-12,406,406,394,395,186000,74022000
2014-05-09,400,403,399,401,206000,82612000
2014-05-08,404,404,394,394,195000,77540000
2014-05-07,410,410,398,400,294000,118194000
2014-05-02,402,409,399,409,169000,68548000
2014-05-01,393,405,386,398,407000,161413000
2014-04-30,403,404,386,391,742000,291355000
2014-04-28,405,412,403,411,100000,40677000
2014-04-25,398,413,398,412,246000,100068000
2014-04-24,406,406,397,398,167000,66798000
2014-04-23,404,405,401,403,134000,54046000
2014-04-22,411,411,401,402,191000,77329000
2014-04-21,409,414,409,412,120000,49303000
2014-04-18,412,414,410,414,98000,40433000
2014-04-17,411,413,410,412,96000,39480000
2014-04-16,410,413,407,410,143000,58631000
2014-04-15,417,417,402,406,200000,81887000
2014-04-14,399,404,396,400,130000,52051000
2014-04-11,389,399,389,397,296000,116725000
2014-04-10,414,419,402,404,202000,82659000
2014-04-09,413,415,408,410,321000,131861000
