7946-T,東証2部,光陽社,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,82,82,80,80,23000,1853000
2014-06-26,81,82,80,81,11000,892000
2014-06-25,81,81,81,81,5000,405000
2014-06-24,82,82,81,81,17000,1386000
2014-06-23,81,81,79,80,48000,3819000
2014-06-20,83,83,81,81,16000,1306000
2014-06-19,82,83,81,83,38000,3116000
2014-06-18,83,83,81,81,9000,737000
2014-06-17,82,82,80,82,49000,3960000
2014-06-16,81,82,80,81,43000,3473000
2014-06-13,82,82,80,82,30000,2447000
2014-06-12,83,83,81,82,10000,820000
2014-06-11,81,83,81,83,16000,1315000
2014-06-10,83,88,80,81,439000,37019000
2014-06-09,79,80,79,80,27000,2139000
2014-06-06,77,78,77,78,18000,1396000
2014-06-05,82,82,76,77,158000,12382000
2014-06-04,78,88,78,78,1117000,94249000
2014-06-03,74,74,74,74,9000,666000
2014-06-02,73,74,73,74,8000,591000
2014-05-30,73,74,72,74,12000,878000
2014-05-29,72,73,72,73,16000,1163000
2014-05-28,71,72,70,71,17000,1202000
2014-05-27,72,73,71,71,20000,1427000
2014-05-26,72,74,71,72,38000,2737000
2014-05-23,69,70,69,69,7000,484000
2014-05-22,67,68,67,68,15000,1007000
2014-05-21,68,69,66,68,21000,1425000
2014-05-20,71,72,71,72,11000,784000
2014-05-19,73,74,72,72,21000,1527000
2014-05-16,76,77,73,74,57000,4275000
2014-05-15,-,-,-,-,0,0
2014-05-14,77,77,76,77,5000,384000
2014-05-13,77,77,76,76,7000,535000
2014-05-12,77,77,76,77,9000,692000
2014-05-09,78,78,78,78,5000,390000
2014-05-08,79,79,77,77,17000,1327000
2014-05-07,79,80,77,78,45000,3519000
2014-05-02,78,80,78,79,13000,1031000
2014-05-01,80,80,78,79,57000,4527000
2014-04-30,83,83,80,80,68000,5545000
2014-04-28,86,89,81,83,312000,26421000
2014-04-25,78,79,77,78,30000,2334000
2014-04-24,80,80,80,80,13000,1040000
2014-04-23,78,79,78,79,4000,313000
2014-04-22,79,80,79,79,6000,475000
2014-04-21,79,80,78,79,5000,395000
2014-04-18,79,80,79,80,2000,159000
2014-04-17,80,80,80,80,1000,80000
2014-04-16,79,80,78,78,6000,475000
2014-04-15,79,80,78,78,12000,949000
2014-04-14,79,81,79,81,5000,400000
2014-04-11,78,79,77,79,21000,1625000
2014-04-10,80,80,78,79,8000,634000
2014-04-09,80,80,79,79,7000,555000
2014-04-08,80,80,80,80,3000,240000
2014-04-07,82,82,80,81,14000,1138000
2014-04-04,82,82,80,82,14000,1136000
2014-04-03,83,83,83,83,8000,664000
2014-04-02,82,82,81,82,7000,572000
2014-04-01,-,-,-,-,0,0
2014-03-31,82,83,82,83,2000,165000
2014-03-28,79,82,79,80,10000,802000
2014-03-27,79,80,78,78,9000,713000
2014-03-26,79,79,79,79,1000,79000
2014-03-25,80,83,79,79,15000,1213000
2014-03-24,80,88,77,81,97000,7903000
2014-03-20,79,80,76,76,19000,1489000
2014-03-19,-,-,-,-,0,0
2014-03-18,78,81,78,81,24000,1889000
2014-03-17,82,82,78,78,78000,6157000
2014-03-14,83,84,82,82,20000,1655000
2014-03-13,86,86,85,86,6000,514000
2014-03-12,86,87,86,87,2000,173000
2014-03-11,86,88,86,88,9000,781000
2014-03-10,88,89,88,89,2000,177000
2014-03-07,88,89,88,89,2000,177000
2014-03-06,90,90,90,90,1000,90000
2014-03-05,88,89,85,89,10000,873000
2014-03-04,84,87,84,87,3000,257000
2014-03-03,86,87,83,86,35000,2979000
2014-02-28,88,89,86,86,21000,1831000
2014-02-27,89,90,87,88,23000,2021000
2014-02-26,91,91,89,89,7000,633000
2014-02-25,91,93,86,90,145000,12874000
2014-02-24,87,99,87,87,626000,57214000
2014-02-21,81,83,80,83,18000,1463000
2014-02-20,85,85,81,81,16000,1308000
2014-02-19,83,86,83,85,14000,1171000
2014-02-18,83,86,82,86,16000,1346000
2014-02-17,84,86,82,82,32000,2680000
2014-02-14,81,81,77,78,26000,2042000
2014-02-13,83,83,81,81,47000,3822000
2014-02-12,83,86,82,84,20000,1679000
2014-02-10,82,83,82,82,21000,1729000
2014-02-07,81,82,80,80,12000,968000
2014-02-06,81,82,78,79,12000,961000
2014-02-05,78,79,75,79,67000,5144000
2014-02-04,79,79,73,75,83000,6375000
2014-02-03,85,86,82,86,40000,3356000
2014-01-31,90,93,87,88,59000,5246000
2014-01-30,90,90,89,89,2000,179000
2014-01-29,92,92,91,92,31000,2851000
2014-01-28,91,93,90,91,52000,4719000
2014-01-27,88,91,88,90,88000,7833000
2014-01-24,93,95,90,92,199000,18320000
2014-01-23,100,100,96,96,174000,16969000
2014-01-22,104,104,99,100,151000,15307000
2014-01-21,100,101,98,100,133000,13168000
2014-01-20,95,101,95,101,140000,13802000
2014-01-17,97,97,94,95,52000,4966000
2014-01-16,98,99,96,97,160000,15568000
2014-01-15,93,97,93,97,86000,8220000
2014-01-14,94,94,92,93,61000,5663000
2014-01-10,96,96,94,95,62000,5895000
2014-01-09,93,96,91,96,118000,11031000
2014-01-08,92,93,91,93,69000,6339000
2014-01-07,92,92,90,92,32000,2923000
2014-01-06,88,90,87,90,40000,3527000
2013-12-30,91,91,87,88,98000,8610000
2013-12-27,89,98,88,89,694000,64254000
2013-12-26,84,87,83,87,44000,3722000
2013-12-25,85,86,82,83,139000,11617000
2013-12-24,87,87,86,86,36000,3120000
2013-12-20,90,90,86,87,104000,9077000
2013-12-19,90,93,89,90,70000,6340000
2013-12-18,86,101,86,90,619000,58123000
2013-12-17,86,87,85,86,50000,4287000
2013-12-16,91,91,86,87,75000,6621000
2013-12-13,91,91,89,91,46000,4140000
2013-12-12,93,93,89,91,125000,11267000
2013-12-11,96,96,92,93,75000,7042000
2013-12-10,97,97,96,96,11000,1063000
2013-12-09,95,96,95,96,41000,3897000
