7992-T,東証2部,セーラー,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,36,37,35,36,1345000,48340000
2014-06-26,36,37,35,36,1623000,58235000
2014-06-25,37,38,36,36,1583000,58272000
2014-06-24,38,38,36,37,2415000,89345000
2014-06-23,38,39,37,37,1623000,61559000
2014-06-20,39,40,37,37,5189000,195464000
2014-06-19,40,40,38,39,6041000,236442000
2014-06-18,37,42,36,40,19297000,774757000
2014-06-17,38,39,36,38,2926000,109644000
2014-06-16,37,38,36,38,3002000,111464000
2014-06-13,36,36,34,36,1149000,40539000
2014-06-12,34,36,34,35,2512000,88261000
2014-06-11,33,35,33,35,1842000,62701000
2014-06-10,33,34,33,34,902000,29980000
2014-06-09,33,34,33,33,496000,16452000
2014-06-06,33,34,33,33,306000,10110000
2014-06-05,33,34,33,33,411000,13711000
2014-06-04,33,34,32,33,601000,19768000
2014-06-03,33,34,32,33,1322000,43562000
2014-06-02,33,34,32,33,1469000,48461000
2014-05-30,34,34,33,33,500000,16567000
2014-05-29,34,34,33,33,503000,16903000
2014-05-28,33,34,32,33,714000,23601000
2014-05-27,33,34,32,32,669000,22029000
2014-05-26,33,33,32,33,948000,31190000
2014-05-23,32,33,32,33,558000,17983000
2014-05-22,32,32,31,32,551000,17544000
2014-05-21,30,32,30,31,1230000,37952000
2014-05-20,30,31,30,30,2512000,75932000
2014-05-19,33,34,30,30,4178000,130253000
2014-05-16,33,34,32,34,1156000,38325000
2014-05-15,33,34,32,33,2308000,76226000
2014-05-14,35,35,33,35,1906000,64915000
2014-05-13,35,36,34,35,887000,31123000
2014-05-12,35,36,34,35,1394000,49375000
2014-05-09,35,36,34,36,3916000,136894000
2014-05-08,39,40,35,36,6431000,236047000
2014-05-07,39,40,38,39,1622000,63169000
2014-05-02,39,41,39,40,3091000,123264000
2014-05-01,38,40,37,40,3909000,152808000
2014-04-30,38,39,37,38,2120000,80732000
2014-04-28,39,39,38,38,1377000,52819000
2014-04-25,38,40,37,40,2519000,96625000
2014-04-24,39,40,37,39,6023000,230756000
2014-04-23,37,39,36,39,2511000,94904000
2014-04-22,36,38,36,37,3407000,124780000
2014-04-21,39,40,36,37,7582000,280733000
2014-04-18,45,45,33,39,14793000,580294000
2014-04-17,44,46,43,44,8829000,390173000
2014-04-16,43,46,42,45,9907000,439492000
2014-04-15,41,44,39,44,18972000,793343000
2014-04-14,36,43,36,43,20310000,825345000
2014-04-11,34,37,34,36,7200000,254630000
2014-04-10,33,35,33,34,2469000,83202000
2014-04-09,33,34,32,32,1042000,34130000
2014-04-08,33,33,32,33,1432000,47195000
2014-04-07,33,34,32,33,1618000,53450000
2014-04-04,34,35,31,32,5862000,190085000
2014-04-03,32,35,31,34,7054000,234312000
2014-04-02,32,32,31,31,551000,17321000
2014-04-01,31,32,30,31,958000,29626000
2014-03-31,31,32,30,31,1412000,43569000
2014-03-28,30,32,30,31,2519000,77504000
2014-03-27,29,30,28,29,1660000,48227000
2014-03-26,29,30,29,29,1154000,33779000
2014-03-25,29,31,29,30,1439000,42998000
2014-03-24,29,30,28,30,1549000,45240000
2014-03-20,31,31,28,29,3901000,115500000
2014-03-19,31,32,30,31,1542000,47503000
2014-03-18,32,32,31,31,1334000,41528000
2014-03-17,32,33,31,31,1518000,48289000
2014-03-14,32,32,31,32,1380000,43772000
2014-03-13,32,33,32,32,2467000,79139000
2014-03-12,33,33,32,32,837000,27167000
2014-03-11,34,34,32,33,2245000,74156000
2014-03-10,34,34,32,34,3254000,108223000
2014-03-07,32,35,32,34,4816000,161894000
2014-03-06,33,33,31,32,3402000,109049000
2014-03-05,33,34,33,33,1095000,36364000
2014-03-04,33,34,32,33,2980000,98350000
2014-03-03,34,35,33,34,2602000,88132000
2014-02-28,35,36,34,34,2433000,84986000
2014-02-27,36,36,35,36,743000,26582000
2014-02-26,37,37,35,37,4031000,145534000
2014-02-25,37,38,36,37,2441000,90490000
2014-02-24,39,39,37,38,2467000,93958000
2014-02-21,41,42,38,39,6154000,244846000
2014-02-20,38,44,37,40,16586000,672926000
2014-02-19,38,40,38,38,1194000,46298000
2014-02-18,38,40,38,38,2464000,96079000
2014-02-17,40,41,38,38,1652000,63882000
2014-02-14,43,43,38,40,3403000,136866000
2014-02-13,40,44,39,43,5308000,218764000
2014-02-12,38,39,37,38,930000,35280000
2014-02-10,38,39,37,37,789000,29912000
2014-02-07,38,40,37,37,2925000,111888000
2014-02-06,37,38,36,38,517000,19188000
2014-02-05,37,38,36,37,1246000,46238000
2014-02-04,37,37,35,36,2293000,83431000
2014-02-03,40,40,38,38,1278000,49673000
2014-01-31,41,42,39,40,2337000,94374000
2014-01-30,42,42,41,41,757000,31280000
2014-01-29,42,43,42,42,1263000,53277000
2014-01-28,42,43,42,42,697000,29353000
2014-01-27,43,44,42,42,1477000,63278000
2014-01-24,44,45,44,44,1163000,51214000
2014-01-23,45,45,44,45,1032000,46275000
