8002-T,東証1部,丸紅,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,742,743,731,739,9496000,7004212000
2014-06-26,742,744,740,742,7116000,5281691000
2014-06-25,741,743,735,738,8105000,5990002000
2014-06-24,734,742,731,740,7625000,5624775000
2014-06-23,737,739,735,738,6702000,4942914000
2014-06-20,733,737,730,734,12294000,9012050000
2014-06-19,725,734,723,732,10593000,7740235000
2014-06-18,723,725,719,725,8988000,6496209000
2014-06-17,724,725,720,723,6777000,4897929000
2014-06-16,726,729,722,724,8912000,6463511000
2014-06-13,713,728,713,728,15976000,11508672000
2014-06-12,712,716,708,716,7306000,5204089000
2014-06-11,713,718,712,717,6032000,4314058000
2014-06-10,720,720,713,714,7285000,5217658000
2014-06-09,716,720,714,718,9103000,6530056000
2014-06-06,707,713,706,711,10462000,7430183000
2014-06-05,707,709,703,705,6611000,4660647000
2014-06-04,706,708,703,705,7432000,5241610000
2014-06-03,710,710,705,706,6513000,4609679000
2014-06-02,698,707,697,705,7344000,5170098000
2014-05-30,700,702,694,694,7555000,5263964000
2014-05-29,698,701,694,699,4891000,3411472000
2014-05-28,703,707,698,699,6467000,4540372000
2014-05-27,700,709,699,703,10252000,7227408000
2014-05-26,698,699,694,698,5845000,4072379000
2014-05-23,690,696,690,692,8856000,6136847000
2014-05-22,682,692,681,688,8834000,6064059000
2014-05-21,673,677,670,677,6469000,4358179000
2014-05-20,681,683,677,678,5787000,3935065000
2014-05-19,682,684,678,678,5896000,4012711000
2014-05-16,685,687,680,686,6662000,4555231000
2014-05-15,692,695,689,693,7445000,5153994000
2014-05-14,686,697,683,697,8572000,5929610000
2014-05-13,685,692,680,689,9316000,6394388000
2014-05-12,679,683,671,678,10177000,6896481000
2014-05-09,676,688,676,678,10609000,7234369000
2014-05-08,673,685,672,681,8664000,5878867000
2014-05-07,684,684,670,670,9821000,6623534000
2014-05-02,690,693,687,689,4404000,3037489000
2014-05-01,683,694,682,691,6800000,4686760000
2014-04-30,690,691,681,682,5948000,4080377000
2014-04-28,679,688,678,686,5420000,3702403000
2014-04-25,682,690,680,686,6318000,4333292000
2014-04-24,688,689,679,683,7309000,4997931000
2014-04-23,688,691,685,690,6238000,4294589000
2014-04-22,688,690,683,683,4303000,2958317000
2014-04-21,690,693,685,686,5182000,3572074000
2014-04-18,691,693,686,691,4217000,2909327000
2014-04-17,686,694,685,687,6935000,4779405000
2014-04-16,674,684,673,683,8246000,5598999000
2014-04-15,675,676,668,670,5411000,3635367000
2014-04-14,668,674,665,669,6765000,4531453000
2014-04-11,667,678,665,674,8731000,5871807000
2014-04-10,674,693,674,683,14416000,9877772000
2014-04-09,674,674,661,664,10739000,7154690000
2014-04-08,685,687,678,678,7744000,5271947000
2014-04-07,693,696,688,689,7188000,4966679000
2014-04-04,694,698,693,697,4212000,2931109000
2014-04-03,698,700,695,695,6768000,4721491000
2014-04-02,690,699,690,694,9779000,6797916000
2014-04-01,693,693,681,688,9179000,6299199000
2014-03-31,693,697,689,693,8061000,5583475000
2014-03-28,687,690,680,690,6403000,4390064000
2014-03-27,670,686,662,683,12495000,8434421000
2014-03-26,689,692,683,688,12930000,8885286000
2014-03-25,681,687,675,687,12393000,8435617000
2014-03-24,694,697,680,682,13405000,9220600000
2014-03-20,698,701,688,689,9637000,6669938000
2014-03-19,703,705,692,696,8428000,5887865000
2014-03-18,707,708,696,696,8572000,6016977000
2014-03-17,701,703,685,690,11698000,8114409000
2014-03-14,706,709,701,703,15195000,10714818000
2014-03-13,720,727,718,721,7041000,5084990000
2014-03-12,729,729,721,722,12313000,8911732000
2014-03-11,738,746,737,741,7436000,5514763000
2014-03-10,740,741,733,740,9339000,6887807000
2014-03-07,739,742,736,739,9057000,6697665000
2014-03-06,734,740,731,736,10093000,7423166000
2014-03-05,733,741,733,735,12412000,9145618000
2014-03-04,708,725,707,723,12015000,8632136000
2014-03-03,707,712,698,711,11260000,7940275000
2014-02-28,716,717,708,713,10605000,7552909000
2014-02-27,723,724,714,718,12766000,9163887000
2014-02-26,721,726,719,723,6514000,4710683000
2014-02-25,726,729,723,728,6808000,4947304000
2014-02-24,719,727,713,721,10305000,7418952000
2014-02-21,718,720,713,719,8095000,5805694000
2014-02-20,720,724,709,712,13174000,9426239000
2014-02-19,720,724,716,724,6720000,4849015000
2014-02-18,714,725,711,725,12363000,8886189000
2014-02-17,706,712,696,711,9447000,6663491000
2014-02-14,709,716,694,705,12723000,8969224000
2014-02-13,723,727,708,713,12993000,9315021000
2014-02-12,725,727,720,722,10376000,7502888000
2014-02-10,728,729,713,720,10293000,7412360000
2014-02-07,715,728,704,711,18886000,13556421000
2014-02-06,691,705,691,699,12191000,8503425000
2014-02-05,683,693,672,690,17127000,11711884000
2014-02-04,686,687,673,673,23003000,15636586000
2014-02-03,719,723,709,709,11717000,8365415000
2014-01-31,732,735,723,723,9897000,7198034000
2014-01-30,725,728,723,726,10393000,7534873000
2014-01-29,733,738,731,737,8163000,5995051000
2014-01-28,734,735,725,725,8309000,6061348000
2014-01-27,723,732,722,729,15301000,11131143000
2014-01-24,753,757,748,752,10974000,8259131000
2014-01-23,772,773,762,766,9218000,7064001000
2014-01-22,765,773,764,771,10262000,7893324000
2014-01-21,771,774,765,765,9026000,6945317000
2014-01-20,767,771,763,770,8963000,6882716000
2014-01-17,756,769,754,768,11493000,8768524000
2014-01-16,760,769,756,759,12081000,9198644000
2014-01-15,749,757,745,757,13104000,9863532000
2014-01-14,741,747,735,745,11914000,8845893000
2014-01-10,751,753,749,752,11204000,8415419000
2014-01-09,753,754,748,752,8300000,6230008000
2014-01-08,748,756,747,756,10715000,8045942000
2014-01-07,749,749,743,746,10837000,8081278000
2014-01-06,756,759,748,754,12877000,9691082000
2013-12-30,744,756,743,756,13764000,10342683000
2013-12-27,740,745,737,738,12769000,9448891000
2013-12-26,722,740,720,734,12078000,8841926000
2013-12-25,718,720,715,719,10907000,7819842000
2013-12-24,720,722,715,717,11224000,8063638000
2013-12-20,720,720,715,716,12492000,8960330000
2013-12-19,723,725,717,719,13366000,9629088000
2013-12-18,714,719,713,717,11921000,8547327000
2013-12-17,711,714,709,714,7242000,5152358000
2013-12-16,719,721,705,706,10891000,7742709000
2013-12-13,715,719,711,715,17608000,12599496000
2013-12-12,720,722,714,715,14005000,10053321000
2013-12-11,722,727,718,724,9427000,6808301000
2013-12-10,725,729,722,724,10403000,7545757000
2013-12-09,727,729,720,722,11553000,8367725000
2013-12-06,717,719,715,717,13739000,9848163000
2013-12-05,735,736,719,719,12107000,8777243000
2013-12-04,736,736,727,729,8828000,6455081000
2013-12-03,743,744,739,739,6443000,4775295000
2013-12-02,747,750,740,740,8862000,6591548000
2013-11-29,748,749,738,743,13766000,10229183000
2013-11-28,744,748,741,745,6044000,4502380000
2013-11-27,743,748,738,738,7459000,5538516000
2013-11-26,748,749,743,744,6503000,4847703000
2013-11-25,752,754,748,749,8821000,6618246000
2013-11-22,748,752,745,747,10992000,8232890000
2013-11-21,740,748,740,743,9958000,7406191000
2013-11-20,749,749,738,740,10084000,7484878000
2013-11-19,750,751,742,747,9295000,6937850000
2013-11-18,749,755,746,751,11236000,8442789000
2013-11-15,744,747,740,744,12105000,9006661000
2013-11-14,732,740,728,736,12642000,9267947000
2013-11-13,729,734,725,726,10790000,7858722000
2013-11-12,716,726,716,724,17235000,12418875000
2013-11-11,720,729,715,716,24400000,17572715000
2013-11-08,760,763,741,747,14300000,10757195000
2013-11-07,764,765,757,763,6057000,4605786000
2013-11-06,751,767,751,763,6229000,4733540000
2013-11-05,765,768,753,758,7522000,5707009000
2013-11-01,766,767,754,760,7164000,5444770000
2013-10-31,777,777,766,767,8624000,6641701000
2013-10-30,776,778,774,777,9229000,7164386000
2013-10-29,764,774,763,769,6981000,5374276000
2013-10-28,765,771,763,768,7056000,5416669000
2013-10-25,770,770,758,759,9214000,7030345000
2013-10-24,763,770,751,769,10338000,7864648000
2013-10-23,779,781,768,769,8274000,6402253000
2013-10-22,771,781,770,779,11294000,8775389000
2013-10-21,764,773,764,766,10518000,8077793000
2013-10-18,759,764,755,761,9246000,7020955000
2013-10-17,762,766,749,756,13354000,10137016000
2013-10-16,765,766,748,750,9775000,7366025000
2013-10-15,765,769,758,761,10475000,8003491000
2013-10-11,757,762,753,759,10343000,7841854000
2013-10-10,741,748,737,746,6682000,4969114000
2013-10-09,712,741,711,736,9736000,7102319000
2013-10-08,715,720,711,718,19408000,13905517000
2013-10-07,743,745,720,723,12233000,8923698000
2013-10-04,743,751,738,747,8188000,6098744000
2013-10-03,751,759,749,750,7319000,5507235000
2013-10-02,766,775,751,754,11153000,8469245000
2013-10-01,773,778,766,766,8407000,6484625000
2013-09-30,777,779,768,772,8391000,6490925000
2013-09-27,792,797,786,796,9731000,7711595000
2013-09-26,780,790,771,790,7924000,6187730000
2013-09-25,795,801,793,794,10340000,8236131000
2013-09-24,787,799,787,797,9639000,7652865000
2013-09-20,790,791,782,791,10431000,8221241000
2013-09-19,777,785,774,785,11580000,9027086000
2013-09-18,765,772,764,768,8374000,6437713000
2013-09-17,755,765,751,760,8178000,6206746000
2013-09-13,748,755,744,749,10412000,7795084000
2013-09-12,755,757,746,753,5950000,4477531000
2013-09-11,763,764,748,750,8844000,6685389000
2013-09-10,754,760,753,760,9474000,7175856000
2013-09-09,754,754,747,751,7951000,5966207000
2013-09-06,746,748,733,739,6283000,4640239000
2013-09-05,743,746,738,745,9188000,6822623000
2013-09-04,730,742,725,741,8284000,6083102000
2013-09-03,719,736,719,734,7787000,5685501000
2013-09-02,715,716,708,709,8279000,5893767000
2013-08-30,725,730,715,716,9718000,6988320000
2013-08-29,724,728,719,722,5372000,3885377000
2013-08-28,723,727,717,720,10458000,7548768000
