8012-T,東証1部,長瀬産,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1288,1289,1261,1279,182100,232225300
2014-06-26,1293,1297,1279,1287,154500,198841400
2014-06-25,1298,1299,1278,1282,244600,314884900
2014-06-24,1296,1297,1279,1295,160200,206807900
2014-06-23,1288,1297,1282,1296,194200,250972900
2014-06-20,1269,1288,1262,1288,471500,604487900
2014-06-19,1255,1272,1249,1270,188800,239204200
2014-06-18,1247,1259,1237,1257,126100,157611200
2014-06-17,1234,1247,1231,1241,139100,172414900
2014-06-16,1228,1237,1223,1229,124300,152758000
2014-06-13,1206,1235,1205,1233,335600,407883700
2014-06-12,1212,1221,1193,1221,218800,264140300
2014-06-11,1216,1238,1216,1234,167000,205017200
2014-06-10,1223,1235,1216,1220,91900,112469800
2014-06-09,1230,1238,1222,1226,103200,126748100
2014-06-06,1228,1230,1210,1224,154000,188526000
2014-06-05,1245,1248,1223,1228,104900,129050700
2014-06-04,1244,1244,1228,1235,96200,118819600
2014-06-03,1251,1257,1236,1240,83700,103976200
2014-06-02,1240,1250,1230,1235,113300,140201800
2014-05-30,1207,1241,1207,1228,229000,281459000
2014-05-29,1205,1213,1202,1208,62400,75309700
2014-05-28,1222,1227,1213,1215,101000,123217600
2014-05-27,1219,1225,1211,1212,88000,107117500
2014-05-26,1218,1219,1208,1218,92400,112146900
2014-05-23,1192,1206,1189,1193,186600,223241500
2014-05-22,1175,1185,1161,1184,239200,281165700
2014-05-21,1174,1179,1156,1166,119300,139110200
2014-05-20,1205,1206,1186,1186,128000,152744500
2014-05-19,1210,1219,1193,1194,85700,102949100
2014-05-16,1222,1225,1200,1210,145600,176192200
2014-05-15,1253,1257,1235,1244,108000,134210500
2014-05-14,1248,1270,1240,1269,118100,149319800
2014-05-13,1248,1266,1247,1254,131400,164955300
2014-05-12,1205,1245,1205,1234,126500,156012700
2014-05-09,1200,1228,1200,1209,122100,148446300
2014-05-08,1200,1226,1200,1211,104900,127237600
2014-05-07,1241,1243,1207,1207,198300,242271100
2014-05-02,1270,1277,1252,1256,80600,101514500
2014-05-01,1260,1282,1253,1277,175900,223634000
2014-04-30,1248,1265,1248,1252,185400,232903500
2014-04-28,1238,1261,1221,1240,87300,107965100
2014-04-25,1249,1261,1237,1248,143200,178850400
2014-04-24,1240,1259,1240,1242,168200,209589800
2014-04-23,1227,1236,1227,1235,97300,119908700
2014-04-22,1237,1237,1219,1219,59900,73554700
2014-04-21,1232,1238,1221,1228,71800,88192800
2014-04-18,1238,1238,1221,1233,48100,59106700
2014-04-17,1226,1239,1220,1229,112100,138046600
2014-04-16,1208,1230,1208,1230,78100,95449000
2014-04-15,1202,1204,1191,1197,108700,130233500
2014-04-14,1180,1207,1180,1196,160800,192606700
2014-04-11,1176,1204,1171,1183,126100,149490600
2014-04-10,1205,1218,1195,1198,122700,147721700
2014-04-09,1203,1208,1189,1191,216100,258599800
2014-04-08,1247,1260,1226,1226,125000,154445300
2014-04-07,1239,1265,1237,1251,116400,145926900
2014-04-04,1260,1268,1250,1252,134900,169465000
2014-04-03,1274,1288,1267,1270,121900,155345100
2014-04-02,1280,1294,1275,1276,194300,249477100
2014-04-01,1277,1277,1253,1270,181500,229304100
2014-03-31,1249,1277,1230,1275,280800,353147800
2014-03-28,1223,1246,1214,1245,206300,254600000
2014-03-27,1228,1241,1202,1238,242700,296365600
2014-03-26,1250,1255,1231,1245,275100,341940700
2014-03-25,1223,1254,1212,1249,372800,460980200
2014-03-24,1231,1258,1231,1247,299600,373133000
2014-03-20,1243,1249,1217,1217,183200,224558000
2014-03-19,1247,1260,1234,1240,156800,195333100
2014-03-18,1229,1255,1217,1241,144700,179392800
2014-03-17,1205,1214,1192,1203,162600,195436700
2014-03-14,1222,1237,1211,1211,355500,434199400
2014-03-13,1251,1259,1244,1248,83900,104965900
2014-03-12,1261,1267,1251,1253,99000,124309500
2014-03-11,1286,1303,1280,1290,128700,166176500
2014-03-10,1276,1285,1273,1278,84300,107689200
2014-03-07,1289,1296,1277,1287,87700,112886100
2014-03-06,1259,1278,1255,1274,76300,96897200
2014-03-05,1263,1270,1246,1262,93200,117831900
2014-03-04,1214,1255,1214,1244,131400,163130900
2014-03-03,1226,1250,1202,1226,132900,162002600
2014-02-28,1241,1253,1233,1245,200400,248992600
2014-02-27,1242,1258,1231,1240,108700,135275500
2014-02-26,1252,1268,1241,1252,90300,113465100
2014-02-25,1268,1283,1261,1268,196800,249866900
2014-02-24,1249,1266,1221,1244,158100,195891600
2014-02-21,1217,1252,1215,1250,154900,192245200
2014-02-20,1231,1231,1199,1201,140800,170579000
2014-02-19,1236,1248,1225,1233,264700,327194400
2014-02-18,1209,1245,1181,1236,393700,483476400
2014-02-17,1166,1197,1154,1197,193500,229126600
2014-02-14,1176,1189,1145,1161,163500,190609100
2014-02-13,1200,1200,1169,1176,116300,137550600
2014-02-12,1199,1203,1186,1195,131900,157749100
2014-02-10,1190,1193,1165,1177,203000,238832300
2014-02-07,1139,1170,1135,1167,283700,328553800
2014-02-06,1110,1119,1091,1109,226600,250221300
2014-02-05,1100,1124,1090,1113,275100,304115900
2014-02-04,1133,1141,1099,1100,255300,284382400
2014-02-03,1209,1215,1180,1182,142900,170165800
2014-01-31,1204,1227,1199,1216,260500,316172300
2014-01-30,1202,1209,1191,1200,204400,245073800
2014-01-29,1205,1243,1205,1242,130500,160189000
2014-01-28,1217,1247,1198,1198,184500,222729100
2014-01-27,1222,1240,1217,1218,186900,228951500
2014-01-24,1278,1288,1261,1266,255900,326001200
2014-01-23,1315,1318,1290,1294,213700,278200600
2014-01-22,1280,1309,1280,1306,180700,234312600
2014-01-21,1289,1301,1278,1280,117900,151864900
2014-01-20,1295,1297,1279,1285,114600,147289500
2014-01-17,1290,1303,1279,1290,350700,452498100
2014-01-16,1290,1292,1276,1283,227900,293102400
2014-01-15,1284,1290,1264,1287,144100,184395700
2014-01-14,1270,1286,1257,1272,177100,225365100
2014-01-10,1292,1302,1273,1300,205200,265149900
2014-01-09,1295,1295,1277,1292,129200,166223400
2014-01-08,1281,1295,1274,1295,136200,175027800
2014-01-07,1287,1287,1266,1271,142100,181138500
2014-01-06,1287,1291,1263,1287,223800,286424700
2013-12-30,1261,1274,1253,1274,167300,212003800
2013-12-27,1225,1247,1219,1247,131100,162214000
2013-12-26,1209,1224,1192,1221,113900,138790300
2013-12-25,1216,1216,1191,1200,214700,258071300
2013-12-24,1225,1238,1210,1216,165000,201028000
2013-12-20,1206,1221,1206,1217,142800,173464900
2013-12-19,1224,1227,1210,1217,208700,253736200
2013-12-18,1205,1217,1201,1214,182900,221816000
2013-12-17,1193,1210,1193,1203,154800,185913400
2013-12-16,1207,1208,1181,1186,194200,231691500
2013-12-13,1198,1217,1186,1204,463700,556850700
2013-12-12,1220,1227,1200,1202,262900,317393800
2013-12-11,1231,1249,1225,1239,389900,483719400
2013-12-10,1224,1239,1212,1238,471300,578664300
2013-12-09,1187,1206,1187,1200,163100,195329300
2013-12-06,1172,1189,1171,1177,160400,188998400
2013-12-05,1181,1193,1171,1171,169000,199193800
2013-12-04,1190,1205,1181,1184,251600,299472200
2013-12-03,1232,1232,1203,1207,238600,288373100
2013-12-02,1225,1243,1216,1221,242500,296779000
