8023-T,東証2部,大興通,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,154,154,151,151,6000,912000
2014-06-26,154,154,154,154,8000,1232000
2014-06-25,152,160,150,152,40000,6171000
2014-06-24,149,149,148,149,12000,1786000
2014-06-23,-,-,-,-,0,0
2014-06-20,-,-,-,-,0,0
2014-06-19,147,147,146,146,6000,880000
2014-06-18,148,148,148,148,5000,740000
2014-06-17,147,148,145,148,10000,1462000
2014-06-16,155,155,148,150,12000,1815000
2014-06-13,153,153,151,151,2000,304000
2014-06-12,148,153,148,153,2000,301000
2014-06-11,153,153,153,153,1000,153000
2014-06-10,-,-,-,-,0,0
2014-06-09,-,-,-,-,0,0
2014-06-06,146,153,146,153,4000,593000
2014-06-05,-,-,-,-,0,0
2014-06-04,150,150,150,150,1000,150000
2014-06-03,-,-,-,-,0,0
2014-06-02,-,-,-,-,0,0
2014-05-30,-,-,-,-,0,0
2014-05-29,-,-,-,-,0,0
2014-05-28,-,-,-,-,0,0
2014-05-27,-,-,-,-,0,0
2014-05-26,155,156,155,156,3000,466000
2014-05-23,150,150,150,150,6000,900000
2014-05-22,149,150,149,150,2000,299000
2014-05-21,-,-,-,-,0,0
2014-05-20,145,149,145,149,2000,294000
2014-05-19,147,147,146,146,2000,293000
2014-05-16,148,149,148,149,2000,297000
2014-05-15,150,150,145,148,6000,893000
2014-05-14,146,146,143,143,3000,435000
2014-05-13,150,150,147,147,15000,2242000
2014-05-12,-,-,-,-,0,0
2014-05-09,156,156,156,156,1000,156000
2014-05-08,154,154,150,150,3000,456000
2014-05-07,149,149,149,149,1000,149000
2014-05-02,-,-,-,-,0,0
2014-05-01,149,149,149,149,1000,149000
2014-04-30,-,-,-,-,0,0
2014-04-28,153,153,147,147,3000,447000
2014-04-25,151,151,151,151,6000,906000
2014-04-24,150,150,150,150,1000,150000
2014-04-23,150,150,150,150,1000,150000
2014-04-22,150,150,150,150,7000,1050000
2014-04-21,152,152,152,152,2000,304000
2014-04-18,150,150,149,149,2000,299000
2014-04-17,149,150,146,149,16000,2373000
2014-04-16,154,154,154,154,3000,462000
2014-04-15,154,154,154,154,4000,616000
2014-04-14,151,153,150,150,5000,760000
2014-04-11,151,151,151,151,1000,151000
2014-04-10,153,153,153,153,2000,306000
2014-04-09,154,154,152,152,7000,1070000
2014-04-08,-,-,-,-,0,0
2014-04-07,152,152,145,150,12000,1763000
2014-04-04,148,153,148,149,3000,450000
2014-04-03,151,153,151,153,3000,457000
2014-04-02,-,-,-,-,0,0
2014-04-01,146,146,146,146,1000,146000
2014-03-31,150,150,150,150,6000,900000
2014-03-28,152,152,152,152,2000,304000
2014-03-27,-,-,-,-,0,0
2014-03-26,149,149,149,149,2000,298000
2014-03-25,144,144,144,144,6000,864000
2014-03-24,150,150,142,143,14000,2020000
2014-03-20,151,151,150,150,4000,601000
2014-03-19,150,153,150,153,3000,453000
2014-03-18,150,150,150,150,1000,150000
2014-03-17,154,154,145,150,10000,1500000
2014-03-14,-,-,-,-,0,0
2014-03-13,-,-,-,-,0,0
2014-03-12,146,148,146,148,3000,441000
2014-03-11,147,147,142,142,5000,722000
2014-03-10,149,149,146,146,5000,739000
2014-03-07,148,154,145,154,7000,1038000
2014-03-06,150,150,150,150,1000,150000
2014-03-05,-,-,-,-,0,0
2014-03-04,151,151,150,150,4000,602000
2014-03-03,154,154,153,153,2000,307000
2014-02-28,154,154,154,154,11000,1694000
2014-02-27,153,153,150,153,4000,609000
2014-02-26,152,153,152,153,9000,1375000
2014-02-25,165,170,149,149,41000,6604000
2014-02-24,154,154,150,150,2000,304000
2014-02-21,153,154,149,154,7000,1066000
2014-02-20,148,153,148,148,5000,745000
2014-02-19,152,155,150,150,6000,918000
2014-02-18,-,-,-,-,0,0
