8032-T,東証1部,紙パル商,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,337,338,334,335,48000,16122000
2014-06-26,339,339,334,335,65000,21852000
2014-06-25,339,341,335,335,92000,31055000
2014-06-24,337,340,337,339,86000,29103000
2014-06-23,336,339,333,337,213000,71409000
2014-06-20,340,341,336,336,100000,33844000
2014-06-19,344,347,338,338,197000,67232000
2014-06-18,340,346,340,344,87000,29835000
2014-06-17,340,340,337,339,91000,30842000
2014-06-16,342,343,336,338,96000,32565000
2014-06-13,340,344,340,342,219000,74637000
2014-06-12,337,345,336,342,141000,48176000
2014-06-11,346,346,339,341,201000,68917000
2014-06-10,345,346,344,346,71000,24491000
2014-06-09,345,347,341,346,69000,23757000
2014-06-06,341,345,339,344,100000,34220000
2014-06-05,345,345,338,343,81000,27700000
2014-06-04,341,347,341,347,74000,25451000
2014-06-03,343,348,342,346,47000,16215000
2014-06-02,344,346,336,343,79000,27015000
2014-05-30,341,349,337,346,98000,33577000
2014-05-29,340,344,337,339,85000,28867000
2014-05-28,345,349,342,342,85000,29225000
2014-05-27,352,355,339,347,153000,53105000
2014-05-26,350,354,346,351,106000,37149000
2014-05-23,346,355,345,350,102000,35710000
2014-05-22,336,346,336,344,66000,22511000
2014-05-21,332,336,330,336,56000,18721000
2014-05-20,327,335,327,329,55000,18219000
2014-05-19,333,333,327,327,37000,12179000
2014-05-16,328,333,325,325,90000,29443000
2014-05-15,331,337,329,333,80000,26553000
2014-05-14,339,345,330,339,81000,27209000
2014-05-13,353,357,338,342,93000,32136000
2014-05-12,349,357,345,350,100000,35107000
2014-05-09,338,352,338,349,44000,15299000
2014-05-08,339,341,338,338,35000,11858000
2014-05-07,349,349,335,335,104000,35402000
2014-05-02,353,353,347,350,11000,3852000
2014-05-01,348,355,347,353,65000,22819000
2014-04-30,340,349,340,348,80000,27600000
2014-04-28,347,347,343,343,68000,23488000
2014-04-25,336,347,336,347,63000,21543000
2014-04-24,335,339,335,336,24000,8074000
2014-04-23,332,338,332,335,34000,11401000
2014-04-22,335,336,332,332,41000,13660000
2014-04-21,331,338,331,335,42000,14028000
2014-04-18,339,339,333,335,25000,8394000
2014-04-17,334,339,333,337,41000,13774000
2014-04-16,326,335,326,333,38000,12595000
2014-04-15,323,325,322,322,42000,13592000
2014-04-14,322,325,321,321,39000,12590000
2014-04-11,329,332,325,325,89000,29122000
2014-04-10,337,338,330,333,93000,31102000
2014-04-09,343,344,330,334,139000,46662000
2014-04-08,352,352,341,342,77000,26517000
2014-04-07,353,355,352,352,75000,26512000
2014-04-04,362,364,360,361,96000,34771000
2014-04-03,360,364,356,364,152000,55048000
2014-04-02,346,362,346,360,264000,93958000
2014-04-01,352,352,346,349,196000,68338000
2014-03-31,350,352,343,350,106000,36908000
2014-03-28,341,348,339,347,141000,48510000
2014-03-27,342,342,337,338,183000,62148000
2014-03-26,351,353,348,351,341000,119750000
2014-03-25,341,344,333,343,231000,78888000
2014-03-24,332,339,328,333,186000,62225000
2014-03-20,331,335,325,325,258000,84718000
2014-03-19,330,335,330,331,42000,13922000
2014-03-18,330,336,328,332,70000,23264000
2014-03-17,333,333,323,327,76000,24882000
2014-03-14,330,334,327,329,304000,100431000
2014-03-13,334,337,334,336,45000,15113000
2014-03-12,336,337,333,334,63000,21116000
2014-03-11,337,338,334,338,52000,17490000
2014-03-10,337,338,333,333,77000,25875000
2014-03-07,334,338,332,337,123000,41120000
2014-03-06,328,331,327,331,64000,21099000
