8045-T,JQスタンダード,横丸魚,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,425,427,425,427,3000,1279000
2014-06-25,-,-,-,-,0,0
2014-06-24,-,-,-,-,0,0
2014-06-23,426,426,424,424,3000,1274000
2014-06-20,426,426,426,426,1000,426000
2014-06-19,426,426,426,426,1000,426000
2014-06-18,-,-,-,-,0,0
2014-06-17,-,-,-,-,0,0
2014-06-16,-,-,-,-,0,0
2014-06-13,-,-,-,-,0,0
2014-06-12,-,-,-,-,0,0
2014-06-11,-,-,-,-,0,0
2014-06-10,-,-,-,-,0,0
2014-06-09,417,426,417,426,3000,1261000
2014-06-06,-,-,-,-,0,0
2014-06-05,-,-,-,-,0,0
2014-06-04,415,415,415,415,2000,830000
2014-06-03,415,415,415,415,1000,415000
2014-06-02,415,415,415,415,1000,415000
2014-05-30,412,412,411,411,4000,1647000
2014-05-29,419,420,419,420,2000,839000
2014-05-28,419,419,419,419,1000,419000
2014-05-27,-,-,-,-,0,0
2014-05-26,-,-,-,-,0,0
2014-05-23,-,-,-,-,0,0
2014-05-22,419,419,419,419,1000,419000
2014-05-21,-,-,-,-,0,0
2014-05-20,426,426,415,415,2000,841000
2014-05-19,416,419,416,419,6000,2506000
2014-05-16,-,-,-,-,0,0
2014-05-15,418,418,418,418,1000,418000
2014-05-14,407,415,406,415,5000,2042000
2014-05-13,416,416,415,415,3000,1247000
2014-05-12,417,417,417,417,2000,834000
2014-05-09,-,-,-,-,0,0
2014-05-08,417,417,417,417,1000,417000
2014-05-07,-,-,-,-,0,0
2014-05-02,-,-,-,-,0,0
2014-05-01,-,-,-,-,0,0
2014-04-30,420,428,420,428,2000,848000
2014-04-28,417,417,412,412,2000,829000
2014-04-25,417,417,415,415,5000,2083000
2014-04-24,-,-,-,-,0,0
2014-04-23,-,-,-,-,0,0
2014-04-22,432,432,432,432,2000,864000
2014-04-21,424,424,424,424,1000,424000
2014-04-18,422,430,422,430,3000,1281000
2014-04-17,-,-,-,-,0,0
2014-04-16,-,-,-,-,0,0
2014-04-15,-,-,-,-,0,0
2014-04-14,-,-,-,-,0,0
2014-04-11,-,-,-,-,0,0
2014-04-10,-,-,-,-,0,0
2014-04-09,414,414,414,414,1000,414000
2014-04-08,422,422,422,422,1000,422000
2014-04-07,-,-,-,-,0,0
2014-04-04,-,-,-,-,0,0
2014-04-03,429,429,429,429,1000,429000
2014-04-02,-,-,-,-,0,0
2014-04-01,423,423,423,423,1000,423000
2014-03-31,418,418,418,418,1000,418000
2014-03-28,-,-,-,-,0,0
2014-03-27,-,-,-,-,0,0
2014-03-26,-,-,-,-,0,0
2014-03-25,-,-,-,-,0,0
2014-03-24,-,-,-,-,0,0
2014-03-20,432,432,432,432,2000,864000
2014-03-19,-,-,-,-,0,0
2014-03-18,429,429,429,429,1000,429000
2014-03-17,427,427,421,421,8000,3408000
2014-03-14,425,425,425,425,1000,425000
2014-03-13,428,428,427,427,2000,855000
2014-03-12,-,-,-,-,0,0
2014-03-11,435,435,435,435,1000,435000
2014-03-10,429,429,429,429,1000,429000
2014-03-07,-,-,-,-,0,0
2014-03-06,426,434,426,434,2000,860000
2014-03-05,-,-,-,-,0,0
2014-03-04,434,434,434,434,1000,434000
2014-03-03,431,431,431,431,1000,431000
2014-02-28,439,439,439,439,1000,439000
2014-02-27,-,-,-,-,0,0
2014-02-26,431,431,431,431,1000,431000
2014-02-25,-,-,-,-,0,0
2014-02-24,-,-,-,-,0,0
2014-02-21,435,435,435,435,2000,870000
2014-02-20,-,-,-,-,0,0
2014-02-19,-,-,-,-,0,0
2014-02-18,436,436,436,436,2000,872000
2014-02-17,-,-,-,-,0,0
2014-02-14,433,433,428,428,4000,1722000
2014-02-13,435,435,435,435,1000,435000
2014-02-12,-,-,-,-,0,0
2014-02-10,430,438,427,427,5000,2156000
2014-02-07,431,431,427,427,3000,1286000
2014-02-06,-,-,-,-,0,0
2014-02-05,439,439,439,439,1000,439000
2014-02-04,440,440,427,435,5000,2159000
2014-02-03,-,-,-,-,0,0
2014-01-31,450,455,450,455,2000,905000
2014-01-30,442,442,442,442,1000,442000
2014-01-29,434,434,434,434,1000,434000
2014-01-28,-,-,-,-,0,0
2014-01-27,-,-,-,-,0,0
2014-01-24,450,450,450,450,1000,450000
2014-01-23,465,465,465,465,3000,1395000
2014-01-22,451,459,451,459,2000,910000
2014-01-21,437,445,437,445,2000,882000
2014-01-20,435,445,435,445,3000,1319000
2014-01-17,430,430,430,430,1000,430000
2014-01-16,-,-,-,-,0,0
2014-01-15,424,428,420,428,11000,4652000
2014-01-14,420,424,420,424,2000,844000
2014-01-10,-,-,-,-,0,0
2014-01-09,415,416,415,416,2000,831000
2014-01-08,417,417,417,417,1000,417000
2014-01-07,415,415,415,415,1000,415000
2014-01-06,-,-,-,-,0,0
2013-12-30,410,410,407,407,3000,1227000
2013-12-27,-,-,-,-,0,0
2013-12-26,-,-,-,-,0,0
2013-12-25,410,410,410,410,2000,820000
2013-12-24,406,406,406,406,6000,2436000
2013-12-20,417,417,412,412,5000,2080000
2013-12-19,-,-,-,-,0,0
2013-12-18,407,411,407,411,4000,1635000
2013-12-17,-,-,-,-,0,0
2013-12-16,-,-,-,-,0,0
2013-12-13,410,415,410,415,8000,3288000
2013-12-12,-,-,-,-,0,0
2013-12-11,410,410,410,410,1000,410000
2013-12-10,-,-,-,-,0,0
2013-12-09,411,411,410,410,13000,5331000
2013-12-06,410,410,410,410,1000,410000
2013-12-05,410,410,410,410,3000,1230000
2013-12-04,415,415,412,412,4000,1654000
2013-12-03,412,415,412,415,4000,1656000
2013-12-02,411,411,411,411,2000,822000
2013-11-29,412,412,410,411,13000,5338000
2013-11-28,407,416,407,414,16000,6571000
2013-11-27,402,403,402,403,4000,1611000
2013-11-26,400,400,400,400,2000,800000
2013-11-25,402,402,402,402,3000,1206000
2013-11-22,400,401,400,400,16000,6401000
2013-11-21,400,400,399,400,13000,5199000
2013-11-20,405,408,400,403,11000,4443000
2013-11-19,-,-,-,-,0,0
2013-11-18,404,405,404,405,4000,1619000
2013-11-15,403,403,400,400,5000,2007000
2013-11-14,-,-,-,-,0,0
2013-11-13,-,-,-,-,0,0
2013-11-12,400,400,400,400,3000,1200000
2013-11-11,401,401,398,400,7000,2798000
2013-11-08,402,402,401,401,6000,2407000
2013-11-07,-,-,-,-,0,0
2013-11-06,-,-,-,-,0,0
2013-11-05,-,-,-,-,0,0
2013-11-01,404,404,403,403,7000,2822000
2013-10-31,406,406,404,404,2000,810000
2013-10-30,405,409,405,409,2000,814000
2013-10-29,-,-,-,-,0,0
2013-10-28,-,-,-,-,0,0
2013-10-25,-,-,-,-,0,0
2013-10-24,-,-,-,-,0,0
2013-10-23,410,410,410,410,2000,820000
2013-10-22,410,410,410,410,1000,410000
2013-10-21,409,409,409,409,2000,818000
2013-10-18,409,409,409,409,1000,409000
2013-10-17,-,-,-,-,0,0
2013-10-16,401,401,401,401,1000,401000
2013-10-15,403,403,403,403,5000,2015000
2013-10-11,-,-,-,-,0,0
2013-10-10,403,403,403,403,1000,403000
2013-10-09,-,-,-,-,0,0
2013-10-08,-,-,-,-,0,0
2013-10-07,-,-,-,-,0,0
2013-10-04,-,-,-,-,0,0
2013-10-03,-,-,-,-,0,0
2013-10-02,-,-,-,-,0,0
2013-10-01,410,410,410,410,2000,820000
2013-09-30,414,414,414,414,1000,414000
2013-09-27,-,-,-,-,0,0
2013-09-26,416,416,416,416,1000,416000
2013-09-25,416,416,416,416,1000,416000
2013-09-24,416,418,415,415,10000,4156000
2013-09-20,433,435,433,435,2000,868000
2013-09-19,-,-,-,-,0,0
2013-09-18,440,440,426,426,4000,1746000
2013-09-17,422,431,422,430,13000,5573000
2013-09-13,-,-,-,-,0,0
2013-09-12,-,-,-,-,0,0
2013-09-11,-,-,-,-,0,0
2013-09-10,410,410,410,410,1000,410000
2013-09-09,-,-,-,-,0,0
2013-09-06,415,415,415,415,1000,415000
2013-09-05,420,420,420,420,1000,420000
2013-09-04,-,-,-,-,0,0
2013-09-03,-,-,-,-,0,0
2013-09-02,-,-,-,-,0,0
2013-08-30,429,429,429,429,25000,10725000
2013-08-29,425,425,425,425,25000,10625000
2013-08-28,430,430,430,430,1000,430000
2013-08-27,-,-,-,-,0,0
2013-08-26,-,-,-,-,0,0
2013-08-23,-,-,-,-,0,0
2013-08-22,430,430,430,430,1000,430000
2013-08-21,-,-,-,-,0,0
2013-08-20,430,430,430,430,1000,430000
2013-08-19,-,-,-,-,0,0
2013-08-16,-,-,-,-,0,0
2013-08-15,-,-,-,-,0,0
2013-08-14,-,-,-,-,0,0
2013-08-13,-,-,-,-,0,0
2013-08-12,431,431,431,431,1000,431000
2013-08-09,432,432,432,432,6000,2592000
2013-08-08,433,433,433,433,1000,433000
2013-08-07,441,441,441,441,1000,441000
