8046-T,東証2部,丸藤パ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,369,379,368,376,48000,17851000
2014-06-26,372,372,364,370,131000,47897000
2014-06-25,356,375,356,372,52000,19082000
2014-06-24,365,365,360,364,75000,27345000
2014-06-23,364,365,360,360,36000,13087000
2014-06-20,355,365,353,365,31000,11244000
2014-06-19,347,358,347,358,30000,10653000
2014-06-18,355,355,342,352,115000,40354000
2014-06-17,346,354,346,349,43000,15020000
2014-06-16,342,347,342,347,24000,8302000
2014-06-13,330,355,330,350,116000,40352000
2014-06-12,337,341,323,325,138000,46096000
2014-06-11,313,332,313,332,114000,37660000
2014-06-10,325,328,320,320,9000,2916000
2014-06-09,313,317,313,317,13000,4093000
2014-06-06,320,320,313,313,7000,2198000
2014-06-05,314,315,311,311,9000,2822000
2014-06-04,322,322,315,315,7000,2236000
2014-06-03,321,326,321,326,2000,647000
2014-06-02,322,326,322,326,12000,3884000
2014-05-30,316,330,315,328,47000,15148000
2014-05-29,304,312,304,310,26000,7972000
2014-05-28,300,304,300,303,5000,1514000
2014-05-27,301,301,299,300,8000,2400000
2014-05-26,303,303,295,295,8000,2404000
2014-05-23,300,300,293,298,38000,11254000
2014-05-22,299,299,294,295,16000,4747000
2014-05-21,308,308,296,299,6000,1799000
2014-05-20,295,303,295,303,3000,893000
2014-05-19,295,297,294,294,5000,1476000
2014-05-16,299,300,299,300,3000,899000
2014-05-15,308,308,300,301,5000,1517000
2014-05-14,300,300,292,292,53000,15646000
2014-05-13,305,305,299,299,45000,13578000
2014-05-12,318,318,304,304,23000,7180000
2014-05-09,324,324,321,321,8000,2584000
2014-05-08,337,337,329,329,9000,2992000
2014-05-07,339,339,337,337,13000,4396000
2014-05-02,345,345,345,345,2000,690000
2014-05-01,344,345,340,345,14000,4800000
2014-04-30,347,349,347,349,6000,2088000
2014-04-28,355,355,347,347,8000,2810000
2014-04-25,347,357,347,357,31000,10911000
2014-04-24,348,350,347,347,50000,17460000
2014-04-23,340,350,335,348,72000,24662000
2014-04-22,337,340,336,336,6000,2027000
2014-04-21,332,337,330,337,14000,4644000
2014-04-18,329,333,329,332,19000,6289000
2014-04-17,326,326,321,321,2000,647000
2014-04-16,318,318,318,318,4000,1272000
2014-04-15,320,320,316,318,13000,4114000
2014-04-14,328,328,320,320,14000,4558000
2014-04-11,340,340,330,333,14000,4675000
2014-04-10,342,342,342,342,3000,1026000
2014-04-09,341,341,330,335,19000,6369000
2014-04-08,340,344,334,344,29000,9807000
2014-04-07,334,342,329,342,27000,8984000
2014-04-04,343,345,335,339,58000,19773000
2014-04-03,359,359,351,353,12000,4245000
2014-04-02,364,364,362,362,6000,2180000
2014-04-01,370,370,362,365,16000,5838000
2014-03-31,365,370,362,370,14000,5119000
2014-03-28,365,368,365,367,3000,1100000
2014-03-27,368,368,364,364,5000,1829000
2014-03-26,368,368,357,368,37000,13496000
2014-03-25,373,374,369,370,17000,6324000
2014-03-24,362,375,362,374,28000,10402000
2014-03-20,375,375,362,362,14000,5147000
2014-03-19,371,375,368,375,13000,4840000
2014-03-18,362,379,362,379,39000,14409000
2014-03-17,365,365,364,364,2000,729000
2014-03-14,370,374,364,374,12000,4422000
2014-03-13,377,377,361,374,28000,10394000
2014-03-12,372,379,372,377,37000,13885000
2014-03-11,372,379,371,379,39000,14543000
2014-03-10,377,381,374,374,14000,5288000
2014-03-07,379,383,375,383,23000,8744000
2014-03-06,382,382,377,381,10000,3798000
2014-03-05,376,382,376,382,20000,7579000
2014-03-04,374,380,373,373,23000,8606000
2014-03-03,368,375,368,375,26000,9659000
2014-02-28,375,375,371,371,6000,2236000
2014-02-27,368,378,368,378,9000,3366000
2014-02-26,377,378,368,375,8000,2994000
2014-02-25,369,378,363,378,33000,12212000
2014-02-24,374,374,371,372,8000,2980000
2014-02-21,368,371,368,371,10000,3705000
2014-02-20,367,368,363,368,21000,7669000
2014-02-19,366,379,361,370,48000,17614000
2014-02-18,380,384,376,380,56000,21272000
2014-02-17,365,377,364,376,53000,19646000
2014-02-14,371,372,358,366,46000,16832000
2014-02-13,378,384,377,377,11000,4169000
2014-02-12,382,383,371,383,28000,10556000
2014-02-10,380,380,371,380,29000,10891000
2014-02-07,385,385,373,381,63000,24012000
2014-02-06,356,375,356,375,46000,16739000
2014-02-05,342,364,340,356,96000,33415000
2014-02-04,332,349,327,342,75000,25340000
2014-02-03,356,364,338,364,148000,52093000
2014-01-31,398,406,358,380,282000,109394000
2014-01-30,394,399,391,398,93000,36817000
2014-01-29,385,399,384,398,131000,51621000
2014-01-28,376,384,375,384,94000,35576000
2014-01-27,372,379,369,379,46000,17165000
2014-01-24,380,384,373,384,104000,39487000
2014-01-23,375,388,375,382,148000,56346000
2014-01-22,362,385,361,377,272000,101714000
2014-01-21,346,385,346,354,206000,74896000
2014-01-20,348,355,338,348,186000,64321000
2014-01-17,325,350,324,350,107000,35439000
2014-01-16,323,325,320,325,59000,19030000
2014-01-15,315,325,312,325,97000,30750000
2014-01-14,301,315,301,310,200000,61892000
2014-01-10,290,305,287,305,128000,37388000
2014-01-09,291,291,288,288,50000,14483000
2014-01-08,283,290,283,290,127000,36296000
2014-01-07,277,282,277,282,32000,8981000
2014-01-06,276,279,275,277,29000,8014000
2013-12-30,272,280,272,277,67000,18511000
2013-12-27,272,273,268,269,41000,11129000
2013-12-26,267,272,264,269,43000,11535000
2013-12-25,259,270,259,262,85000,22120000
2013-12-24,258,259,255,259,85000,21910000
2013-12-20,258,258,256,258,31000,7975000
2013-12-19,260,261,260,260,36000,9361000
2013-12-18,259,259,255,259,52000,13429000
2013-12-17,259,259,259,259,19000,4921000
2013-12-16,262,262,255,256,17000,4387000
2013-12-13,264,264,256,262,34000,8889000
2013-12-12,257,257,255,257,33000,8461000
2013-12-11,258,258,256,256,17000,4384000
2013-12-10,257,258,256,258,21000,5391000
2013-12-09,264,266,258,261,22000,5776000
2013-12-06,265,265,264,264,61000,16158000
2013-12-05,263,265,263,265,13000,3433000
2013-12-04,263,265,262,264,61000,16060000
2013-12-03,263,264,263,264,19000,5001000
2013-12-02,262,263,260,263,39000,10197000
2013-11-29,260,260,257,260,13000,3367000
2013-11-28,260,262,258,260,53000,13784000
2013-11-27,256,260,256,260,42000,10886000
2013-11-26,253,256,253,256,26000,6629000
2013-11-25,255,255,250,254,68000,17186000
2013-11-22,256,257,255,257,12000,3069000
2013-11-21,257,257,255,257,25000,6392000
2013-11-20,256,257,249,253,33000,8350000
2013-11-19,257,258,256,256,17000,4361000
2013-11-18,260,260,257,258,27000,6969000
2013-11-15,258,262,256,261,30000,7777000
2013-11-14,259,260,254,260,26000,6701000
2013-11-13,258,261,256,257,17000,4377000
2013-11-12,257,262,257,262,43000,11164000
2013-11-11,263,263,256,260,44000,11432000
2013-11-08,262,263,257,263,34000,8851000
2013-11-07,260,265,258,263,96000,25105000
2013-11-06,258,260,254,260,43000,11051000
2013-11-05,261,261,256,259,25000,6450000
2013-11-01,250,265,250,265,113000,28734000
2013-10-31,258,265,257,263,179000,46785000
2013-10-30,255,259,250,259,114000,29146000
2013-10-29,254,259,251,252,61000,15519000
2013-10-28,255,255,248,254,59000,14820000
2013-10-25,256,256,244,254,52000,13144000
2013-10-24,246,258,246,254,130000,32456000
2013-10-23,266,266,246,250,211000,53978000
2013-10-22,236,286,235,269,594000,155750000
2013-10-21,234,237,234,237,14000,3293000
2013-10-18,238,238,231,231,49000,11467000
2013-10-17,238,238,236,238,19000,4506000
2013-10-16,235,236,235,236,6000,1411000
2013-10-15,238,239,235,237,14000,3327000
2013-10-11,238,240,238,240,14000,3348000
2013-10-10,237,240,235,235,9000,2137000
2013-10-09,237,238,236,236,17000,4031000
2013-10-08,222,238,221,238,18000,4176000
2013-10-07,231,233,224,224,34000,7784000
2013-10-04,237,238,235,235,35000,8284000
2013-10-03,240,240,238,238,6000,1433000
2013-10-02,241,241,240,240,5000,1202000
2013-10-01,242,245,241,241,26000,6289000
2013-09-30,242,244,241,242,25000,6064000
2013-09-27,241,245,241,241,20000,4847000
2013-09-26,238,244,238,241,26000,6257000
2013-09-25,244,244,235,235,27000,6555000
2013-09-24,246,246,240,245,67000,16379000
2013-09-20,247,247,245,246,52000,12774000
2013-09-19,243,247,241,247,47000,11510000
2013-09-18,246,248,241,242,39000,9569000
2013-09-17,242,247,241,244,74000,18095000
2013-09-13,240,240,235,236,19000,4490000
2013-09-12,244,244,236,242,41000,9871000
2013-09-11,244,245,235,239,44000,10564000
2013-09-10,225,242,225,240,111000,25872000
2013-09-09,219,225,219,223,95000,20921000
2013-09-06,207,210,205,210,10000,2066000
2013-09-05,208,208,207,207,2000,415000
2013-09-04,208,210,207,209,11000,2288000
2013-09-03,205,209,205,209,11000,2264000
2013-09-02,206,206,205,206,16000,3292000
2013-08-30,208,208,207,207,5000,1038000
2013-08-29,208,208,207,207,4000,830000
2013-08-28,208,208,207,207,4000,829000
2013-08-27,211,211,207,207,7000,1464000
2013-08-26,209,209,209,209,6000,1254000
2013-08-23,213,213,208,209,16000,3376000
2013-08-22,213,213,207,209,12000,2507000
2013-08-21,213,213,212,212,2000,425000
2013-08-20,215,215,213,213,2000,428000
2013-08-19,-,-,-,-,0,0
2013-08-16,212,212,212,212,2000,424000
2013-08-15,211,212,211,212,6000,1267000
2013-08-14,213,214,213,214,2000,427000
2013-08-13,212,212,212,212,1000,212000
2013-08-12,210,210,210,210,2000,420000
2013-08-09,212,212,211,211,4000,846000
2013-08-08,214,214,214,214,2000,428000
2013-08-07,215,216,212,212,11000,2355000
2013-08-06,217,217,215,216,11000,2374000
2013-08-05,218,218,218,218,3000,654000
2013-08-02,215,216,214,216,11000,2369000
2013-08-01,215,215,210,211,35000,7460000
2013-07-31,210,212,209,211,24000,5056000
2013-07-30,209,209,208,208,4000,835000
2013-07-29,209,209,208,208,2000,417000
2013-07-26,212,212,207,210,17000,3577000
2013-07-25,214,214,210,212,32000,6803000
2013-07-24,209,211,207,210,9000,1876000
2013-07-23,207,210,207,209,36000,7493000
2013-07-22,211,211,205,207,12000,2506000
2013-07-19,212,213,209,209,16000,3373000
2013-07-18,212,212,210,210,10000,2104000
2013-07-17,210,210,210,210,3000,630000
2013-07-16,209,211,209,210,22000,4618000
2013-07-12,208,208,208,208,8000,1664000
2013-07-11,207,207,205,207,11000,2269000
2013-07-10,206,206,206,206,3000,618000
2013-07-09,206,206,205,205,11000,2262000
2013-07-08,207,210,205,205,22000,4553000
2013-07-05,206,207,205,206,11000,2264000
2013-07-04,205,210,205,207,10000,2072000
2013-07-03,210,210,208,208,19000,3984000
2013-07-02,208,209,208,209,2000,417000
2013-07-01,208,208,208,208,6000,1248000
2013-06-28,204,204,204,204,10000,2040000
2013-06-27,203,203,203,203,3000,609000
2013-06-26,208,208,203,203,11000,2279000
2013-06-25,206,206,200,204,20000,4088000
2013-06-24,203,206,202,206,15000,3051000
2013-06-21,200,200,197,200,15000,2984000
