8059-T,東証1部,第一実,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,477,480,468,470,184000,86942000
2014-06-26,482,486,481,483,61000,29466000
2014-06-25,488,490,483,485,83000,40424000
2014-06-24,487,489,484,488,44000,21441000
2014-06-23,489,490,487,489,57000,27842000
2014-06-20,482,489,482,489,216000,105146000
2014-06-19,483,486,478,485,152000,73399000
2014-06-18,478,482,476,482,71000,34065000
2014-06-17,478,480,475,478,99000,47280000
2014-06-16,481,483,470,477,85000,40437000
2014-06-13,475,483,474,480,141000,67367000
2014-06-12,473,482,456,481,146000,69337000
2014-06-11,474,482,474,478,117000,55881000
2014-06-10,485,487,477,479,149000,71814000
2014-06-09,473,487,473,487,394000,189241000
2014-06-06,451,473,451,472,363000,168181000
2014-06-05,456,458,455,455,53000,24170000
2014-06-04,455,459,451,459,78000,35578000
2014-06-03,459,460,456,456,84000,38485000
2014-06-02,456,462,454,460,117000,53640000
2014-05-30,445,458,444,456,228000,102990000
2014-05-29,438,441,436,439,34000,14910000
2014-05-28,440,442,439,439,57000,25107000
2014-05-27,442,444,441,444,38000,16823000
2014-05-26,440,443,438,442,36000,15868000
2014-05-23,433,440,433,438,62000,27162000
2014-05-22,437,437,429,434,44000,19082000
2014-05-21,426,434,424,429,60000,25616000
2014-05-20,430,430,424,425,36000,15355000
2014-05-19,430,435,425,425,24000,10307000
2014-05-16,434,439,421,431,78000,33620000
2014-05-15,444,444,437,442,62000,27322000
2014-05-14,446,446,440,444,48000,21230000
2014-05-13,448,449,445,447,61000,27302000
2014-05-12,438,447,436,447,192000,84836000
2014-05-09,423,440,420,435,125000,53555000
2014-05-08,424,426,424,424,49000,20802000
2014-05-07,430,430,420,423,99000,42030000
2014-05-02,430,433,430,433,25000,10792000
2014-05-01,429,431,429,431,45000,19356000
2014-04-30,429,433,429,430,62000,26682000
2014-04-28,431,431,429,429,44000,18912000
2014-04-25,427,432,426,430,35000,15039000
2014-04-24,427,430,427,429,24000,10269000
2014-04-23,425,428,425,427,25000,10654000
2014-04-22,428,432,425,425,37000,15822000
2014-04-21,429,431,424,424,25000,10659000
2014-04-18,430,433,427,429,55000,23609000
2014-04-17,429,437,425,434,73000,31524000
2014-04-16,422,426,418,425,40000,16942000
2014-04-15,419,423,418,418,51000,21384000
2014-04-14,417,423,417,419,50000,20981000
2014-04-11,422,423,416,421,63000,26470000
2014-04-10,429,430,425,425,45000,19201000
2014-04-09,433,433,425,426,86000,36845000
2014-04-08,443,443,436,436,67000,29333000
2014-04-07,445,447,442,445,61000,27129000
2014-04-04,445,447,442,445,73000,32478000
2014-04-03,452,452,445,447,109000,48857000
2014-04-02,459,459,451,451,101000,45967000
2014-04-01,454,460,453,459,68000,31012000
2014-03-31,460,460,454,459,74000,33893000
2014-03-28,449,454,441,454,100000,45087000
2014-03-27,446,449,439,446,98000,43555000
2014-03-26,445,450,443,450,186000,83223000
2014-03-25,440,453,439,441,189000,83887000
2014-03-24,431,445,431,439,118000,51797000
2014-03-20,435,437,430,430,330000,142136000
2014-03-19,439,441,435,435,65000,28384000
2014-03-18,435,441,435,438,47000,20565000
2014-03-17,437,441,431,431,85000,36982000
2014-03-14,450,450,441,441,210000,93760000
2014-03-13,455,456,452,453,62000,28151000
2014-03-12,455,459,453,453,60000,27282000
2014-03-11,455,461,455,457,54000,24734000
2014-03-10,454,456,451,455,61000,27706000
2014-03-07,457,460,451,455,62000,28236000
2014-03-06,453,458,453,456,54000,24593000
2014-03-05,458,458,452,455,50000,22806000
2014-03-04,445,456,445,456,111000,49998000
2014-03-03,449,450,443,449,71000,31673000
2014-02-28,449,455,448,454,113000,50896000
2014-02-27,457,457,450,450,61000,27553000
2014-02-26,452,459,452,457,30000,13680000
2014-02-25,456,462,453,455,100000,45674000
2014-02-24,453,458,449,453,70000,31758000
2014-02-21,450,454,445,452,69000,31081000
2014-02-20,446,448,440,442,107000,47493000
2014-02-19,448,452,448,449,49000,22043000
2014-02-18,441,456,440,454,123000,55043000
2014-02-17,446,446,437,446,46000,20319000
2014-02-14,440,444,430,440,151000,66214000
2014-02-13,447,447,440,440,99000,43917000
2014-02-12,443,450,443,448,77000,34426000
2014-02-10,447,447,443,443,54000,24021000
2014-02-07,438,445,433,439,104000,45512000
2014-02-06,427,434,422,430,107000,45710000
2014-02-05,429,439,423,426,300000,128183000
2014-02-04,450,450,424,428,297000,130536000
2014-02-03,466,470,457,461,100000,46363000
2014-01-31,472,479,465,469,170000,80336000
2014-01-30,461,467,458,464,108000,50019000
2014-01-29,466,471,464,471,141000,65845000
2014-01-28,459,463,451,451,113000,51674000
2014-01-27,460,461,449,454,237000,107814000
2014-01-24,472,480,471,474,168000,79726000
2014-01-23,488,490,478,480,152000,73492000
2014-01-22,488,489,484,489,91000,44298000
2014-01-21,490,493,487,488,131000,64130000
2014-01-20,488,490,486,490,75000,36655000
2014-01-17,484,491,484,488,116000,56588000
2014-01-16,485,493,484,488,214000,104370000
2014-01-15,478,483,476,483,156000,74785000
2014-01-14,472,479,469,471,130000,61521000
