8074-T,東証1部,ユアサ商,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,213,215,211,215,359000,76533000
2014-06-26,214,216,213,214,259000,55506000
2014-06-25,215,216,210,213,519000,110831000
2014-06-24,215,216,213,215,390000,83680000
2014-06-23,215,218,215,217,556000,120258000
2014-06-20,214,215,211,215,718000,153485000
2014-06-19,214,215,212,213,357000,76295000
2014-06-18,212,215,208,215,493000,104597000
2014-06-17,211,213,211,212,303000,64165000
2014-06-16,214,215,211,212,560000,119472000
2014-06-13,208,215,208,215,580000,122042000
2014-06-12,209,212,208,211,307000,64423000
2014-06-11,207,213,207,212,448000,94200000
2014-06-10,214,214,208,209,831000,174240000
2014-06-09,217,218,213,215,492000,105892000
2014-06-06,214,218,214,218,887000,191783000
2014-06-05,213,214,209,212,979000,207011000
2014-06-04,209,213,209,212,964000,203378000
2014-06-03,204,209,202,208,1194000,246390000
2014-06-02,201,204,201,204,361000,73107000
2014-05-30,199,201,199,201,334000,66830000
2014-05-29,198,201,198,200,255000,50811000
2014-05-28,197,200,196,198,373000,74016000
2014-05-27,196,197,196,197,143000,28106000
2014-05-26,197,198,194,196,309000,60636000
2014-05-23,195,197,194,196,352000,68945000
2014-05-22,194,195,192,195,156000,30232000
2014-05-21,190,192,188,192,268000,50960000
2014-05-20,192,192,190,191,217000,41449000
2014-05-19,193,194,191,191,310000,59662000
2014-05-16,193,195,192,193,491000,94915000
2014-05-15,196,197,193,193,428000,83429000
2014-05-14,193,195,191,195,251000,48501000
2014-05-13,193,195,192,195,261000,50420000
2014-05-12,196,196,192,192,368000,71249000
2014-05-09,193,196,193,196,214000,41700000
2014-05-08,193,195,193,193,167000,32343000
2014-05-07,195,196,192,192,388000,75011000
2014-05-02,197,198,197,197,109000,21534000
2014-05-01,194,199,193,199,226000,44413000
2014-04-30,197,197,193,194,244000,47591000
2014-04-28,197,197,195,196,132000,25856000
2014-04-25,197,200,196,198,217000,43011000
2014-04-24,197,198,196,198,160000,31579000
2014-04-23,196,198,195,198,221000,43417000
2014-04-22,199,199,195,195,216000,42579000
2014-04-21,199,201,199,200,108000,21578000
2014-04-18,199,199,198,199,151000,29969000
2014-04-17,199,200,198,199,265000,52589000
2014-04-16,195,200,195,200,393000,77604000
2014-04-15,195,196,193,193,527000,102336000
2014-04-14,195,196,194,194,306000,59650000
2014-04-11,196,197,195,195,339000,66393000
2014-04-10,200,202,198,198,491000,97841000
2014-04-09,201,201,198,198,486000,96777000
2014-04-08,203,203,201,201,272000,54890000
2014-04-07,206,207,204,204,350000,71895000
2014-04-04,208,210,208,208,180000,37601000
2014-04-03,208,211,208,210,362000,75736000
2014-04-02,211,213,209,209,600000,126375000
2014-04-01,212,212,209,211,315000,66342000
2014-03-31,209,211,208,211,279000,58480000
2014-03-28,208,209,206,209,305000,63365000
2014-03-27,207,208,203,208,664000,135962000
2014-03-26,209,210,208,210,749000,156863000
2014-03-25,206,209,205,208,490000,101520000
2014-03-24,203,208,202,207,954000,196408000
2014-03-20,206,208,204,204,738000,151910000
2014-03-19,209,210,204,206,366000,75828000
2014-03-18,207,209,205,208,472000,97871000
2014-03-17,205,207,201,202,882000,180055000
2014-03-14,207,208,205,205,1092000,225319000
2014-03-13,212,213,209,209,667000,140283000
2014-03-12,216,216,213,213,459000,98153000
2014-03-11,217,218,216,218,379000,82211000
2014-03-10,216,219,216,217,779000,169277000
2014-03-07,214,216,213,215,859000,184202000
2014-03-06,211,213,210,213,297000,62956000
2014-03-05,213,214,209,210,461000,97517000
2014-03-04,208,212,207,211,544000,113641000
2014-03-03,207,208,205,208,439000,90637000
2014-02-28,210,210,207,208,540000,112589000
2014-02-27,210,211,209,210,310000,65112000
2014-02-26,210,213,209,210,319000,67339000
2014-02-25,213,213,210,212,365000,77334000
2014-02-24,210,213,208,211,375000,78955000
2014-02-21,207,210,206,209,623000,129289000
2014-02-20,209,209,204,205,615000,126983000
2014-02-19,210,212,209,210,482000,101493000
2014-02-18,208,213,208,213,468000,98594000
2014-02-17,205,210,204,208,515000,106679000
2014-02-14,210,211,203,206,721000,148881000
2014-02-13,214,214,209,209,382000,80712000
2014-02-12,214,215,213,214,480000,102782000
2014-02-10,214,214,211,212,474000,100700000
2014-02-07,207,211,207,210,464000,97165000
2014-02-06,201,207,201,204,482000,98435000
2014-02-05,202,204,198,201,827000,166170000
2014-02-04,201,204,198,199,1110000,222794000
2014-02-03,213,214,208,210,586000,123599000
2014-01-31,221,221,213,215,483000,104389000
2014-01-30,218,220,217,218,664000,145038000
2014-01-29,217,223,217,223,595000,131012000
2014-01-28,214,218,213,213,532000,114566000
