8078-T,東証1部,阪和興,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,434,441,433,441,2425000,1061787000
2014-06-26,433,436,427,430,1143000,492373000
2014-06-25,427,438,427,433,1865000,806991000
2014-06-24,429,434,427,428,1591000,682770000
2014-06-23,418,428,416,424,2003000,845799000
2014-06-20,412,419,412,415,2298000,954418000
2014-06-19,412,415,410,410,1777000,732934000
2014-06-18,397,408,395,408,1534000,619639000
2014-06-17,394,396,391,394,1513000,594947000
2014-06-16,390,396,389,391,1921000,753054000
2014-06-13,390,392,386,389,3679000,1433015000
2014-06-12,398,401,394,399,1220000,485843000
2014-06-11,394,399,394,398,883000,350572000
2014-06-10,397,398,392,392,1431000,564791000
2014-06-09,400,404,397,398,1155000,461389000
2014-06-06,405,405,397,398,1226000,489492000
2014-06-05,410,411,401,403,1235000,499783000
2014-06-04,410,411,406,409,552000,225355000
2014-06-03,412,414,405,409,963000,394716000
2014-06-02,408,410,404,409,1050000,428300000
2014-05-30,414,414,405,406,1320000,539001000
2014-05-29,411,412,407,411,706000,289536000
2014-05-28,409,413,407,408,907000,370756000
2014-05-27,412,414,409,409,567000,232840000
2014-05-26,414,415,408,411,436000,179352000
2014-05-23,405,411,403,408,948000,386938000
2014-05-22,390,403,385,401,985000,390542000
2014-05-21,376,388,373,388,719000,274692000
2014-05-20,390,390,379,379,799000,304811000
2014-05-19,393,396,388,390,754000,296360000
2014-05-16,390,394,387,390,611000,238128000
2014-05-15,409,409,395,398,1222000,489619000
2014-05-14,417,421,411,414,1069000,444657000
2014-05-13,413,417,409,414,918000,379009000
2014-05-12,388,412,384,406,1393000,560114000
2014-05-09,387,392,387,387,434000,168803000
2014-05-08,389,394,389,390,598000,233832000
2014-05-07,397,399,387,387,894000,349677000
2014-05-02,407,409,402,405,550000,222924000
2014-05-01,405,411,402,407,748000,304269000
2014-04-30,411,411,398,399,741000,298571000
2014-04-28,400,413,398,407,1458000,593661000
2014-04-25,400,407,398,404,1080000,436032000
2014-04-24,391,400,390,399,1319000,522879000
2014-04-23,384,390,382,390,686000,265538000
2014-04-22,384,386,379,380,759000,289691000
2014-04-21,385,390,381,382,549000,211504000
2014-04-18,386,387,381,385,706000,271451000
2014-04-17,384,390,380,387,1635000,630112000
2014-04-16,371,385,370,385,1188000,451036000
2014-04-15,371,372,363,364,1878000,687426000
2014-04-14,363,369,363,366,1345000,492080000
2014-04-11,364,366,358,364,1901000,690592000
2014-04-10,381,385,370,371,1455000,544788000
2014-04-09,386,388,373,376,1427000,538194000
2014-04-08,396,400,390,392,1002000,394946000
2014-04-07,405,409,400,401,732000,295495000
2014-04-04,418,421,408,410,875000,362233000
2014-04-03,415,420,412,412,1252000,519019000
2014-04-02,397,419,395,414,2325000,953238000
2014-04-01,399,399,388,391,1837000,718670000
2014-03-31,395,400,391,400,1318000,523500000
2014-03-28,397,403,392,395,1383000,547566000
2014-03-27,393,394,381,393,2281000,885257000
