8105-T,東証2部,堀田丸正,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,62,63,61,63,103000,6320000
2014-06-26,62,63,62,63,9000,562000
2014-06-25,63,63,62,63,8000,501000
2014-06-24,63,63,62,63,16000,996000
2014-06-23,62,63,62,63,4000,250000
2014-06-20,63,63,62,63,25000,1556000
2014-06-19,62,63,61,63,168000,10408000
2014-06-18,62,62,61,62,12000,734000
2014-06-17,62,62,61,62,15000,919000
2014-06-16,62,62,62,62,3000,186000
2014-06-13,61,62,61,62,21000,1286000
2014-06-12,61,62,60,62,56000,3413000
2014-06-11,61,62,61,62,45000,2750000
2014-06-10,63,63,61,62,26000,1613000
2014-06-09,63,64,62,62,84000,5236000
2014-06-06,63,63,62,63,22000,1369000
2014-06-05,63,63,62,62,9000,561000
2014-06-04,62,63,62,63,16000,997000
2014-06-03,61,64,61,63,250000,15599000
2014-06-02,61,62,61,62,4000,245000
2014-05-30,62,62,62,62,4000,248000
2014-05-29,62,62,61,62,16000,990000
2014-05-28,-,-,-,-,0,0
2014-05-27,61,62,61,62,4000,246000
2014-05-26,61,62,61,62,8000,490000
2014-05-23,60,61,60,61,15000,903000
2014-05-22,60,60,59,60,15000,894000
2014-05-21,59,60,59,60,57000,3374000
2014-05-20,60,60,59,60,24000,1422000
2014-05-19,60,61,59,61,191000,11309000
2014-05-16,58,60,58,60,62000,3662000
2014-05-15,59,60,59,60,13000,769000
2014-05-14,59,59,59,59,39000,2301000
2014-05-13,59,60,59,60,16000,949000
2014-05-12,61,61,59,60,64000,3832000
2014-05-09,60,61,60,61,3000,181000
2014-05-08,60,61,60,60,13000,783000
2014-05-07,59,61,59,61,25000,1496000
2014-05-02,61,61,60,61,17000,1024000
2014-05-01,61,61,61,61,1000,61000
2014-04-30,61,61,60,61,10000,607000
2014-04-28,61,61,60,61,48000,2897000
2014-04-25,61,61,61,61,3000,183000
2014-04-24,61,61,61,61,2000,122000
2014-04-23,61,61,60,61,5000,303000
2014-04-22,61,61,60,61,17000,1033000
2014-04-21,61,62,61,61,61000,3730000
2014-04-18,61,62,60,62,13000,794000
2014-04-17,60,62,60,62,51000,3076000
2014-04-16,60,60,59,60,26000,1544000
2014-04-15,60,60,59,60,19000,1126000
2014-04-14,58,60,58,59,27000,1588000
2014-04-11,59,65,56,59,528000,31589000
2014-04-10,60,61,59,61,99000,5936000
2014-04-09,59,60,58,60,73000,4306000
2014-04-08,60,61,60,60,144000,8648000
2014-04-07,61,62,61,62,9000,551000
2014-04-04,62,63,61,63,19000,1180000
2014-04-03,62,63,61,63,38000,2353000
2014-04-02,63,63,62,62,67000,4157000
2014-04-01,62,63,62,62,58000,3603000
2014-03-31,63,63,62,63,21000,1313000
2014-03-28,62,63,62,63,14000,876000
2014-03-27,62,63,61,62,165000,10179000
2014-03-26,64,65,63,64,83000,5272000
2014-03-25,65,65,64,65,41000,2634000
2014-03-24,64,65,64,65,147000,9544000
2014-03-20,64,65,64,65,66000,4237000
2014-03-19,-,-,-,-,0,0
2014-03-18,64,65,64,65,38000,2439000
2014-03-17,63,64,63,64,57000,3606000
2014-03-14,64,64,63,64,67000,4240000
2014-03-13,65,66,64,64,43000,2768000
2014-03-12,64,66,64,66,19000,1241000
2014-03-11,65,66,64,65,50000,3250000
2014-03-10,65,65,64,65,6000,388000
