8119-T,JQスタンダード,三栄コポ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2335,2352,2325,2352,2200,5138200
2014-06-26,2353,2359,2335,2335,2100,4929100
2014-06-25,2369,2369,2325,2325,1700,3977900
2014-06-24,2348,2369,2325,2327,1200,2806500
2014-06-23,2340,2384,2320,2320,5200,12184100
2014-06-20,2339,2340,2318,2318,1000,2330200
2014-06-19,2338,2338,2319,2319,1900,4435900
2014-06-18,2337,2338,2320,2338,3500,8155100
2014-06-17,2288,2394,2288,2337,3900,9094800
2014-06-16,2251,2288,2250,2288,2800,6332800
2014-06-13,2252,2262,2229,2244,1800,4046800
2014-06-12,2277,2277,2260,2265,3200,7270300
2014-06-11,2250,2279,2250,2277,2200,4965300
2014-06-10,2243,2252,2243,2250,5800,13035200
2014-06-09,2228,2243,2220,2243,1800,4005000
2014-06-06,2170,2218,2170,2218,2300,5053400
2014-06-05,2170,2185,2170,2170,1000,2172900
2014-06-04,2163,2170,2163,2170,1700,3685500
2014-06-03,2167,2167,2160,2160,1200,2599700
2014-06-02,2170,2170,2167,2167,300,650400
2014-05-30,2149,2168,2149,2162,1700,3662500
2014-05-29,2145,2150,2145,2150,1500,3223000
2014-05-28,2145,2145,2145,2145,1000,2145000
2014-05-27,2147,2149,2144,2145,1400,3004200
2014-05-26,2130,2130,2130,2130,100,213000
2014-05-23,2126,2126,2126,2126,500,1063000
2014-05-22,2140,2140,2128,2128,900,1920700
2014-05-21,2147,2147,2147,2147,100,214700
2014-05-20,2140,2140,2140,2140,400,856000
2014-05-19,2135,2140,2135,2140,1400,2991100
2014-05-16,2140,2140,2135,2135,500,1069500
2014-05-15,2125,2139,2122,2135,500,1065500
2014-05-14,2150,2152,2121,2125,4000,8560900
2014-05-13,2040,2040,2040,2040,400,816000
2014-05-12,2050,2050,2045,2045,1400,2867800
2014-05-09,2050,2050,2050,2050,1100,2255000
2014-05-08,2008,2008,2008,2008,200,401600
2014-05-07,2006,2006,2006,2006,1300,2607800
2014-05-02,2000,2007,2000,2006,1300,2604900
2014-05-01,2001,2007,1999,2007,4200,8402800
2014-04-30,2029,2029,2029,2029,300,608700
2014-04-28,2002,2019,2001,2019,3600,7211700
2014-04-25,2025,2025,2002,2002,2100,4211900
2014-04-24,2025,2025,2025,2025,100,202500
2014-04-23,2050,2050,2030,2030,1300,2652000
2014-04-22,2049,2050,2049,2050,700,1434400
2014-04-21,2076,2076,2050,2050,1700,3505900
2014-04-18,2078,2085,2078,2085,500,1040400
2014-04-17,2076,2078,2076,2078,900,1868600
2014-04-16,2078,2078,2076,2076,400,830600
2014-04-15,2082,2083,2082,2083,200,416500
2014-04-14,2100,2100,2082,2082,600,1255000
2014-04-11,2113,2117,2100,2110,3600,7584400
2014-04-10,2118,2118,2118,2118,1900,4024200
2014-04-09,2136,2136,2115,2118,1000,2124100
2014-04-08,2145,2145,2140,2140,300,642500
2014-04-07,2148,2148,2146,2146,1000,2147800
2014-04-04,2151,2162,2150,2150,1300,2801400
2014-04-03,2160,2160,2151,2151,1600,3450200
2014-04-02,2155,2160,2153,2160,1200,2586600
2014-04-01,2155,2155,2155,2155,1100,2370500
2014-03-31,2162,2162,2152,2152,800,1726400
2014-03-28,-,-,-,-,0,0
2014-03-27,2162,2162,2162,2162,200,432400
2014-03-26,2145,2161,2145,2152,1200,2579300
2014-03-25,2161,2161,2150,2159,500,1077900
2014-03-24,2162,2162,2140,2140,300,644300
2014-03-20,2142,2142,2140,2141,500,1070300
2014-03-19,2142,2143,2142,2142,1600,3427300
2014-03-18,2150,2163,2150,2160,2800,6027900
2014-03-17,2244,2244,2195,2195,2200,4888500
2014-03-14,2250,2259,2245,2245,3300,7427600
2014-03-13,2258,2270,2258,2270,600,1356200
2014-03-12,2261,2261,2258,2258,1200,2710600
2014-03-11,2290,2290,2245,2258,1600,3627100
2014-03-10,2295,2295,2293,2293,900,2065300
2014-03-07,2300,2300,2295,2295,400,918500
2014-03-06,2295,2295,2295,2295,400,918000
2014-03-05,2290,2290,2290,2290,200,458000
2014-03-04,2271,2275,2271,2275,200,454600
2014-03-03,2290,2290,2274,2290,1400,3200300
2014-02-28,2290,2290,2288,2288,900,2060800
2014-02-27,2270,2290,2270,2290,500,1141900
2014-02-26,2270,2270,2270,2270,200,454000
2014-02-25,2261,2261,2261,2261,200,452200
2014-02-24,2260,2270,2260,2260,1300,2939500
2014-02-21,2258,2260,2258,2260,300,677800
2014-02-20,2260,2260,2260,2260,200,452000
2014-02-19,2260,2260,2250,2250,400,902000
2014-02-18,2258,2258,2233,2255,2000,4495500
2014-02-17,2248,2258,2248,2258,700,1575000
2014-02-14,2248,2250,2248,2248,1100,2473800
2014-02-13,2237,2249,2237,2248,600,1346600
2014-02-12,2245,2245,2230,2235,900,2009000
2014-02-10,2206,2230,2206,2230,400,885700
2014-02-07,2205,2205,2205,2205,600,1323000
2014-02-06,2214,2221,2200,2200,1200,2656000
2014-02-05,2250,2250,2247,2247,1100,2473700
2014-02-04,2249,2249,2218,2218,3400,7622800
2014-02-03,2254,2254,2252,2252,1400,3155100
2014-01-31,2255,2255,2254,2254,1500,3381800
2014-01-30,2269,2269,2255,2255,700,1581000
2014-01-29,2256,2270,2256,2269,500,1133500
2014-01-28,2270,2270,2250,2251,2000,4517000
2014-01-27,2252,2253,2250,2250,3500,7878200
2014-01-24,2256,2261,2250,2252,4000,9027600
2014-01-23,2273,2273,2260,2260,2500,5665400
2014-01-22,2260,2260,2258,2260,1800,4067300
2014-01-21,2241,2259,2241,2259,3300,7436400
2014-01-20,2254,2254,2240,2242,4600,10325300
2014-01-17,2241,2248,2241,2244,2900,6501200
2014-01-16,2249,2249,2241,2241,1200,2692600
2014-01-15,2250,2252,2242,2252,900,2023800
2014-01-14,2250,2250,2245,2250,1600,3599100
2014-01-10,2248,2250,2248,2250,700,1574400
2014-01-09,2240,2243,2238,2238,900,2016800
2014-01-08,2216,2242,2216,2241,400,891900
2014-01-07,2250,2250,2205,2206,3100,6893400
2014-01-06,2219,2243,2185,2243,5100,11294800
2013-12-30,2197,2197,2169,2178,4400,9573100
2013-12-27,2174,2177,2174,2177,1200,2609700
2013-12-26,2139,2174,2139,2174,3300,7075900
2013-12-25,2111,2145,2111,2135,3900,8297400
2013-12-24,2160,2170,2150,2151,11300,24402500
2013-12-20,2180,2180,2161,2165,2600,5629200
2013-12-19,2170,2178,2168,2172,5300,11516700
2013-12-18,2160,2170,2155,2167,3600,7772300
2013-12-17,2190,2190,2155,2155,3700,8054900
2013-12-16,2197,2197,2190,2190,1800,3951800
2013-12-13,2192,2197,2192,2197,2900,6358300
2013-12-12,2192,2192,2191,2192,1900,4163900
2013-12-11,2193,2194,2182,2190,3600,7888200
2013-12-10,2178,2189,2178,2182,8500,18546400
2013-12-09,2170,2179,2170,2178,2600,5654600
2013-12-06,2180,2180,2169,2170,800,1736700
2013-12-05,2180,2180,2172,2180,1000,2178100
2013-12-04,2190,2190,2175,2180,1900,4142800
2013-12-03,2170,2190,2167,2190,5400,11731600
2013-12-02,2160,2170,2160,2167,2600,5623700
2013-11-29,2162,2164,2156,2156,1900,4104000
2013-11-28,2163,2164,2158,2164,3200,6915500
2013-11-27,2170,2174,2164,2164,600,1303000
2013-11-26,2175,2175,2165,2171,1200,2606400
2013-11-25,2157,2175,2156,2175,2700,5829800
2013-11-22,2184,2185,2175,2180,2300,5009500
2013-11-21,2181,2185,2176,2178,1200,2616900
2013-11-20,2175,2180,2175,2180,1200,2613400
2013-11-19,2175,2175,2175,2175,700,1522500
2013-11-18,2180,2198,2164,2183,5500,11985700
2013-11-15,2155,2175,2155,2175,1000,2161900
2013-11-14,2155,2177,2155,2169,1300,2812500
2013-11-13,2170,2170,2157,2157,600,1300200
2013-11-12,2180,2180,2150,2173,2200,4752700
2013-11-11,2180,2180,2155,2180,2800,6073900
2013-11-08,2180,2190,2180,2180,1300,2835100
2013-11-07,2209,2209,2170,2180,2800,6133200
2013-11-06,2230,2230,2201,2210,3000,6635900
2013-11-05,2250,2250,2235,2245,3500,7861400
2013-11-01,2280,2280,2255,2255,3900,8834300
2013-10-31,2312,2326,2290,2290,3900,8993500
2013-10-30,2330,2330,2310,2310,2700,6270700
2013-10-29,2352,2352,2290,2292,10100,23523500
2013-10-28,2350,2390,2261,2379,15000,35232100
2013-10-25,2596,2596,2580,2580,900,2332900
2013-10-24,2570,2596,2570,2596,600,1544900
2013-10-23,2581,2581,2570,2570,700,1805300
2013-10-22,2600,2600,2559,2580,2000,5162300
2013-10-21,2595,2629,2590,2597,2400,6239300
2013-10-18,2585,2590,2585,2590,400,1035000
2013-10-17,2590,2590,2585,2585,1500,3880100
2013-10-16,2600,2600,2585,2585,1600,4146300
2013-10-15,2598,2598,2588,2588,2800,7260000
2013-10-11,2600,2609,2598,2598,2200,5721400
2013-10-10,2600,2600,2600,2600,2800,7280000
2013-10-09,2603,2630,2600,2600,2300,6011800
2013-10-08,2611,2611,2609,2609,500,1305300
2013-10-07,2625,2625,2620,2620,500,1311500
2013-10-04,2640,2640,2624,2625,1800,4732900
2013-10-03,2631,2640,2631,2640,2200,5796700
2013-10-02,2650,2650,2631,2631,600,1586100
2013-10-01,2683,2683,2642,2642,1300,3451900
2013-09-30,2650,2669,2633,2633,1800,4758700
2013-09-27,2629,2650,2629,2640,1600,4218100
2013-09-26,2581,2640,2581,2612,4000,10457600
2013-09-25,548,548,545,545,19000,10377000
2013-09-24,547,549,547,548,28000,15343000
2013-09-20,552,552,548,552,28000,15432000
2013-09-19,550,552,550,552,7000,3852000
2013-09-18,552,557,550,557,18000,9946000
2013-09-17,556,558,556,557,9000,5011000
2013-09-13,556,556,556,556,3000,1668000
2013-09-12,556,556,556,556,6000,3336000
2013-09-11,556,556,553,553,7000,3886000
2013-09-10,555,559,553,553,11000,6107000
2013-09-09,547,556,547,555,12000,6629000
2013-09-06,549,549,546,548,8000,4385000
2013-09-05,557,558,550,558,14000,7742000
2013-09-04,550,550,550,550,3000,1650000
2013-09-03,558,558,550,550,3000,1658000
2013-09-02,-,-,-,-,0,0
2013-08-30,550,550,550,550,5000,2750000
2013-08-29,-,-,-,-,0,0
2013-08-28,549,549,548,548,2000,1097000
2013-08-27,550,550,550,550,5000,2750000
2013-08-26,555,555,550,550,5000,2770000
2013-08-23,-,-,-,-,0,0
2013-08-22,555,555,548,555,5000,2762000
2013-08-21,553,553,548,548,10000,5502000
2013-08-20,555,556,553,556,5000,2774000
2013-08-19,558,558,555,555,5000,2781000
2013-08-16,550,550,550,550,1000,550000
2013-08-15,549,557,549,550,3000,1656000
2013-08-14,553,553,549,549,6000,3304000
2013-08-13,562,562,555,555,4000,2241000
2013-08-12,551,568,551,563,6000,3340000
2013-08-09,550,550,550,550,2000,1100000
2013-08-08,550,550,550,550,1000,550000
2013-08-07,555,555,552,552,8000,4432000
2013-08-06,563,563,555,555,10000,5567000
2013-08-05,548,555,548,555,3000,1658000
2013-08-02,558,558,540,548,9000,4939000
2013-08-01,553,553,553,553,2000,1106000
2013-07-31,555,555,555,555,1000,555000
2013-07-30,561,565,555,555,5000,2801000
2013-07-29,561,561,561,561,2000,1122000
2013-07-26,567,569,565,567,4000,2268000
2013-07-25,569,569,569,569,1000,569000
2013-07-24,567,567,567,567,3000,1701000
2013-07-23,566,566,566,566,3000,1698000
2013-07-22,565,567,565,565,4000,2262000
2013-07-19,570,570,563,563,8000,4546000
2013-07-18,581,581,581,581,2000,1162000
2013-07-17,578,578,578,578,3000,1734000
2013-07-16,584,584,578,578,4000,2325000
