8138-T,東証2部,三京化,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,241,247,238,247,9000,2178000
2014-06-26,240,240,240,240,1000,240000
2014-06-25,-,-,-,-,0,0
2014-06-24,234,244,234,236,18000,4241000
2014-06-23,237,242,237,242,2000,479000
2014-06-20,-,-,-,-,0,0
2014-06-19,240,240,237,237,15000,3592000
2014-06-18,235,235,235,235,1000,235000
2014-06-17,237,237,234,236,7000,1646000
2014-06-16,-,-,-,-,0,0
2014-06-13,231,234,231,234,4000,930000
2014-06-12,234,234,230,230,6000,1397000
2014-06-11,236,236,234,234,4000,940000
2014-06-10,235,235,231,234,5000,1165000
2014-06-09,235,235,234,234,10000,2347000
2014-06-06,228,228,228,228,2000,456000
2014-06-05,229,229,229,229,1000,229000
2014-06-04,229,229,228,228,6000,1369000
2014-06-03,-,-,-,-,0,0
2014-06-02,-,-,-,-,0,0
2014-05-30,229,229,229,229,1000,229000
2014-05-29,226,228,226,228,25000,5660000
2014-05-28,231,231,225,225,7000,1591000
2014-05-27,227,230,227,230,5000,1138000
2014-05-26,-,-,-,-,0,0
2014-05-23,228,228,228,228,2000,456000
2014-05-22,231,231,225,228,7000,1606000
2014-05-21,226,226,226,226,1000,226000
2014-05-20,229,229,229,229,4000,916000
2014-05-19,228,228,228,228,1000,228000
2014-05-16,-,-,-,-,0,0
2014-05-15,228,228,226,228,6000,1364000
2014-05-14,224,224,224,224,2000,448000
2014-05-13,227,227,224,224,7000,1580000
2014-05-12,227,227,226,226,12000,2714000
2014-05-09,-,-,-,-,0,0
2014-05-08,231,231,226,226,4000,911000
2014-05-07,228,228,228,228,1000,228000
2014-05-02,230,231,230,231,4000,922000
2014-05-01,-,-,-,-,0,0
2014-04-30,234,234,234,234,1000,234000
2014-04-28,234,234,234,234,6000,1404000
2014-04-25,230,232,230,232,2000,462000
2014-04-24,230,230,230,230,4000,920000
2014-04-23,-,-,-,-,0,0
2014-04-22,227,227,227,227,3000,681000
2014-04-21,-,-,-,-,0,0
2014-04-18,225,225,225,225,1000,225000
2014-04-17,225,226,225,226,13000,2928000
2014-04-16,228,228,225,225,13000,2934000
2014-04-15,226,226,226,226,2000,452000
2014-04-14,-,-,-,-,0,0
2014-04-11,227,227,227,227,1000,227000
2014-04-10,227,227,227,227,1000,227000
2014-04-09,225,225,225,225,4000,900000
2014-04-08,-,-,-,-,0,0
2014-04-07,237,237,234,234,3000,708000
2014-04-04,241,241,237,240,7000,1679000
2014-04-03,237,237,237,237,2000,474000
2014-04-02,240,240,237,237,2000,477000
2014-04-01,233,250,232,250,14000,3364000
2014-03-31,226,231,226,231,5000,1137000
2014-03-28,232,232,231,231,2000,463000
2014-03-27,225,233,225,233,2000,458000
2014-03-26,232,233,230,230,4000,927000
2014-03-25,226,232,226,232,15000,3405000
2014-03-24,227,227,223,226,3000,676000
2014-03-20,219,227,218,224,30000,6645000
2014-03-19,226,228,220,227,21000,4702000
2014-03-18,231,233,229,233,5000,1154000
2014-03-17,234,234,232,232,4000,933000
2014-03-14,232,234,231,231,7000,1628000
2014-03-13,237,237,237,237,1000,237000
2014-03-12,234,237,233,236,9000,2112000
2014-03-11,235,235,235,235,1000,235000
2014-03-10,236,236,232,232,3000,704000
2014-03-07,-,-,-,-,0,0
2014-03-06,234,234,234,234,6000,1404000
2014-03-05,-,-,-,-,0,0
2014-03-04,-,-,-,-,0,0
2014-03-03,232,235,232,234,6000,1400000
2014-02-28,234,234,231,231,4000,932000
2014-02-27,231,232,229,231,35000,8059000
2014-02-26,231,233,230,230,7000,1614000
2014-02-25,237,237,228,231,30000,6939000
2014-02-24,235,238,235,237,9000,2122000
2014-02-21,233,233,233,233,1000,233000
2014-02-20,231,231,228,231,8000,1840000
2014-02-19,230,235,230,235,16000,3708000
2014-02-18,232,235,232,235,3000,699000
2014-02-17,230,230,230,230,1000,230000
2014-02-14,233,233,231,231,6000,1389000
2014-02-13,233,233,231,231,12000,2793000
2014-02-12,239,240,239,239,9000,2152000
2014-02-10,236,239,236,239,5000,1186000
2014-02-07,232,238,231,238,15000,3523000
2014-02-06,232,232,232,232,1000,232000
2014-02-05,227,228,227,228,11000,2499000
2014-02-04,228,232,220,227,47000,10568000
2014-02-03,256,256,240,240,24000,5881000
2014-01-31,256,256,248,248,36000,9150000
2014-01-30,254,254,254,254,4000,1016000
2014-01-29,260,260,255,259,19000,4934000
2014-01-28,254,259,248,259,14000,3556000
2014-01-27,254,254,249,249,15000,3758000
2014-01-24,258,258,255,257,41000,10487000
2014-01-23,264,264,258,258,58000,15094000
2014-01-22,258,265,258,260,47000,12243000
2014-01-21,260,260,259,259,22000,5714000
2014-01-20,258,264,255,264,58000,14923000
2014-01-17,256,258,255,258,16000,4112000
2014-01-16,258,258,256,256,43000,11023000
2014-01-15,253,256,253,256,12000,3047000
2014-01-14,255,257,251,251,47000,11983000
2014-01-10,262,262,258,258,2000,520000
2014-01-09,261,261,261,261,1000,261000
2014-01-08,257,259,257,259,17000,4383000
2014-01-07,253,255,253,253,7000,1773000
2014-01-06,257,257,253,256,8000,2047000
2013-12-30,254,254,251,254,15000,3801000
2013-12-27,243,255,243,255,25000,6195000
2013-12-26,242,243,240,243,10000,2421000
2013-12-25,240,245,239,242,51000,12260000
2013-12-24,249,250,245,246,31000,7698000
2013-12-20,240,250,240,250,37000,9038000
2013-12-19,239,243,238,243,36000,8623000
2013-12-18,240,240,232,239,21000,4987000
2013-12-17,243,243,240,240,6000,1443000
2013-12-16,244,245,240,240,28000,6802000
2013-12-13,247,248,245,246,13000,3203000
2013-12-12,248,248,244,244,15000,3701000
2013-12-11,250,252,248,248,31000,7758000
2013-12-10,241,247,241,247,10000,2433000
2013-12-09,244,245,244,245,3000,733000
2013-12-06,243,244,243,243,20000,4867000
2013-12-05,244,247,244,246,9000,2207000
