8139-T,東証2部,ナガホリ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,245,246,243,245,14200,3466400
2014-06-26,244,246,244,244,17000,4151900
2014-06-25,246,247,244,246,26700,6554100
2014-06-24,246,248,244,246,17600,4327200
2014-06-23,248,249,243,245,51200,12554100
2014-06-20,248,249,247,247,12500,3094400
2014-06-19,245,249,245,248,9700,2398800
2014-06-18,244,246,244,245,5900,1442000
2014-06-17,246,247,244,244,17100,4197700
2014-06-16,244,247,244,245,26500,6487100
2014-06-13,245,246,243,246,12200,2982600
2014-06-12,242,245,242,245,6700,1638300
2014-06-11,242,244,242,242,3900,948700
2014-06-10,242,244,241,242,22700,5495800
2014-06-09,243,244,241,244,21700,5251100
2014-06-06,241,244,240,241,24500,5918700
2014-06-05,244,245,240,240,12700,3073600
2014-06-04,242,243,242,243,3600,872900
2014-06-03,245,245,241,242,26400,6426700
2014-06-02,244,246,243,244,15000,3659800
2014-05-30,245,247,244,245,5600,1372700
2014-05-29,245,245,241,244,4700,1150300
2014-05-28,244,246,241,241,63400,15321700
2014-05-27,243,245,240,245,3200,777600
2014-05-26,245,245,238,240,4200,1015800
2014-05-23,243,243,239,239,8800,2120400
2014-05-22,237,243,237,243,2100,505600
2014-05-21,240,242,234,237,18000,4252500
2014-05-20,241,242,240,240,6700,1612300
2014-05-19,238,244,238,239,8100,1942700
2014-05-16,240,242,237,238,30500,7316900
2014-05-15,248,250,242,242,33000,8102800
2014-05-14,248,248,246,246,2300,568000
2014-05-13,248,250,246,246,10500,2605600
2014-05-12,254,256,247,247,28800,7289800
2014-05-09,241,255,241,245,27800,6890600
2014-05-08,244,246,242,242,6000,1461800
2014-05-07,246,249,244,244,6100,1500300
2014-05-02,246,248,246,247,3700,912800
2014-05-01,242,248,241,245,14100,3434800
2014-04-30,245,246,242,243,17300,4225100
2014-04-28,244,246,244,244,4700,1147500
2014-04-25,244,246,244,246,9200,2251800
2014-04-24,247,247,246,246,2200,542400
2014-04-23,247,249,245,245,6700,1653600
2014-04-22,248,250,245,246,16300,4012300
2014-04-21,246,250,246,248,3300,815100
2014-04-18,248,248,242,247,7600,1859600
