8141-T,東証1部,新光商,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,912,916,908,914,33700,30735500
2014-06-26,923,923,914,916,35400,32449500
2014-06-25,935,935,910,914,35300,32400900
2014-06-24,917,933,917,932,25200,23385400
2014-06-23,916,926,916,924,42900,39466400
2014-06-20,930,935,910,910,106000,97229900
2014-06-19,937,946,928,934,69600,65039700
2014-06-18,944,949,935,940,73100,68823000
2014-06-17,954,969,950,959,75600,72686200
2014-06-16,955,962,944,959,61000,58178200
2014-06-13,910,953,910,951,95000,88087000
2014-06-12,914,928,910,912,53600,49134300
2014-06-11,911,923,911,919,28700,26349000
2014-06-10,924,930,911,914,26700,24514000
2014-06-09,944,944,923,924,31500,29369300
2014-06-06,933,946,928,944,30500,28650500
2014-06-05,938,938,919,927,20400,18909600
2014-06-04,930,934,916,932,22900,21246600
2014-06-03,926,935,926,928,25200,23445800
2014-06-02,910,942,910,923,78800,73128400
2014-05-30,917,930,904,908,300300,274097300
2014-05-29,902,918,902,910,62700,57043300
2014-05-28,910,919,896,910,59900,54489100
2014-05-27,907,907,894,900,41400,37221400
2014-05-26,899,913,893,913,36300,32764400
2014-05-23,894,894,882,891,31000,27582900
2014-05-22,877,882,876,881,29600,26009200
2014-05-21,880,881,861,868,76800,66736700
2014-05-20,901,901,877,878,70300,62237400
2014-05-19,920,920,897,899,51500,46612900
2014-05-16,885,922,885,915,119500,108167500
2014-05-15,926,926,889,904,155800,141184200
2014-05-14,942,950,937,941,13100,12348500
2014-05-13,942,943,936,942,19300,18144200
2014-05-12,936,945,927,927,18000,16853300
2014-05-09,940,947,935,936,16700,15701000
2014-05-08,937,938,933,935,39400,36850200
2014-05-07,945,945,918,925,51600,47953200
2014-05-02,950,950,939,945,21400,20203300
2014-05-01,947,951,937,946,21300,20101200
2014-04-30,956,956,934,941,33300,31351500
2014-04-28,958,958,948,952,19200,18285700
2014-04-25,947,969,925,957,65900,62817900
2014-04-24,945,945,931,937,31100,29133800
2014-04-23,932,947,928,945,35500,33223700
2014-04-22,931,937,923,927,24400,22688700
2014-04-21,929,937,919,921,25800,23867000
2014-04-18,937,942,925,937,20400,19073000
2014-04-17,940,950,937,938,24800,23395300
2014-04-16,930,934,926,934,31000,28864100
2014-04-15,919,938,918,930,40600,37811400
2014-04-14,911,924,909,912,24500,22391200
2014-04-11,904,924,902,914,36000,32933300
2014-04-10,911,930,911,917,35400,32562500
2014-04-09,910,916,900,908,52000,47178500
2014-04-08,931,932,910,911,53900,49602400
2014-04-07,937,945,933,935,37600,35295600
2014-04-04,944,953,937,939,33500,31597800
2014-04-03,960,960,942,951,51400,48884800
