8150-T,東証1部,三信電,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,792,805,787,794,170100,135235700
2014-06-26,788,795,782,787,108800,85982300
2014-06-25,783,794,782,784,123900,97663900
2014-06-24,785,791,778,783,102000,79986800
2014-06-23,790,793,779,785,97100,76364400
2014-06-20,778,796,760,795,280100,219195000
2014-06-19,779,785,766,774,149500,116188300
2014-06-18,759,777,758,775,158100,121980100
2014-06-17,744,765,744,763,226800,171772800
2014-06-16,738,746,728,739,106000,78118200
2014-06-13,710,738,707,736,202100,146506000
2014-06-12,731,731,719,724,65400,47284300
2014-06-11,718,736,715,734,143000,104608600
2014-06-10,725,729,714,715,118100,85175900
2014-06-09,730,733,717,721,104800,75716300
2014-06-06,705,728,705,725,194400,139692300
2014-06-05,713,720,701,703,63800,45095500
2014-06-04,698,715,694,712,219500,154380600
2014-06-03,665,700,663,697,330000,227054700
2014-06-02,628,658,628,655,232700,151267200
2014-05-30,642,655,620,620,511800,324021000
2014-05-29,638,646,635,639,83400,53309800
2014-05-28,644,656,638,641,88200,56895600
2014-05-27,646,651,631,636,112700,72195900
2014-05-26,655,655,646,649,40000,26006000
2014-05-23,640,664,640,655,137000,89878000
2014-05-22,631,641,631,635,43500,27701100
2014-05-21,630,632,626,630,62700,39384300
2014-05-20,624,650,624,638,76500,48957200
2014-05-19,625,629,620,622,70800,44187800
2014-05-16,626,631,622,624,115400,72219300
2014-05-15,650,652,622,626,196900,124846900
2014-05-14,640,641,635,639,43700,27862600
2014-05-13,652,656,633,642,47900,30787500
2014-05-12,645,652,640,642,32900,21172700
2014-05-09,647,651,643,645,41300,26693000
2014-05-08,651,655,649,650,29200,19006500
2014-05-07,665,667,650,653,79900,52653700
2014-05-02,655,663,655,659,28200,18572600
2014-05-01,651,664,649,658,69800,45738900
2014-04-30,644,654,640,641,42700,27472300
2014-04-28,650,650,641,643,36200,23335700
2014-04-25,651,654,648,651,41400,26949500
2014-04-24,650,653,647,649,40600,26376400
2014-04-23,650,665,646,649,73000,47563600
2014-04-22,659,659,649,649,30600,19984000
2014-04-21,654,658,651,651,19000,12437000
2014-04-18,650,655,643,654,43400,28179600
2014-04-17,657,657,648,648,64500,42074000
2014-04-16,648,656,648,652,30900,20148900
2014-04-15,643,659,643,643,68000,44254000
2014-04-14,635,643,632,638,95000,60466000
2014-04-11,638,647,637,637,65100,41726100
2014-04-10,660,675,644,644,78800,51486100
2014-04-09,669,675,657,657,91300,60925500
2014-04-08,677,684,673,679,71400,48434400
2014-04-07,682,685,675,681,39000,26511700
2014-04-04,695,697,691,691,27000,18737600
2014-04-03,685,699,685,694,52000,36116300
2014-04-02,696,696,685,688,51800,35779900
2014-04-01,689,697,685,696,47800,33117100
2014-03-31,691,693,679,691,45800,31384700
