8178-T,東証1部,マルエツ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,360,364,360,364,45000,16321000
2014-06-26,363,363,359,359,51000,18412000
2014-06-25,362,363,359,360,46000,16603000
2014-06-24,360,362,359,362,44000,15893000
2014-06-23,364,364,359,359,37000,13363000
2014-06-20,362,363,358,363,72000,26050000
2014-06-19,358,363,358,362,60000,21673000
2014-06-18,358,360,356,359,42000,15043000
2014-06-17,353,366,353,356,97000,34599000
2014-06-16,360,364,353,353,108000,38630000
2014-06-13,356,359,356,357,87000,31000000
2014-06-12,360,360,357,359,31000,11113000
2014-06-11,363,365,361,363,44000,15986000
2014-06-10,364,364,360,362,31000,11239000
2014-06-09,364,364,359,362,38000,13740000
2014-06-06,358,364,356,364,84000,30309000
2014-06-05,354,357,353,357,16000,5679000
2014-06-04,355,355,353,355,39000,13828000
2014-06-03,353,356,353,355,61000,21627000
2014-06-02,353,354,350,352,80000,28240000
2014-05-30,350,352,347,350,131000,45870000
2014-05-29,350,351,350,350,30000,10501000
2014-05-28,354,354,349,349,163000,57219000
2014-05-27,356,358,355,357,101000,36019000
2014-05-26,356,356,353,355,203000,71990000
2014-05-23,354,357,352,353,123000,43573000
2014-05-22,351,355,351,354,88000,31064000
2014-05-21,350,355,346,351,259000,90909000
2014-05-20,361,363,351,353,768000,274638000
2014-05-19,359,382,359,367,2200000,813260000
2014-05-16,336,338,334,335,59000,19832000
2014-05-15,337,337,336,336,30000,10089000
2014-05-14,338,339,335,336,25000,8440000
2014-05-13,334,337,332,337,61000,20435000
2014-05-12,329,330,327,328,64000,21041000
2014-05-09,329,331,326,328,89000,29198000
2014-05-08,334,334,327,329,93000,30730000
2014-05-07,337,337,330,330,80000,26598000
2014-05-02,336,339,335,337,36000,12102000
2014-05-01,337,340,336,339,52000,17589000
2014-04-30,340,341,337,340,47000,15931000
2014-04-28,342,342,338,340,23000,7825000
2014-04-25,343,343,338,342,42000,14347000
2014-04-24,341,344,337,344,58000,19764000
2014-04-23,342,343,335,340,48000,16322000
2014-04-22,343,343,339,340,30000,10217000
2014-04-21,339,346,335,342,119000,40307000
2014-04-18,348,351,327,337,325000,109213000
2014-04-17,358,358,345,348,67000,23459000
2014-04-16,359,359,353,354,32000,11346000
2014-04-15,360,361,352,353,66000,23482000
2014-04-14,355,360,349,349,75000,26556000
2014-04-11,348,358,348,353,67000,23629000
2014-04-10,358,358,351,351,45000,16002000
2014-04-09,363,365,355,358,86000,31032000
2014-04-08,370,372,360,362,113000,41636000
2014-04-07,361,368,361,366,81000,29509000
2014-04-04,357,363,356,361,61000,21965000
2014-04-03,361,364,358,361,43000,15516000
2014-04-02,367,369,360,361,93000,33923000
2014-04-01,368,370,363,370,53000,19434000
2014-03-31,372,372,366,368,65000,23988000
2014-03-28,358,370,355,369,260000,94753000
2014-03-27,351,355,348,353,86000,30298000
2014-03-26,352,354,344,348,147000,51292000
2014-03-25,354,358,351,354,146000,51796000
2014-03-24,338,350,338,345,122000,42034000
2014-03-20,349,349,331,331,175000,59169000
2014-03-19,342,348,342,344,70000,24138000
2014-03-18,340,342,337,341,70000,23812000
2014-03-17,336,337,332,332,46000,15371000
2014-03-14,336,340,333,336,197000,66221000
2014-03-13,345,346,341,342,92000,31569000
2014-03-12,357,357,341,342,177000,61641000
2014-03-11,356,358,354,357,35000,12446000
2014-03-10,356,357,355,355,29000,10322000
2014-03-07,352,356,352,356,81000,28697000
2014-03-06,356,356,352,352,119000,42071000
2014-03-05,361,362,357,358,54000,19401000
2014-03-04,358,361,353,361,79000,28415000
2014-03-03,354,366,351,364,214000,76653000
2014-02-28,367,367,358,358,172000,62013000
2014-02-27,375,375,368,368,170000,63175000
2014-02-26,371,378,367,377,718000,266728000
2014-02-25,374,377,372,375,1487000,556497000
2014-02-24,373,376,372,375,280000,104605000
2014-02-21,371,373,370,372,138000,51263000
2014-02-20,374,376,370,371,141000,52631000
2014-02-19,370,373,369,373,111000,41220000
2014-02-18,369,370,368,369,99000,36511000
2014-02-17,368,371,366,369,93000,34285000
2014-02-14,367,369,365,368,108000,39616000
2014-02-13,365,367,363,364,72000,26284000
2014-02-12,364,365,363,365,71000,25854000
2014-02-10,363,363,358,363,71000,25715000
2014-02-07,355,356,353,356,139000,49266000
2014-02-06,353,354,350,350,134000,47213000
2014-02-05,351,353,347,349,134000,46847000
2014-02-04,351,351,346,346,200000,70073000
2014-02-03,360,362,357,359,121000,43491000
2014-01-31,360,362,357,360,100000,35943000
2014-01-30,360,361,359,359,79000,28411000
2014-01-29,364,364,360,363,46000,16642000
2014-01-28,359,361,357,357,77000,27649000
2014-01-27,361,361,357,358,105000,37737000
2014-01-24,367,367,364,365,89000,32555000
2014-01-23,370,370,367,367,50000,18452000
2014-01-22,370,371,367,370,67000,24756000
2014-01-21,371,372,367,370,158000,58458000
2014-01-20,370,372,367,368,75000,27667000
2014-01-17,363,365,362,365,73000,26524000
2014-01-16,359,363,357,361,108000,38860000
2014-01-15,354,354,352,353,112000,39573000
2014-01-14,350,354,350,352,149000,52433000
2014-01-10,359,359,356,358,60000,21481000
2014-01-09,358,359,355,359,64000,22885000
2014-01-08,352,356,351,356,57000,20179000
2014-01-07,351,353,350,350,52000,18253000
2014-01-06,350,352,349,351,87000,30480000
2013-12-30,341,348,341,347,72000,24843000
2013-12-27,336,339,336,339,45000,15195000
2013-12-26,333,337,332,335,67000,22431000
2013-12-25,331,332,330,331,83000,27474000
2013-12-24,334,334,330,332,61000,20269000
2013-12-20,335,338,331,332,117000,39045000
2013-12-19,338,338,335,338,65000,21921000
2013-12-18,337,337,334,336,80000,26878000
2013-12-17,335,337,334,336,44000,14749000
2013-12-16,336,337,334,334,33000,11067000
2013-12-13,334,337,334,335,128000,42800000
2013-12-12,341,341,337,338,29000,9829000
2013-12-11,342,343,340,342,43000,14688000
2013-12-10,341,344,341,342,65000,22239000
2013-12-09,337,340,337,340,31000,10493000
2013-12-06,336,336,334,336,27000,9046000
2013-12-05,337,338,334,336,41000,13776000
2013-12-04,337,339,335,336,60000,20218000
2013-12-03,337,341,336,339,77000,26112000
2013-12-02,335,338,335,335,32000,10764000
2013-11-29,333,335,333,333,27000,8997000
2013-11-28,336,336,334,335,30000,10060000
2013-11-27,337,337,334,334,24000,8040000
2013-11-26,333,337,331,337,79000,26360000
2013-11-25,334,334,331,332,36000,11980000
2013-11-22,334,334,330,334,33000,10989000
2013-11-21,330,334,329,333,48000,15921000
2013-11-20,333,333,329,331,38000,12609000
2013-11-19,330,333,328,332,50000,16501000
2013-11-18,329,330,326,330,34000,11160000
2013-11-15,324,329,324,328,58000,18918000
2013-11-14,324,327,323,326,46000,14958000
2013-11-13,322,324,320,321,36000,11572000
2013-11-12,319,322,319,321,35000,11227000
2013-11-11,320,320,317,318,33000,10527000
2013-11-08,320,320,317,319,34000,10857000
2013-11-07,320,320,318,320,21000,6708000
2013-11-06,318,319,315,317,48000,15224000
2013-11-05,320,321,318,318,49000,15638000
2013-11-01,327,327,317,318,74000,23828000
2013-10-31,321,327,320,326,55000,17786000
2013-10-30,322,323,320,322,70000,22505000
2013-10-29,321,321,317,317,32000,10207000
2013-10-28,320,321,319,321,39000,12494000
2013-10-25,322,322,317,317,58000,18561000
2013-10-24,320,323,319,321,77000,24710000
2013-10-23,316,320,316,318,86000,27313000
2013-10-22,314,315,313,315,23000,7220000
2013-10-21,310,313,309,313,57000,17722000
2013-10-18,310,311,309,310,47000,14573000
2013-10-17,311,312,310,310,61000,18967000
2013-10-16,314,314,310,311,28000,8718000
2013-10-15,314,315,311,315,32000,10045000
2013-10-11,312,314,310,314,51000,15946000
2013-10-10,310,312,309,312,18000,5590000
2013-10-09,309,309,305,309,27000,8287000
2013-10-08,308,309,307,309,35000,10781000
2013-10-07,313,313,308,308,37000,11450000
2013-10-04,313,313,310,312,36000,11203000
2013-10-03,313,314,311,312,35000,10924000
2013-10-02,317,318,313,313,37000,11649000
2013-10-01,318,320,316,317,22000,6995000
2013-09-30,317,321,312,320,83000,26414000
2013-09-27,313,318,312,317,55000,17349000
2013-09-26,315,315,311,313,15000,4701000
2013-09-25,314,314,310,313,30000,9373000
2013-09-24,312,315,311,314,27000,8451000
2013-09-20,318,318,312,315,53000,16736000
2013-09-19,307,320,307,320,152000,47712000
2013-09-18,308,308,305,307,18000,5526000
2013-09-17,307,308,305,307,49000,15042000
2013-09-13,304,307,304,307,76000,23147000
2013-09-12,310,310,306,307,34000,10450000
2013-09-11,310,310,308,310,26000,8036000
2013-09-10,310,310,309,310,29000,8980000
2013-09-09,306,308,305,308,39000,11960000
2013-09-06,304,304,302,304,27000,8187000
2013-09-05,303,304,302,304,25000,7573000
2013-09-04,303,305,302,304,27000,8184000
2013-09-03,304,306,304,306,17000,5193000
2013-09-02,303,305,302,305,33000,10006000
2013-08-30,309,309,305,305,26000,7948000
2013-08-29,310,310,305,309,41000,12604000
2013-08-28,311,311,307,309,34000,10516000
2013-08-27,310,314,310,314,104000,32321000
2013-08-26,313,313,309,311,38000,11848000
