8185-T,東証1部,チヨダ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,2253,2270,2220,2243,42900,96290100
2014-06-26,2280,2287,2252,2252,54100,122381300
2014-06-25,2272,2290,2250,2258,52400,118780100
2014-06-24,2237,2273,2237,2262,69100,155928800
2014-06-23,2241,2266,2222,2259,88900,199839800
2014-06-20,2261,2261,2232,2239,94200,211640700
2014-06-19,2245,2261,2240,2253,90400,203599400
2014-06-18,2241,2243,2219,2235,50900,113732700
2014-06-17,2210,2241,2210,2231,86000,192018400
2014-06-16,2218,2223,2204,2209,71600,158380500
2014-06-13,2218,2248,2217,2241,91600,204142300
2014-06-12,2223,2242,2217,2236,83300,185979100
2014-06-11,2226,2234,2217,2224,108800,242080600
2014-06-10,2212,2222,2204,2212,85500,189108400
2014-06-09,2226,2232,2201,2228,135600,300929700
2014-06-06,2185,2198,2174,2184,110900,242314200
2014-06-05,2180,2220,2180,2196,140400,308894400
2014-06-04,2173,2214,2165,2192,404600,885108600
2014-06-03,2336,2340,2296,2306,88600,204611200
2014-06-02,2357,2372,2331,2336,66400,155381000
2014-05-30,2334,2354,2332,2336,82900,194279600
2014-05-29,2328,2344,2311,2334,101400,236157500
2014-05-28,2336,2354,2329,2344,103900,243484800
2014-05-27,2345,2355,2326,2332,90700,211823900
2014-05-26,2312,2360,2300,2356,126800,296219000
2014-05-23,2310,2315,2298,2305,104300,240252900
2014-05-22,2310,2325,2301,2309,65200,150571600
2014-05-21,2300,2309,2278,2307,73600,169299200
2014-05-20,2323,2326,2305,2306,52300,121082000
2014-05-19,2288,2314,2279,2290,269800,619700000
2014-05-16,2329,2340,2264,2278,232800,531630400
2014-05-15,2343,2359,2320,2330,155000,361170500
2014-05-14,2360,2369,2322,2339,284700,664825700
2014-05-13,2370,2390,2360,2372,275700,653722600
2014-05-12,2391,2400,2366,2370,195900,465935700
2014-05-09,2427,2427,2384,2389,180500,433337700
2014-05-08,2409,2440,2403,2428,165100,400204800
2014-05-07,2407,2420,2398,2407,275700,663888700
2014-05-02,2410,2420,2399,2407,249900,601795100
2014-05-01,2428,2438,2405,2413,177900,429372200
2014-04-30,2427,2459,2404,2428,223600,543922700
2014-04-28,2390,2429,2385,2407,227300,547691700
2014-04-25,2434,2440,2407,2416,199300,482094000
2014-04-24,2420,2435,2400,2423,234700,568074600
2014-04-23,2419,2446,2381,2412,193900,466764100
2014-04-22,2433,2435,2413,2425,114900,278639700
2014-04-21,2438,2473,2432,2445,85100,208730900
2014-04-18,2454,2464,2426,2447,102600,250769400
2014-04-17,2409,2430,2390,2414,222200,536151100
2014-04-16,2448,2468,2406,2419,186900,454767700
2014-04-15,2447,2453,2410,2436,218900,532239600
2014-04-14,2396,2500,2393,2453,345100,850162600
2014-04-11,2265,2424,2253,2388,515400,1217681200
2014-04-10,2247,2270,2223,2231,130100,291552800
2014-04-09,2252,2277,2191,2197,218400,483020100
2014-04-08,2251,2287,2242,2277,94900,215288400
2014-04-07,2277,2301,2266,2282,74300,169478200
2014-04-04,2302,2324,2270,2287,156700,359644100
2014-04-03,2308,2329,2260,2302,217600,499088000
2014-04-02,2295,2323,2255,2285,190400,437474600
2014-04-01,2242,2306,2234,2280,244600,557992500
2014-03-31,2235,2242,2181,2237,133800,296343600
2014-03-28,2161,2230,2159,2230,156200,344562600
2014-03-27,2161,2209,2128,2201,161700,352655000
2014-03-26,2175,2204,2156,2161,177000,384955800
2014-03-25,2181,2229,2165,2181,198600,437061800
2014-03-24,2120,2199,2120,2165,217500,472801000
2014-03-20,2080,2115,2068,2083,264200,554824100
2014-03-19,2022,2072,2017,2055,115200,235421500
2014-03-18,2039,2050,2001,2023,72400,146628500
2014-03-17,1993,2068,1990,2008,103900,208512700
2014-03-14,2043,2072,2031,2039,171300,350422800
2014-03-13,2061,2105,2056,2085,188100,393263100
2014-03-12,2055,2072,2041,2054,77000,158548100
2014-03-11,2040,2077,2036,2076,80700,166213500
2014-03-10,2058,2080,2024,2031,140400,287216200
2014-03-07,2050,2067,2031,2058,117700,241556200
2014-03-06,2060,2060,2017,2022,148200,300962800
2014-03-05,2026,2074,2011,2051,201500,412964800
2014-03-04,1947,2006,1929,2001,116500,229597700
2014-03-03,1971,1990,1925,1947,125600,243990900
2014-02-28,1987,1998,1962,1992,117700,233225900
2014-02-27,1984,2007,1975,1985,118100,235406600
2014-02-26,1990,2016,1967,1987,82600,164619000
2014-02-25,2025,2031,2004,2019,181600,366633600
2014-02-24,2033,2054,1994,2013,136500,275537800
2014-02-21,2031,2057,2017,2033,79200,160876600
2014-02-20,2051,2051,2000,2016,123200,248092600
2014-02-19,2046,2060,2032,2051,49700,101845400
2014-02-18,2017,2060,2009,2055,79100,161100300
2014-02-17,2035,2066,2018,2040,140200,285242200
2014-02-14,2044,2057,1972,2020,183900,370031800
2014-02-13,2050,2100,2034,2050,179900,370397800
2014-02-12,2073,2120,2073,2100,205000,430380100
2014-02-10,2063,2073,2046,2072,94400,194695300
2014-02-07,2030,2035,1996,2030,101500,204618700
2014-02-06,1958,2009,1952,2002,128700,255856300
2014-02-05,1940,1976,1925,1966,133800,261246700
2014-02-04,1955,1970,1925,1935,173200,336731900
2014-02-03,1995,2023,1963,1996,234600,467007100
2014-01-31,2008,2034,2000,2023,196100,395157400
2014-01-30,2043,2043,2006,2016,209900,422897400
2014-01-29,2072,2093,2056,2083,122800,255398600
2014-01-28,2012,2058,2005,2047,233400,474770500
2014-01-27,2020,2022,1995,2011,236600,474631700
2014-01-24,2050,2068,2025,2060,197200,404517700
2014-01-23,2129,2129,2073,2076,166900,348921000
2014-01-22,2105,2118,2078,2114,138900,291014900
2014-01-21,2120,2133,2115,2122,135000,286711500
2014-01-20,2130,2136,2099,2121,188700,399297100
2014-01-17,2087,2107,2070,2099,321200,672515100
2014-01-16,2070,2091,2053,2087,248500,516480400
2014-01-15,1999,2059,1998,2056,250300,509944600
2014-01-14,1998,1998,1933,1975,337300,662666000
2014-01-10,2023,2033,2009,2033,77700,156976200
2014-01-09,2047,2047,2000,2042,85000,172689600
2014-01-08,2036,2045,2004,2035,134500,272250600
2014-01-07,2023,2023,1995,2005,128800,258154800
2014-01-06,2050,2052,2025,2036,93700,190932400
2013-12-30,2011,2028,2001,2026,101600,205196300
2013-12-27,1986,2010,1972,2009,115700,230501600
2013-12-26,1910,1973,1910,1969,100100,195479600
2013-12-25,1950,1954,1901,1910,162900,312192500
2013-12-24,1966,1966,1936,1941,111800,217847600
2013-12-20,1935,1966,1935,1960,100400,196129900
2013-12-19,1972,1980,1937,1943,143900,281373200
2013-12-18,1984,1998,1960,1971,133700,264548400
2013-12-17,1980,1988,1965,1985,111400,220335200
2013-12-16,2011,2025,1976,1988,95600,190877400
2013-12-13,2045,2045,2015,2018,139700,284007200
2013-12-12,2050,2062,2031,2050,91200,186923400
2013-12-11,2068,2078,2053,2064,85800,177266900
2013-12-10,2073,2082,2059,2068,135200,279740600
2013-12-09,2066,2075,2062,2073,55500,114784400
2013-12-06,2058,2064,2041,2063,76900,157948700
2013-12-05,2044,2084,2040,2058,156000,322507900
2013-12-04,2075,2080,2052,2065,262000,541311200
2013-12-03,2105,2129,2093,2096,238300,501444800
2013-12-02,2148,2170,2138,2155,49100,105808200
2013-11-29,2171,2175,2131,2150,83900,180593700
2013-11-28,2184,2203,2184,2194,35000,76742900
2013-11-27,2210,2210,2186,2190,52300,114836900
2013-11-26,2235,2265,2200,2221,100300,222858900
2013-11-25,2243,2264,2213,2264,103700,232940100
2013-11-22,2248,2272,2223,2235,110700,248041600
2013-11-21,2209,2257,2209,2243,137500,307841400
2013-11-20,2190,2210,2181,2191,145800,319417300
2013-11-19,2171,2180,2154,2176,118500,256826800
2013-11-18,2217,2217,2172,2182,70000,152817100
2013-11-15,2190,2223,2190,2217,142600,315186600
2013-11-14,2160,2185,2152,2176,87100,189001700
2013-11-13,2170,2170,2131,2152,78400,168360700
2013-11-12,2120,2160,2114,2159,105000,225324200
2013-11-11,2076,2122,2076,2114,83800,176713700
2013-11-08,2065,2077,2039,2066,72700,149519100
2013-11-07,2128,2128,2079,2088,41900,87710300
2013-11-06,2090,2143,2075,2128,59800,126683700
2013-11-05,2132,2145,2103,2107,73000,154813700
2013-11-01,2164,2165,2131,2143,73100,156745000
2013-10-31,2174,2181,2154,2154,76100,164742100
2013-10-30,2175,2187,2160,2176,74100,160952900
2013-10-29,2135,2173,2118,2164,136600,292459400
2013-10-28,2131,2151,2130,2148,81900,175099200
2013-10-25,2160,2160,2117,2129,113900,242781700
2013-10-24,2155,2167,2116,2158,89300,191423900
2013-10-23,2160,2180,2142,2155,183700,396439200
2013-10-22,2136,2156,2116,2144,124200,265241500
2013-10-21,2124,2141,2092,2128,117000,247401500
2013-10-18,2090,2110,2058,2107,195900,408252300
2013-10-17,2069,2088,2058,2083,128100,265713300
2013-10-16,2043,2069,2005,2047,255000,520860100
2013-10-15,2091,2091,2018,2043,250300,511154300
2013-10-11,1970,2077,1955,2067,285000,578296400
2013-10-10,1952,2001,1931,1944,214200,420120600
2013-10-09,1979,1988,1952,1958,104800,206287200
2013-10-08,1970,2002,1965,1980,111000,219873800
2013-10-07,2011,2025,1965,1972,100500,199670300
2013-10-04,2007,2025,2000,2012,54600,109864200
2013-10-03,2050,2060,2019,2020,64000,130406200
2013-10-02,2084,2089,2050,2053,98600,203478100
2013-10-01,2087,2093,2069,2070,66200,137648900
2013-09-30,2107,2116,2072,2087,115000,240360000
2013-09-27,2104,2114,2093,2109,63500,133658500
2013-09-26,2115,2120,2059,2091,112900,235350600
2013-09-25,2143,2150,2115,2125,62000,131898700
2013-09-24,2154,2157,2114,2145,132000,282762100
