8186-T,JQスタンダード,大塚家,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,993,1002,991,993,74400,73893500
2014-06-26,1001,1013,1000,1006,16900,16954200
2014-06-25,1007,1010,1005,1006,17500,17625200
2014-06-24,1005,1008,1001,1008,6100,6130100
2014-06-23,1008,1013,1001,1001,12100,12179200
2014-06-20,1007,1007,998,999,5800,5811800
2014-06-19,1006,1010,1001,1008,17400,17519100
2014-06-18,1005,1007,999,1002,6700,6723800
2014-06-17,998,1005,997,998,3100,3099900
2014-06-16,1002,1009,996,998,14900,14933800
2014-06-13,999,1010,999,1002,13300,13325200
2014-06-12,1003,1003,997,999,1400,1401000
2014-06-11,988,1008,988,1001,7200,7197500
2014-06-10,990,1014,987,1007,47200,47268200
2014-06-09,975,987,975,982,12000,11768800
2014-06-06,970,980,970,972,17700,17228500
2014-06-05,969,969,962,964,6100,5891700
2014-06-04,950,967,948,964,13400,12820300
2014-06-03,951,957,950,950,18400,17525800
2014-06-02,950,969,944,950,78800,75093900
2014-05-30,949,969,941,941,90900,86700200
2014-05-29,956,967,940,940,36900,35008200
2014-05-28,965,970,944,954,43900,42036100
2014-05-27,971,980,968,972,9600,9351900
2014-05-26,967,979,966,979,15500,15059800
2014-05-23,968,978,964,964,10600,10300500
2014-05-22,966,971,958,958,10200,9828400
2014-05-21,963,981,963,969,17800,17272300
2014-05-20,982,984,961,978,17900,17446800
2014-05-19,994,996,981,988,8900,8787400
2014-05-16,979,992,978,992,6900,6782500
2014-05-15,991,997,976,989,40600,40117900
2014-05-14,998,1001,987,991,13200,13105400
2014-05-13,1000,1005,998,998,2100,2104600
2014-05-12,1000,1010,992,1001,18800,18832400
2014-05-09,987,1005,987,996,11700,11666100
2014-05-08,987,1002,987,992,9900,9830200
2014-05-07,1013,1014,990,990,17300,17405700
2014-05-02,1000,1015,999,1003,18300,18444400
2014-05-01,997,1000,992,1000,13600,13571700
2014-04-30,995,999,989,997,9800,9756300
2014-04-28,995,999,986,995,3800,3781700
2014-04-25,975,999,975,999,5500,5441300
2014-04-24,978,984,978,980,5500,5395100
2014-04-23,984,999,983,986,5000,4937500
2014-04-22,1007,1007,985,988,9000,8944400
2014-04-21,1014,1014,1000,1007,25700,25875000
2014-04-18,1008,1015,1005,1005,46200,46595200
2014-04-17,997,1007,994,1005,34700,34710800
2014-04-16,983,994,983,994,24000,23748800
2014-04-15,959,994,958,983,39200,38343400
2014-04-14,955,955,947,955,9300,8848800
2014-04-11,934,942,930,941,20600,19329700
2014-04-10,944,955,936,939,20600,19477500
2014-04-09,954,955,935,944,34600,32762800
2014-04-08,941,955,941,955,37100,35320500
2014-04-07,945,950,942,949,10200,9639400
2014-04-04,947,958,943,952,13800,13111600
2014-04-03,950,953,939,946,14800,13970300
2014-04-02,930,952,924,950,44800,42114500
2014-04-01,916,928,916,920,14600,13443200
2014-03-31,900,915,900,915,17800,16177000
2014-03-28,902,920,890,900,28300,25549100
2014-03-27,900,906,898,898,14800,13342400
2014-03-26,910,919,910,911,19200,17523100
2014-03-25,911,930,911,918,15400,14175600
2014-03-24,910,934,906,934,43900,40355300
2014-03-20,890,913,890,901,48900,44023100
2014-03-19,895,895,885,890,14700,13087800
2014-03-18,885,888,871,882,16600,14613500
2014-03-17,885,900,875,882,26000,23019200
2014-03-14,880,889,880,884,33900,29912800
2014-03-13,895,902,881,888,23300,20780500
2014-03-12,902,905,895,898,19300,17395500
2014-03-11,900,906,898,902,8900,8016700
2014-03-10,905,910,895,900,13400,12087400
2014-03-07,892,900,887,900,11900,10638200
2014-03-06,881,886,881,883,5900,5211100
2014-03-05,879,885,877,881,14000,12317800
2014-03-04,877,881,876,879,5500,4831300
2014-03-03,887,887,876,880,23800,20948700
2014-02-28,881,887,878,887,20100,17718800
2014-02-27,890,890,881,881,20800,18387600
2014-02-26,890,890,884,890,16800,14918000
2014-02-25,892,895,889,891,20600,18363500
2014-02-24,893,904,890,890,13600,12176000
2014-02-21,900,900,877,890,22000,19620100
2014-02-20,885,887,870,876,51900,45455900
2014-02-19,897,910,882,887,81300,72443700
2014-02-18,930,931,890,896,77400,70143900
2014-02-17,948,956,914,921,39800,37114400
