8291-T,東証1部,日産東HD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,312,312,305,307,48000,14782000
2014-06-26,305,313,305,312,105000,32477000
2014-06-25,307,308,306,306,46000,14118000
2014-06-24,309,309,307,307,42000,12944000
2014-06-23,307,310,307,309,55000,16951000
2014-06-20,314,314,308,309,131000,40602000
2014-06-19,317,317,313,314,128000,40312000
2014-06-18,319,319,316,317,35000,11087000
2014-06-17,318,318,313,317,67000,21179000
2014-06-16,319,319,314,315,107000,33902000
2014-06-13,324,324,317,320,229000,73387000
2014-06-12,331,331,322,328,118000,38617000
2014-06-11,328,332,328,331,148000,48820000
2014-06-10,330,338,324,328,403000,132986000
2014-06-09,310,330,309,329,463000,148276000
2014-06-06,302,306,302,306,62000,18889000
2014-06-05,307,308,301,301,66000,20099000
2014-06-04,302,305,302,304,56000,16983000
2014-06-03,304,311,304,304,167000,51358000
2014-06-02,302,304,299,304,121000,36536000
2014-05-30,308,308,301,304,67000,20466000
2014-05-29,301,306,301,305,69000,20919000
2014-05-28,302,305,302,303,66000,20002000
2014-05-27,295,307,294,306,100000,30238000
2014-05-26,295,295,290,293,54000,15805000
2014-05-23,294,294,288,291,47000,13652000
2014-05-22,290,290,287,288,58000,16759000
2014-05-21,289,292,284,289,70000,20203000
2014-05-20,281,292,276,289,119000,33865000
2014-05-19,303,303,289,289,70000,20721000
2014-05-16,305,308,302,303,116000,35353000
2014-05-15,316,317,301,305,285000,87721000
2014-05-14,325,339,325,334,79000,26067000
2014-05-13,321,324,320,322,95000,30553000
2014-05-12,335,335,327,329,56000,18489000
2014-05-09,326,338,325,333,109000,36172000
2014-05-08,333,333,326,329,48000,15794000
2014-05-07,336,336,327,335,73000,24187000
2014-05-02,330,336,330,336,58000,19319000
2014-05-01,337,337,329,330,55000,18261000
2014-04-30,339,339,329,332,56000,18606000
2014-04-28,341,341,330,333,57000,19089000
2014-04-25,336,340,335,340,41000,13825000
2014-04-24,339,339,334,336,35000,11768000
2014-04-23,334,338,333,334,24000,8013000
2014-04-22,332,339,331,334,20000,6674000
2014-04-21,339,340,330,332,38000,12725000
2014-04-18,337,337,333,333,15000,5016000
2014-04-17,339,339,333,333,47000,15773000
2014-04-16,321,331,321,331,48000,15695000
2014-04-15,321,324,320,320,63000,20250000
2014-04-14,325,329,323,324,45000,14670000
2014-04-11,325,333,322,324,49000,15909000
2014-04-10,334,340,327,327,43000,14324000
2014-04-09,335,335,330,330,74000,24556000
2014-04-08,355,355,338,340,76000,26269000
2014-04-07,358,358,354,355,31000,11001000
2014-04-04,359,360,356,357,39000,13959000
2014-04-03,362,362,356,357,78000,27976000
2014-04-02,365,365,355,355,110000,39502000
2014-04-01,365,366,360,366,72000,26176000
2014-03-31,363,368,360,365,62000,22570000
2014-03-28,354,361,350,360,78000,27825000
2014-03-27,349,354,342,352,83000,29035000
2014-03-26,348,353,336,353,158000,54573000
2014-03-25,345,345,339,341,96000,32825000
2014-03-24,358,361,343,343,90000,31707000
2014-03-20,358,358,346,351,138000,48347000
2014-03-19,358,363,354,358,84000,30003000
2014-03-18,358,358,353,358,63000,22377000
2014-03-17,361,362,353,354,75000,26882000
2014-03-14,363,367,360,360,179000,64782000
2014-03-13,369,369,363,366,97000,35510000
2014-03-12,375,377,366,367,155000,57239000
2014-03-11,379,383,374,378,166000,62729000
2014-03-10,382,383,376,379,35000,13272000
2014-03-07,383,386,376,382,94000,35725000
2014-03-06,379,382,374,380,94000,35539000
2014-03-05,380,382,377,379,44000,16705000
2014-03-04,376,380,376,380,97000,36667000
2014-03-03,377,378,372,375,83000,31099000
2014-02-28,380,380,375,377,99000,37316000
2014-02-27,378,381,378,378,47000,17818000
2014-02-26,387,387,378,381,82000,31265000
2014-02-25,393,396,381,387,310000,119476000
2014-02-24,397,398,388,391,125000,49089000
