8306-T,東証1部,三菱UFJ,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,622,625,613,618,49386900,30556220000
2014-06-26,625,628,622,622,48707200,30425079600
2014-06-25,625,629,622,622,44496300,27815347400
2014-06-24,628,631,623,628,57631900,36183152700
2014-06-23,640,641,632,634,44958200,28569398700
2014-06-20,640,642,631,638,82139800,52335713400
2014-06-19,621,635,618,634,87460600,55041467800
2014-06-18,612,621,611,619,72163400,44550500300
2014-06-17,613,617,606,609,56346200,34431301200
2014-06-16,617,622,611,614,52951300,32653790600
2014-06-13,611,620,609,618,85403000,52380959800
2014-06-12,607,620,607,617,108618600,66715392600
2014-06-11,605,611,603,611,56660300,34438360100
2014-06-10,602,608,600,602,81933700,49499760700
2014-06-09,604,605,594,595,44736300,26814355200
2014-06-06,598,602,598,600,49870800,29899428300
2014-06-05,597,599,594,595,40685900,24254140100
2014-06-04,600,601,593,597,52645200,31407059900
2014-06-03,590,598,586,595,93064600,55138419800
2014-06-02,578,585,578,583,47433400,27631904500
2014-05-30,579,582,573,573,58977300,34029272400
2014-05-29,571,579,570,577,44924400,25793707200
2014-05-28,580,582,572,573,62292600,35855477400
2014-05-27,580,586,576,577,49480600,28774902800
2014-05-26,583,586,578,579,55743500,32432129600
2014-05-23,561,575,560,570,84342200,48095384900
2014-05-22,553,564,548,557,89294700,49668944700
2014-05-21,543,553,542,549,64135600,35175489100
2014-05-20,553,555,545,547,54765400,30144238800
2014-05-19,560,561,549,553,69144100,38357921700
2014-05-16,566,568,556,563,87958500,49461575000
2014-05-15,578,580,566,580,68761800,39529113800
2014-05-14,576,577,568,574,55430400,31733441500
2014-05-13,574,580,573,578,59444700,34268644700
2014-05-12,561,570,560,563,41067300,23229875400
2014-05-09,552,566,552,561,49685100,27860417200
2014-05-08,551,562,550,557,61204200,34105377100
2014-05-07,559,560,546,548,83885000,46152475000
2014-05-02,553,567,553,566,63747100,35812484100
2014-05-01,547,557,544,554,82723000,45647802300
2014-04-30,550,550,541,542,48338500,26337820800
2014-04-28,543,545,538,543,44388800,24027053500
2014-04-25,555,558,549,550,53667800,29671369700
2014-04-24,560,562,552,554,44389600,24677978500
2014-04-23,554,562,554,562,46914700,26195728800
2014-04-22,563,563,547,548,45469800,25162806600
2014-04-21,569,572,560,561,43982100,24834712400
2014-04-18,573,573,562,566,40597700,23020952700
2014-04-17,566,570,559,565,69249400,39129337400
2014-04-16,552,569,550,566,80695200,45089934600
2014-04-15,544,552,542,546,64244800,35084772000
2014-04-14,530,546,529,537,76080000,41114819500
2014-04-11,525,541,523,530,105070500,55888416900
2014-04-10,551,553,541,542,54149600,29646217000
2014-04-09,548,552,535,542,87499000,47444117200
2014-04-08,560,565,555,558,58639900,32809296000
2014-04-07,575,577,569,569,51433800,29449445200
2014-04-04,578,582,576,582,36496200,21169647400
2014-04-03,581,586,578,580,55696800,32383409000
2014-04-02,574,587,573,579,99487400,57791919200
2014-04-01,575,575,566,568,64018600,36454547700
2014-03-31,562,569,559,567,94141800,53131920900
2014-03-28,541,558,540,555,78938900,43343813800
2014-03-27,536,543,526,541,91279900,48877538100
2014-03-26,544,548,535,543,104157400,56526204200
2014-03-25,529,541,519,541,140472000,74733350400
2014-03-24,547,552,531,537,138036800,74725957800
2014-03-20,560,567,545,546,110196700,60802256800
2014-03-19,562,573,556,559,88854200,49999207700
2014-03-18,569,572,558,559,63309600,35750250000
2014-03-17,559,564,553,561,68879400,38510606800
2014-03-14,567,570,560,561,140151300,79091872000
2014-03-13,585,588,582,582,36375700,21235535500
2014-03-12,594,595,585,587,56775900,33481189300
2014-03-11,600,606,598,600,46921400,28220603800
2014-03-10,599,604,596,599,45311900,27151394700
2014-03-07,609,610,599,602,68191300,41222640500
2014-03-06,587,604,587,602,78039600,46689631000
2014-03-05,592,596,586,586,59391000,35104292900
2014-03-04,582,591,580,586,59123900,34672427900
2014-03-03,579,590,573,588,76073800,44137600300
2014-02-28,594,597,585,587,73923700,43663171600
2014-02-27,603,606,595,596,69692800,41837939400
2014-02-26,608,612,605,606,53187000,32332772700
2014-02-25,607,617,605,615,63876100,39068889800
2014-02-24,609,617,598,603,68046200,41198040000
2014-02-21,608,613,603,611,56734000,34529694000
2014-02-20,618,619,601,603,69119300,42030852500
2014-02-19,621,626,616,621,66249500,41136862000
2014-02-18,600,632,599,626,125513200,77589059600
2014-02-17,592,597,581,596,53332300,31497749000
2014-02-14,604,608,588,591,66310800,39459280500
2014-02-13,613,615,602,604,43324900,26363965600
2014-02-12,617,621,610,611,57503600,35404063000
2014-02-10,610,611,599,604,53730300,32443348400
2014-02-07,598,604,591,602,67658500,40440974500
2014-02-06,591,593,586,587,48956200,28826033900
2014-02-05,595,598,584,593,89639000,53085691900
2014-02-04,587,599,583,584,133303600,78516054800
2014-02-03,623,627,604,607,80280800,49270449400
2014-01-31,639,640,623,623,61488700,38746323700
2014-01-30,638,640,625,630,119236400,75370960700
2014-01-29,642,654,641,652,59368200,38433125700
2014-01-28,641,642,635,635,67536800,43140412800
2014-01-27,640,643,635,637,97730600,62478281700
2014-01-24,664,666,659,660,88354100,58486588400
2014-01-23,682,690,673,673,92907600,63304236200
2014-01-22,673,683,672,679,71840700,48697738300
2014-01-21,676,679,671,671,39174700,26472257800
2014-01-20,683,684,675,676,36161400,24511657300
2014-01-17,676,682,673,679,44796600,30379016200
2014-01-16,682,684,673,673,56814100,38631070200
2014-01-15,675,679,670,675,68406900,46124466800
2014-01-14,668,671,665,667,86418200,57688208200
2014-01-10,681,689,679,686,73362300,50132095600
2014-01-09,690,691,678,681,81207800,55432009000
2014-01-08,682,692,677,692,74365900,50891423600
2014-01-07,681,685,674,677,66256600,44965367600
2014-01-06,689,697,678,686,110446400,75733853200
2013-12-30,681,696,678,694,103660200,71212417600
2013-12-27,676,678,667,677,82753100,55744317800
2013-12-26,658,673,657,669,98365400,65645392100
2013-12-25,653,655,650,654,53230400,34727970000
2013-12-24,658,660,653,654,65796400,43193906400
2013-12-20,657,660,654,654,65403000,42945692600
2013-12-19,662,664,656,660,85165300,56168088300
2013-12-18,632,649,632,649,73375300,47091227500
2013-12-17,635,637,631,633,39027700,24733299800
