8308-T,東証1部,りそなHD,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,592,592,580,584,11431300,6695516600
2014-06-26,591,595,590,591,11272200,6678671500
2014-06-25,582,591,577,586,15934900,9345269500
2014-06-24,580,591,580,588,15630200,9164546900
2014-06-23,577,585,570,585,18516900,10731265100
2014-06-20,575,585,575,582,16442400,9536207100
2014-06-19,558,578,558,575,20252500,11552006900
2014-06-18,545,560,544,559,15629600,8668128000
2014-06-17,546,550,542,544,9461700,5164802300
2014-06-16,554,556,548,550,9408700,5181520400
2014-06-13,550,556,549,555,12473500,6884611500
2014-06-12,550,558,549,555,13883700,7691972100
2014-06-11,542,553,541,553,10598800,5819981700
2014-06-10,540,544,533,542,13935200,7513543900
2014-06-09,552,554,546,549,9058200,4973115600
2014-06-06,544,552,542,552,20899200,11489764500
2014-06-05,536,544,533,541,16386500,8832670600
2014-06-04,540,540,533,537,6963800,3732937700
2014-06-03,536,541,525,538,17118300,9170057500
2014-06-02,532,536,532,533,7974200,4257272200
2014-05-30,533,536,530,532,9465500,5040612200
2014-05-29,526,534,525,532,6791000,3602148000
2014-05-28,530,534,528,530,8260000,4386399700
2014-05-27,529,534,527,529,10107400,5368440500
2014-05-26,532,533,524,530,7842600,4145421500
2014-05-23,516,530,516,529,18992100,9950291400
2014-05-22,514,517,509,512,15844400,8117190300
2014-05-21,509,515,507,509,11180700,5707338700
2014-05-20,508,512,503,507,8774400,4455999600
2014-05-19,511,512,505,505,8366600,4244843200
2014-05-16,511,522,509,513,14656500,7525284300
2014-05-15,512,517,505,517,17330000,8857497200
2014-05-14,525,530,516,518,16701900,8731592700
2014-05-13,533,536,526,534,16022500,8504941900
2014-05-12,530,532,526,527,10692500,5660763400
2014-05-09,523,534,521,530,7953100,4218158400
2014-05-08,526,533,525,527,12783600,6760408600
2014-05-07,525,531,524,525,14679700,7720608000
2014-05-02,528,535,523,531,9653500,5117010800
2014-05-01,523,531,522,529,12605200,6653638300
2014-04-30,522,525,518,522,15839400,8268287400
2014-04-28,514,518,511,516,12965100,6675188700
2014-04-25,511,522,505,520,21777400,11246373700
2014-04-24,504,513,503,510,28433800,14471144600
2014-04-23,496,505,492,493,23326600,11599390100
2014-04-22,492,494,481,481,14168400,6876915000
2014-04-21,489,494,486,488,7721500,3782473700
2014-04-18,491,491,485,488,5585200,2719837400
2014-04-17,491,494,487,489,11268300,5527598600
2014-04-16,479,492,478,491,11079100,5365896300
2014-04-15,478,479,472,474,10136900,4822209300
2014-04-14,476,486,475,475,9219500,4425027700
2014-04-11,469,483,469,479,13827400,6592261100
2014-04-10,488,491,480,481,12845600,6245428500
2014-04-09,484,488,478,480,16963300,8189912600
2014-04-08,500,501,490,492,10525700,5210009700
2014-04-07,504,508,499,500,8362300,4205393300
2014-04-04,507,512,505,510,6509000,3316150800
2014-04-03,510,515,507,508,13314200,6796900400
2014-04-02,506,513,504,508,15276800,7774340300
2014-04-01,505,505,497,503,13417500,6730795400
2014-03-31,491,502,488,499,22866000,11357867300
2014-03-28,480,486,473,486,15462100,7429563200
2014-03-27,462,482,461,479,18718900,8824431300
2014-03-26,484,493,480,485,21802000,10578037100
2014-03-25,484,487,470,479,34059400,16379219800
2014-03-24,500,501,489,489,24933200,12317945500
2014-03-20,505,507,495,495,17020600,8498889000
2014-03-19,499,509,496,498,18021400,9034942000
2014-03-18,511,511,496,496,21273900,10665142200
2014-03-17,510,514,495,501,20931500,10509449400
2014-03-14,516,519,509,511,22368300,11497351500
2014-03-13,531,534,528,530,10731300,5685850300
2014-03-12,537,539,531,532,12335600,6596419600
2014-03-11,541,547,539,545,13391200,7274856100
