8336-T,東証1部,武蔵銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,3510,3510,3445,3490,42500,147901000
2014-06-26,3560,3560,3500,3505,47200,166611000
2014-06-25,3510,3545,3505,3520,48100,169831000
2014-06-24,3555,3555,3485,3545,58700,206979500
2014-06-23,3520,3550,3500,3520,34100,119855000
2014-06-20,3550,3560,3495,3520,67700,238410000
2014-06-19,3560,3590,3540,3565,67200,240183500
2014-06-18,3510,3590,3505,3585,71900,256008500
2014-06-17,3480,3500,3470,3495,40100,140022000
2014-06-16,3475,3490,3430,3455,25500,88127000
2014-06-13,3425,3505,3425,3500,70400,242785000
2014-06-12,3465,3500,3455,3465,23100,80190500
2014-06-11,3435,3520,3435,3515,70000,243942500
2014-06-10,3380,3450,3375,3425,60700,207602500
2014-06-09,3410,3415,3355,3370,19700,66476000
2014-06-06,3410,3420,3390,3410,21600,73572000
2014-06-05,3400,3400,3360,3390,19900,67376500
2014-06-04,3390,3390,3325,3375,35000,117630000
2014-06-03,3405,3440,3390,3405,41700,142362500
2014-06-02,3365,3395,3345,3395,29100,98217500
2014-05-30,3305,3375,3305,3335,82600,276088000
2014-05-29,3340,3365,3315,3360,17000,56905000
2014-05-28,3380,3390,3345,3365,31700,106980500
2014-05-27,3355,3410,3355,3365,26900,91011500
2014-05-26,3385,3385,3335,3355,26800,89924000
2014-05-23,3275,3400,3275,3350,46100,154689500
2014-05-22,3245,3290,3200,3275,62300,202533500
2014-05-21,3205,3245,3175,3205,22800,72936500
2014-05-20,3265,3265,3215,3225,25900,83838500
2014-05-19,3230,3255,3215,3220,33900,109538500
2014-05-16,3250,3265,3190,3225,46200,148845000
2014-05-15,3280,3295,3235,3280,29800,97327500
2014-05-14,3260,3325,3240,3325,35700,117424500
2014-05-13,3260,3320,3260,3285,36300,119120000
2014-05-12,3260,3330,3250,3250,25500,83549500
2014-05-09,3250,3335,3250,3275,30000,98775000
2014-05-08,3225,3280,3225,3255,27100,88252000
2014-05-07,3310,3335,3225,3225,57100,186049000
2014-05-02,3370,3370,3325,3345,21400,71518500
2014-05-01,3290,3390,3255,3370,55900,187199500
2014-04-30,3295,3330,3255,3270,41500,136111000
2014-04-28,3235,3250,3210,3245,26900,87000000
2014-04-25,3260,3310,3245,3285,27500,90036500
2014-04-24,3240,3280,3230,3255,47300,153624000
2014-04-23,3235,3260,3225,3240,28100,91015000
2014-04-22,3285,3285,3210,3210,35100,113537500
2014-04-21,3285,3350,3225,3265,47900,156395000
2014-04-18,3270,3275,3250,3270,40600,132518500
2014-04-17,3300,3300,3235,3270,53000,173381000
2014-04-16,3240,3295,3230,3290,27900,91262500
2014-04-15,3210,3275,3185,3195,43700,140267500
2014-04-14,3200,3245,3180,3180,35700,114605000
2014-04-11,3210,3270,3200,3215,41000,132101500
2014-04-10,3275,3345,3245,3255,33800,110634000
2014-04-09,3300,3350,3240,3270,61300,200441000
2014-04-08,3370,3380,3330,3340,45500,152352000
2014-04-07,3465,3480,3390,3400,61900,211957000
2014-04-04,3525,3545,3505,3535,71700,252794500
2014-04-03,3535,3560,3520,3530,83400,295562000
2014-04-02,3500,3565,3475,3505,104400,368813500
2014-04-01,3450,3500,3445,3495,80600,280213000
2014-03-31,3395,3455,3370,3420,95100,324763500
2014-03-28,3360,3385,3325,3375,87200,292582000
2014-03-27,3300,3370,3255,3360,117300,389551500
2014-03-26,3315,3330,3250,3265,98300,322264000
2014-03-25,3195,3340,3180,3245,105400,344384500
2014-03-24,3065,3240,3065,3195,93900,298411500
2014-03-20,3100,3140,3030,3040,79400,242565500
2014-03-19,3115,3135,3065,3085,61000,188867500
2014-03-18,3130,3150,3090,3115,39900,124223000
2014-03-17,3090,3150,3055,3080,42100,129712000
2014-03-14,3115,3160,3095,3115,114500,356612500
2014-03-13,3190,3215,3180,3190,27400,87527000
2014-03-12,3230,3255,3185,3195,43200,138383000
2014-03-11,3380,3380,3270,3300,46700,154450500
2014-03-10,3340,3370,3320,3320,21700,72329500
2014-03-07,3350,3385,3325,3365,37900,127189000
2014-03-06,3245,3335,3245,3330,37900,125434000
2014-03-05,3250,3310,3250,3260,35600,116587500
2014-03-04,3170,3235,3160,3220,33300,106906000
2014-03-03,3150,3175,3090,3165,27900,87508000
2014-02-28,3200,3235,3120,3175,42800,135302500
2014-02-27,3225,3230,3175,3190,33200,106358500
2014-02-26,3235,3305,3235,3240,42700,139273000
2014-02-25,3275,3305,3260,3305,26100,85835000
2014-02-24,3265,3355,3195,3235,52100,169439000
2014-02-21,3170,3290,3170,3285,49000,158987500
2014-02-20,3180,3210,3100,3120,43200,136003000
2014-02-19,3245,3245,3180,3205,30500,98089000
2014-02-18,3175,3265,3170,3260,68000,219214500
2014-02-17,3105,3160,3055,3160,36700,114612000
2014-02-14,3090,3140,3055,3110,90600,280505500
2014-02-13,3145,3170,3080,3090,32900,102484500
2014-02-12,3170,3190,3130,3140,31300,98897000
2014-02-10,3145,3165,3095,3120,50900,159071500
2014-02-07,3075,3095,3035,3090,44500,136340500
2014-02-06,3060,3105,3000,3055,48300,147297000
2014-02-05,3025,3090,2992,3065,107300,326433700
2014-02-04,3115,3135,3010,3010,113600,348140500
2014-02-03,3290,3325,3240,3245,55500,181258500
2014-01-31,3310,3350,3275,3325,71900,238513500
2014-01-30,3290,3345,3280,3295,71100,235314000
2014-01-29,3320,3410,3320,3400,68600,231981000
2014-01-28,3260,3330,3250,3275,79200,259456500
2014-01-27,3235,3285,3220,3255,133100,433692000
2014-01-24,3405,3455,3360,3370,93500,316712000
2014-01-23,3575,3575,3475,3475,57100,200746000
2014-01-22,3585,3595,3535,3570,28300,101061000
2014-01-21,3575,3600,3560,3585,42700,153050500
2014-01-20,3565,3565,3515,3555,26600,94313500
2014-01-17,3520,3570,3515,3565,32400,114738500
2014-01-16,3585,3595,3530,3535,57700,205206000
2014-01-15,3600,3600,3530,3585,45700,163097000
2014-01-14,3520,3590,3520,3555,80900,287518500
2014-01-10,3545,3590,3465,3590,80800,286476000
2014-01-09,3570,3580,3530,3575,44000,156503500
2014-01-08,3580,3585,3510,3560,36300,128572500
2014-01-07,3550,3575,3525,3555,47700,169621500
2014-01-06,3520,3575,3500,3565,49600,175777500
2013-12-30,3475,3545,3475,3525,37100,130360000
2013-12-27,3430,3465,3410,3465,31500,108523500
2013-12-26,3375,3425,3350,3405,42700,145218500
2013-12-25,3400,3415,3335,3370,53300,179693500
2013-12-24,3415,3420,3220,3405,119600,404247500
2013-12-20,3385,3420,3365,3420,61300,208211500
2013-12-19,3395,3430,3345,3390,68000,230130500
2013-12-18,3340,3380,3340,3375,66100,222568500
2013-12-17,3320,3370,3310,3350,58700,196229000
2013-12-16,3315,3340,3285,3295,60800,200910000
