8418-T,東証1部,山口FG,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1067,1067,1044,1049,671000,706014000
2014-06-26,1079,1083,1062,1067,852000,913703000
2014-06-25,1063,1081,1063,1071,800000,858165000
2014-06-24,1064,1078,1052,1069,845000,901911000
2014-06-23,1059,1064,1056,1063,715000,757994000
2014-06-20,1054,1059,1048,1058,869000,917159000
2014-06-19,1040,1056,1031,1056,929000,974078000
2014-06-18,1025,1038,1024,1037,329000,339636000
2014-06-17,1009,1024,1009,1024,476000,485540000
2014-06-16,1001,1009,1000,1003,264000,265027000
2014-06-13,996,1010,993,1010,619000,618664000
2014-06-12,1005,1009,1002,1005,412000,414154000
2014-06-11,1000,1012,998,1009,405000,407915000
2014-06-10,999,1008,994,998,424000,424546000
2014-06-09,1005,1006,993,995,298000,297500000
2014-06-06,1000,1006,995,998,526000,525691000
2014-06-05,993,1003,989,994,459000,457698000
2014-06-04,988,990,981,990,342000,337515000
2014-06-03,990,995,986,990,530000,525104000
2014-06-02,977,982,974,980,315000,308349000
2014-05-30,970,975,966,969,550000,533914000
2014-05-29,962,971,956,968,344000,331811000
2014-05-28,973,975,967,967,291000,282536000
2014-05-27,965,974,963,964,421000,408006000
2014-05-26,958,965,949,965,364000,348588000
2014-05-23,939,958,939,955,464000,442822000
2014-05-22,940,949,931,940,576000,541020000
2014-05-21,925,940,921,931,303000,280635000
2014-05-20,931,942,930,935,423000,396032000
2014-05-19,926,936,924,928,293000,272466000
2014-05-16,926,930,916,928,402000,371649000
2014-05-15,925,943,918,941,414000,386461000
2014-05-14,934,940,928,940,310000,289991000
2014-05-13,919,942,917,939,630000,587761000
2014-05-12,915,919,908,910,514000,469430000
2014-05-09,921,939,921,926,250000,232617000
2014-05-08,921,934,915,923,308000,285262000
2014-05-07,940,948,919,921,726000,673362000
2014-05-02,953,953,939,945,252000,238079000
2014-05-01,947,956,942,955,445000,423142000
2014-04-30,946,948,933,942,421000,396416000
2014-04-28,932,946,925,944,362000,339533000
2014-04-25,929,948,928,943,446000,419124000
2014-04-24,934,945,929,937,575000,538464000
2014-04-23,928,931,921,925,319000,295141000
2014-04-22,933,937,919,919,345000,319059000
2014-04-21,931,938,929,932,200000,186503000
2014-04-18,937,937,922,930,220000,204299000
2014-04-17,927,932,915,930,505000,467640000
2014-04-16,922,928,915,925,692000,637605000
2014-04-15,914,917,903,912,841000,765250000
2014-04-14,889,917,889,899,1099000,995715000
2014-04-11,895,898,878,882,809000,717652000
