8508-T,東証2部,Jトラスト,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1530,1550,1390,1499,1852200,2740891200
2014-06-26,1452,1615,1447,1550,4202200,6488189000
2014-06-25,1475,1484,1418,1430,1097100,1597807800
2014-06-24,1430,1485,1405,1483,1200700,1735803700
2014-06-23,1415,1450,1405,1448,1875900,2688922900
2014-06-20,1327,1405,1321,1393,1282300,1770500700
2014-06-19,1309,1336,1303,1323,304000,401995200
2014-06-18,1315,1316,1290,1310,595500,780137400
2014-06-17,1303,1329,1281,1307,330700,431133000
2014-06-16,1329,1340,1315,1322,294500,390726500
2014-06-13,1300,1328,1292,1328,295800,387691100
2014-06-12,1290,1324,1290,1304,204600,267405100
2014-06-11,1271,1321,1271,1320,416400,541540600
2014-06-10,1320,1329,1286,1291,434400,565232500
2014-06-09,1323,1359,1310,1333,470600,629078900
2014-06-06,1315,1330,1297,1319,708200,927533700
2014-06-05,1340,1347,1280,1335,826700,1097477100
2014-06-04,1274,1333,1254,1312,996200,1296904400
2014-06-03,1255,1275,1254,1258,495500,624665000
2014-06-02,1263,1265,1233,1237,553600,689320000
2014-05-30,1212,1245,1191,1234,996100,1214927100
2014-05-29,1126,1185,1119,1182,451700,524161700
2014-05-28,1120,1133,1090,1128,248500,278195800
2014-05-27,1125,1146,1119,1120,364700,412900600
2014-05-26,1103,1130,1103,1125,344900,386567800
2014-05-23,1090,1116,1085,1091,210200,231503300
2014-05-22,1082,1124,1070,1103,501200,550250500
2014-05-21,1055,1084,1049,1073,289900,309148000
2014-05-20,1072,1092,1060,1063,259400,278213600
2014-05-19,1102,1111,1037,1055,508400,540814100
2014-05-16,1120,1123,1085,1102,622700,685003100
2014-05-15,1147,1153,1123,1141,525300,596646300
2014-05-14,1155,1192,1151,1181,486400,571103300
2014-05-13,1120,1164,1118,1151,639800,729239600
2014-05-12,1100,1130,1047,1063,489600,528010300
2014-05-09,1113,1135,1101,1113,441800,491618400
2014-05-08,1090,1129,1090,1112,516800,575475200
2014-05-07,1080,1099,1072,1081,409000,443806200
2014-05-02,1100,1123,1094,1101,263200,291423500
2014-05-01,1089,1125,1089,1114,336800,372996100
2014-04-30,1153,1160,1081,1100,789300,878923900
2014-04-28,1192,1203,1160,1169,303800,358488300
2014-04-25,1190,1239,1177,1210,657400,794895400
2014-04-24,1220,1260,1186,1190,570400,694081000
2014-04-23,1185,1241,1176,1236,607500,736524800
2014-04-22,1231,1247,1174,1180,723100,874180800
2014-04-21,1370,1373,1220,1249,3362700,4346712400
2014-04-18,1160,1180,1122,1138,495600,565252700
2014-04-17,1180,1197,1157,1170,386200,453704600
2014-04-16,1120,1169,1116,1162,457400,519546600
2014-04-15,1145,1161,1125,1125,362900,413378700
2014-04-14,1125,1173,1123,1140,277300,318052600
2014-04-11,1144,1177,1129,1148,494900,569537900
2014-04-10,1226,1246,1178,1188,439300,530103000
2014-04-09,1200,1249,1192,1218,585500,712696100
2014-04-08,1268,1268,1216,1216,547600,676702600
2014-04-07,1300,1312,1243,1257,540000,689300600
2014-04-04,1283,1340,1265,1325,524400,686684800
2014-04-03,1293,1304,1277,1283,439200,565603700
2014-04-02,1280,1320,1276,1287,564900,730680500
2014-04-01,1300,1300,1275,1280,409800,527647600
2014-03-31,1327,1343,1285,1304,571300,743736700
2014-03-28,1263,1334,1263,1320,755500,994434000
2014-03-27,1351,1357,1265,1278,815600,1059883800
2014-03-26,1312,1377,1296,1357,1064400,1439501800
2014-03-25,1293,1330,1261,1300,1596200,2071972600
2014-03-24,1300,1363,1273,1304,1057300,1395079200
2014-03-20,1310,1327,1226,1315,2009800,2583368000
2014-03-19,1329,1343,1260,1324,1195300,1562999900
2014-03-18,1259,1350,1234,1350,1684400,2186886700
2014-03-17,1399,1442,1157,1200,3879600,4884975800
2014-03-14,1383,1414,1380,1408,1571300,2192722100
2014-03-13,1360,1425,1360,1425,2458400,3443377000
2014-03-12,1323,1355,1304,1344,1875400,2494525700
2014-03-11,1266,1343,1257,1343,1972400,2587582500
2014-03-10,1230,1257,1223,1249,987600,1228941500
2014-03-07,1205,1230,1196,1223,493900,597865500
2014-03-06,1156,1205,1152,1188,745200,880673600
2014-03-05,1194,1194,1164,1167,409000,480599400
2014-03-04,1160,1183,1154,1169,403800,471152500
2014-03-03,1127,1178,1105,1170,664900,762084900
2014-02-28,1178,1192,1143,1157,712900,825380100
2014-02-27,1200,1201,1153,1178,733000,861391400
2014-02-26,1240,1250,1215,1217,471100,579578900
2014-02-25,1239,1245,1203,1237,830200,1014880500
2014-02-24,1193,1248,1185,1225,1155500,1407096300
2014-02-21,1163,1199,1156,1163,734100,860139000
2014-02-20,1160,1236,1155,1163,1275900,1520006200
2014-02-19,1181,1224,1165,1174,815100,972308400
2014-02-18,1152,1200,1130,1191,1014700,1187163500
2014-02-17,1145,1183,1100,1160,1918000,2196531400
2014-02-14,1040,1122,1010,1115,2731200,2921070200
2014-02-13,1025,1085,1024,1061,1457900,1546850400
2014-02-12,1137,1137,1046,1050,1564000,1692503800
2014-02-10,1107,1135,1093,1107,1243200,1381166900
2014-02-07,1081,1111,1064,1107,1252900,1364428900
2014-02-06,998,1079,996,1058,1888200,1963562100
2014-02-05,1010,1025,945,977,1691100,1669399800
2014-02-04,950,1003,905,971,3827200,3694174800
2014-02-03,1067,1076,995,1007,2628500,2691228100
2014-01-31,1147,1175,1075,1097,2257000,2523984100
2014-01-30,1142,1143,1102,1126,1389300,1558274400
2014-01-29,1184,1211,1158,1180,2131300,2531703500
2014-01-28,1166,1208,1120,1160,2377600,2757762500
2014-01-27,1225,1243,1191,1196,1850800,2240159000
2014-01-24,1263,1307,1258,1270,1020200,1305307600
2014-01-23,1342,1348,1264,1286,2145700,2784952000
2014-01-22,1337,1365,1333,1350,521600,702001400
2014-01-21,1355,1364,1336,1350,730600,983361800
2014-01-20,1339,1395,1331,1350,910300,1238526100
2014-01-17,1336,1357,1326,1339,1348700,1803609600
2014-01-16,1378,1389,1341,1351,1046200,1419684700
2014-01-15,1385,1402,1371,1385,722300,1000858600
2014-01-14,1406,1413,1374,1380,1146400,1593838000
2014-01-10,1400,1437,1390,1433,951600,1336821300
2014-01-09,1435,1440,1415,1419,530800,757198300
2014-01-08,1478,1484,1431,1444,697300,1009400000
2014-01-07,1493,1494,1460,1470,594500,877664900
2014-01-06,1503,1521,1476,1500,965500,1449755800
2013-12-30,1465,1503,1451,1496,1379600,2048193900
2013-12-27,1446,1451,1412,1435,607800,869772500
2013-12-26,1460,1464,1435,1444,609400,882229700
2013-12-25,1389,1469,1387,1438,2051900,2918551200
2013-12-24,1431,1436,1389,1393,1388300,1951543000
2013-12-20,1416,1443,1410,1431,1337500,1904137500
2013-12-19,1445,1449,1405,1416,1172800,1674046300
2013-12-18,1384,1418,1378,1400,1039100,1447833600
2013-12-17,1443,1452,1384,1429,1094300,1553649100
2013-12-16,1377,1448,1377,1406,1827700,2563346800
2013-12-13,1370,1378,1353,1360,511800,697837900
2013-12-12,1370,1392,1350,1365,663600,905575800
2013-12-11,1440,1442,1365,1384,1157900,1609913300
2013-12-10,1441,1467,1436,1444,468800,679817900
2013-12-09,1490,1494,1439,1454,834300,1217868100
2013-12-06,1458,1488,1410,1446,1101800,1594941300
2013-12-05,1397,1510,1394,1435,2471900,3592385700
2013-12-04,1333,1415,1330,1397,1585500,2172219100
2013-12-03,1365,1369,1330,1343,1063300,1431715000
2013-12-02,1369,1397,1347,1349,1271900,1724278800
2013-11-29,1346,1373,1346,1360,425400,576769000
2013-11-28,1371,1380,1345,1353,627400,851320500
2013-11-27,1408,1424,1342,1348,1575100,2181229300
2013-11-26,1365,1479,1330,1433,1942900,2748828400
2013-11-25,1422,1429,1365,1376,761500,1057077000
2013-11-22,1375,1410,1362,1392,945500,1310913500
2013-11-21,1376,1398,1354,1358,693100,948982800
2013-11-20,1400,1414,1362,1376,597300,824432300
2013-11-19,1450,1456,1364,1387,1471700,2069687900
2013-11-18,1390,1490,1379,1428,2279900,3270680400
2013-11-15,1303,1393,1301,1370,3055800,4127432300
2013-11-14,1310,1329,1265,1291,2775800,3571698700
2013-11-13,1270,1355,1264,1300,3491100,4517819400
2013-11-12,1180,1312,1164,1281,11885700,14673961600
2013-11-11,1210,1210,1210,1210,327700,396517000
2013-11-08,1556,1616,1525,1610,1034500,1618324900
2013-11-07,1625,1664,1595,1596,987000,1602919100
2013-11-06,1580,1606,1571,1590,691800,1101240300
2013-11-05,1625,1654,1552,1570,1515900,2393175600
2013-11-01,1694,1718,1611,1661,1252300,2061139500
2013-10-31,1707,1737,1688,1694,489800,834219900
2013-10-30,1772,1790,1635,1724,1062500,1843152500
2013-10-29,1760,1795,1748,1772,419600,743821500
2013-10-28,1725,1772,1719,1762,419900,731928200
2013-10-25,1770,1779,1707,1736,511200,891025100
2013-10-24,1753,1780,1741,1770,362300,637285400
2013-10-23,1793,1815,1752,1762,581100,1034824500
2013-10-22,1829,1829,1785,1802,470800,848787300
2013-10-21,1799,1835,1788,1831,590700,1072238000
2013-10-18,1800,1800,1751,1783,428700,761838000
2013-10-17,1840,1850,1760,1783,840100,1509674900
2013-10-16,1840,1867,1785,1807,892200,1629224500
2013-10-15,1810,1850,1806,1850,1291500,2362789200
2013-10-11,1745,1805,1723,1774,819400,1450160700
2013-10-10,1749,1757,1692,1712,589800,1016786300
2013-10-09,1660,1734,1633,1731,603100,1025050000
2013-10-08,1626,1699,1613,1679,836600,1385809400
2013-10-07,1735,1737,1644,1647,858800,1438606500
2013-10-04,1632,1711,1610,1698,700300,1160752800
2013-10-03,1694,1699,1642,1672,818000,1363417000
2013-10-02,1715,1770,1674,1703,707100,1211672600
2013-10-01,1765,1785,1734,1736,561600,982586100
2013-09-30,1778,1791,1752,1758,954700,1686644900
2013-09-27,1810,1845,1805,1813,550300,1007215300
