8542-T,東証1部,トマト銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,177,178,174,177,40000,7050000
2014-06-26,178,178,176,176,36000,6362000
2014-06-25,177,177,175,175,42000,7386000
2014-06-24,177,178,177,177,35000,6198000
2014-06-23,177,178,177,178,42000,7447000
2014-06-20,179,179,177,177,54000,9577000
2014-06-19,177,179,177,179,72000,12816000
2014-06-18,176,177,176,177,22000,3876000
2014-06-17,176,176,175,176,15000,2637000
2014-06-16,174,175,173,174,23000,4011000
2014-06-13,175,175,173,174,114000,19918000
2014-06-12,175,176,174,174,20000,3501000
2014-06-11,174,175,173,175,92000,16032000
2014-06-10,173,174,173,174,74000,12829000
2014-06-09,173,173,173,173,13000,2249000
2014-06-06,173,174,172,173,45000,7772000
2014-06-05,171,173,171,172,10000,1720000
2014-06-04,172,172,172,172,6000,1032000
2014-06-03,174,174,173,173,31000,5382000
2014-06-02,170,173,170,173,38000,6515000
2014-05-30,171,171,170,171,25000,4261000
2014-05-29,171,172,171,172,12000,2061000
2014-05-28,173,174,172,172,32000,5536000
2014-05-27,173,174,171,172,33000,5695000
2014-05-26,171,172,170,172,31000,5310000
2014-05-23,170,173,169,170,72000,12301000
2014-05-22,170,170,169,170,16000,2718000
2014-05-21,168,169,168,169,55000,9273000
2014-05-20,169,169,167,168,26000,4372000
2014-05-19,167,168,167,167,23000,3857000
2014-05-16,167,168,166,167,96000,16035000
2014-05-15,169,170,168,169,48000,8114000
2014-05-14,168,169,167,168,24000,4033000
2014-05-13,166,168,166,168,31000,5174000
2014-05-12,167,167,165,165,37000,6135000
2014-05-09,166,168,166,167,25000,4163000
2014-05-08,166,167,166,166,71000,11787000
2014-05-07,170,170,166,166,119000,19958000
2014-05-02,170,170,169,170,10000,1699000
2014-05-01,169,171,169,170,62000,10499000
2014-04-30,169,170,169,169,18000,3043000
2014-04-28,170,171,169,169,27000,4588000
2014-04-25,170,172,170,171,34000,5801000
2014-04-24,169,170,169,170,12000,2036000
2014-04-23,168,170,167,169,48000,8098000
2014-04-22,170,170,167,167,21000,3537000
2014-04-21,168,170,168,170,41000,6901000
2014-04-18,169,169,167,168,64000,10738000
2014-04-17,170,171,169,169,41000,6972000
2014-04-16,166,169,166,169,60000,10015000
2014-04-15,168,168,166,166,97000,16206000
2014-04-14,166,169,166,167,31000,5197000
2014-04-11,168,168,165,167,72000,12042000
2014-04-10,171,174,169,170,57000,9771000
2014-04-09,172,173,170,170,88000,15074000
2014-04-08,180,180,175,175,54000,9560000
2014-04-07,182,182,178,181,49000,8817000
2014-04-04,182,183,181,183,72000,13120000
2014-04-03,180,182,180,181,81000,14686000
2014-04-02,181,182,179,180,117000,21205000
2014-04-01,180,180,178,180,87000,15631000
2014-03-31,181,181,179,180,92000,16572000
2014-03-28,180,181,178,180,110000,19749000
2014-03-27,178,180,176,180,82000,14619000
2014-03-26,178,178,176,177,150000,26599000
2014-03-25,175,175,173,175,92000,16006000
2014-03-24,166,174,166,172,114000,19439000
2014-03-20,166,167,165,166,84000,13944000
2014-03-19,168,169,168,168,27000,4544000
2014-03-18,170,170,168,169,26000,4398000
2014-03-17,169,169,165,165,41000,6854000
2014-03-14,172,172,170,170,194000,33226000
2014-03-13,171,174,171,173,31000,5345000
2014-03-12,171,172,171,171,26000,4454000
2014-03-11,174,176,171,174,89000,15426000
2014-03-10,174,175,173,174,25000,4353000
2014-03-07,175,175,173,174,33000,5738000
2014-03-06,174,174,172,174,28000,4851000
2014-03-05,174,174,173,174,38000,6604000
2014-03-04,169,173,169,173,34000,5830000
2014-03-03,168,172,165,172,79000,13292000
2014-02-28,173,173,169,170,86000,14688000
2014-02-27,174,174,172,173,21000,3637000
2014-02-26,174,174,173,174,29000,5037000
2014-02-25,174,175,172,175,60000,10426000
2014-02-24,172,174,172,172,71000,12257000
2014-02-21,169,172,169,172,73000,12445000
2014-02-20,170,170,168,168,44000,7409000
2014-02-19,171,171,169,170,40000,6791000
2014-02-18,167,171,167,171,64000,10866000
2014-02-17,164,168,163,167,49000,8088000
2014-02-14,167,167,164,164,85000,14053000
2014-02-13,169,169,166,166,35000,5848000
2014-02-12,168,170,167,169,37000,6233000
2014-02-10,166,167,166,167,35000,5833000
2014-02-07,166,167,164,164,60000,9968000
2014-02-06,163,167,163,166,100000,16382000
2014-02-05,159,163,159,162,87000,14056000
2014-02-04,167,169,158,158,213000,35104000
2014-02-03,169,170,167,168,106000,17838000
2014-01-31,171,171,169,169,68000,11563000
2014-01-30,171,172,169,170,104000,17708000
2014-01-29,171,173,170,173,93000,15964000
2014-01-28,168,171,168,170,87000,14793000
2014-01-27,174,174,167,168,266000,45327000
2014-01-24,175,176,175,175,113000,19778000
2014-01-23,180,180,176,176,95000,16919000
2014-01-22,179,181,179,180,76000,13667000
2014-01-21,180,181,180,180,45000,8105000
2014-01-20,179,182,179,180,111000,19943000
2014-01-17,178,179,178,178,42000,7509000
2014-01-16,178,179,178,178,27000,4821000
2014-01-15,177,179,176,178,51000,9059000
2014-01-14,179,179,176,176,66000,11693000
2014-01-10,179,180,178,180,79000,14136000
2014-01-09,180,180,179,179,31000,5557000
2014-01-08,178,180,177,180,80000,14360000
2014-01-07,179,179,177,177,23000,4088000
2014-01-06,178,180,176,179,84000,14997000
2013-12-30,177,178,177,177,72000,12781000
2013-12-27,175,176,174,175,66000,11573000
2013-12-26,173,175,173,174,54000,9413000
2013-12-25,174,175,172,174,97000,16836000
2013-12-24,174,174,173,174,41000,7131000
2013-12-20,175,176,173,173,89000,15544000
2013-12-19,175,177,175,176,128000,22492000
2013-12-18,173,175,173,175,183000,31778000
2013-12-17,173,173,172,173,71000,12259000
2013-12-16,172,173,171,172,100000,17201000
2013-12-13,170,172,169,171,281000,47799000
2013-12-12,171,172,171,171,38000,6501000
2013-12-11,173,174,172,172,51000,8816000
2013-12-10,173,174,173,174,42000,7300000
2013-12-09,174,174,173,174,21000,3647000
2013-12-06,172,173,172,172,22000,3794000
2013-12-05,175,175,173,173,43000,7476000
2013-12-04,173,177,173,174,63000,10994000
2013-12-03,174,176,174,175,62000,10848000
2013-12-02,173,174,173,173,36000,6246000
2013-11-29,173,174,173,173,40000,6949000
2013-11-28,176,176,173,173,33000,5762000
2013-11-27,176,177,176,176,46000,8099000
2013-11-26,177,177,176,176,37000,6535000
2013-11-25,176,178,175,177,77000,13566000
2013-11-22,175,176,174,174,50000,8738000
2013-11-21,174,174,173,174,43000,7469000
2013-11-20,174,174,172,173,51000,8836000
2013-11-19,176,176,173,174,38000,6615000
2013-11-18,176,177,175,175,33000,5806000
2013-11-15,172,176,172,176,102000,17789000
2013-11-14,173,174,172,174,58000,10053000
2013-11-13,173,174,172,172,53000,9168000
2013-11-12,170,174,170,172,115000,19711000
2013-11-11,173,173,170,170,45000,7681000
2013-11-08,171,172,171,171,38000,6509000
2013-11-07,172,173,171,172,18000,3090000
2013-11-06,171,173,171,173,16000,2748000
2013-11-05,172,172,171,171,24000,4114000
2013-11-01,171,172,171,171,38000,6500000
2013-10-31,172,174,172,173,38000,6565000
2013-10-30,174,174,173,173,29000,5035000
2013-10-29,173,173,172,172,26000,4487000
2013-10-28,173,174,172,173,32000,5542000
2013-10-25,176,176,172,172,47000,8143000
2013-10-24,176,176,173,176,59000,10289000
2013-10-23,178,178,175,175,56000,9906000
2013-10-22,177,178,177,178,47000,8326000
2013-10-21,175,177,175,177,32000,5618000
2013-10-18,173,175,173,174,25000,4359000
2013-10-17,172,174,172,174,33000,5719000
2013-10-16,172,172,170,171,38000,6498000
2013-10-15,174,174,171,173,26000,4488000
2013-10-11,171,173,171,173,47000,8103000
2013-10-10,171,173,170,171,41000,7016000
2013-10-09,171,172,170,172,47000,8044000
2013-10-08,171,171,168,171,110000,18676000
2013-10-07,173,174,170,171,66000,11340000
2013-10-04,175,177,174,175,49000,8580000
2013-10-03,175,177,175,175,41000,7196000
2013-10-02,179,179,175,175,54000,9508000
2013-10-01,179,180,178,178,52000,9293000
2013-09-30,178,179,177,178,31000,5524000
2013-09-27,180,181,179,180,58000,10446000
2013-09-26,179,179,177,179,21000,3735000
2013-09-25,179,180,178,180,36000,6449000
2013-09-24,180,180,179,179,41000,7369000
2013-09-20,179,180,177,180,78000,13970000
2013-09-19,178,179,177,179,29000,5169000
2013-09-18,176,178,176,177,21000,3715000
2013-09-17,177,178,175,175,34000,6001000
2013-09-13,174,177,174,177,157000,27371000
2013-09-12,175,177,175,176,116000,20357000
