8554-F,福証,南日銀,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,-,-,-,-,0,0
2014-06-26,162,162,162,162,1000,162000
2014-06-25,-,-,-,-,0,0
2014-06-24,163,163,161,163,6000,976000
2014-06-23,164,164,162,162,6000,982000
2014-06-20,160,163,159,159,44000,7079000
2014-06-19,160,160,160,160,8000,1280000
2014-06-18,161,161,161,161,4000,644000
2014-06-17,159,159,159,159,5000,795000
2014-06-16,161,161,161,161,2000,322000
2014-06-13,-,-,-,-,0,0
2014-06-12,164,164,164,164,1000,164000
2014-06-11,-,-,-,-,0,0
2014-06-10,161,163,161,163,100000,16110000
2014-06-09,161,161,161,161,1000,161000
2014-06-06,160,160,160,160,1000,160000
2014-06-05,-,-,-,-,0,0
2014-06-04,-,-,-,-,0,0
2014-06-03,159,160,159,159,11000,1750000
2014-06-02,160,160,160,160,2000,320000
2014-05-30,160,163,160,163,7000,1132000
2014-05-29,158,159,157,157,7000,1108000
2014-05-28,156,156,156,156,2000,312000
2014-05-27,157,157,156,156,9000,1409000
2014-05-26,160,160,157,157,7000,1104000
2014-05-23,158,158,158,158,5000,790000
2014-05-22,162,162,155,157,66000,10522000
2014-05-21,162,163,161,162,6000,971000
2014-05-20,162,162,162,162,1000,162000
2014-05-19,-,-,-,-,0,0
2014-05-16,-,-,-,-,0,0
2014-05-15,166,166,166,166,10000,1660000
2014-05-14,163,164,149,164,32000,5130000
2014-05-13,168,168,166,166,6000,1003000
2014-05-12,167,168,167,168,3000,502000
2014-05-09,169,169,168,168,3000,505000
2014-05-08,169,169,169,169,4000,676000
2014-05-07,171,171,168,171,7000,1193000
2014-05-02,168,168,168,168,2000,336000
2014-05-01,168,168,168,168,3000,504000
2014-04-30,170,170,170,170,10000,1700000
2014-04-28,168,168,168,168,2000,336000
2014-04-25,168,168,168,168,13000,2184000
2014-04-24,170,170,170,170,1000,170000
2014-04-23,176,176,170,170,10000,1730000
2014-04-22,170,172,170,172,30000,5138000
2014-04-21,170,170,170,170,8000,1360000
2014-04-18,170,172,170,170,13000,2214000
2014-04-17,170,170,170,170,12000,2040000
2014-04-16,170,170,169,169,6000,1019000
2014-04-15,169,170,169,170,9000,1529000
2014-04-14,168,168,168,168,2000,336000
