8591-T,東証1部,オリックス,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,1644,1668,1636,1648,6220000,10264775200
2014-06-26,1643,1650,1627,1638,3364200,5508686300
2014-06-25,1658,1658,1640,1640,2789900,4593435400
2014-06-24,1654,1669,1639,1659,3009500,4977923500
2014-06-23,1675,1676,1657,1660,3945500,6569893900
2014-06-20,1666,1686,1642,1676,6237100,10413508100
2014-06-19,1620,1678,1618,1673,7587200,12635965600
2014-06-18,1602,1620,1595,1612,3982900,6407738700
2014-06-17,1632,1637,1599,1603,4418800,7109153600
2014-06-16,1644,1647,1622,1631,2969600,4850276900
2014-06-13,1637,1650,1621,1648,5270100,8629604600
2014-06-12,1628,1651,1618,1637,4134800,6750699900
2014-06-11,1625,1645,1622,1643,2780400,4547927100
2014-06-10,1651,1670,1621,1629,4622300,7595845500
2014-06-09,1681,1684,1651,1653,3211600,5362401000
2014-06-06,1664,1672,1654,1661,3907800,6497764700
2014-06-05,1654,1666,1640,1652,3789400,6258386100
2014-06-04,1633,1660,1626,1660,5572300,9187834700
2014-06-03,1643,1643,1614,1627,5158100,8391413600
2014-06-02,1634,1638,1621,1631,3984200,6492213700
2014-05-30,1611,1621,1596,1614,5630400,9059587200
2014-05-29,1590,1622,1588,1614,4723600,7603983500
2014-05-28,1595,1608,1579,1602,6155000,9826295200
2014-05-27,1582,1614,1582,1583,4422600,7057022400
2014-05-26,1576,1593,1575,1588,4229400,6701252800
2014-05-23,1540,1574,1540,1563,5315100,8305629500
2014-05-22,1517,1552,1511,1537,7039100,10778224000
2014-05-21,1500,1517,1487,1511,7551500,11371270500
2014-05-20,1545,1552,1524,1524,7230500,11102459800
2014-05-19,1572,1580,1552,1557,6800300,10630126900
2014-05-16,1603,1604,1574,1600,6733500,10700461400
2014-05-15,1624,1633,1608,1632,5337200,8650545000
2014-05-14,1639,1649,1622,1649,7806600,12804981400
2014-05-13,1617,1627,1612,1621,8141900,13176841300
2014-05-12,1598,1602,1566,1583,7533300,11947074700
