8625-T,東証2部,高木証,日足
日付,始値,高値,安値,終値,出来高,売買代金
2014-06-27,281,281,266,271,376000,102728000
2014-06-26,291,291,281,281,291000,83008000
2014-06-25,295,296,286,286,278000,80863000
2014-06-24,295,298,293,297,153000,45181000
2014-06-23,302,307,297,298,304000,91382000
2014-06-20,292,304,291,302,757000,225113000
2014-06-19,285,290,282,288,471000,135507000
2014-06-18,278,284,273,284,248000,69474000
2014-06-17,279,280,275,276,100000,27836000
2014-06-16,280,281,277,278,147000,41027000
2014-06-13,270,281,270,281,220000,60130000
2014-06-12,266,273,263,272,202000,54030000
2014-06-11,271,273,265,270,154000,41435000
2014-06-10,280,280,272,272,319000,88049000
2014-06-09,274,280,274,277,275000,76121000
2014-06-06,273,274,269,272,205000,55724000
2014-06-05,277,279,271,271,236000,64551000
2014-06-04,274,277,271,277,243000,66682000
2014-06-03,274,274,268,274,287000,78119000
2014-06-02,261,265,259,263,271000,71027000
2014-05-30,258,258,251,254,90000,22886000
2014-05-29,250,255,249,252,160000,40339000
2014-05-28,258,258,252,253,193000,49266000
2014-05-27,252,258,251,253,229000,58150000
2014-05-26,241,249,238,249,247000,60139000
2014-05-23,227,235,226,230,228000,52574000
2014-05-22,219,228,219,226,316000,70719000
2014-05-21,217,222,216,219,137000,29843000
2014-05-20,224,225,212,223,324000,70913000
2014-05-19,238,238,221,223,234000,53746000
2014-05-16,241,243,238,239,116000,27829000
2014-05-15,246,248,243,247,86000,21080000
2014-05-14,246,251,245,249,90000,22377000
2014-05-13,249,251,246,246,179000,44426000
2014-05-12,250,254,244,245,92000,22728000
2014-05-09,249,255,249,249,61000,15308000
2014-05-08,255,256,250,250,102000,25850000
2014-05-07,245,248,244,247,154000,37872000
2014-05-02,252,256,252,256,109000,27719000
2014-05-01,244,261,244,251,438000,109371000
2014-04-30,257,258,242,245,407000,101090000
2014-04-28,262,263,256,259,235000,60974000
2014-04-25,266,270,265,270,108000,28891000
2014-04-24,273,273,265,267,127000,34075000
2014-04-23,272,280,272,273,73000,20057000
2014-04-22,284,285,267,270,188000,51720000
2014-04-21,286,289,283,283,107000,30669000
2014-04-18,285,287,283,285,74000,21119000
2014-04-17,283,287,282,284,161000,45768000
2014-04-16,273,279,273,279,168000,46293000
2014-04-15,273,275,270,270,136000,37029000
2014-04-14,271,274,268,268,148000,40112000
2014-04-11,263,277,263,275,378000,102080000
2014-04-10,292,295,265,275,450000,126672000
2014-04-09,296,297,287,287,254000,74134000
2014-04-08,304,306,299,300,149000,44966000
2014-04-07,316,316,305,307,214000,66449000
2014-04-04,318,322,316,321,161000,51407000
2014-04-03,314,319,313,317,349000,110320000
2014-04-02,315,317,312,313,168000,52889000
2014-04-01,319,319,311,312,98000,30820000
2014-03-31,317,318,314,314,91000,28705000
2014-03-28,301,319,300,315,234000,72227000
2014-03-27,295,302,289,299,134000,39641000
2014-03-26,308,309,298,300,243000,73359000
